Aa calceata,Aa,,calceata,NA,NA,,,kew-5,TRUE,1.1,Accepted,Orchidaceae,Aa,,calceata,,,(Rchb.f.) Schltr.,kew-5,Accepted,FALSE,FALSE,FALSE,2017-05-11
Aa colombiana,Aa,,colombiana,NA,NA,,,kew-7,TRUE,1.1,Accepted,Orchidaceae,Aa,,colombiana,,,Schltr.,kew-7,Accepted,FALSE,FALSE,FALSE,2017-05-11
Aa hartwegii,Aa,,hartwegii,NA,NA,,,kew-13,TRUE,1.1,Accepted,Orchidaceae,Aa,,hartwegii,,,Garay,kew-13,Accepted,FALSE,FALSE,FALSE,2017-05-11
Aa leucantha,Aa,,leucantha,NA,NA,,,kew-17,TRUE,1.1,Accepted,Orchidaceae,Aa,,leucantha,,,(Rchb.f.) Schltr.,kew-17,Accepted,FALSE,FALSE,FALSE,2017-05-11
Aa paleacea,Aa,,paleacea,NA,NA,,,kew-27,TRUE,1.1,Accepted,Orchidaceae,Aa,,paleacea,,,(Kunth) Rchb.f.,kew-27,Accepted,FALSE,FALSE,FALSE,2017-05-11
Aaronsohnia factorovskyi,Aaronsohnia,,factorovskyi,NA,NA,,,gcc-97400,TRUE,1.1,Accepted,Compositae,Aaronsohnia,,factorovskyi,,,Warb. & Eig,gcc-97400,Accepted,FALSE,FALSE,FALSE,2017-05-11
Aaronsohnia pubescens,Aaronsohnia,,pubescens,NA,NA,,,gcc-109362,TRUE,1.1,Accepted,Compositae,Aaronsohnia,,pubescens,,,(Desf.) K.Bremer & Humphries,gcc-109362,Accepted,FALSE,FALSE,FALSE,2017-05-11
Abarema adenophora,Abarema,,adenophora,NA,NA,,,tro-13076079,TRUE,1.1,Accepted,Leguminosae,Abarema,,adenophora,,,(Ducke) Barneby & J.W. Grimes,tro-13076079,Accepted,FALSE,FALSE,FALSE,2017-05-11
Abarema auriculata,Abarema,,auriculata,NA,NA,,,ild-40629,TRUE,1.1,Accepted,Leguminosae,Abarema,,auriculata,,,(Benth.) Barneby & J.W.Grimes,ild-40629,Accepted,FALSE,FALSE,FALSE,2017-05-11
Abarema barbouriana,Abarema,,barbouriana,NA,NA,,,ild-40640,TRUE,1.1,Accepted,Leguminosae,Abarema,,barbouriana,,,(Standl.) Barneby & J.W.Grimes,ild-40640,Accepted,FALSE,FALSE,FALSE,2017-05-11
Abarema barnebyana,Abarema,,barnebyana,NA,NA,,,kew-2895397,TRUE,1.1,Unresolved,Leguminosae,Abarema,,barnebyana,,,Iganci & M.P.Lima,kew-2895397,Unresolved,FALSE,FALSE,FALSE,2017-05-11
Abarema brachystachya,Abarema,,brachystachya,NA,NA,,,ild-40819,TRUE,1.1,Accepted,Leguminosae,Abarema,,brachystachya,,,(DC.) Barneby & J.W.Grimes,ild-40819,Accepted,FALSE,FALSE,FALSE,2017-05-11
Abarema centiflora,Abarema,,centiflora,NA,NA,,,ild-40855,TRUE,1.1,Accepted,Leguminosae,Abarema,,centiflora,,,Barneby & J.W.Grimes,ild-40855,Accepted,FALSE,FALSE,FALSE,2017-05-11
Abarema clypearia,Abarema,,clypearia,NA,NA,,,ild-43447,TRUE,1.1,Synonym,Leguminosae,Archidendron,,clypearia,,,(Jack) I.C.Nielsen,ild-32323,Accepted,FALSE,FALSE,FALSE,2017-05-11
Abarema cochleata,Abarema,,cochleata,NA,NA,,,ild-40801,TRUE,1.1,Accepted,Leguminosae,Abarema,,cochleata,,,(Willd.) Barneby & J.W.Grimes,ild-40801,Accepted,FALSE,FALSE,FALSE,2017-05-11
Abarema cochliacarpos,Abarema,,cochliacarpos,NA,NA,,,ild-40830,TRUE,1.1,Accepted,Leguminosae,Abarema,,cochliocarpos,,,(Gomes) Barneby & J.W.Grimes,ild-40830,Accepted,TRUE,FALSE,FALSE,2017-05-11
Abarema curvicarpa,Abarema,,curvicarpa,NA,NA,,,ild-33572,TRUE,1.1,Accepted,Leguminosae,Abarema,,curvicarpa,,,(H.S.Irwin) Barneby & J.W.Grime,ild-33572,Accepted,FALSE,FALSE,FALSE,2017-05-11
Abarema filamentosa,Abarema,,filamentosa,NA,NA,,,ild-33614,TRUE,1.1,Accepted,Leguminosae,Abarema,,filamentosa,,,(Benth.) Pittier,ild-33614,Accepted,FALSE,FALSE,FALSE,2017-05-11
Abarema floribunda,Abarema,,floribunda,NA,NA,,,ild-40614,TRUE,1.1,Accepted,Leguminosae,Abarema,,floribunda,,,(Benth.) Barneby & J.W.Grimes,ild-40614,Accepted,FALSE,FALSE,FALSE,2017-05-11
Abarema gallorum,Abarema,,gallorum,NA,NA,,,ild-40619,TRUE,1.1,Accepted,Leguminosae,Abarema,,gallorum,,,Barneby & J.W.Grimes,ild-40619,Accepted,FALSE,FALSE,FALSE,2017-05-11
Abarema laeta,Abarema,,laeta,NA,NA,,,tro-13076353,TRUE,1.1,Accepted,Leguminosae,Abarema,,laeta,,,(Benth.) Barneby & J.W. Grimes,tro-13076353,Accepted,FALSE,FALSE,FALSE,2017-05-11
Abarema langsdorffii,Abarema,,langsdorffii,NA,NA,,,tro-50095902,TRUE,1.1,Accepted,Leguminosae,Abarema,,langsdorffii,,,(Benth.) Barneby & J.W. Grimes,tro-50095902,Accepted,FALSE,FALSE,FALSE,2017-05-11
