Agastache mexicana,Agastache,,mexicana,NA,NA,,,kew-4464,TRUE,1.1,Accepted,Lamiaceae,Agastache,,mexicana,,,(Kunth) Lint & Epling,kew-4464,Accepted,FALSE,FALSE,FALSE,2017-05-11
Agastache nepetoides,Agastache,,nepetoides,NA,NA,,,kew-4471,TRUE,1.1,Accepted,Lamiaceae,Agastache,,nepetoides,,,(L.) Kuntze,kew-4471,Accepted,FALSE,FALSE,FALSE,2017-05-11
Agastache pallida,Agastache,,pallida,NA,NA,,,kew-4473,TRUE,1.1,Accepted,Lamiaceae,Agastache,,pallida,,,(Lindl.) Cory,kew-4473,Accepted,FALSE,FALSE,FALSE,2017-05-11
Agastache pallidiflora,Agastache,,pallidiflora,NA,NA,,,kew-4476,TRUE,1.1,Accepted,Lamiaceae,Agastache,,pallidiflora,,,(A.Heller) Rydb.,kew-4476,Accepted,FALSE,FALSE,FALSE,2017-05-11
Agastache rugosa,Agastache,,rugosa,NA,NA,,,kew-4494,TRUE,1.1,Accepted,Lamiaceae,Agastache,,rugosa,,,(Fisch. & C.A.Mey.) Kuntze,kew-4494,Accepted,FALSE,FALSE,FALSE,2017-05-11
Agastache scrophulariifolia,Agastache,,scrophulariifolia,NA,NA,,,kew-4496,TRUE,1.1,Accepted,Lamiaceae,Agastache,,scrophulariifolia,,,(Willd.) Kuntze,kew-4496,Accepted,FALSE,FALSE,FALSE,2017-05-11
Agastache urticifolia,Agastache,,urticifolia,NA,NA,,,kew-4499,TRUE,1.1,Accepted,Lamiaceae,Agastache,,urticifolia,,,(Benth.) Kuntze,kew-4499,Accepted,FALSE,FALSE,FALSE,2017-05-11
Agastachys odorata,Agastachys,,odorata,NA,NA,,,kew-2625535,TRUE,1.1,Accepted,Proteaceae,Agastachys,,odorata,,,R.Br.,kew-2625535,Accepted,FALSE,FALSE,FALSE,2017-05-11
Agatea longipedicellata,Agatea,,longipedicellata,NA,NA,,,kew-2625548,TRUE,1.1,Accepted,Violaceae,Agatea,,longipedicellata,,,(Baker f.) Guillaumin & Thorne,kew-2625548,Accepted,FALSE,FALSE,FALSE,2017-05-11
Agatea pancheri,Agatea,,pancheri,NA,NA,,,kew-2625550,TRUE,1.1,Accepted,Violaceae,Agatea,,pancheri,,,(Brongn.) K.Schum. ex Melch.,kew-2625550,Accepted,FALSE,FALSE,FALSE,2017-05-11
Agathelpis angustifolia,Agathelpis,,angustifolia,NA,NA,,,kew-2625561,TRUE,1.1,Accepted,Scrophulariaceae,Agathelpis,,angustifolia,,,Choisy,kew-2625561,Accepted,FALSE,FALSE,FALSE,2017-05-11
Agathisanthemum bojeri,Agathisanthemum,,bojeri,NA,NA,,,kew-4551,TRUE,1.1,Accepted,Rubiaceae,Agathisanthemum,,bojeri,,,Klotzsch,kew-4551,Accepted,FALSE,FALSE,FALSE,2017-05-11
Agathisanthemum chlorophyllum,Agathisanthemum,,chlorophyllum,NA,NA,,,kew-4558,TRUE,1.1,Accepted,Rubiaceae,Agathisanthemum,,chlorophyllum,,,(Hochst.) Bremek.,kew-4558,Accepted,FALSE,FALSE,FALSE,2017-05-11
Agathisanthemum quadricostatum,Agathisanthemum,,quadricostatum,NA,NA,,,kew-4563,TRUE,1.1,Synonym,Rubiaceae,Agathisanthemum,,globosum,,,(Hochst. ex A.Rich.) Klotzsch,kew-4560,Accepted,FALSE,FALSE,FALSE,2017-05-11
Agathis atropurpurea,Agathis,,atropurpurea,NA,NA,,,kew-4505,TRUE,1.1,Accepted,Araucariaceae,Agathis,,atropurpurea,,,Hyland,kew-4505,Accepted,FALSE,FALSE,FALSE,2017-05-11
Agathis australis,Agathis,,australis,NA,NA,,,kew-4506,TRUE,1.1,Accepted,Araucariaceae,Agathis,,australis,,,(D.Don) Lindl.,kew-4506,Accepted,FALSE,FALSE,FALSE,2017-05-11
Agathis borneensis,Agathis,,borneensis,NA,NA,,,kew-4509,TRUE,1.1,Accepted,Araucariaceae,Agathis,,borneensis,,,Warb.,kew-4509,Accepted,FALSE,FALSE,FALSE,2017-05-11
Agathis brownii,Agathis,,brownii,NA,NA,,,kew-4510,TRUE,1.1,Synonym,Araucariaceae,Agathis,,macrophylla,,,(Lindl.) Mast.,kew-4526,Accepted,FALSE,FALSE,FALSE,2017-05-11
Agathis corbassonii,Agathis,,corbassonii,NA,NA,,,kew-4513,TRUE,1.1,Synonym,Araucariaceae,Agathis,,moorei,,,(Lindl.) Mast.,kew-4532,Accepted,FALSE,FALSE,FALSE,2017-05-11
Agathis dammara,Agathis,,dammara,NA,NA,,,kew-4514,TRUE,1.1,Accepted,Araucariaceae,Agathis,,dammara,,,(Lamb.) Rich. & A.Rich.,kew-4514,Accepted,FALSE,FALSE,FALSE,2017-05-11
Agathis endertii,Agathis,,endertii,NA,NA,,,kew-4516,TRUE,1.1,Synonym,Araucariaceae,Agathis,,borneensis,,,Warb.,kew-4509,Accepted,FALSE,FALSE,FALSE,2017-05-11
Agathis lanceolata,Agathis,,lanceolata,NA,NA,,,kew-4522,TRUE,1.1,Accepted,Araucariaceae,Agathis,,lanceolata,,,Warb.,kew-4522,Accepted,FALSE,FALSE,FALSE,2017-05-11
Agathis macrophylla,Agathis,,macrophylla,NA,NA,,,kew-4526,TRUE,1.1,Accepted,Araucariaceae,Agathis,,macrophylla,,,(Lindl.) Mast.,kew-4526,Accepted,FALSE,FALSE,FALSE,2017-05-11
Agathis microstachya,Agathis,,microstachya,NA,NA,,,kew-4530,TRUE,1.1,Accepted,Araucariaceae,Agathis,,microstachya,,,J.F.Bailey & C.T.White,kew-4530,Accepted,FALSE,FALSE,FALSE,2017-05-11
Agathis montana,Agathis,,montana,NA,NA,,,kew-4531,TRUE,1.1,Accepted,Araucariaceae,Agathis,,montana,,,de Laub.,kew-4531,Accepted,FALSE,FALSE,FALSE,2017-05-11
Agathis moorei,Agathis,,moorei,NA,NA,,,kew-4532,TRUE,1.1,Accepted,Araucariaceae,Agathis,,moorei,,,(Lindl.) Mast.,kew-4532,Accepted,FALSE,FALSE,FALSE,2017-05-11
Agathis obtusa,Agathis,,obtusa,NA,NA,,,kew-4534,TRUE,1.1,Synonym,Araucariaceae,Agathis,,macrophylla,,,(Lindl.) Mast.,kew-4526,Accepted,FALSE,FALSE,FALSE,2017-05-11
Agathis ovata,Agathis,,ovata,NA,NA,,,kew-4536,TRUE,1.1,Accepted,Araucariaceae,Agathis,,ovata,,,(C.Moore ex Vieill.) Warb.,kew-4536,Accepted,FALSE,FALSE,FALSE,2017-05-11
Agathis palmerstonii,Agathis,,palmerstonii,NA,NA,,,kew-4537,TRUE,1.1,Synonym,Araucariaceae,Agathis,,robusta,,,(C.Moore ex F.Muell.) F.M.Bailey,kew-4541,Accepted,FALSE,FALSE,FALSE,2017-05-11
Agathis philippinensis,Agathis,,philippinensis,NA,NA,,,tro-2300038,TRUE,1.1,Unresolved,Araucariaceae,Agathis,,philippinensis,,,Warb.,tro-2300038,Unresolved,FALSE,FALSE,FALSE,2017-05-11
Agathis robusta,Agathis,,robusta,NA,NA,,,kew-4541,TRUE,1.1,Accepted,Araucariaceae,Agathis,,robusta,,,(C.Moore ex F.Muell.) F.M.Bailey,kew-4541,Accepted,FALSE,FALSE,FALSE,2017-05-11
Agathis silbae,Agathis,,silbae,NA,NA,,,kew-4544,TRUE,1.1,Accepted,Araucariaceae,Agathis,,silbae,,,de Laub.,kew-4544,Accepted,FALSE,FALSE,FALSE,2017-05-11
Agathis vitiensis,Agathis,,vitiensis,NA,NA,,,kew-4547,TRUE,1.1,Synonym,Araucariaceae,Agathis,,macrophylla,,,(Lindl.) Mast.,kew-4526,Accepted,FALSE,FALSE,FALSE,2017-05-11
Agathosma adenandriflora,Agathosma,,adenandriflora,NA,NA,,,kew-2625605,TRUE,1.1,Accepted,Rutaceae,Agathosma,,adenandriflora,,,Schltr.,kew-2625605,Accepted,FALSE,FALSE,FALSE,2017-05-11
Agathosma bathii,Agathosma,,bathii,NA,NA,,,kew-2625628,TRUE,1.1,Accepted,Rutaceae,Agathosma,,bathii,,,(Dummer) Pillans,kew-2625628,Accepted,FALSE,FALSE,FALSE,2017-05-11
Agathosma bifida,Agathosma,,bifida,NA,NA,,,kew-2625633,TRUE,1.1,Accepted,Rutaceae,Agathosma,,bifida,,,Bartl. & H.L.Wendl.,kew-2625633,Accepted,FALSE,FALSE,FALSE,2017-05-11
Agathosma bisulca,Agathosma,,bisulca,NA,NA,,,kew-2625635,TRUE,1.1,Accepted,Rutaceae,Agathosma,,bisulca,,,Bartl. & H.L.Wendl.,kew-2625635,Accepted,FALSE,FALSE,FALSE,2017-05-11
Agathosma capensis,Agathosma,,capensis,NA,NA,,,kew-2625646,TRUE,1.1,Accepted,Rutaceae,Agathosma,,capensis,,,(L.) Dummer,kew-2625646,Accepted,FALSE,FALSE,FALSE,2017-05-11
Agathosma imbricata,Agathosma,,imbricata,NA,NA,,,kew-2625748,TRUE,1.1,Accepted,Rutaceae,Agathosma,,imbricata,,,(L.) Willd.,kew-2625748,Accepted,FALSE,FALSE,FALSE,2017-05-11
Agathosma namaquensis,Agathosma,,namaquensis,NA,NA,,,kew-2625796,TRUE,1.1,Accepted,Rutaceae,Agathosma,,namaquensis,,,Pillans,kew-2625796,Accepted,FALSE,FALSE,FALSE,2017-05-11
Agathosma ovata,Agathosma,,ovata,NA,NA,,,kew-2625808,TRUE,1.1,Accepted,Rutaceae,Agathosma,,ovata,,,(Thunb.) Pillans,kew-2625808,Accepted,FALSE,FALSE,FALSE,2017-05-11
Agathosma pubigera,Agathosma,,pubigera,NA,NA,,,kew-2625840,TRUE,1.1,Accepted,Rutaceae,Agathosma,,pubigera,,,Sond.,kew-2625840,Accepted,FALSE,FALSE,FALSE,2017-05-11
Agation deplanchei,Agation,,deplanchei,NA,NA,,,kew-2625942,TRUE,1.1,Synonym,Violaceae,Agatea,,longipedicellata,,,(Baker f.) Guillaumin & Thorne,kew-2625548,Accepted,FALSE,FALSE,FALSE,2017-05-11
Agave americana,Agave,,americana,NA,NA,,,kew-293578,TRUE,1.1,Accepted,Asparagaceae,Agave,,americana,,,L.,kew-293578,Accepted,FALSE,FALSE,FALSE,2017-05-11
Agave angustifolia,Agave,,angustifolia,NA,NA,,,kew-293593,TRUE,1.1,Synonym,Asparagaceae,Agave,,vivipara,,,L.,kew-294337,Accepted,FALSE,FALSE,FALSE,2017-05-11
Agave attenuata,Agave,,attenuata,NA,NA,,,kew-293622,TRUE,1.1,Accepted,Asparagaceae,Agave,,attenuata,,,Salm-Dyck,kew-293622,Accepted,FALSE,FALSE,FALSE,2017-05-11
Agave bracteosa,Agave,,bracteosa,NA,NA,,,kew-293648,TRUE,1.1,Accepted,Asparagaceae,Agave,,bracteosa,,,S.Watson ex Engelm.,kew-293648,Accepted,FALSE,FALSE,FALSE,2017-05-11
Agave celsii,Agave,,celsii,NA,NA,,,kew-293684,TRUE,1.1,Synonym,Asparagaceae,Agave,,mitis,,,Mart.,kew-294006,Accepted,FALSE,FALSE,FALSE,2017-05-11
Agave cerulata,Agave,,cerulata,NA,NA,,,kew-293688,TRUE,1.1,Accepted,Asparagaceae,Agave,,cerulata,,,Trel.,kew-293688,Accepted,FALSE,FALSE,FALSE,2017-05-11
Agave dasylirioides,Agave,,dasylirioides,NA,NA,,,kew-293737,TRUE,1.1,Accepted,Asparagaceae,Agave,,dasylirioides,,,Jacobi & Bouch.,kew-293737,Accepted,FALSE,FALSE,FALSE,2017-05-11
Agave deserti,Agave,,deserti,NA,NA,,,kew-293754,TRUE,1.1,Accepted,Asparagaceae,Agave,,deserti,,,Engelm.,kew-293754,Accepted,FALSE,FALSE,FALSE,2017-05-11
Agave fourcroydes,Agave,,fourcroydes,NA,NA,,,kew-293821,TRUE,1.1,Accepted,Asparagaceae,Agave,,fourcroydes,,,Lem.,kew-293821,Accepted,FALSE,FALSE,FALSE,2017-05-11
