Allamanda blanchetii,Allamanda,,blanchetii,NA,NA,,,kew-6154,TRUE,1.1,Accepted,Apocynaceae,Allamanda,,blanchetii,,,A.DC.,kew-6154,Accepted,FALSE,FALSE,FALSE,2017-05-11
Allamanda cathartica,Allamanda,,cathartica,NA,NA,,,kew-6157,TRUE,1.1,Accepted,Apocynaceae,Allamanda,,cathartica,,,L.,kew-6157,Accepted,FALSE,FALSE,FALSE,2017-05-11
Allamanda schottii,Allamanda,,schottii,NA,NA,,,kew-6176,TRUE,1.1,Accepted,Apocynaceae,Allamanda,,schottii,,,Pohl,kew-6176,Accepted,FALSE,FALSE,FALSE,2017-05-11
Allantodia crenata,Allantodia,,crenata,NA,NA,,,tro-26619660,TRUE,1.1,Accepted,Athyriaceae,Allantodia,,crenata,,,(Sommerf.) Ching,tro-26619660,Accepted,FALSE,FALSE,FALSE,2017-05-11
Allantoma decandra,Allantoma,,decandra,NA,NA,,,kew-372195,TRUE,1.1,Accepted,Lecythidaceae,Allantoma,,decandra,,,"(Ducke) S.A.Mori, Ya Y.Huang & Prance",kew-372195,Accepted,FALSE,FALSE,FALSE,2017-05-11
Allantoma integrifolia,Allantoma,,integrifolia,NA,NA,,,kew-372196,TRUE,1.1,Accepted,Lecythidaceae,Allantoma,,integrifolia,,,"(Ducke) S.A.Mori, Ya Y.Huang & Prance",kew-372196,Accepted,FALSE,FALSE,FALSE,2017-05-11
Allantoma lineata,Allantoma,,lineata,NA,NA,,,kew-313377,TRUE,1.1,Accepted,Lecythidaceae,Allantoma,,lineata,,,(Mart. ex O.Berg) Miers,kew-313377,Accepted,FALSE,FALSE,FALSE,2017-05-11
Allantoma pluriflora,Allantoma,,pluriflora,NA,NA,,,kew-372192,TRUE,1.1,Accepted,Lecythidaceae,Allantoma,,pluriflora,,,"S.A.Mori, Ya Y.Huang & Prance",kew-372192,Accepted,FALSE,FALSE,FALSE,2017-05-11
Allantospermum borneense,Allantospermum,,borneense,NA,NA,,,kew-2628596,TRUE,1.1,Accepted,Ixonanthaceae,Allantospermum,,borneense,,,Forman,kew-2628596,Accepted,FALSE,FALSE,FALSE,2017-05-11
Allardia glabra,Allardia,,glabra,NA,NA,,,gcc-133853,TRUE,1.1,Synonym,Compositae,Waldheimia,,glabra,,,(Decne.) Regel,gcc-79948,Accepted,FALSE,FALSE,FALSE,2017-05-11
Allardia tridactylites,Allardia,,tridactylites,NA,NA,,,gcc-91799,TRUE,1.1,Synonym,Compositae,Waldheimia,,tridactylites,,,Kar. & Kir.,gcc-129925,Accepted,FALSE,FALSE,FALSE,2017-05-11
Allenanthus erythrocarpus,Allenanthus,,erythrocarpus,NA,NA,,,kew-6194,TRUE,1.1,Synonym,Rubiaceae,Machaonia,,erythrocarpa,,,(Standl.) Borhidi,kew-216631,Accepted,FALSE,FALSE,FALSE,2017-05-11
Allenanthus hondurensis,Allenanthus,,hondurensis,NA,NA,,,kew-6195,TRUE,1.1,Synonym,Rubiaceae,Machaonia,,erythrocarpa,subsp.,hondurensis,(Standl.) Borhidi,kew-216632,Accepted,FALSE,FALSE,FALSE,2017-05-11
Alleniella besseri,Alleniella,,besseri,NA,NA,,,tro-100367159,TRUE,1.1,Accepted,Neckeraceae,Alleniella,,besseri,,,"(Lobarzewski) S. Olsson, Enroth & D. Quandt",tro-100367159,Accepted,FALSE,FALSE,FALSE,2017-05-11
Alleniella complanata,Alleniella,,complanata,NA,NA,,,tro-100367165,TRUE,1.1,Accepted,Neckeraceae,Alleniella,,complanata,,,"(Hedw.) S. Olsson, Enroth & D. Quandt",tro-100367165,Accepted,FALSE,FALSE,FALSE,2017-05-11
Alleniella urnigera,Alleniella,,urnigera,NA,NA,,,tro-100367170,TRUE,1.1,Accepted,Neckeraceae,Alleniella,,urnigera,,,"(Müll. Hal.) S. Olsson, Enroth & D. Quandt",tro-100367170,Accepted,FALSE,FALSE,FALSE,2017-05-11
Allenrolfea occidentalis,Allenrolfea,,occidentalis,NA,NA,,,kew-2628603,TRUE,1.1,Accepted,Amaranthaceae,Allenrolfea,,occidentalis,,,(S.Watson) Kuntze,kew-2628603,Accepted,FALSE,FALSE,FALSE,2017-05-11
