Andira surinamensis,Andira,,surinamensis,NA,NA,,,ild-15887,TRUE,1.1,Accepted,Leguminosae,Andira,,surinamensis,,,(Bondt) Pulle,ild-15887,Accepted,FALSE,FALSE,FALSE,2017-05-11
Andira taurotesticulata,Andira,,taurotesticulata,NA,NA,,,tro-50230778,TRUE,1.1,Accepted,Leguminosae,Andira,,taurotesticulata,,,R.T. Penn.,tro-50230778,Accepted,FALSE,FALSE,FALSE,2017-05-11
Andira tervequinata,Andira,,tervequinata,NA,NA,,,tro-50090361,TRUE,1.1,Accepted,Leguminosae,Andira,,tervequinata,,,"R.T. Penn., G.A. Aymard & Cuello",tro-50090361,Accepted,FALSE,FALSE,FALSE,2017-05-11
Andira trifoliolata,Andira,,trifoliolata,NA,NA,,,ild-15888,TRUE,1.1,Accepted,Leguminosae,Andira,,trifoliolata,,,Ducke,ild-15888,Accepted,FALSE,FALSE,FALSE,2017-05-11
Andira unifoliolata,Andira,,unifoliolata,NA,NA,,,ild-15889,TRUE,1.1,Accepted,Leguminosae,Andira,,unifoliolata,,,Ducke,ild-15889,Accepted,FALSE,FALSE,FALSE,2017-05-11
Andira vermifuga,Andira,,vermifuga,NA,NA,,,ild-15890,TRUE,1.1,Accepted,Leguminosae,Andira,,vermifuga,,,Benth.,ild-15890,Accepted,FALSE,FALSE,FALSE,2017-05-11
Andoa berthelotiana,Andoa,,berthelotiana,NA,NA,,,tro-35100009,TRUE,1.1,Accepted,Hypnaceae,Andoa,,berthelotiana,,,(Mont.) Ochyra,tro-35100009,Accepted,FALSE,FALSE,FALSE,2017-05-11
Andrachne arida,Andrachne,,arida,NA,NA,,,kew-8871,TRUE,1.1,Synonym,Phyllanthaceae,Phyllanthopsis,,arida,,,(Warnock & M.C.Johnst.) Voronts. & Petra Hoffm.,kew-373924,Accepted,FALSE,FALSE,FALSE,2017-05-11
Andrachne aspera,Andrachne,,aspera,NA,NA,,,kew-8872,TRUE,1.1,Accepted,Phyllanthaceae,Andrachne,,aspera,,,Spreng.,kew-8872,Accepted,FALSE,FALSE,FALSE,2017-05-11
Andrachne asperula,Andrachne,,asperula,NA,NA,,,kew-8876,TRUE,1.1,Synonym,Phyllanthaceae,Andrachne,,telephioides,,,L.,kew-8963,Accepted,FALSE,FALSE,FALSE,2017-05-11
Andrachne cerebroides,Andrachne,,cerebroides,NA,NA,,,kew-8891,TRUE,1.1,Synonym,Phyllanthaceae,Meineckia,,cerebroides,,,(Petra Hoffm.) Voronts. & Petra Hoffm.,kew-373353,Accepted,FALSE,FALSE,FALSE,2017-05-11
Andrachne ephemera,Andrachne,,ephemera,NA,NA,,,kew-8907,TRUE,1.1,Accepted,Phyllanthaceae,Andrachne,,ephemera,,,M.G.Gilbert,kew-8907,Accepted,FALSE,FALSE,FALSE,2017-05-11
Andrachne fedtschenkoi,Andrachne,,fedtschenkoi,NA,NA,,,kew-8910,TRUE,1.1,Accepted,Phyllanthaceae,Andrachne,,fedtschenkoi,,,Kossinsky,kew-8910,Accepted,FALSE,FALSE,FALSE,2017-05-11
Andrachne fragilis,Andrachne,,fragilis,NA,NA,,,kew-8912,TRUE,1.1,Accepted,Phyllanthaceae,Andrachne,,fragilis,,,M.G.Gilbert & Thulin,kew-8912,Accepted,FALSE,FALSE,FALSE,2017-05-11
Andrachne fruticulosa,Andrachne,,fruticulosa,NA,NA,,,kew-8919,TRUE,1.1,Accepted,Phyllanthaceae,Andrachne,,fruticulosa,,,Boiss.,kew-8919,Accepted,FALSE,FALSE,FALSE,2017-05-11
Andrachne gracilipes,Andrachne,,gracilipes,NA,NA,,,kew-8920,TRUE,1.1,Synonym,Phyllanthaceae,Meineckia,,gracilipes,,,(Petra Hoffm.) Voronts. & Petra Hoffm.,kew-373299,Accepted,FALSE,FALSE,FALSE,2017-05-11
Andrachne maroccana,Andrachne,,maroccana,NA,NA,,,kew-8930,TRUE,1.1,Accepted,Phyllanthaceae,Andrachne,,maroccana,,,Ball,kew-8930,Accepted,FALSE,FALSE,FALSE,2017-05-11
Andrachne merxmuelleri,Andrachne,,merxmuelleri,NA,NA,,,kew-8931,TRUE,1.1,Accepted,Phyllanthaceae,Andrachne,,merxmuelleri,,,Rech.f.,kew-8931,Accepted,FALSE,FALSE,FALSE,2017-05-11
Andrachne microphylla,Andrachne,,microphylla,NA,NA,,,kew-8932,TRUE,1.1,Accepted,Phyllanthaceae,Andrachne,,microphylla,,,(Lam.) Baill.,kew-8932,Accepted,FALSE,FALSE,FALSE,2017-05-11
Andrachne ovalis,Andrachne,,ovalis,NA,NA,,,kew-8939,TRUE,1.1,Synonym,Phyllanthaceae,Pseudophyllanthus,,ovalis,,,(E.Mey. ex Sond.) Voronts. & Petra Hoffm.,kew-373894,Accepted,FALSE,FALSE,FALSE,2017-05-11
Andrachne pojarkoviae,Andrachne,,pojarkoviae,NA,NA,,,kew-8944,TRUE,1.1,Synonym,Phyllanthaceae,Andrachne,,telephioides,,,L.,kew-8963,Accepted,FALSE,FALSE,FALSE,2017-05-11
Andrachne pygmaea,Andrachne,,pygmaea,NA,NA,,,kew-8949,TRUE,1.1,Accepted,Phyllanthaceae,Andrachne,,pygmaea,,,Kossinsky,kew-8949,Accepted,FALSE,FALSE,FALSE,2017-05-11
Andrachne rotundifolia,Andrachne,,rotundifolia,NA,NA,,,kew-8955,TRUE,1.1,Synonym,Phyllanthaceae,Andrachne,,telephioides,,,L.,kew-8963,Accepted,FALSE,FALSE,FALSE,2017-05-11
Andrachne schweinfurthii,Andrachne,,schweinfurthii,NA,NA,,,kew-8958,TRUE,1.1,Accepted,Phyllanthaceae,Andrachne,,schweinfurthii,,,(Balf.f.) Radcl.-Sm.,kew-8958,Accepted,FALSE,FALSE,FALSE,2017-05-11
Andrachne stenophylla,Andrachne,,stenophylla,NA,NA,,,kew-8962,TRUE,1.1,Accepted,Phyllanthaceae,Andrachne,,stenophylla,,,Kossinsky,kew-8962,Accepted,FALSE,FALSE,FALSE,2017-05-11
Andrachne telephioides,Andrachne,,telephioides,NA,NA,,,kew-8963,TRUE,1.1,Accepted,Phyllanthaceae,Andrachne,,telephioides,,,L.,kew-8963,Accepted,FALSE,FALSE,FALSE,2017-05-11
Andradea floribunda,Andradea,,floribunda,NA,NA,,,kew-2636978,TRUE,1.1,Accepted,Nyctaginaceae,Andradea,,floribunda,,,Allemão,kew-2636978,Accepted,FALSE,FALSE,FALSE,2017-05-11
Andreadoxa flava,Andreadoxa,,flava,NA,NA,,,kew-2636983,TRUE,1.1,Accepted,Rutaceae,Andreadoxa,,flava,,,Kallunki,kew-2636983,Accepted,FALSE,FALSE,FALSE,2017-05-11
Andreaea acuminata,Andreaea,,acuminata,NA,NA,,,tro-35103550,TRUE,1.1,Accepted,Andreaeaceae,Andreaea,,acuminata,,,Mitt.,tro-35103550,Accepted,FALSE,FALSE,FALSE,2017-05-11
Andreaea acutifolia,Andreaea,,acutifolia,NA,NA,,,tro-35103551,TRUE,1.1,Accepted,Andreaeaceae,Andreaea,,acutifolia,,,Hook. f. & Wilson,tro-35103551,Accepted,FALSE,FALSE,FALSE,2017-05-11
Andreaea alpestris,Andreaea,,alpestris,NA,NA,,,tro-35103553,TRUE,1.1,Synonym,Andreaeaceae,Andreaea,,rupestris,,,Hedw.,tro-35103790,Accepted,FALSE,FALSE,FALSE,2017-05-11
Andreaea alpina,Andreaea,,alpina,NA,NA,,,tro-35103556,TRUE,1.1,Accepted,Andreaeaceae,Andreaea,,alpina,,,Hedw.,tro-35103556,Accepted,FALSE,FALSE,FALSE,2017-05-11
