"Apodolirion cedarbergense","Apodolirion","","cedarbergense",NA,NA,"","","kew-299916",TRUE,"1.1","Accepted","Amaryllidaceae","Apodolirion","","cedarbergense","","","D.Müll.-Doblies","kew-299916","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Apodolirion lanceolatum","Apodolirion","","lanceolatum",NA,NA,"","","kew-299918",TRUE,"1.1","Accepted","Amaryllidaceae","Apodolirion","","lanceolatum","","","(Thunb.) Benth. & Hook.f. ex B.D.Jacks.","kew-299918","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Apodostigma pallens","Apodostigma","","pallens",NA,NA,"","","kew-2644261",TRUE,"1.1","Accepted","Celastraceae","Apodostigma","","pallens","","","(Planch. ex Oliv.) R.Wilczek","kew-2644261","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Apodytes brachystylis","Apodytes","","brachystylis",NA,NA,"","","kew-2644279",TRUE,"1.1","Accepted","Icacinaceae","Apodytes","","brachystylis","","","F.Muell.","kew-2644279","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Apodytes dimidiata","Apodytes","","dimidiata",NA,NA,"","","kew-2644283",TRUE,"1.1","Accepted","Icacinaceae","Apodytes","","dimidiata","","","E.Mey. ex Arn.","kew-2644283","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Apollonias barbujana","Apollonias","","barbujana",NA,NA,"","","kew-2644321",TRUE,"1.1","Accepted","Lauraceae","Apollonias","","barbujana","","","(Cav.) Bornm.","kew-2644321","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Apollonias ceballosi","Apollonias","","ceballosi",NA,NA,"","","kew-2644324",TRUE,"1.1","Synonym","Lauraceae","Apollonias","","barbujana","subsp.","ceballosi","(Svent.) G.Kunkel","kew-2644322","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Aponogeton abyssinicus","Aponogeton","","abyssinicus",NA,NA,"","","kew-299922",TRUE,"1.1","Accepted","Aponogetonaceae","Aponogeton","","abyssinicus","","","Hochst. ex A.Rich.","kew-299922","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Aponogeton angustifolius","Aponogeton","","angustifolius",NA,NA,"","","kew-299930",TRUE,"1.1","Accepted","Aponogetonaceae","Aponogeton","","angustifolius","","","Aiton","kew-299930","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Aponogeton azureus","Aponogeton","","azureus",NA,NA,"","","kew-299932",TRUE,"1.1","Accepted","Aponogetonaceae","Aponogeton","","azureus","","","H.Bruggen","kew-299932","Accepted",FALSE,FALSE,FALSE,2017-05-11
