"Aster tataricus","Aster","","tataricus",NA,NA,"","","gcc-95944",TRUE,"1.1","Accepted","Compositae","Aster","","tataricus","","","L.f.","gcc-95944","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Aster tianmenshanensis","Aster","","tianmenshanensis",NA,NA,"","","",FALSE,"1.1","","","Aster","","tianmenshanensis",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Aster tongolensis","Aster","","tongolensis",NA,NA,"","","gcc-78040",TRUE,"1.1","Accepted","Compositae","Aster","","tongolensis","","","Franch.","gcc-78040","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Aster turbinatus","Aster","","turbinatus",NA,NA,"","","gcc-104355",TRUE,"1.1","Accepted","Compositae","Aster","","turbinatus","","","S.Moore","gcc-104355","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Aster verticillatus","Aster","","verticillatus",NA,NA,"","","",FALSE,"1.1","","","Aster","","verticillatus",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Aster vestitus","Aster","","vestitus",NA,NA,"","","gcc-86466",TRUE,"1.1","Accepted","Compositae","Aster","","vestitus","","","Franch.","gcc-86466","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Aster yomena","Aster","","yomena",NA,NA,"","","gcc-134321",TRUE,"1.1","Accepted","Compositae","Aster","","yomena","","","Makino","gcc-134321","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Aster yunnanensis","Aster","","yunnanensis",NA,NA,"","","gcc-83985",TRUE,"1.1","Accepted","Compositae","Aster","","yunnanensis","","","Franch.","gcc-83985","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Astiella delicatula","Astiella","","delicatula",NA,NA,"","","kew-17483",TRUE,"1.1","Accepted","Rubiaceae","Astiella","","delicatula","","","Jovet","kew-17483","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Astilbe biternata","Astilbe","","biternata",NA,NA,"","","kew-2656726",TRUE,"1.1","Accepted","Saxifragaceae","Astilbe","","biternata","","","(Vent.) Britton","kew-2656726","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Astilbe chinensis","Astilbe","","chinensis",NA,NA,"","","kew-2656728",TRUE,"1.1","Synonym","Saxifragaceae","Astilbe","","rubra","","","Hook.f. & Thomson","kew-2656798","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Astilbe formosa","Astilbe","","formosa",NA,NA,"","","kew-2656744",TRUE,"1.1","Accepted","Saxifragaceae","Astilbe","","formosa","","","(Nakai) Nakai","kew-2656744","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Astilbe grandis","Astilbe","","grandis",NA,NA,"","","kew-2656751",TRUE,"1.1","Accepted","Saxifragaceae","Astilbe","","grandis","","","Stapf ex E.H.Wilson","kew-2656751","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Astilbe hybrid","Astilbe","","hybrid",NA,NA,"","","",FALSE,"1.1","","","Astilbe","","hybrid",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Astilbe japonica","Astilbe","","japonica",NA,NA,"","","kew-2656758",TRUE,"1.1","Accepted","Saxifragaceae","Astilbe","","japonica","","","(C.Morren & Decne.) A.Gray","kew-2656758","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Astilbe koreana","Astilbe","","koreana",NA,NA,"","","kew-2656767",TRUE,"1.1","Synonym","Saxifragaceae","Astilbe","","grandis","","","Stapf ex E.H.Wilson","kew-2656751","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Astilbe longicarpa","Astilbe","","longicarpa",NA,NA,"","","kew-2656770",TRUE,"1.1","Accepted","Saxifragaceae","Astilbe","","longicarpa","","","(Hayata) Hayata","kew-2656770","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Astilbe macrocarpa","Astilbe","","macrocarpa",NA,NA,"","","kew-2656772",TRUE,"1.1","Accepted","Saxifragaceae","Astilbe","","macrocarpa","","","Knoll","kew-2656772","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Astilbe macroflora","Astilbe","","macroflora",NA,NA,"","","kew-2656773",TRUE,"1.1","Accepted","Saxifragaceae","Astilbe","","macroflora","","","Hayata","kew-2656773","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Astilbe microphylla","Astilbe","","microphylla",NA,NA,"","","kew-2656774",TRUE,"1.1","Accepted","Saxifragaceae","Astilbe","","microphylla","","","Knoll","kew-2656774","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Astilbe myriantha","Astilbe","","myriantha",NA,NA,"","","kew-2656776",TRUE,"1.1","Synonym","Saxifragaceae","Astilbe","","rivularis","var.","myriantha","(Diels) J.T.Pan","kew-2656797","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Astilbe odontophylla","Astilbe","","odontophylla",NA,NA,"","","kew-2656778",TRUE,"1.1","Synonym","Saxifragaceae","Astilbe","","thunbergii","var.","congesta","H.Boissieu","kew-2656812","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Astilbe okuyamae","Astilbe","","okuyamae",NA,NA,"","","kew-2656784",TRUE,"1.1","Accepted","Saxifragaceae","Astilbe","","okuyamae","","","H.Hara","kew-2656784","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Astilbe philippinensis","Astilbe","","philippinensis",NA,NA,"","","kew-2656788",TRUE,"1.1","Accepted","Saxifragaceae","Astilbe","","philippinensis","","","L.Henry","kew-2656788","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Astilbe platyphylla","Astilbe","","platyphylla",NA,NA,"","","kew-2656791",TRUE,"1.1","Accepted","Saxifragaceae","Astilbe","","platyphylla","","","H.Boissieu","kew-2656791","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Astilbe rivularis","Astilbe","","rivularis",NA,NA,"","","kew-2656794",TRUE,"1.1","Accepted","Saxifragaceae","Astilbe","","rivularis","","","Buch.-Ham. ex D.Don","kew-2656794","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Astilbe rubra","Astilbe","","rubra",NA,NA,"","","kew-2656798",TRUE,"1.1","Accepted","Saxifragaceae","Astilbe","","rubra","","","Hook.f. & Thomson","kew-2656798","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Astilbe simplicifolia","Astilbe","","simplicifolia",NA,NA,"","","kew-2656804",TRUE,"1.1","Accepted","Saxifragaceae","Astilbe","","simplicifolia","","","Makino","kew-2656804","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Astilbe taquetii","Astilbe","","taquetii",NA,NA,"","","kew-2656807",TRUE,"1.1","Synonym","Saxifragaceae","Astilbe","","rubra","","","Hook.f. & Thomson","kew-2656798","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Astilbe thunbergii","Astilbe","","thunbergii",NA,NA,"","","kew-2656808",TRUE,"1.1","Accepted","Saxifragaceae","Astilbe","","thunbergii","","","(Siebold & Zucc.) Miq.","kew-2656808","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Astilboides tabularis","Astilboides","","tabularis",NA,NA,"","","kew-2656830",TRUE,"1.1","Accepted","Saxifragaceae","Astilboides","","tabularis","","","(Hemsl.) Engl.","kew-2656830","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Astomiopsis kieneri","Astomiopsis","","kieneri",NA,NA,"","","tro-35182644",TRUE,"1.1","Accepted","Ditrichaceae","Astomiopsis","","kieneri","","","(E.B. Bartram) Delgad. & see Cárdenas Soriano, María de los Angeles","tro-35182644","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Astonia australiensis","Astonia","","australiensis",NA,NA,"","","kew-275870",TRUE,"1.1","Accepted","Alismataceae","Astonia","","australiensis","","","(Aston) S.W.L.Jacobs","kew-275870","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Astraea klotzschii","Astraea","","klotzschii",NA,NA,"","","kew-17486",TRUE,"1.1","Accepted","Euphorbiaceae","Astraea","","klotzschii","","","Didr.","kew-17486","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Astraea lobata","Astraea","","lobata",NA,NA,"","","kew-221015",TRUE,"1.1","Accepted","Euphorbiaceae","Astraea","","lobata","","","(L.) Klotzsch","kew-221015","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Astraea praetervisa","Astraea","","praetervisa",NA,NA,"","","kew-330076",TRUE,"1.1","Accepted","Euphorbiaceae","Astraea","","praetervisa","","","(Müll.Arg.) P.E.Berry","kew-330076","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Astragalus acantherioceras","Astragalus","","acantherioceras",NA,NA,"","","ild-35851",TRUE,"1.1","Accepted","Leguminosae","Astragalus","","acantherioceras","","","Rech.f. & Koie","ild-35851","Accepted",FALSE,FALSE,FALSE,2017-05-11
