"Asyneuma trichocalycinum","Asyneuma","","trichocalycinum",NA,NA,"","","kew-360797",TRUE,"1.1","Synonym","Campanulaceae","Campanula","","trichocalycina","","","Ten.","kew-366580","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Asyneuma virgatum","Asyneuma","","virgatum",NA,NA,"","","kew-360800",TRUE,"1.1","Accepted","Campanulaceae","Asyneuma","","virgatum","","","(Labill.) Bornm.","kew-360800","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Asystasia gangetica","Asystasia","","gangetica",NA,NA,"","","kew-2664335",TRUE,"1.1","Accepted","Acanthaceae","Asystasia","","gangetica","","","(L.) T.Anderson","kew-2664335","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Asystasia nemorum","Asystasia","","nemorum",NA,NA,"","","kew-2664364",TRUE,"1.1","Accepted","Acanthaceae","Asystasia","","nemorum","","","Nees","kew-2664364","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Asystasia travancorica","Asystasia","","travancorica",NA,NA,"","","kew-2664398",TRUE,"1.1","Accepted","Acanthaceae","Asystasia","","travancorica","","","Bedd.","kew-2664398","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Asystasiella neesiana","Asystasiella","","neesiana",NA,NA,"","","kew-2664411",TRUE,"1.1","Accepted","Acanthaceae","Asystasiella","","neesiana","","","(Wall.) Lindau","kew-2664411","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Atalantia bilocularis","Atalantia","","bilocularis",NA,NA,"","","kew-2664421",TRUE,"1.1","Synonym","Rutaceae","Atalantia","","buxifolia","","","(Poir.) Oliv. ex Benth.","kew-2664422","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Atalantia ceylanica","Atalantia","","ceylanica",NA,NA,"","","kew-2664426",TRUE,"1.1","Accepted","Rutaceae","Atalantia","","ceylanica","","","(Arn.) Oliv.","kew-2664426","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Atalantia citroides","Atalantia","","citroides",NA,NA,"","","kew-2664429",TRUE,"1.1","Accepted","Rutaceae","Atalantia","","citroides","","","Pierre ex Guillaumin","kew-2664429","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Atalantia monophylla","Atalantia","","monophylla",NA,NA,"","","kew-2664457",TRUE,"1.1","Accepted","Rutaceae","Atalantia","","monophylla","","","DC.","kew-2664457","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Atalantia racemosa","Atalantia","","racemosa",NA,NA,"","","kew-2664467",TRUE,"1.1","Accepted","Rutaceae","Atalantia","","racemosa","","","Wight ex Hook.","kew-2664467","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Atalantia roxburghiana","Atalantia","","roxburghiana",NA,NA,"","","kew-2664474",TRUE,"1.1","Accepted","Rutaceae","Atalantia","","roxburghiana","","","Hook.f.","kew-2664474","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Atalantia spinosa","Atalantia","","spinosa",NA,NA,"","","kew-2664482",TRUE,"1.1","Synonym","Rutaceae","Atalantia","","monophylla","","","DC.","kew-2664457","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Atalaya alata","Atalaya","","alata",NA,NA,"","","kew-2664489",TRUE,"1.1","Accepted","Sapindaceae","Atalaya","","alata","","","(Sim) H.M.L.Forbes","kew-2664489","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Atalaya angustifolia","Atalaya","","angustifolia",NA,NA,"","","kew-2664490",TRUE,"1.1","Accepted","Sapindaceae","Atalaya","","angustifolia","","","S.T.Reynolds","kew-2664490","Accepted",FALSE,FALSE,FALSE,2017-05-11
