"Babiana pubescens","Babiana","","pubescens",NA,NA,"","","kew-326750",TRUE,"1.1","Accepted","Iridaceae","Babiana","","pubescens","","","(Lam.) G.J.Lewis","kew-326750","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Babiana purpurea","Babiana","","purpurea",NA,NA,"","","kew-326754",TRUE,"1.1","Accepted","Iridaceae","Babiana","","purpurea","","","(Jacq.) Ker Gawl.","kew-326754","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Babiana pygmaea","Babiana","","pygmaea",NA,NA,"","","kew-326755",TRUE,"1.1","Accepted","Iridaceae","Babiana","","pygmaea","","","(Burm.f.) Baker","kew-326755","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Babiana radiata","Babiana","","radiata",NA,NA,"","","kew-346072",TRUE,"1.1","Accepted","Iridaceae","Babiana","","radiata","","","Goldblatt & J.C.Manning","kew-346072","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Babiana regia","Babiana","","regia",NA,NA,"","","kew-330229",TRUE,"1.1","Accepted","Iridaceae","Babiana","","regia","","","(G.J.Lewis) Goldblatt & J.C.Manning","kew-330229","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Babiana rigidifolia","Babiana","","rigidifolia",NA,NA,"","","kew-346073",TRUE,"1.1","Accepted","Iridaceae","Babiana","","rigidifolia","","","Goldblatt & J.C.Manning","kew-346073","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Babiana ringens","Babiana","","ringens",NA,NA,"","","kew-326760",TRUE,"1.1","Accepted","Iridaceae","Babiana","","ringens","","","(L.) Ker Gawl.","kew-326760","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Babiana rubella","Babiana","","rubella",NA,NA,"","","kew-346074",TRUE,"1.1","Accepted","Iridaceae","Babiana","","rubella","","","Goldblatt & J.C.Manning","kew-346074","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Babiana rubrocyanea","Babiana","","rubrocyanea",NA,NA,"","","kew-326763",TRUE,"1.1","Accepted","Iridaceae","Babiana","","rubrocyanea","","","(Jacq.) Ker Gawl.","kew-326763","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Babiana salteri","Babiana","","salteri",NA,NA,"","","kew-326764",TRUE,"1.1","Accepted","Iridaceae","Babiana","","salteri","","","G.J.Lewis","kew-326764","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Babiana sambucina","Babiana","","sambucina",NA,NA,"","","kew-326765",TRUE,"1.1","Accepted","Iridaceae","Babiana","","sambucina","","","(Jacq.) Ker Gawl.","kew-326765","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Babiana scabrifolia","Babiana","","scabrifolia",NA,NA,"","","kew-326770",TRUE,"1.1","Accepted","Iridaceae","Babiana","","scabrifolia","","","Brehmer ex Klatt","kew-326770","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Babiana scariosa","Babiana","","scariosa",NA,NA,"","","kew-326773",TRUE,"1.1","Accepted","Iridaceae","Babiana","","scariosa","","","G.J.Lewis","kew-326773","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Babiana secunda","Babiana","","secunda",NA,NA,"","","kew-326776",TRUE,"1.1","Accepted","Iridaceae","Babiana","","secunda","","","(Thunb.) Ker Gawl.","kew-326776","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Babiana sinuata","Babiana","","sinuata",NA,NA,"","","kew-326777",TRUE,"1.1","Accepted","Iridaceae","Babiana","","sinuata","","","G.J.Lewis","kew-326777","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Babiana spathacea","Babiana","","spathacea",NA,NA,"","","kew-326779",TRUE,"1.1","Accepted","Iridaceae","Babiana","","spathacea","","","(L.f.) Ker Gawl.","kew-326779","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Babiana spiralis","Babiana","","spiralis",NA,NA,"","","kew-326780",TRUE,"1.1","Accepted","Iridaceae","Babiana","","spiralis","","","Baker","kew-326780","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Babiana striata","Babiana","","striata",NA,NA,"","","kew-326786",TRUE,"1.1","Accepted","Iridaceae","Babiana","","striata","","","(Jacq.) G.J.Lewis","kew-326786","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Babiana stricta","Babiana","","stricta",NA,NA,"","","kew-326788",TRUE,"1.1","Accepted","Iridaceae","Babiana","","stricta","","","(Aiton) Ker Gawl.","kew-326788","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Babiana symmetrantha","Babiana","","symmetrantha",NA,NA,"","","kew-372016",TRUE,"1.1","Accepted","Iridaceae","Babiana","","symmetrantha","","","Goldblatt & J.C.Manning","kew-372016","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Babiana tanquana","Babiana","","tanquana",NA,NA,"","","kew-346076",TRUE,"1.1","Accepted","Iridaceae","Babiana","","tanquana","","","J.C.Manning & Goldblatt","kew-346076","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Babiana teretifolia","Babiana","","teretifolia",NA,NA,"","","kew-468681",TRUE,"1.1","Accepted","Iridaceae","Babiana","","teretifolia","","","Goldblatt & J.C.Manning","kew-468681","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Babiana toximontana","Babiana","","toximontana",NA,NA,"","","kew-346077",TRUE,"1.1","Accepted","Iridaceae","Babiana","","toximontana","","","J.C.Manning & Goldblatt","kew-346077","Accepted",FALSE,FALSE,FALSE,2017-05-11
