"Bastardia bivalvis","Bastardia","","bivalvis",NA,NA,"","","kew-2670952",TRUE,"1.1","Accepted","Malvaceae","Bastardia","","bivalvis","","","(Cav.) Kunth","kew-2670952","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Bastardiastrum cinctum","Bastardiastrum","","cinctum",NA,NA,"","","kew-2670986",TRUE,"1.1","Accepted","Malvaceae","Bastardiastrum","","cinctum","","","(Brandegee) D.M.Bates","kew-2670986","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Bastardiopsis densiflora","Bastardiopsis","","densiflora",NA,NA,"","","kew-2670994",TRUE,"1.1","Accepted","Malvaceae","Bastardiopsis","","densiflora","","","(Hook. & Arn.) Hassl.","kew-2670994","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Bastardiopsis eggersii","Bastardiopsis","","eggersii",NA,NA,"","","kew-2670996",TRUE,"1.1","Accepted","Malvaceae","Bastardiopsis","","eggersii","","","(Baker f.) Fuertes & Fryxell","kew-2670996","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Batemannia colleyi","Batemannia","","colleyi",NA,NA,"","","kew-20082",TRUE,"1.1","Accepted","Orchidaceae","Batemannia","","colleyi","","","Lindl.","kew-20082","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Batemannia lepida","Batemannia","","lepida",NA,NA,"","","kew-20087",TRUE,"1.1","Accepted","Orchidaceae","Batemannia","","lepida","","","Rchb.f.","kew-20087","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Batesanthus purpureus","Batesanthus","","purpureus",NA,NA,"","","kew-2671027",TRUE,"1.1","Accepted","Apocynaceae","Batesanthus","","purpureus","","","N.E.Br.","kew-2671027","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Batesia floribunda","Batesia","","floribunda",NA,NA,"","","ild-20010",TRUE,"1.1","Accepted","Leguminosae","Batesia","","floribunda","","","Benth.","ild-20010","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Batesimalva violacea","Batesimalva","","violacea",NA,NA,"","","kew-2671035",TRUE,"1.1","Accepted","Malvaceae","Batesimalva","","violacea","","","(Rose) Fryxell","kew-2671035","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Bathiorhamnus cryptophorus","Bathiorhamnus","","cryptophorus",NA,NA,"","","kew-2671039",TRUE,"1.1","Accepted","Rhamnaceae","Bathiorhamnus","","cryptophorus","","","Capuron","kew-2671039","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Bathysa australis","Bathysa","","australis",NA,NA,"","","kew-20098",TRUE,"1.1","Accepted","Rubiaceae","Bathysa","","australis","","","(A.St.-Hil.) K.Schum.","kew-20098","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Bathysa bracteosa","Bathysa","","bracteosa",NA,NA,"","","kew-20100",TRUE,"1.1","Synonym","Rubiaceae","Schizocalyx","","bracteosa","","","Wedd.","kew-188093","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Bathysa cuspidata","Bathysa","","cuspidata",NA,NA,"","","kew-20101",TRUE,"1.1","Synonym","Rubiaceae","Schizocalyx","","cuspidatus","","","(A.St.-Hil.) Kainul. & B.Bremer","kew-468179","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Bathysa gymnocarpa","Bathysa","","gymnocarpa",NA,NA,"","","kew-20104",TRUE,"1.1","Accepted","Rubiaceae","Bathysa","","gymnocarpa","","","K.Schum.","kew-20104","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Bathysa obovata","Bathysa","","obovata",NA,NA,"","","kew-20109",TRUE,"1.1","Synonym","Rubiaceae","Schizocalyx","","obovatus","","","(K.Schum. ex Standl.) Kainul. & B.Bremer","kew-468169","Accepted",FALSE,FALSE,FALSE,2017-05-11
