"Belloa longifolia","Belloa","","longifolia",NA,NA,"","","gcc-52529",TRUE,"1.1","Synonym","Compositae","Luciliocline","","longifolia","","","(Cuatrec. & Aristeg.) M.O.Dillon & Sagást.","gcc-4247","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Belloa piptolepis","Belloa","","piptolepis",NA,NA,"","","gcc-26155",TRUE,"1.1","Accepted","Compositae","Belloa","","piptolepis","","","(Wedd.) Cabrera","gcc-26155","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Belloa plicatifolia","Belloa","","plicatifolia",NA,NA,"","","gcc-101178",TRUE,"1.1","Accepted","Compositae","Belloa","","plicatifolia","","","Sagást. & M.O.Dillon","gcc-101178","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Belloa punae","Belloa","","punae",NA,NA,"","","gcc-19628",TRUE,"1.1","Synonym","Compositae","Luciliocline","","subspicata","","","(Wedd.) Anderb. & S.E.Freire","gcc-40783","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Belloa santanica","Belloa","","santanica",NA,NA,"","","gcc-19529",TRUE,"1.1","Synonym","Compositae","Luciliocline","","santanica","","","(Cabrera) Anderb. & S.E.Freire","gcc-36939","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Belloa schultzii","Belloa","","schultzii",NA,NA,"","","gcc-81296",TRUE,"1.1","Accepted","Compositae","Belloa","","schultzii","","","(Wedd.) Cabrera","gcc-81296","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Belloa subspicata","Belloa","","subspicata",NA,NA,"","","gcc-114779",TRUE,"1.1","Synonym","Compositae","Luciliocline","","subspicata","","","(Wedd.) Anderb. & S.E.Freire","gcc-40783","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Belloa virescens","Belloa","","virescens",NA,NA,"","","gcc-81888",TRUE,"1.1","Synonym","Compositae","Belloa","","schultzii","","","(Wedd.) Cabrera","gcc-81296","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Bellonia aspera","Bellonia","","aspera",NA,NA,"","","kew-2672880",TRUE,"1.1","Accepted","Gesneriaceae","Bellonia","","aspera","","","L.","kew-2672880","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Bellonia spinosa","Bellonia","","spinosa",NA,NA,"","","kew-2672881",TRUE,"1.1","Accepted","Gesneriaceae","Bellonia","","spinosa","","","Sw.","kew-2672881","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Bellucia aequiloba","Bellucia","","aequiloba",NA,NA,"","","tro-20300358",TRUE,"1.1","Accepted","Melastomataceae","Bellucia","","aequiloba","","","Pilg.","tro-20300358","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Bellucia grossularioides","Bellucia","","grossularioides",NA,NA,"","","tro-20302605",TRUE,"1.1","Accepted","Melastomataceae","Bellucia","","grossularioides","","","(L.) Triana","tro-20302605","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Bellucia pentamera","Bellucia","","pentamera",NA,NA,"","","tro-20300363",TRUE,"1.1","Accepted","Melastomataceae","Bellucia","","pentamera","","","Naudin","tro-20300363","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Beloglottis costaricensis","Beloglottis","","costaricensis",NA,NA,"","","kew-20440",TRUE,"1.1","Accepted","Orchidaceae","Beloglottis","","costaricensis","","","(Rchb.f.) Schltr.","kew-20440","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Belonophora coriacea","Belonophora","","coriacea",NA,NA,"","","kew-20453",TRUE,"1.1","Accepted","Rubiaceae","Belonophora","","coriacea","","","Hoyle","kew-20453","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Belonophora talbotii","Belonophora","","talbotii",NA,NA,"","","kew-20460",TRUE,"1.1","Accepted","Rubiaceae","Belonophora","","talbotii","","","(Wernham) Keay","kew-20460","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Belonophora wernhamii","Belonophora","","wernhamii",NA,NA,"","","kew-20461",TRUE,"1.1","Accepted","Rubiaceae","Belonophora","","wernhamii","","","Hutch. & Dalziel","kew-20461","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Belosynapsis ciliata","Belosynapsis","","ciliata",NA,NA,"","","kew-221302",TRUE,"1.1","Accepted","Commelinaceae","Belosynapsis","","ciliata","","","(Blume) R.S.Rao","kew-221302","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Belosynapsis kewensis","Belosynapsis","","kewensis",NA,NA,"","","kew-221305",TRUE,"1.1","Accepted","Commelinaceae","Belosynapsis","","kewensis","","","Hassk.","kew-221305","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Bemangidia lowryi","Bemangidia","","lowryi",NA,NA,"","","",FALSE,"1.1","","","Bemangidia","","lowryi",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Bembicia axillaris","Bembicia","","axillaris",NA,NA,"","","kew-4673125",TRUE,"1.1","Accepted","Salicaceae","Bembicia","","axillaris","","","Oliv.","kew-4673125","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Bencomia brachystachya","Bencomia","","brachystachya",NA,NA,"","","rjp-3524",TRUE,"1.1","Unresolved","Rosaceae","Bencomia","","brachystachya","","","Svent.","rjp-3524","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Bencomia caudata","Bencomia","","caudata",NA,NA,"","","rjp-3525",TRUE,"1.1","Unresolved","Rosaceae","Bencomia","","caudata","","","(Aiton) Webb & Berthel.","rjp-3525","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Bencomia exstipulata","Bencomia","","exstipulata",NA,NA,"","","rjp-3526",TRUE,"1.1","Unresolved","Rosaceae","Bencomia","","exstipulata","","","Svent.","rjp-3526","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Bencomia moquiniana","Bencomia","","moquiniana",NA,NA,"","","rjp-14212",TRUE,"1.1","Unresolved","Rosaceae","Bencomia","","moquiniana","","","Webb & Berthel.","rjp-14212","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Bencomia sphaerocarpa","Bencomia","","sphaerocarpa",NA,NA,"","","rjp-3528",TRUE,"1.1","Unresolved","Rosaceae","Bencomia","","sphaerocarpa","","","Svent.","rjp-3528","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Benincasa fistulosa","Benincasa","","fistulosa",NA,NA,"","","kew-2903249",TRUE,"1.1","Unresolved","Cucurbitaceae","Benincasa","","fistulosa","","","(Stocks) H.Schaef. & S.S.Renner","kew-2903249","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Benincasa hispida","Benincasa","","hispida",NA,NA,"","","kew-2673135",TRUE,"1.1","Accepted","Cucurbitaceae","Benincasa","","hispida","","","(Thunb.) Cogn.","kew-2673135","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Benitoa occidentalis","Benitoa","","occidentalis",NA,NA,"","","gcc-142998",TRUE,"1.1","Accepted","Compositae","Benitoa","","occidentalis","","","(H.M.Hall) D.D.Keck","gcc-142998","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Benitotania elimbata","Benitotania","","elimbata",NA,NA,"","","tro-35214039",TRUE,"1.1","Accepted","Daltoniaceae","Benitotania","","elimbata","","","H. Akiy., T. Yamag. & Suleiman","tro-35214039","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Benkara armigera","Benkara","","armigera",NA,NA,"","","kew-372254",TRUE,"1.1","Accepted","Rubiaceae","Benkara","","armigera","","","(K.Schum.) Ridsdale","kew-372254","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Benkara malabarica","Benkara","","malabarica",NA,NA,"","","kew-20482",TRUE,"1.1","Accepted","Rubiaceae","Benkara","","malabarica","","","(Lam.) Tirveng.","kew-20482","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Benkara scandens","Benkara","","scandens",NA,NA,"","","kew-372271",TRUE,"1.1","Accepted","Rubiaceae","Benkara","","scandens","","","(Thunb.) Ridsdale","kew-372271","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Benkara sinensis","Benkara","","sinensis",NA,NA,"","","kew-375158",TRUE,"1.1","Accepted","Rubiaceae","Benkara","","sinensis","","","(Lour.) Ridsdale","kew-375158","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Bennettiodendron leprosipes","Bennettiodendron","","leprosipes",NA,NA,"","","kew-4673160",TRUE,"1.1","Accepted","Salicaceae","Bennettiodendron","","leprosipes","","","(Clos) Merr.","kew-4673160","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Bensoniella oregona","Bensoniella","","oregona",NA,NA,"","","kew-2673177",TRUE,"1.1","Accepted","Saxifragaceae","Bensoniella","","oregona","","","(Abrams & Bacig.) Morton","kew-2673177","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Benstonea affinis","Benstonea","","affinis",NA,NA,"","","",FALSE,"1.1","","","Benstonea","","affinis",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Benstonea ashtonii","Benstonea","","ashtonii",NA,NA,"","","",FALSE,"1.1","","","Benstonea","","ashtonii",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Benstonea atrocarpa","Benstonea","","atrocarpa",NA,NA,"","","",FALSE,"1.1","","","Benstonea","","atrocarpa",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Benstonea copelandii","Benstonea","","copelandii",NA,NA,"","","",FALSE,"1.1","","","Benstonea","","copelandii",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Benstonea foetida","Benstonea","","foetida",NA,NA,"","","",FALSE,"1.1","","","Benstonea","","foetida",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Benstonea gibbsiana","Benstonea","","gibbsiana",NA,NA,"","","",FALSE,"1.1","","","Benstonea","","gibbsiana",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Benstonea lauterbachii","Benstonea","","lauterbachii",NA,NA,"","","",FALSE,"1.1","","","Benstonea","","lauterbachii",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Benstonea monticola","Benstonea","","monticola",NA,NA,"","","",FALSE,"1.1","","","Benstonea","","monticola",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Benstonea pilaris","Benstonea","","pilaris",NA,NA,"","","",FALSE,"1.1","","","Benstonea","","pilaris",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Benstonea thurstonii","Benstonea","","thurstonii",NA,NA,"","","",FALSE,"1.1","","","Benstonea","","thurstonii",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Benstonea thwaitesii","Benstonea","","thwaitesii",NA,NA,"","","",FALSE,"1.1","","","Benstonea","","thwaitesii",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Benthamia latifolia","Benthamia","","latifolia",NA,NA,"","","kew-20543",TRUE,"1.1","Synonym","Orchidaceae","Benthamia","","chlorantha","","","(Spreng.) Garay & G.A.Romero","kew-20514","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Benthamiella azorella","Benthamiella","","azorella",NA,NA,"","","kew-2673220",TRUE,"1.1","Accepted","Solanaceae","Benthamiella","","azorella","","","(Skottsb.) C.Soriano","kew-2673220","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Benthamiella patagonica","Benthamiella","","patagonica",NA,NA,"","","kew-2673229",TRUE,"1.1","Accepted","Solanaceae","Benthamiella","","patagonica","","","Speg.","kew-2673229","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Benthamina alyxifolia","Benthamina","","alyxifolia",NA,NA,"","","kew-2673235",TRUE,"1.1","Accepted","Loranthaceae","Benthamina","","alyxifolia","","","(Benth.) Tiegh.","kew-2673235","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Bentinckia condapanna","Bentinckia","","condapanna",NA,NA,"","","kew-20602",TRUE,"1.1","Accepted","Arecaceae","Bentinckia","","condapanna","","","Berry ex Roxb.","kew-20602","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Bentinckia nicobarica","Bentinckia","","nicobarica",NA,NA,"","","kew-20603",TRUE,"1.1","Accepted","Arecaceae","Bentinckia","","nicobarica","","","(Kurz) Becc.","kew-20603","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Bentleya spinescens","Bentleya","","spinescens",NA,NA,"","","kew-2673241",TRUE,"1.1","Accepted","Pittosporaceae","Bentleya","","spinescens","","","E.M.Benn.","kew-2673241","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Benzingia caudata","Benzingia","","caudata",NA,NA,"","","kew-330260",TRUE,"1.1","Accepted","Orchidaceae","Benzingia","","caudata","","","(Ackerman) Dressler","kew-330260","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Benzingia cornuta","Benzingia","","cornuta",NA,NA,"","","kew-330261",TRUE,"1.1","Accepted","Orchidaceae","Benzingia","","cornuta","","","(Garay) Dressler","kew-330261","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Benzingia estradae","Benzingia","","estradae",NA,NA,"","","kew-20610",TRUE,"1.1","Accepted","Orchidaceae","Benzingia","","estradae","","","(Dodson) Dodson","kew-20610","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Benzingia hajekii","Benzingia","","hajekii",NA,NA,"","","kew-330262",TRUE,"1.1","Accepted","Orchidaceae","Benzingia","","hajekii","","","(D.E.Benn. & Christenson) Dressler","kew-330262","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Benzingia hirtzii","Benzingia","","hirtzii",NA,NA,"","","kew-20611",TRUE,"1.1","Accepted","Orchidaceae","Benzingia","","hirtzii","","","Dodson","kew-20611","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Benzingia reichenbachiana","Benzingia","","reichenbachiana",NA,NA,"","","kew-330265",TRUE,"1.1","Accepted","Orchidaceae","Benzingia","","reichenbachiana","","","(Schltr.) Dressler","kew-330265","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Berardia subacaulis","Berardia","","subacaulis",NA,NA,"","","gcc-139765",TRUE,"1.1","Synonym","Compositae","Berardia","","lanuginosa","","","(Lam.) Fiori & Paol.","gcc-16091","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Berberidopsis beckleri","Berberidopsis","","beckleri",NA,NA,"","","kew-2673357",TRUE,"1.1","Accepted","Berberidopsidaceae","Berberidopsis","","beckleri","","","(F.Muell.) Veldkamp","kew-2673357","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Berberidopsis corallina","Berberidopsis","","corallina",NA,NA,"","","kew-2673358",TRUE,"1.1","Accepted","Berberidopsidaceae","Berberidopsis","","corallina","","","Hook.f.","kew-2673358","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Berberis actinacantha","Berberis","","actinacantha",NA,NA,"","","kew-2673364",TRUE,"1.1","Accepted","Berberidaceae","Berberis","","actinacantha","","","Mart. ex Schult. & Schult.f.","kew-2673364","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Berberis aetnensis","Berberis","","aetnensis",NA,NA,"","","kew-2673377",TRUE,"1.1","Accepted","Berberidaceae","Berberis","","aetnensis","","","C.Presl","kew-2673377","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Berberis alpicola","Berberis","","alpicola",NA,NA,"","","kew-2673394",TRUE,"1.1","Accepted","Berberidaceae","Berberis","","alpicola","","","C.K.Schneid.","kew-2673394","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Berberis amurensis","Berberis","","amurensis",NA,NA,"","","kew-2673404",TRUE,"1.1","Accepted","Berberidaceae","Berberis","","amurensis","","","Rupr.","kew-2673404","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Berberis angulosa","Berberis","","angulosa",NA,NA,"","","kew-2673413",TRUE,"1.1","Accepted","Berberidaceae","Berberis","","angulosa","","","Wall. ex Hook.f. & Thomson","kew-2673413","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Berberis aquifolium","Berberis","","aquifolium",NA,NA,"","","kew-2673426",TRUE,"1.1","Accepted","Berberidaceae","Berberis","","aquifolium","","","Pursh","kew-2673426","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Berberis aristata","Berberis","","aristata",NA,NA,"","","kew-2673438",TRUE,"1.1","Accepted","Berberidaceae","Berberis","","aristata","","","DC.","kew-2673438","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Berberis aristatoserrulata","Berberis","","aristatoserrulata",NA,NA,"","","kew-2673441",TRUE,"1.1","Accepted","Berberidaceae","Berberis","","aristatoserrulata","","","Hayata","kew-2673441","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Berberis asiatica","Berberis","","asiatica",NA,NA,"","","kew-2673446",TRUE,"1.1","Accepted","Berberidaceae","Berberis","","asiatica","","","Roxb. ex DC.","kew-2673446","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Berberis atrocarpa","Berberis","","atrocarpa",NA,NA,"","","kew-2673452",TRUE,"1.1","Accepted","Berberidaceae","Berberis","","atrocarpa","","","C.K.Schneid.","kew-2673452","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Berberis barandana","Berberis","","barandana",NA,NA,"","","kew-2673467",TRUE,"1.1","Accepted","Berberidaceae","Berberis","","barandana","","","S.Vidal","kew-2673467","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Berberis bealei","Berberis","","bealei",NA,NA,"","","kew-2673471",TRUE,"1.1","Synonym","Berberidaceae","Mahonia","","bealei","","","(Fortune) Pynaert","kew-2358481","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Berberis bergmanniae","Berberis","","bergmanniae",NA,NA,"","","kew-2673483",TRUE,"1.1","Accepted","Berberidaceae","Berberis","","bergmanniae","","","C.K.Schneid.","kew-2673483","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Berberis bidentata","Berberis","","bidentata",NA,NA,"","","tro-3500207",TRUE,"1.1","Unresolved","Berberidaceae","Berberis","","bidentata","","","Lechler","tro-3500207","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Berberis bodinieri","Berberis","","bodinieri",NA,NA,"","","kew-2673490",TRUE,"1.1","Accepted","Berberidaceae","Berberis","","bodinieri","","","H.Lév.","kew-2673490","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Berberis brachypoda","Berberis","","brachypoda",NA,NA,"","","kew-2673502",TRUE,"1.1","Accepted","Berberidaceae","Berberis","","brachypoda","","","Maxim.","kew-2673502","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Berberis brevisepala","Berberis","","brevisepala",NA,NA,"","","kew-2673517",TRUE,"1.1","Synonym","Berberidaceae","Berberis","","kawakamii","","","Hayata","kew-2674004","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Berberis buxifolia","Berberis","","buxifolia",NA,NA,"","","kew-2673528",TRUE,"1.1","Synonym","Berberidaceae","Berberis","","microphylla","","","G.Forst.","kew-2674137","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Berberis cabrerae","Berberis","","cabrerae",NA,NA,"","","kew-2673541",TRUE,"1.1","Accepted","Berberidaceae","Berberis","","cabrerae","","","Job","kew-2673541","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Berberis calamicaulis","Berberis","","calamicaulis",NA,NA,"","","kew-2673544",TRUE,"1.1","Synonym","Berberidaceae","Mahonia","","calamicaulis","","","Spare & C.E.C.Fisch.","kew-2358373","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Berberis canadensis","Berberis","","canadensis",NA,NA,"","","kew-2673552",TRUE,"1.1","Accepted","Berberidaceae","Berberis","","canadensis","","","Mill.","kew-2673552","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Berberis candidula","Berberis","","candidula",NA,NA,"","","kew-2673554",TRUE,"1.1","Accepted","Berberidaceae","Berberis","","candidula","","","(C.K.Schneid.) C.K.Schneid.","kew-2673554","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Berberis cavaleriei","Berberis","","cavaleriei",NA,NA,"","","kew-2673568",TRUE,"1.1","Accepted","Berberidaceae","Berberis","","cavaleriei","","","H.Lév.","kew-2673568","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Berberis chilensis","Berberis","","chilensis",NA,NA,"","","kew-2673579",TRUE,"1.1","Accepted","Berberidaceae","Berberis","","chilensis","","","Gillet","kew-2673579","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Berberis chingii","Berberis","","chingii",NA,NA,"","","kew-2673591",TRUE,"1.1","Accepted","Berberidaceae","Berberis","","chingii","","","C.Y.Cheng","kew-2673591","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Berberis chingshuiensis","Berberis","","chingshuiensis",NA,NA,"","","kew-2673594",TRUE,"1.1","Accepted","Berberidaceae","Berberis","","chingshuiensis","","","Shimizu","kew-2673594","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Berberis chitria","Berberis","","chitria",NA,NA,"","","kew-2673596",TRUE,"1.1","Accepted","Berberidaceae","Berberis","","chitria","","","Buch.-Ham. ex Lindl.","kew-2673596","Accepted",FALSE,FALSE,FALSE,2017-05-11
