"Blennodia pterosperma","Blennodia","","pterosperma",NA,NA,"","","kew-2677240",TRUE,"1.1","Accepted","Brassicaceae","Blennodia","","pterosperma","","","(J.M.Black) J.M.Black","kew-2677240","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Blennosperma nanum","Blennosperma","","nanum",NA,NA,"","","gcc-11446",TRUE,"1.1","Accepted","Compositae","Blennosperma","","nanum","","","(Hook.) S.F.Blake","gcc-11446","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Blennospora drummondii","Blennospora","","drummondii",NA,NA,"","","gcc-117903",TRUE,"1.1","Accepted","Compositae","Blennospora","","drummondii","","","(A.Br.) A.Gray","gcc-117903","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Blepharandra fimbriata","Blepharandra","","fimbriata",NA,NA,"","","kew-2677257",TRUE,"1.1","Accepted","Malpighiaceae","Blepharandra","","fimbriata","","","MacBryde","kew-2677257","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Blepharandra heteropetala","Blepharandra","","heteropetala",NA,NA,"","","kew-2677258",TRUE,"1.1","Accepted","Malpighiaceae","Blepharandra","","heteropetala","","","W.R.Anderson","kew-2677258","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Blepharandra hypoleuca","Blepharandra","","hypoleuca",NA,NA,"","","kew-2677259",TRUE,"1.1","Accepted","Malpighiaceae","Blepharandra","","hypoleuca","","","(Benth.) Griseb.","kew-2677259","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Blepharidachne benthamiana","Blepharidachne","","benthamiana",NA,NA,"","","kew-399241",TRUE,"1.1","Accepted","Poaceae","Blepharidachne","","benthamiana","","","(Hack.) Hitchc.","kew-399241","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Blepharidachne bigelovii","Blepharidachne","","bigelovii",NA,NA,"","","kew-399242",TRUE,"1.1","Accepted","Poaceae","Blepharidachne","","bigelovii","","","(S.Watson) Hack.","kew-399242","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Blepharidachne kingii","Blepharidachne","","kingii",NA,NA,"","","kew-399244",TRUE,"1.1","Accepted","Poaceae","Blepharidachne","","kingii","","","(S.Watson) Hack.","kew-399244","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Blepharidium guatemalense","Blepharidium","","guatemalense",NA,NA,"","","kew-22356",TRUE,"1.1","Accepted","Rubiaceae","Blepharidium","","guatemalense","","","Standl.","kew-22356","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Blepharidophyllum densifolium","Blepharidophyllum","","densifolium",NA,NA,"","","tro-35208279",TRUE,"1.1","Accepted","Scapaniaceae","Blepharidophyllum","","densifolium","","","(Hook.) Ångström ex C. Massal.","tro-35208279","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Blepharidophyllum vertebrale","Blepharidophyllum","","vertebrale",NA,NA,"","","",FALSE,"1.1","","","Blepharidophyllum","","vertebrale",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Blepharipappus scaber","Blepharipappus","","scaber",NA,NA,"","","gcc-121633",TRUE,"1.1","Accepted","Compositae","Blepharipappus","","scaber","","","Hook.","gcc-121633","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Blepharis acuminata","Blepharis","","acuminata",NA,NA,"","","kew-2677274",TRUE,"1.1","Accepted","Acanthaceae","Blepharis","","acuminata","","","Oberm.","kew-2677274","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Blepharis aspera","Blepharis","","aspera",NA,NA,"","","kew-2677279",TRUE,"1.1","Accepted","Acanthaceae","Blepharis","","aspera","","","Oberm.","kew-2677279","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Blepharis asteracanthus","Blepharis","","asteracanthus",NA,NA,"","","kew-2677281",TRUE,"1.1","Accepted","Acanthaceae","Blepharis","","asteracantha","","","C.B.Clarke","kew-2677281","Accepted",TRUE,FALSE,FALSE,2017-05-11
