"Bouteloua nervata","Bouteloua","","nervata",NA,NA,"","","kew-399485",TRUE,"1.1","Synonym","Poaceae","Buchlomimus","","nervatus","","","(Swallen) Reeder, C.Reeder & Rzed.","kew-402270","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Bouteloua parryi","Bouteloua","","parryi",NA,NA,"","","kew-399495",TRUE,"1.1","Synonym","Poaceae","Chondrosum","","parryi","","","E.Fourn.","kew-405019","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Bouteloua pedicellata","Bouteloua","","pedicellata",NA,NA,"","","kew-399498",TRUE,"1.1","Accepted","Poaceae","Bouteloua","","pedicellata","","","Swallen","kew-399498","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Bouteloua polymorpha","Bouteloua","","polymorpha",NA,NA,"","","kew-399502",TRUE,"1.1","Synonym","Poaceae","Pentarrhaphis","","polymorpha","","","(E.Fourn.) Griffiths","kew-433119","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Bouteloua purpurea","Bouteloua","","purpurea",NA,NA,"","","kew-399513",TRUE,"1.1","Accepted","Poaceae","Bouteloua","","purpurea","","","Gould & Kapadia","kew-399513","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Bouteloua radicosa","Bouteloua","","radicosa",NA,NA,"","","kew-399518",TRUE,"1.1","Accepted","Poaceae","Bouteloua","","radicosa","","","(E.Fourn.) Griffiths","kew-399518","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Bouteloua ramosa","Bouteloua","","ramosa",NA,NA,"","","tro-25510764",TRUE,"1.1","Accepted","Poaceae","Bouteloua","","ramosa","","","Scribn. ex Vasey","tro-25510764","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Bouteloua reflexa","Bouteloua","","reflexa",NA,NA,"","","kew-399522",TRUE,"1.1","Accepted","Poaceae","Bouteloua","","reflexa","","","Swallen","kew-399522","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Bouteloua repens","Bouteloua","","repens",NA,NA,"","","kew-399523",TRUE,"1.1","Accepted","Poaceae","Bouteloua","","repens","","","(Kunth) Scribn. & Merr.","kew-399523","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Bouteloua rigidiseta","Bouteloua","","rigidiseta",NA,NA,"","","kew-399524",TRUE,"1.1","Accepted","Poaceae","Bouteloua","","rigidiseta","","","(Steud.) Hitchc.","kew-399524","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Bouteloua scabra","Bouteloua","","scabra",NA,NA,"","","kew-399527",TRUE,"1.1","Synonym","Poaceae","Pentarrhaphis","","scabra","","","Kunth","kew-433120","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Bouteloua scorpioides","Bouteloua","","scorpioides",NA,NA,"","","kew-399528",TRUE,"1.1","Synonym","Poaceae","Chondrosum","","scorpioides","","","(Lag.) Kunth","kew-405025","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Bouteloua simplex","Bouteloua","","simplex",NA,NA,"","","kew-399529",TRUE,"1.1","Synonym","Poaceae","Chondrosum","","simplex","","","(Lag.) Kunth","kew-405026","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Bouteloua stolonifera","Bouteloua","","stolonifera",NA,NA,"","","kew-399533",TRUE,"1.1","Synonym","Poaceae","Cyclostachya","","stolonifera","","","(Scribn.) Reeder & C.Reeder","kew-406092","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Bouteloua swallenii","Bouteloua","","swallenii",NA,NA,"","","kew-399535",TRUE,"1.1","Synonym","Poaceae","Pentarrhaphis","","annua","","","Swallen","kew-433115","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Bouteloua tamaulipensis","Bouteloua","","tamaulipensis",NA,NA,"","","kew-456643",TRUE,"1.1","Unresolved","Poaceae","Bouteloua","","tamaulipensis","","","G.J.Pierce ex D.L.Pacheco & Columbus","kew-456643","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Bouteloua triaena","Bouteloua","","triaena",NA,NA,"","","kew-399539",TRUE,"1.1","Accepted","Poaceae","Bouteloua","","triaena","","","(Trin.) Scribn.","kew-399539","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Bouteloua trifida","Bouteloua","","trifida",NA,NA,"","","kew-399541",TRUE,"1.1","Synonym","Poaceae","Chondrosum","","trifidum","","","(Thurb.) Clayton","kew-405030","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Bouteloua uniflora","Bouteloua","","uniflora",NA,NA,"","","kew-399544",TRUE,"1.1","Accepted","Poaceae","Bouteloua","","uniflora","","","Vasey","kew-399544","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Bouteloua vaneedenii","Bouteloua","","vaneedenii",NA,NA,"","","kew-399546",TRUE,"1.1","Accepted","Poaceae","Bouteloua","","vaneedenii","","","Pilg.","kew-399546","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Bouteloua varia","Bouteloua","","varia",NA,NA,"","","kew-399547",TRUE,"1.1","Synonym","Poaceae","Cathestecum","","varium","","","Swallen","kew-403858","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Bouteloua warnockii","Bouteloua","","warnockii",NA,NA,"","","kew-399549",TRUE,"1.1","Accepted","Poaceae","Bouteloua","","warnockii","","","Gould & Kapadia","kew-399549","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Bouteloua williamsii","Bouteloua","","williamsii",NA,NA,"","","kew-399550",TRUE,"1.1","Accepted","Poaceae","Bouteloua","","williamsii","","","Swallen","kew-399550","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Bouvardia ternifolia","Bouvardia","","ternifolia",NA,NA,"","","kew-23672",TRUE,"1.1","Accepted","Rubiaceae","Bouvardia","","ternifolia","","","(Cav.) Schltdl.","kew-23672","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Bowdichia nitida","Bowdichia","","nitida",NA,NA,"","","ild-10926",TRUE,"1.1","Accepted","Leguminosae","Bowdichia","","nitida","","","Benth.","ild-10926","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Bowdichia virgilioides","Bowdichia","","virgilioides",NA,NA,"","","ild-10927",TRUE,"1.1","Accepted","Leguminosae","Bowdichia","","virgilioides","","","Kunth","ild-10927","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Bowenia serrulata","Bowenia","","serrulata",NA,NA,"","","kew-2680957",TRUE,"1.1","Accepted","Zamiaceae","Bowenia","","serrulata","","","(W.Bull) Chamb.","kew-2680957","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Bowenia spectabilis","Bowenia","","spectabilis",NA,NA,"","","kew-2680958",TRUE,"1.1","Accepted","Zamiaceae","Bowenia","","spectabilis","","","Hook.","kew-2680958","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Bowiea volubilis","Bowiea","","volubilis",NA,NA,"","","kew-300998",TRUE,"1.1","Accepted","Asparagaceae","Bowiea","","volubilis","","","Harv.","kew-300998","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Bowkeria cymosa","Bowkeria","","cymosa",NA,NA,"","","kew-2680964",TRUE,"1.1","Accepted","Stilbaceae","Bowkeria","","cymosa","","","MacOwan","kew-2680964","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Bowkeria verticillata","Bowkeria","","verticillata",NA,NA,"","","kew-2680970",TRUE,"1.1","Accepted","Stilbaceae","Bowkeria","","verticillata","","","(Eckl. & Zeyh.) Druce","kew-2680970","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Bowlesia flabilis","Bowlesia","","flabilis",NA,NA,"","","kew-2680990",TRUE,"1.1","Accepted","Apiaceae","Bowlesia","","flabilis","","","J.F.Macbr.","kew-2680990","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Bowlesia incana","Bowlesia","","incana",NA,NA,"","","kew-2680996",TRUE,"1.1","Accepted","Apiaceae","Bowlesia","","incana","","","Ruiz & Pav.","kew-2680996","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Bowlesia lobata","Bowlesia","","lobata",NA,NA,"","","kew-2681000",TRUE,"1.1","Accepted","Apiaceae","Bowlesia","","lobata","","","Ruiz & Pav.","kew-2681000","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Bowlesia palmata","Bowlesia","","palmata",NA,NA,"","","kew-2681012",TRUE,"1.1","Accepted","Apiaceae","Bowlesia","","palmata","","","Ruiz & Pav.","kew-2681012","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Bowlesia platanifolia","Bowlesia","","platanifolia",NA,NA,"","","kew-2681016",TRUE,"1.1","Accepted","Apiaceae","Bowlesia","","platanifolia","","","H.Wolff","kew-2681016","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Bowlesia tropaeolifolia","Bowlesia","","tropaeolifolia",NA,NA,"","","kew-2681033",TRUE,"1.1","Accepted","Apiaceae","Bowlesia","","tropaeolifolia","","","Gillet & Hook.","kew-2681033","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Bowlesia uncinata","Bowlesia","","uncinata",NA,NA,"","","kew-2681039",TRUE,"1.1","Accepted","Apiaceae","Bowlesia","","uncinata","","","Colla","kew-2681039","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Bowringia callicarpa","Bowringia","","callicarpa",NA,NA,"","","tro-13048975",TRUE,"1.1","Accepted","Leguminosae","Bowringia","","callicarpa","","","Champ. ex Benth.","tro-13048975","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Boyania colombiana","Boyania","","colombiana",NA,NA,"","","tro-100366062",TRUE,"1.1","Unresolved","Melastomataceae","Boyania","","colombiana","","","Humberto Mend.","tro-100366062","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Boykinia aconitifolia","Boykinia","","aconitifolia",NA,NA,"","","kew-2681047",TRUE,"1.1","Accepted","Saxifragaceae","Boykinia","","aconitifolia","","","Nutt.","kew-2681047","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Boykinia intermedia","Boykinia","","intermedia",NA,NA,"","","kew-2681051",TRUE,"1.1","Accepted","Saxifragaceae","Boykinia","","intermedia","","","(A.Heller) G.N.Jones","kew-2681051","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Boykinia lycoctonifolia","Boykinia","","lycoctonifolia",NA,NA,"","","kew-2681054",TRUE,"1.1","Accepted","Saxifragaceae","Boykinia","","lycoctonifolia","","","(Maxim.) Engl.","kew-2681054","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Boykinia major","Boykinia","","major",NA,NA,"","","kew-2681055",TRUE,"1.1","Accepted","Saxifragaceae","Boykinia","","major","","","A.Gray","kew-2681055","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Boykinia occidentalis","Boykinia","","occidentalis",NA,NA,"","","kew-2681058",TRUE,"1.1","Accepted","Saxifragaceae","Boykinia","","occidentalis","","","Torr. & A.Gray","kew-2681058","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Boykinia richardsonii","Boykinia","","richardsonii",NA,NA,"","","kew-2681063",TRUE,"1.1","Accepted","Saxifragaceae","Boykinia","","richardsonii","","","(Hook.) A.Gray ex B.D.Jacks.","kew-2681063","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Boykinia rotundifolia","Boykinia","","rotundifolia",NA,NA,"","","kew-2681064",TRUE,"1.1","Accepted","Saxifragaceae","Boykinia","","rotundifolia","","","Parry ex A.Gray","kew-2681064","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Brabejum stellatifolium","Brabejum","","stellatifolium",NA,NA,"","","kew-2681083",TRUE,"1.1","Accepted","Proteaceae","Brabejum","","stellatifolium","","","L.","kew-2681083","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Brachanthemum titovii","Brachanthemum","","titovii",NA,NA,"","","gcc-129539",TRUE,"1.1","Accepted","Compositae","Brachanthemum","","titovii","","","Krasch.","gcc-129539","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Brachelyma subulatum","Brachelyma","","subulatum",NA,NA,"","","tro-35113876",TRUE,"1.1","Accepted","Fontinalaceae","Brachelyma","","subulatum","","","(P. Beauv.) Cardot","tro-35113876","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Brachiaria bemarivensis","Brachiaria","","bemarivensis",NA,NA,"","","kew-399570",TRUE,"1.1","Accepted","Poaceae","Brachiaria","","bemarivensis","","","A.Camus","kew-399570","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Brachiaria comorensis","Brachiaria","","comorensis",NA,NA,"","","kew-399594",TRUE,"1.1","Synonym","Poaceae","Panicum","","comorense","","","Mez","kew-427792","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Brachiaria deflexa","Brachiaria","","deflexa",NA,NA,"","","kew-399600",TRUE,"1.1","Accepted","Poaceae","Brachiaria","","deflexa","","","(Schumach.) C.E.Hubb. ex Robyns","kew-399600","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Brachiaria dimorpha","Brachiaria","","dimorpha",NA,NA,"","","kew-399605",TRUE,"1.1","Accepted","Poaceae","Brachiaria","","dimorpha","","","A.Camus","kew-399605","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Brachiaria epacridifolia","Brachiaria","","epacridifolia",NA,NA,"","","kew-399613",TRUE,"1.1","Accepted","Poaceae","Brachiaria","","epacridifolia","","","(Stapf) A.Camus","kew-399613","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Brachiaria fragrans","Brachiaria","","fragrans",NA,NA,"","","kew-399625",TRUE,"1.1","Accepted","Poaceae","Brachiaria","","fragrans","","","A.Camus","kew-399625","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Brachiaria hubbardii","Brachiaria","","hubbardii",NA,NA,"","","kew-399645",TRUE,"1.1","Synonym","Poaceae","Acroceras","","hubbardii","","","(A.Camus) Clayton","kew-387389","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Brachiaria humbertiana","Brachiaria","","humbertiana",NA,NA,"","","kew-399647",TRUE,"1.1","Accepted","Poaceae","Brachiaria","","humbertiana","","","A.Camus","kew-399647","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Brachiaria hybrid","Brachiaria","","hybrid",NA,NA,"","","kew-399649",TRUE,"1.1","Synonym","Poaceae","Brachiaria","","subquadripara","","","(Trin.) Hitchc.","kew-399763","Accepted",TRUE,FALSE,FALSE,2017-05-11
"Brachiaria longiflora","Brachiaria","","longiflora",NA,NA,"","","kew-399672",TRUE,"1.1","Accepted","Poaceae","Brachiaria","","longiflora","","","Clayton","kew-399672","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Brachiaria pseudodichotoma","Brachiaria","","pseudodichotoma",NA,NA,"","","kew-399719",TRUE,"1.1","Accepted","Poaceae","Brachiaria","","pseudodichotoma","","","Bosser","kew-399719","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Brachiaria serrata","Brachiaria","","serrata",NA,NA,"","","kew-399749",TRUE,"1.1","Accepted","Poaceae","Brachiaria","","serrata","","","(Thunb.) Stapf","kew-399749","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Brachiaria tsiafajavonensis","Brachiaria","","tsiafajavonensis",NA,NA,"","","kew-399775",TRUE,"1.1","Accepted","Poaceae","Brachiaria","","tsiafajavonensis","","","A.Camus","kew-399775","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Brachiaria umbellata","Brachiaria","","umbellata",NA,NA,"","","kew-399778",TRUE,"1.1","Accepted","Poaceae","Brachiaria","","umbellata","","","(Trin.) Clayton","kew-399778","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Brachiolejeunea laxifolia","Brachiolejeunea","","laxifolia",NA,NA,"","","tro-35187288",TRUE,"1.1","Accepted","Lejeuneaceae","Brachiolejeunea","","laxifolia","","","(Taylor) Schiffner","tro-35187288","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Brachionidium valerioi","Brachionidium","","valerioi",NA,NA,"","","kew-23769",TRUE,"1.1","Accepted","Orchidaceae","Brachionidium","","valerioi","","","Ames & C.Schweinf.","kew-23769","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Brachistus stramoniifolius","Brachistus","","stramoniifolius",NA,NA,"","","kew-2681147",TRUE,"1.1","Accepted","Solanaceae","Brachistus","","stramoniifolius","","","(Kunth) Miers","kew-2681147","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Brachyachne fibrosa","Brachyachne","","fibrosa",NA,NA,"","","kew-399801",TRUE,"1.1","Synonym","Poaceae","Brachyachne","","fulva","","","Stapf","kew-399802","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Brachycereus nesioticus","Brachycereus","","nesioticus",NA,NA,"","","kew-2681173",TRUE,"1.1","Accepted","Cactaceae","Brachycereus","","nesioticus","","","(K.Schum. ex B.L.Rob.) Backeb.","kew-2681173","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Brachychiton acerifolius","Brachychiton","","acerifolius",NA,NA,"","","kew-2681178",TRUE,"1.1","Accepted","Malvaceae","Brachychiton","","acerifolius","","","(A.Cunn. ex G.Don) F.Muell.","kew-2681178","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Brachychiton australis","Brachychiton","","australis",NA,NA,"","","kew-2681185",TRUE,"1.1","Accepted","Malvaceae","Brachychiton","","australis","","","(Schott & Endl.) A.Terracc.","kew-2681185","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Brachychiton bidwillii","Brachychiton","","bidwillii",NA,NA,"","","kew-2681189",TRUE,"1.1","Accepted","Malvaceae","Brachychiton","","bidwillii","","","Hook.","kew-2681189","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Brachychiton discolor","Brachychiton","","discolor",NA,NA,"","","kew-2681196",TRUE,"1.1","Accepted","Malvaceae","Brachychiton","","discolor","","","F.Muell.","kew-2681196","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Brachychiton populneus","Brachychiton","","populneus",NA,NA,"","","kew-2681224",TRUE,"1.1","Accepted","Malvaceae","Brachychiton","","populneus","","","(Schott & Endl.) R.Br.","kew-2681224","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Brachychiton rupestris","Brachychiton","","rupestris",NA,NA,"","","kew-2681229",TRUE,"1.1","Accepted","Malvaceae","Brachychiton","","rupestris","","","(T.Mitch. ex Lindl.) K.Schum.","kew-2681229","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Brachychloa fragilis","Brachychloa","","fragilis",NA,NA,"","","kew-399811",TRUE,"1.1","Accepted","Poaceae","Brachychloa","","fragilis","","","S.M.Phillips","kew-399811","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Brachychloa schiemanniana","Brachychloa","","schiemanniana",NA,NA,"","","kew-399812",TRUE,"1.1","Accepted","Poaceae","Brachychloa","","schiemanniana","","","(Schweick.) S.M.Phillips","kew-399812","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Brachycorythis henryi","Brachycorythis","","henryi",NA,NA,"","","kew-23807",TRUE,"1.1","Accepted","Orchidaceae","Brachycorythis","","henryi","","","(Schltr.) Summerh.","kew-23807","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Brachycorythis kalbreyeri","Brachycorythis","","kalbreyeri",NA,NA,"","","kew-23813",TRUE,"1.1","Accepted","Orchidaceae","Brachycorythis","","kalbreyeri","","","Rchb.f.","kew-23813","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Brachycorythis macrantha","Brachycorythis","","macrantha",NA,NA,"","","kew-23822",TRUE,"1.1","Accepted","Orchidaceae","Brachycorythis","","macrantha","","","(Lindl.) Summerh.","kew-23822","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Brachycorythis neglecta","Brachycorythis","","neglecta",NA,NA,"","","kew-462486",TRUE,"1.1","Accepted","Orchidaceae","Brachycorythis","","neglecta","","","H.A.Pedersen","kew-462486","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Brachycorythis pubescens","Brachycorythis","","pubescens",NA,NA,"","","kew-23842",TRUE,"1.1","Accepted","Orchidaceae","Brachycorythis","","pubescens","","","Harv.","kew-23842","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Brachycylix vageleri","Brachycylix","","vageleri",NA,NA,"","","ild-10721",TRUE,"1.1","Accepted","Leguminosae","Brachycylix","","vageleri","","","(Harms) Cowan","ild-10721","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Brachydontium olympicum","Brachydontium","","olympicum",NA,NA,"","","tro-35183315",TRUE,"1.1","Accepted","Seligeriaceae","Brachydontium","","olympicum","","","(E. Britton) T.T. McIntosh & J.R. Spence","tro-35183315","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Brachydontium trichodes","Brachydontium","","trichodes",NA,NA,"","","tro-35113879",TRUE,"1.1","Accepted","Seligeriaceae","Brachydontium","","trichodes","","","(F. Weber) Fürnr.","tro-35113879","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Brachyelytrum erectum","Brachyelytrum","","erectum",NA,NA,"","","kew-399818",TRUE,"1.1","Accepted","Poaceae","Brachyelytrum","","erectum","","","(Schreb.) P.Beauv.","kew-399818","Accepted",FALSE,FALSE,FALSE,2017-05-11
