"Carex dispalata","Carex","","dispalata",NA,NA,"","","kew-226058",TRUE,"1.1","Accepted","Cyperaceae","Carex","","dispalata","","","Boott","kew-226058","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Carex disperma","Carex","","disperma",NA,NA,"","","kew-226066",TRUE,"1.1","Accepted","Cyperaceae","Carex","","disperma","","","Dewey","kew-226066","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Carex dissitiflora","Carex","","dissitiflora",NA,NA,"","","kew-226075",TRUE,"1.1","Accepted","Cyperaceae","Carex","","dissitiflora","","","Franch.","kew-226075","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Carex distachya","Carex","","distachya",NA,NA,"","","kew-226080",TRUE,"1.1","Accepted","Cyperaceae","Carex","","distachya","","","Desf.","kew-226080","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Carex distans","Carex","","distans",NA,NA,"","","kew-226085",TRUE,"1.1","Accepted","Cyperaceae","Carex","","distans","","","L.","kew-226085","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Carex disticha","Carex","","disticha",NA,NA,"","","kew-226102",TRUE,"1.1","Accepted","Cyperaceae","Carex","","disticha","","","Huds.","kew-226102","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Carex divisa","Carex","","divisa",NA,NA,"","","kew-226132",TRUE,"1.1","Accepted","Cyperaceae","Carex","","divisa","","","Huds.","kew-226132","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Carex divulsa","Carex","","divulsa",NA,NA,"","","kew-226143",TRUE,"1.1","Accepted","Cyperaceae","Carex","","divulsa","","","Stokes","kew-226143","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Carex dolichocarpa","Carex","","dolichocarpa",NA,NA,"","","kew-226163",TRUE,"1.1","Synonym","Cyperaceae","Carex","","michauxiana","subsp.","asiatica","Hultén","kew-228619","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Carex dolomitica","Carex","","dolomitica",NA,NA,"","","kew-226169",TRUE,"1.1","Accepted","Cyperaceae","Carex","","dolomitica","","","Heenan & de Lange","kew-226169","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Carex doniana","Carex","","doniana",NA,NA,"","","kew-226171",TRUE,"1.1","Accepted","Cyperaceae","Carex","","doniana","","","Spreng.","kew-226171","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Carex donnell","Carex","","donnell",NA,NA,"","","",FALSE,"1.1","","","Carex","","donnell",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Carex douglasii","Carex","","douglasii",NA,NA,"","","kew-226173",TRUE,"1.1","Accepted","Cyperaceae","Carex","","douglasii","","","Boott","kew-226173","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Carex drymophila","Carex","","drymophila",NA,NA,"","","kew-226189",TRUE,"1.1","Accepted","Cyperaceae","Carex","","drymophila","","","Turcz.","kew-226189","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Carex durieui","Carex","","durieui",NA,NA,"","","kew-226215",TRUE,"1.1","Accepted","Cyperaceae","Carex","","durieui","","","Steud. ex Kunze","kew-226215","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Carex duriuscula","Carex","","duriuscula",NA,NA,"","","kew-226218",TRUE,"1.1","Accepted","Cyperaceae","Carex","","duriuscula","","","C.A.Mey.","kew-226218","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Carex ebenea","Carex","","ebenea",NA,NA,"","","kew-226233",TRUE,"1.1","Accepted","Cyperaceae","Carex","","ebenea","","","Rydb.","kew-226233","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Carex eburnea","Carex","","eburnea",NA,NA,"","","kew-226237",TRUE,"1.1","Accepted","Cyperaceae","Carex","","eburnea","","","Boott","kew-226237","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Carex echinata","Carex","","echinata",NA,NA,"","","kew-226238",TRUE,"1.1","Accepted","Cyperaceae","Carex","","echinata","","","Murray","kew-226238","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Carex echinochloe","Carex","","echinochloe",NA,NA,"","","kew-226260",TRUE,"1.1","Accepted","Cyperaceae","Carex","","echinochloe","","","Kunze","kew-226260","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Carex echinodes","Carex","","echinodes",NA,NA,"","","kew-456812",TRUE,"1.1","Accepted","Cyperaceae","Carex","","echinodes","","","(Fernald) P.Rothr., Reznicek & Hipp","kew-456812","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Carex ecklonii","Carex","","ecklonii",NA,NA,"","","kew-226267",TRUE,"1.1","Accepted","Cyperaceae","Carex","","ecklonii","","","Nees","kew-226267","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Carex egglestonii","Carex","","egglestonii",NA,NA,"","","kew-226275",TRUE,"1.1","Accepted","Cyperaceae","Carex","","egglestonii","","","Mack.","kew-226275","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Carex elata","Carex","","elata",NA,NA,"","","kew-226284",TRUE,"1.1","Accepted","Cyperaceae","Carex","","elata","","","All.","kew-226284","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Carex eleusinoides","Carex","","eleusinoides",NA,NA,"","","kew-226304",TRUE,"1.1","Accepted","Cyperaceae","Carex","","eleusinoides","","","Turcz. ex Kunth","kew-226304","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Carex elingamita","Carex","","elingamita",NA,NA,"","","kew-226308",TRUE,"1.1","Accepted","Cyperaceae","Carex","","elingamita","","","Hamlin","kew-226308","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Carex elliottii","Carex","","elliottii",NA,NA,"","","kew-226310",TRUE,"1.1","Accepted","Cyperaceae","Carex","","elliottii","","","Schwein. & Torr.","kew-226310","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Carex elongata","Carex","","elongata",NA,NA,"","","kew-226312",TRUE,"1.1","Accepted","Cyperaceae","Carex","","elongata","","","L.","kew-226312","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Carex elynoides","Carex","","elynoides",NA,NA,"","","kew-226325",TRUE,"1.1","Accepted","Cyperaceae","Carex","","elynoides","","","Holm","kew-226325","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Carex emoryi","Carex","","emoryi",NA,NA,"","","kew-226339",TRUE,"1.1","Accepted","Cyperaceae","Carex","","emoryi","","","Dewey","kew-226339","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Carex endlichii","Carex","","endlichii",NA,NA,"","","kew-226341",TRUE,"1.1","Accepted","Cyperaceae","Carex","","endlichii","","","Kük.","kew-226341","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Carex environmental","Carex","","environmental",NA,NA,"","","",FALSE,"1.1","","","Carex","","environmental",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Carex epapillosa","Carex","","epapillosa",NA,NA,"","","kew-226357",TRUE,"1.1","Synonym","Cyperaceae","Carex","","heteroneura","var.","epapillosa","(Mack.) F.J.Herm.","kew-227298","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Carex ericetorum","Carex","","ericetorum",NA,NA,"","","kew-226367",TRUE,"1.1","Accepted","Cyperaceae","Carex","","ericetorum","","","Pollich","kew-226367","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Carex erythrobasis","Carex","","erythrobasis",NA,NA,"","","kew-226383",TRUE,"1.1","Accepted","Cyperaceae","Carex","","erythrobasis","","","H.Lév. & Vaniot","kew-226383","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Carex euprepes","Carex","","euprepes",NA,NA,"","","kew-226395",TRUE,"1.1","Accepted","Cyperaceae","Carex","","euprepes","","","Nelmes","kew-226395","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Carex exilis","Carex","","exilis",NA,NA,"","","kew-226413",TRUE,"1.1","Accepted","Cyperaceae","Carex","","exilis","","","Dewey","kew-226413","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Carex exsiccata","Carex","","exsiccata",NA,NA,"","","kew-226420",TRUE,"1.1","Accepted","Cyperaceae","Carex","","exsiccata","","","L.H.Bailey","kew-226420","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Carex extensa","Carex","","extensa",NA,NA,"","","kew-226423",TRUE,"1.1","Accepted","Cyperaceae","Carex","","extensa","","","Gooden.","kew-226423","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Carex fecunda","Carex","","fecunda",NA,NA,"","","kew-226450",TRUE,"1.1","Accepted","Cyperaceae","Carex","","fecunda","","","Steud.","kew-226450","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Carex ferruginea","Carex","","ferruginea",NA,NA,"","","kew-226463",TRUE,"1.1","Accepted","Cyperaceae","Carex","","ferruginea","","","Scop.","kew-226463","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Carex festucacea","Carex","","festucacea",NA,NA,"","","kew-226497",TRUE,"1.1","Accepted","Cyperaceae","Carex","","festucacea","","","Schkuhr ex Willd.","kew-226497","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Carex feta","Carex","","feta",NA,NA,"","","kew-226501",TRUE,"1.1","Accepted","Cyperaceae","Carex","","feta","","","L.H.Bailey","kew-226501","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Carex filicina","Carex","","filicina",NA,NA,"","","kew-226508",TRUE,"1.1","Accepted","Cyperaceae","Carex","","filicina","","","Nees","kew-226508","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Carex filifolia","Carex","","filifolia",NA,NA,"","","kew-226522",TRUE,"1.1","Accepted","Cyperaceae","Carex","","filifolia","","","Nutt.","kew-226522","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Carex filiformis","Carex","","filiformis",NA,NA,"","","kew-226527",TRUE,"1.1","Accepted","Cyperaceae","Carex","","filiformis","","","L.","kew-226527","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Carex filipes","Carex","","filipes",NA,NA,"","","kew-226539",TRUE,"1.1","Accepted","Cyperaceae","Carex","","filipes","","","Franch. & Sav.","kew-226539","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Carex firma","Carex","","firma",NA,NA,"","","kew-226551",TRUE,"1.1","Accepted","Cyperaceae","Carex","","firma","","","Host","kew-226551","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Carex fischeri","Carex","","fischeri",NA,NA,"","","kew-226556",TRUE,"1.1","Accepted","Cyperaceae","Carex","","fischeri","","","K.Schum.","kew-226556","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Carex fissa","Carex","","fissa",NA,NA,"","","kew-226558",TRUE,"1.1","Accepted","Cyperaceae","Carex","","fissa","","","Mack.","kew-226558","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Carex fissirostris","Carex","","fissirostris",NA,NA,"","","kew-226562",TRUE,"1.1","Synonym","Cyperaceae","Carex","","diluta","subsp.","fissirostris","(Ball) Maire & Weiller","kew-226023","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Carex fissuricola","Carex","","fissuricola",NA,NA,"","","kew-226563",TRUE,"1.1","Accepted","Cyperaceae","Carex","","fissuricola","","","Mack.","kew-226563","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Carex flacca","Carex","","flacca",NA,NA,"","","kew-226565",TRUE,"1.1","Accepted","Cyperaceae","Carex","","flacca","","","Schreb.","kew-226565","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Carex flaccosperma","Carex","","flaccosperma",NA,NA,"","","kew-226584",TRUE,"1.1","Accepted","Cyperaceae","Carex","","flaccosperma","","","Dewey","kew-226584","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Carex flagellifera","Carex","","flagellifera",NA,NA,"","","kew-226586",TRUE,"1.1","Accepted","Cyperaceae","Carex","","flagellifera","","","Colenso","kew-226586","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Carex flava","Carex","","flava",NA,NA,"","","kew-226588",TRUE,"1.1","Accepted","Cyperaceae","Carex","","flava","","","L.","kew-226588","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Carex flaviformis","Carex","","flaviformis",NA,NA,"","","kew-226648",TRUE,"1.1","Accepted","Cyperaceae","Carex","","flaviformis","","","Nelmes","kew-226648","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Carex floridana","Carex","","floridana",NA,NA,"","","kew-226663",TRUE,"1.1","Accepted","Cyperaceae","Carex","","floridana","","","Schwein.","kew-226663","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Carex foenea","Carex","","foenea",NA,NA,"","","kew-226668",TRUE,"1.1","Accepted","Cyperaceae","Carex","","foenea","","","Willd.","kew-226668","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Carex foetida","Carex","","foetida",NA,NA,"","","kew-226677",TRUE,"1.1","Accepted","Cyperaceae","Carex","","foetida","","","All.","kew-226677","Accepted",FALSE,FALSE,FALSE,2017-05-11
