"Cenchrus cafer","Cenchrus","","cafer",NA,NA,"","","",FALSE,"1.1","","","Cenchrus","","cafer",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Cenchrus calyculatus","Cenchrus","","calyculatus",NA,NA,"","","kew-403888",TRUE,"1.1","Accepted","Poaceae","Cenchrus","","caliculatus","","","Cav.","kew-403888","Accepted",TRUE,FALSE,FALSE,2017-05-11
"Cenchrus chilensis","Cenchrus","","chilensis",NA,NA,"","","kew-462664",TRUE,"1.1","Unresolved","Poaceae","Cenchrus","","chilensis","","","(E.Desv.) Morrone","kew-462664","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Cenchrus ciliaris","Cenchrus","","ciliaris",NA,NA,"","","kew-403893",TRUE,"1.1","Accepted","Poaceae","Cenchrus","","ciliaris","","","L.","kew-403893","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Cenchrus clandestinus","Cenchrus","","clandestinus",NA,NA,"","","kew-462687",TRUE,"1.1","Unresolved","Poaceae","Cenchrus","","clandestinus","","","(Hochst. ex Chiov.) Morrone","kew-462687","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Cenchrus compressus","Cenchrus","","compressus",NA,NA,"","","kew-462718",TRUE,"1.1","Unresolved","Poaceae","Cenchrus","","compressus","","","(R.Br.) Morrone","kew-462718","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Cenchrus echinatus","Cenchrus","","echinatus",NA,NA,"","","kew-403909",TRUE,"1.1","Accepted","Poaceae","Cenchrus","","echinatus","","","L.","kew-403909","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Cenchrus flaccidus","Cenchrus","","flaccidus",NA,NA,"","","kew-462723",TRUE,"1.1","Unresolved","Poaceae","Cenchrus","","flaccidus","","","(Griseb.) Morrone","kew-462723","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Cenchrus foermeranus","Cenchrus","","foermeranus",NA,NA,"","","kew-462725",TRUE,"1.1","Unresolved","Poaceae","Cenchrus","","foermeranus","","","(Leeke) Morrone","kew-462725","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Cenchrus glaucocladus","Cenchrus","","glaucocladus",NA,NA,"","","kew-462727",TRUE,"1.1","Unresolved","Poaceae","Cenchrus","","glaucocladus","","","(Stapf & C.E.Hubb.) Morrone","kew-462727","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Cenchrus gracillimus","Cenchrus","","gracillimus",NA,NA,"","","kew-403930",TRUE,"1.1","Accepted","Poaceae","Cenchrus","","gracillimus","","","Nash","kew-403930","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Cenchrus hohenackeri","Cenchrus","","hohenackeri",NA,NA,"","","kew-462728",TRUE,"1.1","Unresolved","Poaceae","Cenchrus","","hohenackeri","","","(Hochst. ex Steud.) Morrone","kew-462728","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Cenchrus hordeoides","Cenchrus","","hordeoides",NA,NA,"","","kew-462729",TRUE,"1.1","Unresolved","Poaceae","Cenchrus","","hordeoides","","","(Lam.) Morrone","kew-462729","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Cenchrus incertus","Cenchrus","","incertus",NA,NA,"","","kew-403941",TRUE,"1.1","Unresolved","Poaceae","Cenchrus","","incertus","","","M.A.Curtis","kew-403941","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Cenchrus lanatus","Cenchrus","","lanatus",NA,NA,"","","kew-462731",TRUE,"1.1","Unresolved","Poaceae","Cenchrus","","lanatus","","","(Klotzsch) Morrone","kew-462731","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Cenchrus latifolius","Cenchrus","","latifolius",NA,NA,"","","kew-462732",TRUE,"1.1","Unresolved","Poaceae","Cenchrus","","latifolius","","","(Spreng.) Morrone","kew-462732","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Cenchrus longisetus","Cenchrus","","longisetus",NA,NA,"","","kew-403956",TRUE,"1.1","Synonym","Poaceae","Pennisetum","","villosum","","","Fresen.","kew-433030","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Cenchrus longissimus","Cenchrus","","longissimus",NA,NA,"","","kew-462704",TRUE,"1.1","Unresolved","Poaceae","Cenchrus","","longissimus","","","(S.L.Chen & Y.X.Jin) Morrone","kew-462704","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Cenchrus macrourus","Cenchrus","","macrourus",NA,NA,"","","kew-462610",TRUE,"1.1","Unresolved","Poaceae","Cenchrus","","macrourus","","","(Trin.) Morrone","kew-462610","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Cenchrus massaicus","Cenchrus","","massaicus",NA,NA,"","","kew-462724",TRUE,"1.1","Unresolved","Poaceae","Cenchrus","","massaicus","","","(Stapf) Morrone","kew-462724","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Cenchrus mezianus","Cenchrus","","mezianus",NA,NA,"","","kew-462698",TRUE,"1.1","Unresolved","Poaceae","Cenchrus","","mezianus","","","(Leeke) Morrone","kew-462698","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Cenchrus mutilatus","Cenchrus","","mutilatus",NA,NA,"","","kew-403971",TRUE,"1.1","Synonym","Poaceae","Pennisetum","","montanum","","","(Griseb.) Hack.","kew-432814","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Cenchrus myosuroides","Cenchrus","","myosuroides",NA,NA,"","","kew-403972",TRUE,"1.1","Accepted","Poaceae","Cenchrus","","myosuroides","","","Kunth","kew-403972","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Cenchrus nervosus","Cenchrus","","nervosus",NA,NA,"","","kew-403974",TRUE,"1.1","Synonym","Poaceae","Pennisetum","","nervosum","","","(Nees) Trin.","kew-432823","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Cenchrus orientalis","Cenchrus","","orientalis",NA,NA,"","","kew-403977",TRUE,"1.1","Synonym","Poaceae","Pennisetum","","orientale","","","Rich.","kew-432842","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Cenchrus pedicellatus","Cenchrus","","pedicellatus",NA,NA,"","","kew-462716",TRUE,"1.1","Unresolved","Poaceae","Cenchrus","","pedicellatus","","","(Trin.) Morrone","kew-462716","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Cenchrus pilcomayensis","Cenchrus","","pilcomayensis",NA,NA,"","","kew-462706",TRUE,"1.1","Unresolved","Poaceae","Cenchrus","","pilcomayensis","","","(Mez) Morrone","kew-462706","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Cenchrus pilosus","Cenchrus","","pilosus",NA,NA,"","","kew-403996",TRUE,"1.1","Accepted","Poaceae","Cenchrus","","pilosus","","","Kunth","kew-403996","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Cenchrus polystachios","Cenchrus","","polystachios",NA,NA,"","","kew-462707",TRUE,"1.1","Unresolved","Poaceae","Cenchrus","","polystachios","","","(L.) Morrone","kew-462707","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Cenchrus purpureus","Cenchrus","","purpureus",NA,NA,"","","kew-462651",TRUE,"1.1","Unresolved","Poaceae","Cenchrus","","purpureus","","","(Schumach.) Morrone","kew-462651","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Cenchrus ramosissimus","Cenchrus","","ramosissimus",NA,NA,"","","kew-404007",TRUE,"1.1","Synonym","Poaceae","Pennisetum","","divisum","","","(Forssk. ex J.F.Gmel.) Henrard","kew-432681","Accepted",FALSE,FALSE,FALSE,2017-05-11
