"Ceratocapnos heterocarpa","Ceratocapnos","","heterocarpa",NA,NA,"","","kew-2711065",TRUE,"1.1","Accepted","Papaveraceae","Ceratocapnos","","heterocarpa","","","Durand","kew-2711065","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratocarpus arenarius","Ceratocarpus","","arenarius",NA,NA,"","","kew-2711070",TRUE,"1.1","Accepted","Amaranthaceae","Ceratocarpus","","arenarius","","","L.","kew-2711070","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratocaryum argenteum","Ceratocaryum","","argenteum",NA,NA,"","","kew-232808",TRUE,"1.1","Accepted","Restionaceae","Ceratocaryum","","argenteum","","","Nees ex Kunth","kew-232808","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratocaryum caespitosum","Ceratocaryum","","caespitosum",NA,NA,"","","kew-232809",TRUE,"1.1","Accepted","Restionaceae","Ceratocaryum","","caespitosum","","","H.P.Linder","kew-232809","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratocaryum decipiens","Ceratocaryum","","decipiens",NA,NA,"","","kew-232810",TRUE,"1.1","Accepted","Restionaceae","Ceratocaryum","","decipiens","","","(N.E.Br.) H.P.Linder","kew-232810","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratocaryum fimbriatum","Ceratocaryum","","fimbriatum",NA,NA,"","","kew-232811",TRUE,"1.1","Accepted","Restionaceae","Ceratocaryum","","fimbriatum","","","(Kunth) H.P.Linder","kew-232811","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratocaryum fistulosum","Ceratocaryum","","fistulosum",NA,NA,"","","kew-232812",TRUE,"1.1","Accepted","Restionaceae","Ceratocaryum","","fistulosum","","","Mast.","kew-232812","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratocaryum pulchrum","Ceratocaryum","","pulchrum",NA,NA,"","","kew-232814",TRUE,"1.1","Accepted","Restionaceae","Ceratocaryum","","pulchrum","","","H.P.Linder","kew-232814","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratocaryum xerophilum","Ceratocaryum","","xerophilum",NA,NA,"","","kew-232816",TRUE,"1.1","Accepted","Restionaceae","Ceratocaryum","","xerophilum","","","(Pillans) H.P.Linder","kew-232816","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratocentron fesselii","Ceratocentron","","fesselii",NA,NA,"","","kew-36845",TRUE,"1.1","Accepted","Orchidaceae","Ceratocentron","","fesselii","","","Senghas","kew-36845","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratocephala falcata","Ceratocephala","","falcata",NA,NA,"","","kew-2711081",TRUE,"1.1","Accepted","Ranunculaceae","Ceratocephala","","falcata","","","(L.) Pers.","kew-2711081","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ceratocephala orthoceras","Ceratocephala","","orthoceras",NA,NA,"","","kew-2711087",TRUE,"1.1","Synonym","Ranunculaceae","Ceratocephala","","testiculata","","","(Crantz) Besser","kew-2711093","Accepted",FALSE,FALSE,FALSE,2017-05-11
