"Chassalia cristata","Chassalia","","cristata",NA,NA,"","","kew-38482",TRUE,"1.1","Accepted","Rubiaceae","Chassalia","","cristata","","","(Hiern) Bremek.","kew-38482","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Chassalia curviflora","Chassalia","","curviflora",NA,NA,"","","kew-38484",TRUE,"1.1","Accepted","Rubiaceae","Chassalia","","curviflora","","","(Wall.) Thwaites","kew-38484","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Chassalia discolor","Chassalia","","discolor",NA,NA,"","","kew-38491",TRUE,"1.1","Accepted","Rubiaceae","Chassalia","","discolor","","","K.Schum.","kew-38491","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Chassalia eurybotrya","Chassalia","","eurybotrya",NA,NA,"","","kew-38498",TRUE,"1.1","Accepted","Rubiaceae","Chassalia","","eurybotrya","","","Bremek.","kew-38498","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Chassalia gaertneroides","Chassalia","","gaertneroides",NA,NA,"","","kew-38501",TRUE,"1.1","Accepted","Rubiaceae","Chassalia","","gaertneroides","","","(Cordem.) Verdc.","kew-38501","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Chassalia grandifolia","Chassalia","","grandifolia",NA,NA,"","","kew-38504",TRUE,"1.1","Accepted","Rubiaceae","Chassalia","","grandifolia","","","DC.","kew-38504","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Chassalia kenyensis","Chassalia","","kenyensis",NA,NA,"","","kew-38511",TRUE,"1.1","Accepted","Rubiaceae","Chassalia","","kenyensis","","","Verdc.","kew-38511","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Chassalia kolly","Chassalia","","kolly",NA,NA,"","","kew-38512",TRUE,"1.1","Accepted","Rubiaceae","Chassalia","","kolly","","","(Schumach.) Hepper","kew-38512","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Chassalia lanceolata","Chassalia","","lanceolata",NA,NA,"","","kew-38515",TRUE,"1.1","Accepted","Rubiaceae","Chassalia","","lanceolata","","","(Poir.) A.Chev.","kew-38515","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Chassalia macrodiscus","Chassalia","","macrodiscus",NA,NA,"","","kew-38526",TRUE,"1.1","Accepted","Rubiaceae","Chassalia","","macrodiscus","","","K.Schum.","kew-38526","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Chassalia magnifolia","Chassalia","","magnifolia",NA,NA,"","","kew-38527",TRUE,"1.1","Accepted","Rubiaceae","Chassalia","","magnifolia","","","Bremek.","kew-38527","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Chassalia parviflora","Chassalia","","parviflora",NA,NA,"","","kew-38540",TRUE,"1.1","Synonym","Rubiaceae","Chassalia","","kolly","","","(Schumach.) Hepper","kew-38512","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Chassalia parvifolia","Chassalia","","parvifolia",NA,NA,"","","kew-38541",TRUE,"1.1","Accepted","Rubiaceae","Chassalia","","parvifolia","","","K.Schum.","kew-38541","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Chassalia petrinensis","Chassalia","","petrinensis",NA,NA,"","","kew-38547",TRUE,"1.1","Accepted","Rubiaceae","Chassalia","","petrinensis","","","Verdc.","kew-38547","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Chassalia subcordatifolia","Chassalia","","subcordatifolia",NA,NA,"","","kew-38569",TRUE,"1.1","Accepted","Rubiaceae","Chassalia","","subcordatifolia","","","(De Wild.) Piesschaert","kew-38569","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Chassalia subochreata","Chassalia","","subochreata",NA,NA,"","","kew-38572",TRUE,"1.1","Accepted","Rubiaceae","Chassalia","","subochreata","","","(De Wild.) Robyns","kew-38572","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Chassalia ternifolia","Chassalia","","ternifolia",NA,NA,"","","kew-38575",TRUE,"1.1","Accepted","Rubiaceae","Chassalia","","ternifolia","","","(Baker) Bremek.","kew-38575","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Chassalia umbraticola","Chassalia","","umbraticola",NA,NA,"","","kew-38581",TRUE,"1.1","Accepted","Rubiaceae","Chassalia","","umbraticola","","","Vatke","kew-38581","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Chassalia vanderystii","Chassalia","","vanderystii",NA,NA,"","","kew-38585",TRUE,"1.1","Accepted","Rubiaceae","Chassalia","","vanderystii","","","(De Wild.) Verdc.","kew-38585","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Chassalia violacea","Chassalia","","violacea",NA,NA,"","","kew-38588",TRUE,"1.1","Accepted","Rubiaceae","Chassalia","","violacea","","","K.Schum.","kew-38588","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Chassalia zimmermannii","Chassalia","","zimmermannii",NA,NA,"","","kew-38595",TRUE,"1.1","Accepted","Rubiaceae","Chassalia","","zimmermannii","","","Verdc.","kew-38595","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Chaubardia heteroclita","Chaubardia","","heteroclita",NA,NA,"","","kew-38599",TRUE,"1.1","Accepted","Orchidaceae","Chaubardia","","heteroclita","","","(Poepp. & Endl.) Dodson & D.E.Benn.","kew-38599","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Chaubardia klugii","Chaubardia","","klugii",NA,NA,"","","kew-38600",TRUE,"1.1","Accepted","Orchidaceae","Chaubardia","","klugii","","","(C.Schweinf.) Garay","kew-38600","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Chaubardia surinamensis","Chaubardia","","surinamensis",NA,NA,"","","kew-38601",TRUE,"1.1","Accepted","Orchidaceae","Chaubardia","","surinamensis","","","Rchb.f.","kew-38601","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Chaubardiella pacuarensis","Chaubardiella","","pacuarensis",NA,NA,"","","kew-38610",TRUE,"1.1","Accepted","Orchidaceae","Chaubardiella","","pacuarensis","","","Jenny","kew-38610","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Chaubardiella pubescens","Chaubardiella","","pubescens",NA,NA,"","","kew-38611",TRUE,"1.1","Accepted","Orchidaceae","Chaubardiella","","pubescens","","","Ackerman","kew-38611","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Chaubardiella subquadrata","Chaubardiella","","subquadrata",NA,NA,"","","kew-38614",TRUE,"1.1","Accepted","Orchidaceae","Chaubardiella","","subquadrata","","","(Schltr.) Garay","kew-38614","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Chaubardiella tigrina","Chaubardiella","","tigrina",NA,NA,"","","kew-38615",TRUE,"1.1","Accepted","Orchidaceae","Chaubardiella","","tigrina","","","(Garay & Dunst.) Garay","kew-38615","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Chaunochiton kappleri","Chaunochiton","","kappleri",NA,NA,"","","kew-2716037",TRUE,"1.1","Accepted","Olacaceae","Chaunochiton","","kappleri","","","(Sagot ex Engl.) Ducke","kew-2716037","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Chautemsia calcicola","Chautemsia","","calcicola",NA,NA,"","","kew-2899464",TRUE,"1.1","Accepted","Gesneriaceae","Chautemsia","","calcicola","","","A.O.Araujo & V.C.Souza","kew-2899464","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Chayamaritia banksiae","Chayamaritia","","banksiae",NA,NA,"","","",FALSE,"1.1","","","Chayamaritia","","banksiae",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Chayamaritia smitinandii","Chayamaritia","","smitinandii",NA,NA,"","","",FALSE,"1.1","","","Chayamaritia","","smitinandii",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Chazaliella parviflora","Chazaliella","","parviflora",NA,NA,"","","kew-38658",TRUE,"1.1","Accepted","Rubiaceae","Chazaliella","","parviflora","","","(R.D.Good) Verdc.","kew-38658","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Cheilanthes acrostica","Cheilanthes","","acrostica",NA,NA,"","","tro-50321839",TRUE,"1.1","Accepted","Pteridaceae","Cheilanthes","","acrostica","","","(Balb.) Tod.","tro-50321839","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Cheilanthes albomarginata","Cheilanthes","","albomarginata",NA,NA,"","","tro-26609749",TRUE,"1.1","Accepted","Pteridaceae","Cheilanthes","","albomarginata","","","C.B. Clarke","tro-26609749","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Cheilanthes argentea","Cheilanthes","","argentea",NA,NA,"","","tro-26600077",TRUE,"1.1","Accepted","Pteridaceae","Cheilanthes","","argentea","","","(S.G. Gmel.) Kunze","tro-26600077","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Cheilanthes aurea","Cheilanthes","","aurea",NA,NA,"","","tro-26607721",TRUE,"1.1","Synonym","Pteridaceae","Aleuritopteris","","aurea","","","(Baker) Ching","tro-26616856","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Cheilanthes bergiana","Cheilanthes","","bergiana",NA,NA,"","","tro-26600910",TRUE,"1.1","Accepted","Pteridaceae","Cheilanthes","","bergiana","","","Schltdl.","tro-26600910","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Cheilanthes bolborrhiza","Cheilanthes","","bolborrhiza",NA,NA,"","","tro-26616874",TRUE,"1.1","Accepted","Pteridaceae","Cheilanthes","","bolborrhiza","","","Mickel & Beitel","tro-26616874","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Cheilanthes brandtii","Cheilanthes","","brandtii",NA,NA,"","","tro-26611228",TRUE,"1.1","Synonym","Pteridaceae","Cheilanthes","","kuhnii","var.","brandtii","(Franch. & Sav.) Tagawa","tro-26620027","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Cheilanthes brausei","Cheilanthes","","brausei",NA,NA,"","","tro-100356589",TRUE,"1.1","Unresolved","Pteridaceae","Cheilanthes","","brausei","","","Fraser-Jenk.","tro-100356589","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Cheilanthes buchtienii","Cheilanthes","","buchtienii",NA,NA,"","","tro-26608619",TRUE,"1.1","Accepted","Pteridaceae","Cheilanthes","","buchtienii","","","(Rosenst.) R.M. Tryon","tro-26608619","Accepted",FALSE,FALSE,FALSE,2017-05-11
