"Chorizanthe staticoides","Chorizanthe","","staticoides",NA,NA,"","","kew-2719636",TRUE,"1.1","Accepted","Polygonaceae","Chorizanthe","","staticoides","","","Benth.","kew-2719636","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Chorizanthe stellulata","Chorizanthe","","stellulata",NA,NA,"","","kew-2719644",TRUE,"1.1","Accepted","Polygonaceae","Chorizanthe","","stellulata","","","Benth.","kew-2719644","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Chorizanthe uniaristata","Chorizanthe","","uniaristata",NA,NA,"","","kew-2719653",TRUE,"1.1","Accepted","Polygonaceae","Chorizanthe","","uniaristata","","","Torr. & A.Gray","kew-2719653","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Chorizanthe watsonii","Chorizanthe","","watsonii",NA,NA,"","","kew-2719665",TRUE,"1.1","Accepted","Polygonaceae","Chorizanthe","","watsonii","","","A.Gray","kew-2719665","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Chorizanthe xanti","Chorizanthe","","xanti",NA,NA,"","","kew-2719667",TRUE,"1.1","Accepted","Polygonaceae","Chorizanthe","","xanti","","","S.Watson","kew-2719667","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Chorizema aciculare","Chorizema","","aciculare",NA,NA,"","","ild-35011",TRUE,"1.1","Accepted","Leguminosae","Chorizema","","aciculare","","","(DC.) A.W.Hill","ild-35011","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Chorizema carinatum","Chorizema","","carinatum",NA,NA,"","","tro-50168353",TRUE,"1.1","Accepted","Leguminosae","Chorizema","","carinatum","","","(Meisn.) J.M. Taylor & Crisp","tro-50168353","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Chorizema cordatum","Chorizema","","cordatum",NA,NA,"","","ild-34296",TRUE,"1.1","Accepted","Leguminosae","Chorizema","","cordatum","","","Lindl.","ild-34296","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Chorizema dicksonii","Chorizema","","dicksonii",NA,NA,"","","ild-35100",TRUE,"1.1","Accepted","Leguminosae","Chorizema","","dicksonii","","","Graham","ild-35100","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Chorizema genistoides","Chorizema","","genistoides",NA,NA,"","","ild-34910",TRUE,"1.1","Accepted","Leguminosae","Chorizema","","genistoides","","","(Meissner) C.A.Gardner","ild-34910","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Chorizema obtusifolium","Chorizema","","obtusifolium",NA,NA,"","","tro-50168356",TRUE,"1.1","Accepted","Leguminosae","Chorizema","","obtusifolium","","","(Sweet) J.M. Taylor & Crisp","tro-50168356","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Chorizema parviflorum","Chorizema","","parviflorum",NA,NA,"","","ild-35083",TRUE,"1.1","Accepted","Leguminosae","Chorizema","","parviflorum","","","Benth.","ild-35083","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Chorizema racemosum","Chorizema","","racemosum",NA,NA,"","","tro-50168357",TRUE,"1.1","Accepted","Leguminosae","Chorizema","","racemosum","","","(Meisn.) J.M. Taylor & Crisp","tro-50168357","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Chorizema rhombeum","Chorizema","","rhombeum",NA,NA,"","","ild-35055",TRUE,"1.1","Accepted","Leguminosae","Chorizema","","rhombeum","","","R.Br.","ild-35055","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Chorizema spathulatum","Chorizema","","spathulatum",NA,NA,"","","tro-50168359",TRUE,"1.1","Accepted","Leguminosae","Chorizema","","spathulatum","","","(Meisn.) J.M. Taylor & Crisp","tro-50168359","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Chorizema ulotropis","Chorizema","","ulotropis",NA,NA,"","","kew-2719738",TRUE,"1.1","Unresolved","Leguminosae","Chorizema","","ulotropis","","","J.M.Taylor & Crisp","kew-2719738","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Chorizema varium","Chorizema","","varium",NA,NA,"","","ild-34921",TRUE,"1.1","Accepted","Leguminosae","Chorizema","","varium","","","Lindl.","ild-34921","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Choulettia reboudiana","Choulettia","","reboudiana",NA,NA,"","","kew-39789",TRUE,"1.1","Synonym","Rubiaceae","Plocama","","reboudiana","","","(Coss. & Durieu) M.Backlund & Thulin","kew-347988","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Chouxia macrophylla","Chouxia","","macrophylla",NA,NA,"","","kew-2719751",TRUE,"1.1","Accepted","Sapindaceae","Chouxia","","macrophylla","","","G.E.Schatz, Gereau & Lowry","kew-2719751","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Chresta angustifolia","Chresta","","angustifolia",NA,NA,"","","gcc-104472",TRUE,"1.1","Accepted","Compositae","Chresta","","angustifolia","","","Gardner","gcc-104472","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Chresta exsucca","Chresta","","exsucca",NA,NA,"","","gcc-32131",TRUE,"1.1","Accepted","Compositae","Chresta","","exsucca","","","DC.","gcc-32131","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Chresta harleyi","Chresta","","harleyi",NA,NA,"","","gcc-31831",TRUE,"1.1","Accepted","Compositae","Chresta","","harleyi","","","(DC.) H.Rob.","gcc-31831","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Chresta pacourinoides","Chresta","","pacourinoides",NA,NA,"","","",FALSE,"1.1","","","Chresta","","pacourinoides",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Chresta plantaginifolia","Chresta","","plantaginifolia",NA,NA,"","","gcc-128661",TRUE,"1.1","Accepted","Compositae","Chresta","","plantaginifolia","","","(Less.) Gardner","gcc-128661","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Chresta pycnocephala","Chresta","","pycnocephala",NA,NA,"","","gcc-43477",TRUE,"1.1","Accepted","Compositae","Chresta","","pycnocephala","","","DC.","gcc-43477","Accepted",FALSE,FALSE,FALSE,2017-05-11
