"Cissus gongylodes","Cissus","","gongylodes",NA,NA,"","","kew-2722463",TRUE,"1.1","Accepted","Vitaceae","Cissus","","gongylodes","","","(Baker) Burch. ex Baker","kew-2722463","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Cissus granulosa","Cissus","","granulosa",NA,NA,"","","kew-2722476",TRUE,"1.1","Accepted","Vitaceae","Cissus","","granulosa","","","Ruiz & Pav.","kew-2722476","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Cissus hastata","Cissus","","hastata",NA,NA,"","","kew-2722488",TRUE,"1.1","Accepted","Vitaceae","Cissus","","hastata","","","Miq.","kew-2722488","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Cissus hexangularis","Cissus","","hexangularis",NA,NA,"","","kew-2722506",TRUE,"1.1","Accepted","Vitaceae","Cissus","","hexangularis","","","Thorel ex Planch.","kew-2722506","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Cissus heyneana","Cissus","","heyneana",NA,NA,"","","kew-2722507",TRUE,"1.1","Accepted","Vitaceae","Cissus","","heyneana","","","Planch.","kew-2722507","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Cissus hypoglauca","Cissus","","hypoglauca",NA,NA,"","","kew-2722526",TRUE,"1.1","Unresolved","Vitaceae","Cissus","","hypoglauca","","","A.Gray","kew-2722526","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Cissus incisa","Cissus","","incisa",NA,NA,"","","kew-2722530",TRUE,"1.1","Accepted","Vitaceae","Cissus","","incisa","","","(Nutt.) Des Moul. ex S.Watson","kew-2722530","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Cissus integrifolia","Cissus","","integrifolia",NA,NA,"","","kew-2722536",TRUE,"1.1","Accepted","Vitaceae","Cissus","","integrifolia","","","(Baker) Planch.","kew-2722536","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Cissus javana","Cissus","","javana",NA,NA,"","","kew-2722548",TRUE,"1.1","Accepted","Vitaceae","Cissus","","javana","","","DC.","kew-2722548","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Cissus lanea","Cissus","","lanea",NA,NA,"","","",FALSE,"1.1","","","Cissus","","lanea",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Cissus leucophlea","Cissus","","leucophlea",NA,NA,"","","kew-2722600",TRUE,"1.1","Accepted","Vitaceae","Cissus","","leucophlea","","","(Scott-Elliot) Suess.","kew-2722600","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Cissus madecassa","Cissus","","madecassa",NA,NA,"","","kew-2722624",TRUE,"1.1","Accepted","Vitaceae","Cissus","","madecassa","","","Desc.","kew-2722624","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Cissus microcarpa","Cissus","","microcarpa",NA,NA,"","","kew-2722650",TRUE,"1.1","Accepted","Vitaceae","Cissus","","microcarpa","","","Vahl","kew-2722650","Accepted",FALSE,FALSE,FALSE,2017-05-11
