"Clerodendrum ternatum","Clerodendrum","","ternatum",NA,NA,"","","kew-43096",TRUE,"1.1","Accepted","Lamiaceae","Clerodendrum","","ternatum","","","Schinz","kew-43096","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Clerodendrum thomsoniae","Clerodendrum","","thomsoniae",NA,NA,"","","kew-43106",TRUE,"1.1","Accepted","Lamiaceae","Clerodendrum","","thomsoniae","","","Balf.f.","kew-43106","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Clerodendrum trichotomum","Clerodendrum","","trichotomum",NA,NA,"","","kew-43122",TRUE,"1.1","Accepted","Lamiaceae","Clerodendrum","","trichotomum","","","Thunb.","kew-43122","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Clerodendrum wallichii","Clerodendrum","","wallichii",NA,NA,"","","kew-43166",TRUE,"1.1","Synonym","Lamiaceae","Clerodendrum","","laevifolium","","","Blume","kew-42747","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Clerodendrum yunnanense","Clerodendrum","","yunnanense",NA,NA,"","","kew-43179",TRUE,"1.1","Accepted","Lamiaceae","Clerodendrum","","yunnanense","","","Hu","kew-43179","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Clethra acuminata","Clethra","","acuminata",NA,NA,"","","kew-43185",TRUE,"1.1","Accepted","Clethraceae","Clethra","","acuminata","","","Michx.","kew-43185","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Clethra alnifolia","Clethra","","alnifolia",NA,NA,"","","kew-43188",TRUE,"1.1","Accepted","Clethraceae","Clethra","","alnifolia","","","L.","kew-43188","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Clethra arborea","Clethra","","arborea",NA,NA,"","","kew-43199",TRUE,"1.1","Accepted","Clethraceae","Clethra","","arborea","","","Aiton","kew-43199","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Clethra arfakana","Clethra","","arfakana",NA,NA,"","","kew-43201",TRUE,"1.1","Accepted","Clethraceae","Clethra","","arfakana","","","Sleumer","kew-43201","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Clethra barbinervis","Clethra","","barbinervis",NA,NA,"","","kew-43203",TRUE,"1.1","Accepted","Clethraceae","Clethra","","barbinervis","","","Siebold & Zucc.","kew-43203","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Clethra canescens","Clethra","","canescens",NA,NA,"","","kew-43224",TRUE,"1.1","Accepted","Clethraceae","Clethra","","canescens","","","Reinw. ex Blume","kew-43224","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Clethra castaneifolia","Clethra","","castaneifolia",NA,NA,"","","kew-43232",TRUE,"1.1","Accepted","Clethraceae","Clethra","","castaneifolia","","","Meisn.","kew-43232","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Clethra cubensis","Clethra","","cubensis",NA,NA,"","","kew-43246",TRUE,"1.1","Accepted","Clethraceae","Clethra","","cubensis","","","A.Rich.","kew-43246","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Clethra delavayi","Clethra","","delavayi",NA,NA,"","","kew-43249",TRUE,"1.1","Accepted","Clethraceae","Clethra","","delavayi","","","Franch.","kew-43249","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Clethra faberi","Clethra","","faberi",NA,NA,"","","kew-43258",TRUE,"1.1","Accepted","Clethraceae","Clethra","","fabri","","","Hance","kew-43258","Accepted",TRUE,FALSE,FALSE,2017-05-11
"Clethra ferruginea","Clethra","","ferruginea",NA,NA,"","","kew-43266",TRUE,"1.1","Accepted","Clethraceae","Clethra","","ferruginea","","","(Ruiz & Pav.) Link ex Spreng.","kew-43266","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Clethra fimbriata","Clethra","","fimbriata",NA,NA,"","","kew-43267",TRUE,"1.1","Accepted","Clethraceae","Clethra","","fimbriata","","","Kunth","kew-43267","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Clethra hartwegii","Clethra","","hartwegii",NA,NA,"","","kew-43278",TRUE,"1.1","Accepted","Clethraceae","Clethra","","hartwegii","","","Britton","kew-43278","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Clethra mexicana","Clethra","","mexicana",NA,NA,"","","kew-43318",TRUE,"1.1","Accepted","Clethraceae","Clethra","","mexicana","","","DC.","kew-43318","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Clethra ovalifolia","Clethra","","ovalifolia",NA,NA,"","","kew-43344",TRUE,"1.1","Accepted","Clethraceae","Clethra","","ovalifolia","","","Turcz.","kew-43344","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Clethra pachyphylla","Clethra","","pachyphylla",NA,NA,"","","kew-43346",TRUE,"1.1","Accepted","Clethraceae","Clethra","","pachyphylla","","","Merr.","kew-43346","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Clethra peruviana","Clethra","","peruviana",NA,NA,"","","kew-43357",TRUE,"1.1","Accepted","Clethraceae","Clethra","","peruviana","","","Szyszyl.","kew-43357","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Clethra revoluta","Clethra","","revoluta",NA,NA,"","","kew-43375",TRUE,"1.1","Accepted","Clethraceae","Clethra","","revoluta","","","(Ruiz & Pav.) Spreng.","kew-43375","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Clethra scabra","Clethra","","scabra",NA,NA,"","","kew-43379",TRUE,"1.1","Accepted","Clethraceae","Clethra","","scabra","","","Pers.","kew-43379","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Clethra tomentosa","Clethra","","tomentosa",NA,NA,"","","kew-43402",TRUE,"1.1","Synonym","Clethraceae","Clethra","","alnifolia","","","L.","kew-43188","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Clethra vicentina","Clethra","","vicentina",NA,NA,"","","kew-43406",TRUE,"1.1","Accepted","Clethraceae","Clethra","","vicentina","","","Standl.","kew-43406","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Cleyera japonica","Cleyera","","japonica",NA,NA,"","","kew-2727767",TRUE,"1.1","Accepted","Pentaphylacaceae","Cleyera","","japonica","","","Thunb.","kew-2727767","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Cleyera lipingensis","Cleyera","","lipingensis",NA,NA,"","","kew-2606733",TRUE,"1.1","Synonym","Pentaphylacaceae","Cleyera","","obscurinervia","","","(Merr. & Chun) H.T.Chang","kew-2727790","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Cleyera pachyphylla","Cleyera","","pachyphylla",NA,NA,"","","kew-2727796",TRUE,"1.1","Accepted","Pentaphylacaceae","Cleyera","","pachyphylla","","","Chun ex H.T.Chang","kew-2727796","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Clianthus maximus","Clianthus","","maximus",NA,NA,"","","kew-2727821",TRUE,"1.1","Unresolved","Leguminosae","Clianthus","","maximus","","","Colenso","kew-2727821","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Clianthus puniceus","Clianthus","","puniceus",NA,NA,"","","ild-32561",TRUE,"1.1","Accepted","Leguminosae","Clianthus","","puniceus","","","(G.Don) Lindl.","ild-32561","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Clibadium alatum","Clibadium","","alatum",NA,NA,"","","gcc-89837",TRUE,"1.1","Synonym","Compositae","Clibadium","","laxum","","","S.F.Blake","gcc-44089","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Clibadium erosum","Clibadium","","erosum",NA,NA,"","","gcc-102362",TRUE,"1.1","Accepted","Compositae","Clibadium","","erosum","","","(Sw.) DC.","gcc-102362","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Clibadium grandifolium","Clibadium","","grandifolium",NA,NA,"","","gcc-17257",TRUE,"1.1","Accepted","Compositae","Clibadium","","grandifolium","","","S.F.Blake","gcc-17257","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Clibadium leiocarpum","Clibadium","","leiocarpum",NA,NA,"","","gcc-23920",TRUE,"1.1","Accepted","Compositae","Clibadium","","leiocarpum","","","Steetz","gcc-23920","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Clidemia aguilarii","Clidemia","","aguilarii",NA,NA,"","","tro-100351617",TRUE,"1.1","Accepted","Melastomataceae","Clidemia","","aguilarii","","","Kriebel & Almeda","tro-100351617","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Clidemia allardii","Clidemia","","allardii",NA,NA,"","","tro-20303572",TRUE,"1.1","Accepted","Melastomataceae","Clidemia","","allardii","","","Wurdack","tro-20303572","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Clidemia allenii","Clidemia","","allenii",NA,NA,"","","tro-50191634",TRUE,"1.1","Accepted","Melastomataceae","Clidemia","","allenii","","","Almeda","tro-50191634","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Clidemia almedae","Clidemia","","almedae",NA,NA,"","","tro-50301502",TRUE,"1.1","Accepted","Melastomataceae","Clidemia","","almedae","","","Kriebel","tro-50301502","Accepted",FALSE,FALSE,FALSE,2017-05-11
