"Coffea rhamnifolia","Coffea","","rhamnifolia",NA,NA,"","","kew-45706",TRUE,"1.1","Accepted","Rubiaceae","Coffea","","rhamnifolia","","","(Chiov.) Bridson","kew-45706","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Coffea richardii","Coffea","","richardii",NA,NA,"","","kew-45707",TRUE,"1.1","Accepted","Rubiaceae","Coffea","","richardii","","","J.-F.Leroy","kew-45707","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Coffea sahafaryensis","Coffea","","sahafaryensis",NA,NA,"","","kew-45713",TRUE,"1.1","Accepted","Rubiaceae","Coffea","","sahafaryensis","","","J.-F.Leroy","kew-45713","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Coffea sakarahae","Coffea","","sakarahae",NA,NA,"","","kew-45714",TRUE,"1.1","Accepted","Rubiaceae","Coffea","","sakarahae","","","J.-F.Leroy","kew-45714","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Coffea salvatrix","Coffea","","salvatrix",NA,NA,"","","kew-45716",TRUE,"1.1","Accepted","Rubiaceae","Coffea","","salvatrix","","","Swynn. & Philipson","kew-45716","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Coffea sambavensis","Coffea","","sambavensis",NA,NA,"","","kew-216442",TRUE,"1.1","Accepted","Rubiaceae","Coffea","","sambavensis","","","J.-F.Leroy ex A.P.Davis & Rakotonas.","kew-216442","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Coffea sapinii","Coffea","","sapinii",NA,NA,"","","kew-462840",TRUE,"1.1","Accepted","Rubiaceae","Coffea","","sapinii","","","(De Wild.) A.P.Davis","kew-462840","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Coffea schliebenii","Coffea","","schliebenii",NA,NA,"","","kew-45719",TRUE,"1.1","Accepted","Rubiaceae","Coffea","","schliebenii","","","Bridson","kew-45719","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Coffea semsei","Coffea","","semsei",NA,NA,"","","kew-462833",TRUE,"1.1","Accepted","Rubiaceae","Coffea","","semsei","","","(Bridson) A.P.Davis","kew-462833","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Coffea sessiliflora","Coffea","","sessiliflora",NA,NA,"","","kew-45723",TRUE,"1.1","Accepted","Rubiaceae","Coffea","","sessiliflora","","","Bridson","kew-45723","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Coffea spp","Coffea","","spp",NA,NA,"","","kew-45709",TRUE,"1.1","Unresolved","Rubiaceae","Coffea","","rosea","","","Moc. & Sessé ex DC.","kew-45709","Unresolved",TRUE,FALSE,FALSE,2017-05-11
"Coffea stenophylla","Coffea","","stenophylla",NA,NA,"","","kew-45730",TRUE,"1.1","Accepted","Rubiaceae","Coffea","","stenophylla","","","G.Don","kew-45730","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Coffea tetragona","Coffea","","tetragona",NA,NA,"","","kew-45744",TRUE,"1.1","Accepted","Rubiaceae","Coffea","","tetragona","","","Jum. & H.Perrier","kew-45744","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Coffea togoensis","Coffea","","togoensis",NA,NA,"","","kew-45747",TRUE,"1.1","Accepted","Rubiaceae","Coffea","","togoensis","","","A.Chev.","kew-45747","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Coffea travancorensis","Coffea","","travancorensis",NA,NA,"","","kew-45748",TRUE,"1.1","Accepted","Rubiaceae","Coffea","","travancorensis","","","Wight & Arn.","kew-45748","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Coffea tricalysioides","Coffea","","tricalysioides",NA,NA,"","","kew-45749",TRUE,"1.1","Accepted","Rubiaceae","Coffea","","tricalysioides","","","J.-F.Leroy","kew-45749","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Coffea tsirananae","Coffea","","tsirananae",NA,NA,"","","kew-45753",TRUE,"1.1","Accepted","Rubiaceae","Coffea","","tsirananae","","","J.-F.Leroy","kew-45753","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Coffea vatovavyensis","Coffea","","vatovavyensis",NA,NA,"","","kew-45760",TRUE,"1.1","Accepted","Rubiaceae","Coffea","","vatovavyensis","","","J.-F.Leroy","kew-45760","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Coffea vianneyi","Coffea","","vianneyi",NA,NA,"","","kew-45766",TRUE,"1.1","Accepted","Rubiaceae","Coffea","","vianneyi","","","J.-F.Leroy","kew-45766","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Coffea wightiana","Coffea","","wightiana",NA,NA,"","","kew-45772",TRUE,"1.1","Accepted","Rubiaceae","Coffea","","wightiana","","","Wall. ex Wight & Arn.","kew-45772","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Coffea zanguebariae","Coffea","","zanguebariae",NA,NA,"","","kew-45773",TRUE,"1.1","Accepted","Rubiaceae","Coffea","","zanguebariae","","","Lour.","kew-45773","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Cogniauxia podolaena","Cogniauxia","","podolaena",NA,NA,"","","kew-2730319",TRUE,"1.1","Accepted","Cucurbitaceae","Cogniauxia","","podolaena","","","Baill.","kew-2730319","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Coilochilus neocaledonicum","Coilochilus","","neocaledonicum",NA,NA,"","","kew-45797",TRUE,"1.1","Accepted","Orchidaceae","Coilochilus","","neocaledonicum","","","Schltr.","kew-45797","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Coincya longirostra","Coincya","","longirostra",NA,NA,"","","kew-2730473",TRUE,"1.1","Accepted","Brassicaceae","Coincya","","longirostra","","","(Boiss.) Greuter & Burdet","kew-2730473","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Coincya monensis","Coincya","","monensis",NA,NA,"","","kew-2730475",TRUE,"1.1","Accepted","Brassicaceae","Coincya","","monensis","","","(L.) Greuter & Burdet","kew-2730475","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Coincya rupestris","Coincya","","rupestris",NA,NA,"","","kew-2730501",TRUE,"1.1","Accepted","Brassicaceae","Coincya","","rupestris","","","Porta & Rigo ex Rouy","kew-2730501","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Coincya wrightii","Coincya","","wrightii",NA,NA,"","","kew-2730506",TRUE,"1.1","Accepted","Brassicaceae","Coincya","","wrightii","","","(O.E.Schultz) Stace","kew-2730506","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Coix aquatica","Coix","","aquatica",NA,NA,"","","kew-405615",TRUE,"1.1","Accepted","Poaceae","Coix","","aquatica","","","Roxb.","kew-405615","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Coix gasteenii","Coix","","gasteenii",NA,NA,"","","kew-405624",TRUE,"1.1","Accepted","Poaceae","Coix","","gasteenii","","","B.K.Simon","kew-405624","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Coix lacryma","Coix","","lacryma",NA,NA,"","","kew-405632",TRUE,"1.1","Synonym","Poaceae","Coix","","lacryma-jobi","","","L.","kew-405633","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Cojoba catenata","Cojoba","","catenata",NA,NA,"","","ild-17519",TRUE,"1.1","Accepted","Leguminosae","Cojoba","","catenata","","","(Donn.Sm.) Britton & Rose","ild-17519","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Cojoba costaricensis","Cojoba","","costaricensis",NA,NA,"","","ild-17527",TRUE,"1.1","Accepted","Leguminosae","Cojoba","","costaricensis","","","Britton & Rose","ild-17527","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Cojoba rufescens","Cojoba","","rufescens",NA,NA,"","","ild-17602",TRUE,"1.1","Accepted","Leguminosae","Cojoba","","rufescens","","","(Benth.) Britton & Rose","ild-17602","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Cola acuminata","Cola","","acuminata",NA,NA,"","","kew-2730552",TRUE,"1.1","Accepted","Malvaceae","Cola","","acuminata","","","(P.Beauv.) Schott & Endl.","kew-2730552","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Cola cauliflora","Cola","","cauliflora",NA,NA,"","","kew-2730578",TRUE,"1.1","Accepted","Malvaceae","Cola","","cauliflora","","","Mast.","kew-2730578","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Cola digitata","Cola","","digitata",NA,NA,"","","kew-2730590",TRUE,"1.1","Accepted","Malvaceae","Cola","","digitata","","","Mast.","kew-2730590","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Cola greenwayi","Cola","","greenwayi",NA,NA,"","","kew-2730612",TRUE,"1.1","Accepted","Malvaceae","Cola","","greenwayi","","","Brenan","kew-2730612","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Cola lateritia","Cola","","lateritia",NA,NA,"","","kew-2730625",TRUE,"1.1","Accepted","Malvaceae","Cola","","lateritia","","","K.Schum.","kew-2730625","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Cola lepidota","Cola","","lepidota",NA,NA,"","","kew-2730630",TRUE,"1.1","Accepted","Malvaceae","Cola","","lepidota","","","K.Schum.","kew-2730630","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Cola millenii","Cola","","millenii",NA,NA,"","","kew-2730657",TRUE,"1.1","Accepted","Malvaceae","Cola","","millenii","","","K.Schum.","kew-2730657","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Cola mossambicensis","Cola","","mossambicensis",NA,NA,"","","kew-2730662",TRUE,"1.1","Accepted","Malvaceae","Cola","","mossambicensis","","","Wild","kew-2730662","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Cola natalensis","Cola","","natalensis",NA,NA,"","","kew-2730666",TRUE,"1.1","Accepted","Malvaceae","Cola","","natalensis","","","Oliv.","kew-2730666","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Cola nitida","Cola","","nitida",NA,NA,"","","kew-2730669",TRUE,"1.1","Accepted","Malvaceae","Cola","","nitida","","","(Vent.) Schott & Endl.","kew-2730669","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Colanthelia distans","Colanthelia","","distans",NA,NA,"","","kew-405662",TRUE,"1.1","Accepted","Poaceae","Colanthelia","","distans","","","(Trin.) McClure","kew-405662","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Cola rostrata","Cola","","rostrata",NA,NA,"","","kew-2730692",TRUE,"1.1","Accepted","Malvaceae","Cola","","rostrata","","","K.Schum.","kew-2730692","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Cola semecarpophylla","Cola","","semecarpophylla",NA,NA,"","","kew-2730698",TRUE,"1.1","Accepted","Malvaceae","Cola","","semecarpophylla","","","K.Schum.","kew-2730698","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Cola suboppositifolia","Cola","","suboppositifolia",NA,NA,"","","kew-2730705",TRUE,"1.1","Accepted","Malvaceae","Cola","","suboppositifolia","","","Cheek","kew-2730705","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Colchicum alpinum","Colchicum","","alpinum",NA,NA,"","","kew-302755",TRUE,"1.1","Accepted","Colchicaceae","Colchicum","","alpinum","","","DC.","kew-302755","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Colchicum androcymbioides","Colchicum","","androcymbioides",NA,NA,"","","kew-349047",TRUE,"1.1","Accepted","Colchicaceae","Colchicum","","androcymbioides","","","(Valdés) K.Perss.","kew-349047","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Colchicum antepense","Colchicum","","antepense",NA,NA,"","","kew-349048",TRUE,"1.1","Accepted","Colchicaceae","Colchicum","","antepense","","","K.Perss.","kew-349048","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Colchicum antilibanoticum","Colchicum","","antilibanoticum",NA,NA,"","","kew-302761",TRUE,"1.1","Accepted","Colchicaceae","Colchicum","","antilibanoticum","","","Gomb.","kew-302761","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Colchicum arenarium","Colchicum","","arenarium",NA,NA,"","","kew-302762",TRUE,"1.1","Accepted","Colchicaceae","Colchicum","","arenarium","","","Waldst. & Kit.","kew-302762","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Colchicum arenasii","Colchicum","","arenasii",NA,NA,"","","kew-302766",TRUE,"1.1","Accepted","Colchicaceae","Colchicum","","arenasii","","","Fridl.","kew-302766","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Colchicum asteranthum","Colchicum","","asteranthum",NA,NA,"","","kew-302768",TRUE,"1.1","Accepted","Colchicaceae","Colchicum","","asteranthum","","","Vassiliades & K.M.Perss.","kew-302768","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Colchicum atticum","Colchicum","","atticum",NA,NA,"","","kew-302770",TRUE,"1.1","Accepted","Colchicaceae","Colchicum","","atticum","","","Spruner ex Tommas.","kew-302770","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Colchicum autumnale","Colchicum","","autumnale",NA,NA,"","","kew-302771",TRUE,"1.1","Accepted","Colchicaceae","Colchicum","","autumnale","","","L.","kew-302771","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Colchicum balansae","Colchicum","","balansae",NA,NA,"","","kew-302776",TRUE,"1.1","Accepted","Colchicaceae","Colchicum","","balansae","","","Planch.","kew-302776","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Colchicum baytopiorum","Colchicum","","baytopiorum",NA,NA,"","","kew-302777",TRUE,"1.1","Accepted","Colchicaceae","Colchicum","","baytopiorum","","","C.D.Brickell","kew-302777","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Colchicum bivonae","Colchicum","","bivonae",NA,NA,"","","kew-302783",TRUE,"1.1","Accepted","Colchicaceae","Colchicum","","bivonae","","","Guss.","kew-302783","Accepted",FALSE,FALSE,FALSE,2017-05-11
