"Comptonia peregrina","Comptonia","","peregrina",NA,NA,"","","kew-2733828",TRUE,"1.1","Accepted","Myricaceae","Comptonia","","peregrina","","","(L.) Coult.","kew-2733828","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conandron ramondioides","Conandron","","ramondioides",NA,NA,"","","kew-2733843",TRUE,"1.1","Accepted","Gesneriaceae","Conandron","","ramondioides","","","Siebold & Zucc.","kew-2733843","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conanthera biflora","Conanthera","","biflora",NA,NA,"","","kew-303011",TRUE,"1.1","Synonym","Asparagaceae","Echeandia","","albiflora","","","(Cham. & Schltdl.) M.Martens & Galeotti","kew-305122","Accepted",TRUE,FALSE,FALSE,2017-05-11
"Conanthera bifolia","Conanthera","","bifolia",NA,NA,"","","kew-303012",TRUE,"1.1","Accepted","Tecophilaeaceae","Conanthera","","bifolia","","","Ruiz & Pav.","kew-303012","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conanthera campanulata","Conanthera","","campanulata",NA,NA,"","","kew-303014",TRUE,"1.1","Accepted","Tecophilaeaceae","Conanthera","","campanulata","","","Lindl.","kew-303014","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conanthera sabulosa","Conanthera","","sabulosa",NA,NA,"","","kew-303025",TRUE,"1.1","Synonym","Tecophilaeaceae","Conanthera","","campanulata","","","Lindl.","kew-303014","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conanthera trimaculata","Conanthera","","trimaculata",NA,NA,"","","kew-303028",TRUE,"1.1","Accepted","Tecophilaeaceae","Conanthera","","trimaculata","","","(D.Don) F.Meigen","kew-303028","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conanthera variegata","Conanthera","","variegata",NA,NA,"","","kew-303030",TRUE,"1.1","Synonym","Tecophilaeaceae","Conanthera","","campanulata","","","Lindl.","kew-303014","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conardia compacta","Conardia","","compacta",NA,NA,"","","tro-35140491",TRUE,"1.1","Accepted","Amblystegiaceae","Conardia","","compacta","","","(Müll. Hal.) H. Rob.","tro-35140491","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conceveiba guianensis","Conceveiba","","guianensis",NA,NA,"","","kew-46447",TRUE,"1.1","Accepted","Euphorbiaceae","Conceveiba","","guianensis","","","Aubl.","kew-46447","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conceveiba martiana","Conceveiba","","martiana",NA,NA,"","","kew-46457",TRUE,"1.1","Accepted","Euphorbiaceae","Conceveiba","","martiana","","","Baill.","kew-46457","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conceveiba maynasensis","Conceveiba","","maynasensis",NA,NA,"","","kew-331691",TRUE,"1.1","Accepted","Euphorbiaceae","Conceveiba","","maynasensis","","","Secco","kew-331691","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conceveiba pleiostemona","Conceveiba","","pleiostemona",NA,NA,"","","kew-46461",TRUE,"1.1","Accepted","Euphorbiaceae","Conceveiba","","pleiostemona","","","Donn.Sm.","kew-46461","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conceveiba terminalis","Conceveiba","","terminalis",NA,NA,"","","kew-46469",TRUE,"1.1","Accepted","Euphorbiaceae","Conceveiba","","terminalis","","","(Baill.) Müll.Arg.","kew-46469","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conchidium braccatum","Conchidium","","braccatum",NA,NA,"","","kew-46477",TRUE,"1.1","Accepted","Orchidaceae","Conchidium","","braccatum","","","(Lindl.) Brieger","kew-46477","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conchidium exile","Conchidium","","exile",NA,NA,"","","",FALSE,"1.1","","","Conchidium","","exile",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Conchidium filiforme","Conchidium","","filiforme",NA,NA,"","","kew-46478",TRUE,"1.1","Accepted","Orchidaceae","Conchidium","","filiforme","","","(Wight) Rauschert","kew-46478","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conchidium muscicola","Conchidium","","muscicola",NA,NA,"","","kew-46481",TRUE,"1.1","Accepted","Orchidaceae","Conchidium","","muscicola","","","(Lindl.) Rauschert","kew-46481","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conchocarpus concinnus","Conchocarpus","","concinnus",NA,NA,"","","kew-2733906",TRUE,"1.1","Accepted","Rutaceae","Conchocarpus","","concinnus","","","Kallunki","kew-2733906","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conchocarpus heterophyllus","Conchocarpus","","heterophyllus",NA,NA,"","","kew-2733922",TRUE,"1.1","Accepted","Rutaceae","Conchocarpus","","heterophyllus","","","(A.St.-Hil.) Kallunki & Pirani","kew-2733922","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conchocarpus macrophyllus","Conchocarpus","","macrophyllus",NA,NA,"","","kew-2733930",TRUE,"1.1","Accepted","Rutaceae","Conchocarpus","","macrophyllus","","","J.C.Mikan","kew-2733930","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conchocarpus mastigophorus","Conchocarpus","","mastigophorus",NA,NA,"","","kew-2733932",TRUE,"1.1","Accepted","Rutaceae","Conchocarpus","","mastigophorus","","","Kallunki","kew-2733932","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Conchocarpus minutiflorus","Conchocarpus","","minutiflorus",NA,NA,"","","",FALSE,"1.1","","","Conchocarpus","","minutiflorus",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
