"Ctenitis lepigera","Ctenitis","","lepigera",NA,NA,"","","tro-26611654",TRUE,"1.1","Synonym","Dryopteridaceae","Ctenitis","","subglandulosa","","","(Hance) Ching","tro-26600109","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ctenitis maritima","Ctenitis","","maritima",NA,NA,"","","ifn-19480",TRUE,"1.1","Unresolved","Dryopteridaceae","Ctenitis","","maritima","","","Tardieu","ifn-19480","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Ctenitis microlepigera","Ctenitis","","microlepigera",NA,NA,"","","tro-26611658",TRUE,"1.1","Accepted","Dryopteridaceae","Ctenitis","","microlepigera","","","(Nakai) Ching","tro-26611658","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ctenitis refulgens","Ctenitis","","refulgens",NA,NA,"","","tro-26607125",TRUE,"1.1","Accepted","Dryopteridaceae","Ctenitis","","refulgens","","","(Klotzsch ex Mett.) C. Chr. ex Vareschi","tro-26607125","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ctenitis subglandulosa","Ctenitis","","subglandulosa",NA,NA,"","","tro-26600109",TRUE,"1.1","Accepted","Dryopteridaceae","Ctenitis","","subglandulosa","","","(Hance) Ching","tro-26600109","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ctenitis yunnanensis","Ctenitis","","yunnanensis",NA,NA,"","","tro-50050112",TRUE,"1.1","Synonym","Dryopteridaceae","Ctenitis","","dumrongii","","","Tagawa & K. Iwats.","tro-26612830","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ctenium aromaticum","Ctenium","","aromaticum",NA,NA,"","","kew-406009",TRUE,"1.1","Accepted","Poaceae","Ctenium","","aromaticum","","","(Walter) Alph.Wood","kew-406009","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ctenium brevispicatum","Ctenium","","brevispicatum",NA,NA,"","","kew-406012",TRUE,"1.1","Accepted","Poaceae","Ctenium","","brevispicatum","","","J.G.Sm.","kew-406012","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ctenium cirrhosum","Ctenium","","cirrhosum",NA,NA,"","","kew-406017",TRUE,"1.1","Accepted","Poaceae","Ctenium","","cirrhosum","","","(Nees) Kunth","kew-406017","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ctenium concinnum","Ctenium","","concinnum",NA,NA,"","","kew-406019",TRUE,"1.1","Accepted","Poaceae","Ctenium","","concinnum","","","Nees","kew-406019","Accepted",FALSE,FALSE,FALSE,2017-05-11
