"Damnxanthodium calvum","Damnxanthodium","","calvum",NA,NA,"","","gcc-91111",TRUE,"1.1","Accepted","Compositae","Damnxanthodium","","calvum","","","(Greenm.) Strother","gcc-91111","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dampiera adpressa","Dampiera","","adpressa",NA,NA,"","","kew-2756593",TRUE,"1.1","Accepted","Goodeniaceae","Dampiera","","adpressa","","","A.Cunn. ex DC.","kew-2756593","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dampiera alata","Dampiera","","alata",NA,NA,"","","kew-2756594",TRUE,"1.1","Accepted","Goodeniaceae","Dampiera","","alata","","","Lindl.","kew-2756594","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dampiera altissima","Dampiera","","altissima",NA,NA,"","","kew-2756595",TRUE,"1.1","Accepted","Goodeniaceae","Dampiera","","altissima","","","F.Muell. ex Benth.","kew-2756595","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dampiera angulata","Dampiera","","angulata",NA,NA,"","","kew-2756597",TRUE,"1.1","Accepted","Goodeniaceae","Dampiera","","angulata","","","Rajput & Carolin","kew-2756597","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dampiera anonyma","Dampiera","","anonyma",NA,NA,"","","kew-2756598",TRUE,"1.1","Accepted","Goodeniaceae","Dampiera","","anonyma","","","Lepschi & Trudgen","kew-2756598","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dampiera atriplicina","Dampiera","","atriplicina",NA,NA,"","","kew-2756600",TRUE,"1.1","Accepted","Goodeniaceae","Dampiera","","atriplicina","","","Gardner ex Rajput & Carolin","kew-2756600","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dampiera candicans","Dampiera","","candicans",NA,NA,"","","kew-2756606",TRUE,"1.1","Accepted","Goodeniaceae","Dampiera","","candicans","","","F.Muell.","kew-2756606","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dampiera carinata","Dampiera","","carinata",NA,NA,"","","kew-2756608",TRUE,"1.1","Accepted","Goodeniaceae","Dampiera","","carinata","","","Benth.","kew-2756608","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dampiera cinerea","Dampiera","","cinerea",NA,NA,"","","kew-2756611",TRUE,"1.1","Accepted","Goodeniaceae","Dampiera","","cinerea","","","Ewart & O.B.Davies","kew-2756611","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dampiera conospermoides","Dampiera","","conospermoides",NA,NA,"","","kew-2756612",TRUE,"1.1","Accepted","Goodeniaceae","Dampiera","","conospermoides","","","W.Fitzg.","kew-2756612","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dampiera dentata","Dampiera","","dentata",NA,NA,"","","kew-2756619",TRUE,"1.1","Accepted","Goodeniaceae","Dampiera","","dentata","","","Rajput","kew-2756619","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dampiera discolor","Dampiera","","discolor",NA,NA,"","","kew-2756621",TRUE,"1.1","Accepted","Goodeniaceae","Dampiera","","discolor","","","(de Vriese) K.Krause","kew-2756621","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dampiera diversifolia","Dampiera","","diversifolia",NA,NA,"","","kew-2756622",TRUE,"1.1","Accepted","Goodeniaceae","Dampiera","","diversifolia","","","de Vriese","kew-2756622","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dampiera dysantha","Dampiera","","dysantha",NA,NA,"","","kew-2756625",TRUE,"1.1","Accepted","Goodeniaceae","Dampiera","","dysantha","","","(Benth.) Rajput & Carolin","kew-2756625","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dampiera eriocephala","Dampiera","","eriocephala",NA,NA,"","","kew-2756629",TRUE,"1.1","Accepted","Goodeniaceae","Dampiera","","eriocephala","","","de Vriese","kew-2756629","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dampiera fasciculata","Dampiera","","fasciculata",NA,NA,"","","kew-2756632",TRUE,"1.1","Accepted","Goodeniaceae","Dampiera","","fasciculata","","","R.Br.","kew-2756632","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dampiera ferruginea","Dampiera","","ferruginea",NA,NA,"","","kew-2756635",TRUE,"1.1","Accepted","Goodeniaceae","Dampiera","","ferruginea","","","R.Br.","kew-2756635","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dampiera fusca","Dampiera","","fusca",NA,NA,"","","kew-2756637",TRUE,"1.1","Accepted","Goodeniaceae","Dampiera","","fusca","","","Rajput & Carolin","kew-2756637","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dampiera glabrescens","Dampiera","","glabrescens",NA,NA,"","","kew-2756639",TRUE,"1.1","Accepted","Goodeniaceae","Dampiera","","glabrescens","","","Benth.","kew-2756639","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dampiera haematotricha","Dampiera","","haematotricha",NA,NA,"","","kew-2756641",TRUE,"1.1","Accepted","Goodeniaceae","Dampiera","","haematotricha","","","de Vriese","kew-2756641","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dampiera hederacea","Dampiera","","hederacea",NA,NA,"","","kew-2756643",TRUE,"1.1","Accepted","Goodeniaceae","Dampiera","","hederacea","","","R.Br.","kew-2756643","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dampiera incana","Dampiera","","incana",NA,NA,"","","kew-2756647",TRUE,"1.1","Accepted","Goodeniaceae","Dampiera","","incana","","","R.Br.","kew-2756647","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dampiera juncea","Dampiera","","juncea",NA,NA,"","","kew-2756650",TRUE,"1.1","Accepted","Goodeniaceae","Dampiera","","juncea","","","Benth.","kew-2756650","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dampiera lanceolata","Dampiera","","lanceolata",NA,NA,"","","kew-2756652",TRUE,"1.1","Accepted","Goodeniaceae","Dampiera","","lanceolata","","","A.Cunn. ex DC.","kew-2756652","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dampiera lavandulacea","Dampiera","","lavandulacea",NA,NA,"","","kew-2756657",TRUE,"1.1","Accepted","Goodeniaceae","Dampiera","","lavandulacea","","","Lindl.","kew-2756657","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dampiera lindleyi","Dampiera","","lindleyi",NA,NA,"","","kew-2756660",TRUE,"1.1","Accepted","Goodeniaceae","Dampiera","","lindleyi","","","de Vriese","kew-2756660","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dampiera linearis","Dampiera","","linearis",NA,NA,"","","kew-2756662",TRUE,"1.1","Accepted","Goodeniaceae","Dampiera","","linearis","","","R.Br.","kew-2756662","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dampiera loranthifolia","Dampiera","","loranthifolia",NA,NA,"","","kew-2756667",TRUE,"1.1","Accepted","Goodeniaceae","Dampiera","","loranthifolia","","","F.Muell. ex Benth.","kew-2756667","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dampiera marifolia","Dampiera","","marifolia",NA,NA,"","","kew-2756670",TRUE,"1.1","Accepted","Goodeniaceae","Dampiera","","marifolia","","","Benth.","kew-2756670","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dampiera purpurea","Dampiera","","purpurea",NA,NA,"","","kew-2756688",TRUE,"1.1","Accepted","Goodeniaceae","Dampiera","","purpurea","","","R.Br.","kew-2756688","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dampiera ramosa","Dampiera","","ramosa",NA,NA,"","","kew-2756689",TRUE,"1.1","Accepted","Goodeniaceae","Dampiera","","ramosa","","","Rajput & Carolin","kew-2756689","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dampiera rosmarinifolia","Dampiera","","rosmarinifolia",NA,NA,"","","kew-2756697",TRUE,"1.1","Accepted","Goodeniaceae","Dampiera","","rosmarinifolia","","","Schltdl.","kew-2756697","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dampiera salahae","Dampiera","","salahae",NA,NA,"","","kew-2756703",TRUE,"1.1","Accepted","Goodeniaceae","Dampiera","","salahae","","","Rajput & Carolin","kew-2756703","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dampiera scaevolina","Dampiera","","scaevolina",NA,NA,"","","kew-2756704",TRUE,"1.1","Accepted","Goodeniaceae","Dampiera","","scaevolina","","","Gardner ex Rajput & Carolin","kew-2756704","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dampiera spicigera","Dampiera","","spicigera",NA,NA,"","","kew-2756707",TRUE,"1.1","Accepted","Goodeniaceae","Dampiera","","spicigera","","","Benth.","kew-2756707","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dampiera stricta","Dampiera","","stricta",NA,NA,"","","kew-2756712",TRUE,"1.1","Accepted","Goodeniaceae","Dampiera","","stricta","","","(Sm.) R.Br.","kew-2756712","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dampiera teres","Dampiera","","teres",NA,NA,"","","kew-2756721",TRUE,"1.1","Accepted","Goodeniaceae","Dampiera","","teres","","","Lindl.","kew-2756721","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dampiera trigona","Dampiera","","trigona",NA,NA,"","","kew-2756724",TRUE,"1.1","Accepted","Goodeniaceae","Dampiera","","trigona","","","de Vriese","kew-2756724","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dampiera wellsiana","Dampiera","","wellsiana",NA,NA,"","","kew-2756730",TRUE,"1.1","Accepted","Goodeniaceae","Dampiera","","wellsiana","","","F.Muell.","kew-2756730","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Damrongia clarkeana","Damrongia","","clarkeana",NA,NA,"","","",FALSE,"1.1","","","Damrongia","","clarkeana",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Damrongia fulva","Damrongia","","fulva",NA,NA,"","","kew-2903658",TRUE,"1.1","Accepted","Gesneriaceae","Damrongia","","fulva","","","(Barnett) D.J.Middleton & A.Weber","kew-2903658","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Damrongia lacunosa","Damrongia","","lacunosa",NA,NA,"","","kew-2903726",TRUE,"1.1","Accepted","Gesneriaceae","Damrongia","","lacunosa","","","(Hook.f.) D.J.Middleton & A.Weber","kew-2903726","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Damrongia orientalis","Damrongia","","orientalis",NA,NA,"","","",FALSE,"1.1","","","Damrongia","","orientalis",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Damrongia purpureolineata","Damrongia","","purpureolineata",NA,NA,"","","kew-2756733",TRUE,"1.1","Accepted","Gesneriaceae","Damrongia","","purpureolineata","","","Kerr ex Craib","kew-2756733","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Damrongia sumatrana","Damrongia","","sumatrana",NA,NA,"","","",FALSE,"1.1","","","Damrongia","","sumatrana",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Damrongia trisepala","Damrongia","","trisepala",NA,NA,"","","kew-2903708",TRUE,"1.1","Accepted","Gesneriaceae","Damrongia","","trisepala","","","(Barnett) D.J.Middleton & A.Weber","kew-2903708","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Danaea elliptica","Danaea","","elliptica",NA,NA,"","","tro-26602142",TRUE,"1.1","Accepted","Marattiaceae","Danaea","","elliptica","","","Sm.","tro-26602142","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Danaea leussinkiana","Danaea","","leussinkiana",NA,NA,"","","tro-100364119",TRUE,"1.1","Unresolved","Marattiaceae","Danaea","","leussinkiana","","","Christenh.","tro-100364119","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Danaea moritziana","Danaea","","moritziana",NA,NA,"","","tro-26606107",TRUE,"1.1","Accepted","Marattiaceae","Danaea","","moritziana","","","C. Presl","tro-26606107","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Danaea nigrescens","Danaea","","nigrescens",NA,NA,"","","tro-50294002",TRUE,"1.1","Synonym","Marattiaceae","Danaea","","nodosa","","","(L.) Sm.","tro-26602144","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Danae racemosa","Danae","","racemosa",NA,NA,"","","kew-303930",TRUE,"1.1","Accepted","Asparagaceae","Danae","","racemosa","","","(L.) Moench","kew-303930","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Danais comorensis","Danais","","comorensis",NA,NA,"","","kew-56280",TRUE,"1.1","Accepted","Rubiaceae","Danais","","comorensis","","","Drake","kew-56280","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Danais coronata","Danais","","coronata",NA,NA,"","","kew-56281",TRUE,"1.1","Accepted","Rubiaceae","Danais","","coronata","","","(Pers.) Steud.","kew-56281","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Danais fragrans","Danais","","fragrans",NA,NA,"","","kew-56287",TRUE,"1.1","Accepted","Rubiaceae","Danais","","fragrans","","","(Lam.) Pers.","kew-56287","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Danais humblotii","Danais","","humblotii",NA,NA,"","","kew-56292",TRUE,"1.1","Accepted","Rubiaceae","Danais","","humblotii","","","Homolle","kew-56292","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Danais microcarpa","Danais","","microcarpa",NA,NA,"","","kew-56303",TRUE,"1.1","Accepted","Rubiaceae","Danais","","microcarpa","","","Baker","kew-56303","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Danais pubescens","Danais","","pubescens",NA,NA,"","","kew-56310",TRUE,"1.1","Accepted","Rubiaceae","Danais","","pubescens","","","Baker","kew-56310","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Danais rhamnifolia","Danais","","rhamnifolia",NA,NA,"","","kew-56314",TRUE,"1.1","Accepted","Rubiaceae","Danais","","rhamnifolia","","","Baker","kew-56314","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Danais sulcata","Danais","","sulcata",NA,NA,"","","kew-56317",TRUE,"1.1","Accepted","Rubiaceae","Danais","","sulcata","","","Pers.","kew-56317","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Danais vestita","Danais","","vestita",NA,NA,"","","kew-56323",TRUE,"1.1","Accepted","Rubiaceae","Danais","","vestita","","","Baker","kew-56323","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Danais xanthorrhoea","Danais","","xanthorrhoea",NA,NA,"","","kew-56325",TRUE,"1.1","Accepted","Rubiaceae","Danais","","xanthorrhoea","","","(K.Schum.) Bremek.","kew-56325","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dandya balsensis","Dandya","","balsensis",NA,NA,"","","kew-303938",TRUE,"1.1","Accepted","Asparagaceae","Dandya","","balsensis","","","A.R.López-Ferrari & Espejo","kew-303938","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dandya hannibalii","Dandya","","hannibalii",NA,NA,"","","kew-303939",TRUE,"1.1","Accepted","Asparagaceae","Dandya","","hannibalii","","","L.W.Lenz","kew-303939","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dandya thadhowardii","Dandya","","thadhowardii",NA,NA,"","","kew-303941",TRUE,"1.1","Accepted","Asparagaceae","Dandya","","thadhowardii","","","L.W.Lenz","kew-303941","Accepted",FALSE,FALSE,FALSE,2017-05-11
