"Dietes butcheriana","Dietes","","butcheriana",NA,NA,"","","kew-327941",TRUE,"1.1","Accepted","Iridaceae","Dietes","","butcheriana","","","Gerstner","kew-327941","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dietes flavida","Dietes","","flavida",NA,NA,"","","kew-327945",TRUE,"1.1","Accepted","Iridaceae","Dietes","","flavida","","","Oberm.","kew-327945","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dietes grandiflora","Dietes","","grandiflora",NA,NA,"","","kew-327946",TRUE,"1.1","Accepted","Iridaceae","Dietes","","grandiflora","","","N.E.Br.","kew-327946","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dietes iridioides","Dietes","","iridioides",NA,NA,"","","kew-327948",TRUE,"1.1","Accepted","Iridaceae","Dietes","","iridioides","","","(L.) Sweet ex Klatt","kew-327948","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dietes robinsoniana","Dietes","","robinsoniana",NA,NA,"","","kew-327951",TRUE,"1.1","Accepted","Iridaceae","Dietes","","robinsoniana","","","(F.Muell.) Klatt","kew-327951","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Digitacalia crypta","Digitacalia","","crypta",NA,NA,"","","gcc-83229",TRUE,"1.1","Accepted","Compositae","Digitacalia","","crypta","","","B.L.Turner","gcc-83229","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Digitacalia jatrophoides","Digitacalia","","jatrophoides",NA,NA,"","","gcc-48228",TRUE,"1.1","Accepted","Compositae","Digitacalia","","jatrophoides","","","(Kunth) Pippen","gcc-48228","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Digitalis atlantica","Digitalis","","atlantica",NA,NA,"","","kew-2767959",TRUE,"1.1","Accepted","Plantaginaceae","Digitalis","","atlantica","","","Pomel","kew-2767959","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Digitalis cariensis","Digitalis","","cariensis",NA,NA,"","","kew-2767967",TRUE,"1.1","Accepted","Plantaginaceae","Digitalis","","cariensis","","","Boiss. ex Jaub. & Spach","kew-2767967","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Digitalis ciliata","Digitalis","","ciliata",NA,NA,"","","kew-2767975",TRUE,"1.1","Accepted","Plantaginaceae","Digitalis","","ciliata","","","Trautv.","kew-2767975","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Digitalis davisiana","Digitalis","","davisiana",NA,NA,"","","kew-2767980",TRUE,"1.1","Accepted","Plantaginaceae","Digitalis","","davisiana","","","Heywood","kew-2767980","Accepted",FALSE,FALSE,FALSE,2017-05-11
