"Diplasia karatifolia","Diplasia","","karatifolia",NA,NA,"","","kew-241188",TRUE,"1.1","Accepted","Cyperaceae","Diplasia","","karatifolia","","","Rich. ex Pers.","kew-241188","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplasiolejeunea alata","Diplasiolejeunea","","alata",NA,NA,"","","tro-35215330",TRUE,"1.1","Accepted","Lejeuneaceae","Diplasiolejeunea","","alata","","","Jovet-Ast","tro-35215330","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplasiolejeunea andringitrae","Diplasiolejeunea","","andringitrae",NA,NA,"","","tro-35216990",TRUE,"1.1","Accepted","Lejeuneaceae","Diplasiolejeunea","","andringitrae","","","Schaf.-Verw.","tro-35216990","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplasiolejeunea armatiloba","Diplasiolejeunea","","armatiloba",NA,NA,"","","tro-35187460",TRUE,"1.1","Accepted","Lejeuneaceae","Diplasiolejeunea","","armatiloba","","","Stephani","tro-35187460","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplasiolejeunea borhidiana","Diplasiolejeunea","","borhidiana",NA,NA,"","","tro-35201832",TRUE,"1.1","Accepted","Lejeuneaceae","Diplasiolejeunea","","borhidiana","","","Reyes","tro-35201832","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplasiolejeunea brunnea","Diplasiolejeunea","","brunnea",NA,NA,"","","tro-35187339",TRUE,"1.1","Accepted","Lejeuneaceae","Diplasiolejeunea","","brunnea","","","Stephani","tro-35187339","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplasiolejeunea caribea","Diplasiolejeunea","","caribea",NA,NA,"","","tro-35201616",TRUE,"1.1","Accepted","Lejeuneaceae","Diplasiolejeunea","","caribea","","","Tixier","tro-35201616","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplasiolejeunea cavifolia","Diplasiolejeunea","","cavifolia",NA,NA,"","","tro-35202406",TRUE,"1.1","Accepted","Lejeuneaceae","Diplasiolejeunea","","cavifolia","","","Stephani","tro-35202406","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplasiolejeunea cobrensis","Diplasiolejeunea","","cobrensis",NA,NA,"","","tro-35208662",TRUE,"1.1","Accepted","Lejeuneaceae","Diplasiolejeunea","","cobrensis","","","Gottsche ex Stephani","tro-35208662","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplasiolejeunea cornuta","Diplasiolejeunea","","cornuta",NA,NA,"","","tro-35211712",TRUE,"1.1","Accepted","Lejeuneaceae","Diplasiolejeunea","","cornuta","","","Stephani","tro-35211712","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplasiolejeunea cubensis","Diplasiolejeunea","","cubensis",NA,NA,"","","tro-35201681",TRUE,"1.1","Accepted","Lejeuneaceae","Diplasiolejeunea","","cubensis","","","Tixier","tro-35201681","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplasiolejeunea eggersii","Diplasiolejeunea","","eggersii",NA,NA,"","","tro-35216891",TRUE,"1.1","Accepted","Lejeuneaceae","Diplasiolejeunea","","eggersii","","","Pocs","tro-35216891","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplasiolejeunea erostrata","Diplasiolejeunea","","erostrata",NA,NA,"","","tro-35215050",TRUE,"1.1","Accepted","Lejeuneaceae","Diplasiolejeunea","","erostrata","","","Schaf.-Verw.","tro-35215050","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplasiolejeunea ingekarolae","Diplasiolejeunea","","ingekarolae",NA,NA,"","","tro-35216991",TRUE,"1.1","Accepted","Lejeuneaceae","Diplasiolejeunea","","ingekarolae","","","Schaf.-Verw.","tro-35216991","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplasiolejeunea involuta","Diplasiolejeunea","","involuta",NA,NA,"","","tro-35205390",TRUE,"1.1","Unresolved","Lejeuneaceae","Diplasiolejeunea","","involuta","","","S. Winkl.","tro-35205390","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Diplasiolejeunea johnsonii","Diplasiolejeunea","","johnsonii",NA,NA,"","","tro-35210182",TRUE,"1.1","Accepted","Lejeuneaceae","Diplasiolejeunea","","johnsonii","","","A. Evans","tro-35210182","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplasiolejeunea jovet","Diplasiolejeunea","","jovet",NA,NA,"","","tro-35215303",TRUE,"1.1","Accepted","Lejeuneaceae","Diplasiolejeunea","","jonesii","","","Tixier","tro-35215303","Accepted",TRUE,FALSE,FALSE,2017-05-11
"Diplasiolejeunea kraussiana","Diplasiolejeunea","","kraussiana",NA,NA,"","","tro-35202429",TRUE,"1.1","Accepted","Lejeuneaceae","Diplasiolejeunea","","kraussiana","","","(Lindenb.) Spruce","tro-35202429","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplasiolejeunea leiocarpa","Diplasiolejeunea","","leiocarpa",NA,NA,"","","",FALSE,"1.1","","","Diplasiolejeunea","","leiocarpa",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Diplasiolejeunea malleiformis","Diplasiolejeunea","","malleiformis",NA,NA,"","","tro-35201962",TRUE,"1.1","Accepted","Lejeuneaceae","Diplasiolejeunea","","malleiformis","","","(A. Evans) Tixier","tro-35201962","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplasiolejeunea ornata","Diplasiolejeunea","","ornata",NA,NA,"","","tro-35216988",TRUE,"1.1","Accepted","Lejeuneaceae","Diplasiolejeunea","","ornata","","","Pocs & Schaf.-Verw.","tro-35216988","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplasiolejeunea papilionacea","Diplasiolejeunea","","papilionacea",NA,NA,"","","tro-35205391",TRUE,"1.1","Accepted","Lejeuneaceae","Diplasiolejeunea","","papilionacea","","","R.M. Schust.","tro-35205391","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Diplasiolejeunea patelligera","Diplasiolejeunea","","patelligera",NA,NA,"","","",FALSE,"1.1","","","Diplasiolejeunea","","patelligera",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Diplasiolejeunea pauckertii","Diplasiolejeunea","","pauckertii",NA,NA,"","","tro-35205392",TRUE,"1.1","Accepted","Lejeuneaceae","Diplasiolejeunea","","pauckertii","","","Stephani","tro-35205392","Accepted",FALSE,FALSE,FALSE,2017-05-11
