"Distichophyllum montagneanum","Distichophyllum","","montagneanum",NA,NA,"","","tro-35132584",TRUE,"1.1","Accepted","Hookeriaceae","Distichophyllum","","montagneanum","","","(Müll. Hal.) Bosch & Sande Lac.","tro-35132584","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Distichophyllum nigricaule","Distichophyllum","","nigricaule",NA,NA,"","","tro-35132592",TRUE,"1.1","Accepted","Hookeriaceae","Distichophyllum","","nigricaule","","","Mitt. ex Bosch & Sande Lac.","tro-35132592","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Distichophyllum osterwaldii","Distichophyllum","","osterwaldii",NA,NA,"","","tro-35132599",TRUE,"1.1","Accepted","Hookeriaceae","Distichophyllum","","osterwaldii","","","M. Fleisch.","tro-35132599","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Distichophyllum paradoxum","Distichophyllum","","paradoxum",NA,NA,"","","tro-35132601",TRUE,"1.1","Accepted","Hookeriaceae","Distichophyllum","","paradoxum","","","(Mont.) Mitt.","tro-35132601","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Distichophyllum pulchellum","Distichophyllum","","pulchellum",NA,NA,"","","tro-35132608",TRUE,"1.1","Accepted","Hookeriaceae","Distichophyllum","","pulchellum","","","(Hampe) Mitt.","tro-35132608","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Distichophyllum rakotomariae","Distichophyllum","","rakotomariae",NA,NA,"","","tro-35140572",TRUE,"1.1","Accepted","Hookeriaceae","Distichophyllum","","rakotomariae","","","Crosby","tro-35140572","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Distichophyllum rigidicaule","Distichophyllum","","rigidicaule",NA,NA,"","","tro-35132615",TRUE,"1.1","Accepted","Hookeriaceae","Distichophyllum","","rigidicaule","","","(Dusén) Broth.","tro-35132615","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Distichophyllum rotundifolium","Distichophyllum","","rotundifolium",NA,NA,"","","tro-35132617",TRUE,"1.1","Accepted","Hookeriaceae","Distichophyllum","","rotundifolium","","","(Hook. f. & Wilson) Müll. Hal. & Broth.","tro-35132617","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Distichophyllum schmidtii","Distichophyllum","","schmidtii",NA,NA,"","","tro-35132621",TRUE,"1.1","Accepted","Hookeriaceae","Distichophyllum","","schmidtii","","","Broth.","tro-35132621","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Distichophyllum spathulatum","Distichophyllum","","spathulatum",NA,NA,"","","tro-35132627",TRUE,"1.1","Accepted","Hookeriaceae","Distichophyllum","","spathulatum","","","(Dozy & Molk.) Dozy & Molk.","tro-35132627","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Distichophyllum subcuspidatum","Distichophyllum","","subcuspidatum",NA,NA,"","","tro-35169529",TRUE,"1.1","Accepted","Hookeriaceae","Distichophyllum","","subcuspidatum","","","Nog. & Z. Iwats.","tro-35169529","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Distichophyllum subnigricaule","Distichophyllum","","subnigricaule",NA,NA,"","","tro-35186826",TRUE,"1.1","Accepted","Hookeriaceae","Distichophyllum","","subnigricaule","","","Broth.","tro-35186826","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Distichophyllum succulentum","Distichophyllum","","succulentum",NA,NA,"","","tro-35132637",TRUE,"1.1","Accepted","Hookeriaceae","Distichophyllum","","succulentum","","","(Mitt.) Broth.","tro-35132637","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Distichophyllum tortile","Distichophyllum","","tortile",NA,NA,"","","tro-35132642",TRUE,"1.1","Accepted","Hookeriaceae","Distichophyllum","","tortile","","","Dozy & Molk. ex Bosch & Sande Lac.","tro-35132642","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Distichophyllum wanianum","Distichophyllum","","wanianum",NA,NA,"","","tro-35189631",TRUE,"1.1","Accepted","Hookeriaceae","Distichophyllum","","wanianum","","","B.C. Tan & P.J. Lin","tro-35189631","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Distichostemon arnhemicus","Distichostemon","","arnhemicus",NA,NA,"","","kew-2773261",TRUE,"1.1","Accepted","Sapindaceae","Distichostemon","","arnhemicus","","","S.T.Reynolds","kew-2773261","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Distichostemon barklyanus","Distichostemon","","barklyanus",NA,NA,"","","kew-2773262",TRUE,"1.1","Accepted","Sapindaceae","Distichostemon","","barklyanus","","","S.T.Reynolds","kew-2773262","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Distichostemon dodecandrus","Distichostemon","","dodecandrus",NA,NA,"","","kew-2773263",TRUE,"1.1","Accepted","Sapindaceae","Distichostemon","","dodecandrus","","","Domin","kew-2773263","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Distichostemon filamentosus","Distichostemon","","filamentosus",NA,NA,"","","kew-2773264",TRUE,"1.1","Accepted","Sapindaceae","Distichostemon","","filamentosus","","","S.Moore","kew-2773264","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Distichostemon hispidulus","Distichostemon","","hispidulus",NA,NA,"","","kew-2773265",TRUE,"1.1","Accepted","Sapindaceae","Distichostemon","","hispidulus","","","(Endl.) Baill.","kew-2773265","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Distichostemon malvaceus","Distichostemon","","malvaceus",NA,NA,"","","kew-2773268",TRUE,"1.1","Accepted","Sapindaceae","Distichostemon","","malvaceus","","","Domin","kew-2773268","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Distyliopsis dunnii","Distyliopsis","","dunnii",NA,NA,"","","kew-2773278",TRUE,"1.1","Accepted","Hamamelidaceae","Distyliopsis","","dunnii","","","(J.H.Hemsl.) Endress","kew-2773278","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Distyliopsis tutcheri","Distyliopsis","","tutcheri",NA,NA,"","","kew-2773282",TRUE,"1.1","Accepted","Hamamelidaceae","Distyliopsis","","tutcheri","","","(J.H.Hemsl.) Endress","kew-2773282","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Distylium buxifolium","Distylium","","buxifolium",NA,NA,"","","kew-2773288",TRUE,"1.1","Accepted","Hamamelidaceae","Distylium","","buxifolium","","","(Hance) Merr.","kew-2773288","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Distylium lepidotum","Distylium","","lepidotum",NA,NA,"","","kew-2773301",TRUE,"1.1","Accepted","Hamamelidaceae","Distylium","","lepidotum","","","Nakai","kew-2773301","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Distylium myricoides","Distylium","","myricoides",NA,NA,"","","kew-2773304",TRUE,"1.1","Accepted","Hamamelidaceae","Distylium","","myricoides","","","Hemsl.","kew-2773304","Accepted",FALSE,FALSE,FALSE,2017-05-11
