"Dracaena arborea","Dracaena","","arborea",NA,NA,"","","kew-304565",TRUE,"1.1","Accepted","Asparagaceae","Dracaena","","arborea","","","(Willd.) Link","kew-304565","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dracaena aubryana","Dracaena","","aubryana",NA,NA,"","","kew-304571",TRUE,"1.1","Accepted","Asparagaceae","Dracaena","","aubryana","","","Brongn. ex E.Morren","kew-304571","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dracaena bicolor","Dracaena","","bicolor",NA,NA,"","","kew-304586",TRUE,"1.1","Accepted","Asparagaceae","Dracaena","","bicolor","","","Hook.","kew-304586","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dracaena borneensis","Dracaena","","borneensis",NA,NA,"","","kew-372560",TRUE,"1.1","Accepted","Asparagaceae","Dracaena","","borneensis","","","(Merr.) Jankalski","kew-372560","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dracaena braunii","Dracaena","","braunii",NA,NA,"","","kew-304592",TRUE,"1.1","Accepted","Asparagaceae","Dracaena","","braunii","","","Engl.","kew-304592","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dracaena bueana","Dracaena","","bueana",NA,NA,"","","kew-304594",TRUE,"1.1","Accepted","Asparagaceae","Dracaena","","bueana","","","Engl.","kew-304594","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dracaena cambodiana","Dracaena","","cambodiana",NA,NA,"","","kew-304598",TRUE,"1.1","Accepted","Asparagaceae","Dracaena","","cambodiana","","","Pierre ex Gagnep.","kew-304598","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dracaena camerooniana","Dracaena","","camerooniana",NA,NA,"","","kew-304599",TRUE,"1.1","Accepted","Asparagaceae","Dracaena","","camerooniana","","","Baker","kew-304599","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dracaena cantleyi","Dracaena","","cantleyi",NA,NA,"","","kew-304601",TRUE,"1.1","Accepted","Asparagaceae","Dracaena","","cantleyi","","","Baker","kew-304601","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dracaena cinnabari","Dracaena","","cinnabari",NA,NA,"","","kew-304609",TRUE,"1.1","Accepted","Asparagaceae","Dracaena","","cinnabari","","","Balf.f.","kew-304609","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dracaena cochinchinensis","Dracaena","","cochinchinensis",NA,NA,"","","kew-304610",TRUE,"1.1","Accepted","Asparagaceae","Dracaena","","cochinchinensis","","","(Lour.) S.C.Chen","kew-304610","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dracaena concinna","Dracaena","","concinna",NA,NA,"","","kew-304612",TRUE,"1.1","Accepted","Asparagaceae","Dracaena","","concinna","","","Kunth","kew-304612","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dracaena congoensis","Dracaena","","congoensis",NA,NA,"","","kew-304616",TRUE,"1.1","Accepted","Asparagaceae","Dracaena","","congoensis","","","Hua","kew-304616","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dracaena cubensis","Dracaena","","cubensis",NA,NA,"","","kew-304620",TRUE,"1.1","Accepted","Asparagaceae","Dracaena","","cubensis","","","Vict.","kew-304620","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dracaena deremensis","Dracaena","","deremensis",NA,NA,"","","kew-304630",TRUE,"1.1","Synonym","Asparagaceae","Dracaena","","fragrans","","","(L.) Ker Gawl.","kew-304662","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dracaena draco","Dracaena","","draco",NA,NA,"","","kew-304633",TRUE,"1.1","Accepted","Asparagaceae","Dracaena","","draco","","","(L.) L.","kew-304633","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dracaena ellenbeckiana","Dracaena","","ellenbeckiana",NA,NA,"","","kew-304638",TRUE,"1.1","Accepted","Asparagaceae","Dracaena","","ellenbeckiana","","","Engl.","kew-304638","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dracaena floribunda","Dracaena","","floribunda",NA,NA,"","","kew-304657",TRUE,"1.1","Accepted","Asparagaceae","Dracaena","","floribunda","","","Baker","kew-304657","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dracaena fragrans","Dracaena","","fragrans",NA,NA,"","","kew-304662",TRUE,"1.1","Accepted","Asparagaceae","Dracaena","","fragrans","","","(L.) Ker Gawl.","kew-304662","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dracaena godseffiana","Dracaena","","godseffiana",NA,NA,"","","kew-304673",TRUE,"1.1","Synonym","Asparagaceae","Dracaena","","surculosa","","","Lindl.","kew-304837","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dracaena goldieana","Dracaena","","goldieana",NA,NA,"","","kew-304674",TRUE,"1.1","Accepted","Asparagaceae","Dracaena","","goldieana","","","W.Bull ex Mast. & Moore","kew-304674","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dracaena granulata","Dracaena","","granulata",NA,NA,"","","kew-304679",TRUE,"1.1","Accepted","Asparagaceae","Dracaena","","granulata","","","Hook.f.","kew-304679","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dracaena interrupta","Dracaena","","interrupta",NA,NA,"","","kew-304699",TRUE,"1.1","Synonym","Asparagaceae","Dracaena","","surculosa","var.","maculata","Hook.f.","kew-304839","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dracaena laxissima","Dracaena","","laxissima",NA,NA,"","","kew-304712",TRUE,"1.1","Accepted","Asparagaceae","Dracaena","","laxissima","","","Engl.","kew-304712","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dracaena maingayi","Dracaena","","maingayi",NA,NA,"","","kew-304729",TRUE,"1.1","Accepted","Asparagaceae","Dracaena","","maingayi","","","Hook.f.","kew-304729","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dracaena mannii","Dracaena","","mannii",NA,NA,"","","kew-304731",TRUE,"1.1","Accepted","Asparagaceae","Dracaena","","mannii","","","Baker","kew-304731","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dracaena marginata","Dracaena","","marginata",NA,NA,"","","tro-18403440",TRUE,"1.1","Accepted","Asparagaceae","Dracaena","","marginata","","","hort.","tro-18403440","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dracaena multiflora","Dracaena","","multiflora",NA,NA,"","","kew-309899",TRUE,"1.1","Accepted","Asparagaceae","Dracaena","","multiflora","","","Warb. ex Sarasin","kew-309899","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dracaena ombet","Dracaena","","ombet",NA,NA,"","","kew-304757",TRUE,"1.1","Accepted","Asparagaceae","Dracaena","","ombet","","","Heuglin ex Kotschy & Peyr.","kew-304757","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dracaena phanerophlebia","Dracaena","","phanerophlebia",NA,NA,"","","kew-304770",TRUE,"1.1","Accepted","Asparagaceae","Dracaena","","phanerophlebia","","","Baker","kew-304770","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dracaena phrynioides","Dracaena","","phrynioides",NA,NA,"","","kew-304771",TRUE,"1.1","Accepted","Asparagaceae","Dracaena","","phrynioides","","","Hook.","kew-304771","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dracaena poggei","Dracaena","","poggei",NA,NA,"","","kew-304772",TRUE,"1.1","Accepted","Asparagaceae","Dracaena","","poggei","","","Engl.","kew-304772","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dracaena porteri","Dracaena","","porteri",NA,NA,"","","kew-304774",TRUE,"1.1","Accepted","Asparagaceae","Dracaena","","porteri","","","Baker","kew-304774","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dracaena reflexa","Dracaena","","reflexa",NA,NA,"","","kew-304786",TRUE,"1.1","Accepted","Asparagaceae","Dracaena","","reflexa","","","Lam.","kew-304786","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dracaena rubroaurantiaca","Dracaena","","rubroaurantiaca",NA,NA,"","","kew-304809",TRUE,"1.1","Accepted","Asparagaceae","Dracaena","","rubroaurantiaca","","","De Wild.","kew-304809","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dracaena sanderiana","Dracaena","","sanderiana",NA,NA,"","","kew-304813",TRUE,"1.1","Synonym","Asparagaceae","Dracaena","","braunii","","","Engl.","kew-304592","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dracaena scabra","Dracaena","","scabra",NA,NA,"","","kew-304816",TRUE,"1.1","Accepted","Asparagaceae","Dracaena","","scabra","","","Bos","kew-304816","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dracaena schizantha","Dracaena","","schizantha",NA,NA,"","","kew-304817",TRUE,"1.1","Synonym","Asparagaceae","Dracaena","","ombet","subsp.","schizantha","(Baker) Bos","kew-309679","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Dracaena serrulata","Dracaena","","serrulata",NA,NA,"","","kew-304820",TRUE,"1.1","Accepted","Asparagaceae","Dracaena","","serrulata","","","Baker","kew-304820","Accepted",FALSE,FALSE,FALSE,2017-05-11
