"Epilobium dodonaei","Epilobium","","dodonaei",NA,NA,"","","kew-2790362",TRUE,"1.1","Accepted","Onagraceae","Epilobium","","dodonaei","","","Vill.","kew-2790362","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Epilobium environmental","Epilobium","","environmental",NA,NA,"","","",FALSE,"1.1","","","Epilobium","","environmental",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Epilobium foliosum","Epilobium","","foliosum",NA,NA,"","","kew-2790420",TRUE,"1.1","Accepted","Onagraceae","Epilobium","","foliosum","","","(Torr. & A.Gray) Suksd.","kew-2790420","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Epilobium glabellum","Epilobium","","glabellum",NA,NA,"","","kew-2790450",TRUE,"1.1","Accepted","Onagraceae","Epilobium","","glabellum","","","G.Forst.","kew-2790450","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Epilobium gracilipes","Epilobium","","gracilipes",NA,NA,"","","kew-2790493",TRUE,"1.1","Accepted","Onagraceae","Epilobium","","gracilipes","","","Kirk","kew-2790493","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Epilobium gunnianum","Epilobium","","gunnianum",NA,NA,"","","kew-2790502",TRUE,"1.1","Accepted","Onagraceae","Epilobium","","gunnianum","","","Hausskn.","kew-2790502","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Epilobium hirsutum","Epilobium","","hirsutum",NA,NA,"","","kew-2790521",TRUE,"1.1","Accepted","Onagraceae","Epilobium","","hirsutum","","","L.","kew-2790521","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Epilobium hirtigerum","Epilobium","","hirtigerum",NA,NA,"","","kew-2790528",TRUE,"1.1","Accepted","Onagraceae","Epilobium","","hirtigerum","","","A.Cunn.","kew-2790528","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Epilobium hornemannii","Epilobium","","hornemannii",NA,NA,"","","kew-2790536",TRUE,"1.1","Accepted","Onagraceae","Epilobium","","hornemannii","","","Rchb.","kew-2790536","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Epilobium insulare","Epilobium","","insulare",NA,NA,"","","kew-2790555",TRUE,"1.1","Accepted","Onagraceae","Epilobium","","insulare","","","Hausskn.","kew-2790555","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Epilobium komarovianum","Epilobium","","komarovianum",NA,NA,"","","kew-2790597",TRUE,"1.1","Accepted","Onagraceae","Epilobium","","komarovianum","","","H.Lév.","kew-2790597","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Epilobium lactiflorum","Epilobium","","lactiflorum",NA,NA,"","","kew-2790604",TRUE,"1.1","Accepted","Onagraceae","Epilobium","","lactiflorum","","","Hausskn.","kew-2790604","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Epilobium lanceolatum","Epilobium","","lanceolatum",NA,NA,"","","kew-2790614",TRUE,"1.1","Accepted","Onagraceae","Epilobium","","lanceolatum","","","Sebast. & Mauri","kew-2790614","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Epilobium leptophyllum","Epilobium","","leptophyllum",NA,NA,"","","kew-2790644",TRUE,"1.1","Accepted","Onagraceae","Epilobium","","leptophyllum","","","Raf.","kew-2790644","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Epilobium luteum","Epilobium","","luteum",NA,NA,"","","kew-2790673",TRUE,"1.1","Accepted","Onagraceae","Epilobium","","luteum","","","Pursh","kew-2790673","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Epilobium macropus","Epilobium","","macropus",NA,NA,"","","kew-2790680",TRUE,"1.1","Accepted","Onagraceae","Epilobium","","macropus","","","Hook.","kew-2790680","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Epilobium margaretiae","Epilobium","","margaretiae",NA,NA,"","","kew-2790687",TRUE,"1.1","Accepted","Onagraceae","Epilobium","","margaretiae","","","Brockie","kew-2790687","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Epilobium melanocaulon","Epilobium","","melanocaulon",NA,NA,"","","kew-2790695",TRUE,"1.1","Accepted","Onagraceae","Epilobium","","melanocaulon","","","Hook.","kew-2790695","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Epilobium microphyllum","Epilobium","","microphyllum",NA,NA,"","","kew-2790710",TRUE,"1.1","Accepted","Onagraceae","Epilobium","","microphyllum","","","A.Rich.","kew-2790710","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Epilobium minutum","Epilobium","","minutum",NA,NA,"","","kew-2790714",TRUE,"1.1","Accepted","Onagraceae","Epilobium","","minutum","","","Lindl. ex Lehm.","kew-2790714","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Epilobium nerteroides","Epilobium","","nerteroides",NA,NA,"","","kew-2790758",TRUE,"1.1","Accepted","Onagraceae","Epilobium","","nerterioides","","","A.Cunn.","kew-2790758","Accepted",TRUE,FALSE,FALSE,2017-05-11
"Epilobium nevadense","Epilobium","","nevadense",NA,NA,"","","kew-2790766",TRUE,"1.1","Accepted","Onagraceae","Epilobium","","nevadense","","","Munz","kew-2790766","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Epilobium nummulariifolium","Epilobium","","nummulariifolium",NA,NA,"","","kew-2790782",TRUE,"1.1","Accepted","Onagraceae","Epilobium","","nummularifolium","","","R.Cunn. ex A.Cunn.","kew-2790782","Accepted",TRUE,FALSE,FALSE,2017-05-11
"Epilobium nutans","Epilobium","","nutans",NA,NA,"","","kew-2790785",TRUE,"1.1","Accepted","Onagraceae","Epilobium","","nutans","","","F.W.Schmidt","kew-2790785","Accepted",FALSE,FALSE,FALSE,2017-05-11
