"Ericameria lignumviridis","Ericameria","","lignumviridis",NA,NA,"","","gcc-91325",TRUE,"1.1","Accepted","Compositae","Ericameria","","lignumviridis","","","(S.L.Welsh) G.L.Nesom","gcc-91325","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ericameria linearifolia","Ericameria","","linearifolia",NA,NA,"","","gcc-134531",TRUE,"1.1","Accepted","Compositae","Ericameria","","linearifolia","","","(DC.) Urbatsch & Wussow","gcc-134531","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ericameria martirensis","Ericameria","","martirensis",NA,NA,"","","gcc-32048",TRUE,"1.1","Accepted","Compositae","Ericameria","","martirensis","","","Wiggins","gcc-32048","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ericameria nana","Ericameria","","nana",NA,NA,"","","gcc-131117",TRUE,"1.1","Accepted","Compositae","Ericameria","","nana","","","Nutt.","gcc-131117","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ericameria nauseosa","Ericameria","","nauseosa",NA,NA,"","","gcc-51707",TRUE,"1.1","Accepted","Compositae","Ericameria","","nauseosa","","","(Pall. ex Pursh) G.L.Nesom & G.I.Baird","gcc-51707","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ericameria obovata","Ericameria","","obovata",NA,NA,"","","gcc-16421",TRUE,"1.1","Accepted","Compositae","Ericameria","","obovata","","","(Rydb.) G.L.Nesom","gcc-16421","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ericameria ophitidis","Ericameria","","ophitidis",NA,NA,"","","gcc-98436",TRUE,"1.1","Accepted","Compositae","Ericameria","","ophitidis","","","(J.T.Howell) G.L.Nesom","gcc-98436","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ericameria palmeri","Ericameria","","palmeri",NA,NA,"","","gcc-121382",TRUE,"1.1","Accepted","Compositae","Ericameria","","palmeri","","","(A.Gray) H.M.Hall","gcc-121382","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ericameria paniculata","Ericameria","","paniculata",NA,NA,"","","gcc-35973",TRUE,"1.1","Accepted","Compositae","Ericameria","","paniculata","","","(A.Gray) A.Gray ex Rydb.","gcc-35973","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ericameria parishii","Ericameria","","parishii",NA,NA,"","","gcc-109516",TRUE,"1.1","Accepted","Compositae","Ericameria","","parishii","","","(Greene) H.M.Hall","gcc-109516","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ericameria parryi","Ericameria","","parryi",NA,NA,"","","gcc-96555",TRUE,"1.1","Accepted","Compositae","Ericameria","","parryi","","","(A.Gray) G.L.Nesom & G.I.Baird","gcc-96555","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ericameria pinifolia","Ericameria","","pinifolia",NA,NA,"","","gcc-25018",TRUE,"1.1","Accepted","Compositae","Ericameria","","pinifolia","","","(A.Gray) H.M.Hall","gcc-25018","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ericameria resinosa","Ericameria","","resinosa",NA,NA,"","","gcc-141359",TRUE,"1.1","Accepted","Compositae","Ericameria","","resinosa","","","Nutt.","gcc-141359","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ericameria suffruticosa","Ericameria","","suffruticosa",NA,NA,"","","gcc-143400",TRUE,"1.1","Accepted","Compositae","Ericameria","","suffruticosa","","","(Nutt.) G.L.Nesom","gcc-143400","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ericameria teretifolia","Ericameria","","teretifolia",NA,NA,"","","gcc-115722",TRUE,"1.1","Accepted","Compositae","Ericameria","","teretifolia","","","(Durand & Hilg.) Jeps.","gcc-115722","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ericameria watsonii","Ericameria","","watsonii",NA,NA,"","","gcc-46406",TRUE,"1.1","Accepted","Compositae","Ericameria","","watsonii","","","(A.Gray) G.L.Nesom","gcc-46406","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ericameria zionis","Ericameria","","zionis",NA,NA,"","","gcc-76469",TRUE,"1.1","Accepted","Compositae","Ericameria","","zionis","","","(L.C.Anderson) G.L.Nesom","gcc-76469","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Erica microdonta","Erica","","microdonta",NA,NA,"","","kew-2793834",TRUE,"1.1","Accepted","Ericaceae","Erica","","microdonta","","","(C.H.Wright) E.G.H.Oliv.","kew-2793834","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Erica mira","Erica","","mira",NA,NA,"","","kew-2793844",TRUE,"1.1","Accepted","Ericaceae","Erica","","mira","","","Klotzsch ex Benth.","kew-2793844","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Erica modesta","Erica","","modesta",NA,NA,"","","kew-2793849",TRUE,"1.1","Accepted","Ericaceae","Erica","","modesta","","","Salisb.","kew-2793849","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Erica mollis","Erica","","mollis",NA,NA,"","","kew-2793852",TRUE,"1.1","Accepted","Ericaceae","Erica","","mollis","","","Andrews","kew-2793852","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Erica monadelpha","Erica","","monadelpha",NA,NA,"","","kew-2793854",TRUE,"1.1","Unresolved","Ericaceae","Erica","","monadelpha","","","Curtis","kew-2793854","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Erica monadelphia","Erica","","monadelphia",NA,NA,"","","kew-2793855",TRUE,"1.1","Accepted","Ericaceae","Erica","","monadelphia","","","Andrews","kew-2793855","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Erica monsoniana","Erica","","monsoniana",NA,NA,"","","kew-2793858",TRUE,"1.1","Accepted","Ericaceae","Erica","","monsoniana","","","L.f.","kew-2793858","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Erica montis","Erica","","montis",NA,NA,"","","kew-2793852",TRUE,"1.1","Accepted","Ericaceae","Erica","","mollis","","","Andrews","kew-2793852","Accepted",TRUE,FALSE,FALSE,2017-05-11
"Erica multiflexuosa","Erica","","multiflexuosa",NA,NA,"","","kew-2793872",TRUE,"1.1","Accepted","Ericaceae","Erica","","multiflexuosa","","","E.G.H.Oliv.","kew-2793872","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Erica multiflora","Erica","","multiflora",NA,NA,"","","kew-2793873",TRUE,"1.1","Accepted","Ericaceae","Erica","","multiflora","","","L.","kew-2793873","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Erica multumbellifera","Erica","","multumbellifera",NA,NA,"","","kew-2793880",TRUE,"1.1","Accepted","Ericaceae","Erica","","multumbellifera","","","P.J.Bergius","kew-2793880","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Erica muscosa","Erica","","muscosa",NA,NA,"","","kew-2793892",TRUE,"1.1","Accepted","Ericaceae","Erica","","muscosa","","","(Aiton) E.G.H.Oliv.","kew-2793892","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Erica myriadenia","Erica","","myriadenia",NA,NA,"","","kew-2793896",TRUE,"1.1","Accepted","Ericaceae","Erica","","myriadenia","","","(Baker) Dorr & E.G.H.Oliv.","kew-2793896","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Erica nabea","Erica","","nabea",NA,NA,"","","kew-2793899",TRUE,"1.1","Accepted","Ericaceae","Erica","","nabea","","","L.Guthrie & Bolus","kew-2793899","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Erica nana","Erica","","nana",NA,NA,"","","kew-2793901",TRUE,"1.1","Accepted","Ericaceae","Erica","","nana","","","Salisb.","kew-2793901","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Erica natalitia","Erica","","natalitia",NA,NA,"","","kew-2793904",TRUE,"1.1","Accepted","Ericaceae","Erica","","natalitia","","","Bolus","kew-2793904","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Erica nematophylla","Erica","","nematophylla",NA,NA,"","","kew-2793909",TRUE,"1.1","Accepted","Ericaceae","Erica","","nematophylla","","","L.Guthrie & Bolus","kew-2793909","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Erica nemorosa","Erica","","nemorosa",NA,NA,"","","kew-2793910",TRUE,"1.1","Accepted","Ericaceae","Erica","","nemorosa","","","Klotzsch ex Benth.","kew-2793910","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Erica nervata","Erica","","nervata",NA,NA,"","","kew-2793911",TRUE,"1.1","Accepted","Ericaceae","Erica","","nervata","","","L.Guthrie & Bolus","kew-2793911","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Erica nevillei","Erica","","nevillei",NA,NA,"","","kew-2793912",TRUE,"1.1","Accepted","Ericaceae","Erica","","nevillei","","","L.Bolus","kew-2793912","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Erica nubigena","Erica","","nubigena",NA,NA,"","","kew-2793936",TRUE,"1.1","Accepted","Ericaceae","Erica","","nubigena","","","Bolus","kew-2793936","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Erica nudiflora","Erica","","nudiflora",NA,NA,"","","kew-2793938",TRUE,"1.1","Accepted","Ericaceae","Erica","","nudiflora","","","L.","kew-2793938","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Erica nutans","Erica","","nutans",NA,NA,"","","kew-2793940",TRUE,"1.1","Accepted","Ericaceae","Erica","","nutans","","","J.C.Wendl.","kew-2793940","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Erica oakesiorum","Erica","","oakesiorum",NA,NA,"","","kew-2793943",TRUE,"1.1","Accepted","Ericaceae","Erica","","oakesiorum","","","E.G.H.Oliv.","kew-2793943","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Erica oatesii","Erica","","oatesii",NA,NA,"","","kew-2793944",TRUE,"1.1","Accepted","Ericaceae","Erica","","oatesii","","","Rolfe","kew-2793944","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Erica obliqua","Erica","","obliqua",NA,NA,"","","kew-2793951",TRUE,"1.1","Accepted","Ericaceae","Erica","","obliqua","","","Aiton","kew-2793951","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Erica oblongiflora","Erica","","oblongiflora",NA,NA,"","","kew-2793953",TRUE,"1.1","Accepted","Ericaceae","Erica","","oblongiflora","","","Benth.","kew-2793953","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Erica obtusata","Erica","","obtusata",NA,NA,"","","kew-2793957",TRUE,"1.1","Accepted","Ericaceae","Erica","","obtusata","","","Klotzsch ex Benth.","kew-2793957","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Erica occulta","Erica","","occulta",NA,NA,"","","kew-2793961",TRUE,"1.1","Accepted","Ericaceae","Erica","","occulta","","","E.G.H.Oliv.","kew-2793961","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Erica ocellata","Erica","","ocellata",NA,NA,"","","kew-2793962",TRUE,"1.1","Accepted","Ericaceae","Erica","","ocellata","","","L.Guthrie & Bolus","kew-2793962","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Erica odorata","Erica","","odorata",NA,NA,"","","kew-2793967",TRUE,"1.1","Accepted","Ericaceae","Erica","","odorata","","","Andrews","kew-2793967","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Erica oligantha","Erica","","oligantha",NA,NA,"","","kew-2793970",TRUE,"1.1","Accepted","Ericaceae","Erica","","oligantha","","","L.Guthrie & Bolus","kew-2793970","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Erica oliveri","Erica","","oliveri",NA,NA,"","","kew-2793971",TRUE,"1.1","Accepted","Ericaceae","Erica","","oliveri","","","H.A.Baker","kew-2793971","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Erica onusta","Erica","","onusta",NA,NA,"","","kew-2793976",TRUE,"1.1","Accepted","Ericaceae","Erica","","onusta","","","L.Guthrie & Bolus","kew-2793976","Accepted",FALSE,FALSE,FALSE,2017-05-11
