"Eucalyptus cupularis","Eucalyptus","","cupularis",NA,NA,"","","kew-72770",TRUE,"1.1","Accepted","Myrtaceae","Eucalyptus","","cupularis","","","C.A.Gardner","kew-72770","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Eucalyptus curtisii","Eucalyptus","","curtisii",NA,NA,"","","kew-72773",TRUE,"1.1","Accepted","Myrtaceae","Eucalyptus","","curtisii","","","Blakely & C.T.White","kew-72773","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Eucalyptus cuspidata","Eucalyptus","","cuspidata",NA,NA,"","","kew-72775",TRUE,"1.1","Synonym","Myrtaceae","Eucalyptus","","angulosa","","","Schauer","kew-72436","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Eucalyptus cyanophylla","Eucalyptus","","cyanophylla",NA,NA,"","","kew-72777",TRUE,"1.1","Accepted","Myrtaceae","Eucalyptus","","cyanophylla","","","Brooker","kew-72777","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Eucalyptus cyclostoma","Eucalyptus","","cyclostoma",NA,NA,"","","kew-72779",TRUE,"1.1","Accepted","Myrtaceae","Eucalyptus","","cyclostoma","","","Brooker","kew-72779","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Eucalyptus cylindriflora","Eucalyptus","","cylindriflora",NA,NA,"","","kew-72780",TRUE,"1.1","Accepted","Myrtaceae","Eucalyptus","","cylindriflora","","","Maiden & Blakely","kew-72780","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Eucalyptus cylindrocarpa","Eucalyptus","","cylindrocarpa",NA,NA,"","","kew-72781",TRUE,"1.1","Accepted","Myrtaceae","Eucalyptus","","cylindrocarpa","","","Blakely","kew-72781","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Eucalyptus cypellocarpa","Eucalyptus","","cypellocarpa",NA,NA,"","","kew-72783",TRUE,"1.1","Accepted","Myrtaceae","Eucalyptus","","cypellocarpa","","","L.A.S.Johnson","kew-72783","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Eucalyptus dalrympleana","Eucalyptus","","dalrympleana",NA,NA,"","","kew-72784",TRUE,"1.1","Accepted","Myrtaceae","Eucalyptus","","dalrympleana","","","Maiden","kew-72784","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Eucalyptus dawsonii","Eucalyptus","","dawsonii",NA,NA,"","","kew-72790",TRUE,"1.1","Accepted","Myrtaceae","Eucalyptus","","dawsonii","","","R.T.Baker","kew-72790","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Eucalyptus dealbata","Eucalyptus","","dealbata",NA,NA,"","","kew-72791",TRUE,"1.1","Accepted","Myrtaceae","Eucalyptus","","dealbata","","","A.Cunn. ex Schauer","kew-72791","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Eucalyptus deanei","Eucalyptus","","deanei",NA,NA,"","","kew-72794",TRUE,"1.1","Accepted","Myrtaceae","Eucalyptus","","deanei","","","Maiden","kew-72794","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Eucalyptus decipiens","Eucalyptus","","decipiens",NA,NA,"","","kew-72798",TRUE,"1.1","Accepted","Myrtaceae","Eucalyptus","","decipiens","","","Endl.","kew-72798","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Eucalyptus decolor","Eucalyptus","","decolor",NA,NA,"","","kew-72804",TRUE,"1.1","Accepted","Myrtaceae","Eucalyptus","","decolor","","","A.R.Bean & Brooker","kew-72804","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Eucalyptus decorticans","Eucalyptus","","decorticans",NA,NA,"","","kew-72805",TRUE,"1.1","Accepted","Myrtaceae","Eucalyptus","","decorticans","","","(F.M.Bailey) Maiden","kew-72805","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Eucalyptus decurva","Eucalyptus","","decurva",NA,NA,"","","kew-72806",TRUE,"1.1","Accepted","Myrtaceae","Eucalyptus","","decurva","","","F.Muell.","kew-72806","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Eucalyptus deflexa","Eucalyptus","","deflexa",NA,NA,"","","kew-72807",TRUE,"1.1","Accepted","Myrtaceae","Eucalyptus","","deflexa","","","Brooker","kew-72807","Accepted",FALSE,FALSE,FALSE,2017-05-11
