"Euphorbia polyphylla","Euphorbia","","polyphylla",NA,NA,"","","kew-81614",TRUE,"1.1","Accepted","Euphorbiaceae","Euphorbia","","polyphylla","","","Engelm. ex Holz.","kew-81614","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Euphorbia pondii","Euphorbia","","pondii",NA,NA,"","","kew-81618",TRUE,"1.1","Accepted","Euphorbiaceae","Euphorbia","","pondii","","","Millsp.","kew-81618","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Euphorbia porteriana","Euphorbia","","porteriana",NA,NA,"","","kew-81624",TRUE,"1.1","Accepted","Euphorbiaceae","Euphorbia","","porteriana","","","(Small) Oudejans","kew-81624","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Euphorbia portlandica","Euphorbia","","portlandica",NA,NA,"","","kew-81627",TRUE,"1.1","Accepted","Euphorbiaceae","Euphorbia","","portlandica","","","L.","kew-81627","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Euphorbia portulacoides","Euphorbia","","portulacoides",NA,NA,"","","kew-81631",TRUE,"1.1","Accepted","Euphorbiaceae","Euphorbia","","portulacoides","","","L.","kew-81631","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Euphorbia potentilloides","Euphorbia","","potentilloides",NA,NA,"","","kew-81652",TRUE,"1.1","Accepted","Euphorbiaceae","Euphorbia","","potentilloides","","","Boiss.","kew-81652","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Euphorbia primulifolia","Euphorbia","","primulifolia",NA,NA,"","","kew-81664",TRUE,"1.1","Accepted","Euphorbiaceae","Euphorbia","","primulifolia","","","Baker","kew-81664","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Euphorbia proballyana","Euphorbia","","proballyana",NA,NA,"","","kew-81667",TRUE,"1.1","Accepted","Euphorbiaceae","Euphorbia","","proballyana","","","L.C.Leach","kew-81667","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Euphorbia procera","Euphorbia","","procera",NA,NA,"","","kew-81669",TRUE,"1.1","Accepted","Euphorbiaceae","Euphorbia","","procera","","","M.Bieb.","kew-81669","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Euphorbia procumbens","Euphorbia","","procumbens",NA,NA,"","","kew-81674",TRUE,"1.1","Accepted","Euphorbiaceae","Euphorbia","","procumbens","","","Mill.","kew-81674","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Euphorbia prolifera","Euphorbia","","prolifera",NA,NA,"","","kew-81679",TRUE,"1.1","Accepted","Euphorbiaceae","Euphorbia","","prolifera","","","Buch.-Ham. ex D.Don","kew-81679","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Euphorbia prostrata","Euphorbia","","prostrata",NA,NA,"","","kew-81685",TRUE,"1.1","Accepted","Euphorbiaceae","Euphorbia","","prostrata","","","Aiton","kew-81685","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Euphorbia psammogeton","Euphorbia","","psammogeton",NA,NA,"","","kew-81696",TRUE,"1.1","Accepted","Euphorbiaceae","Euphorbia","","psammogeton","","","P.S.Green","kew-81696","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Euphorbia pseudoburuana","Euphorbia","","pseudoburuana",NA,NA,"","","kew-81701",TRUE,"1.1","Accepted","Euphorbiaceae","Euphorbia","","pseudoburuana","","","P.R.O.Bally & S.Carter","kew-81701","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Euphorbia pseudoglobosa","Euphorbia","","pseudoglobosa",NA,NA,"","","kew-81713",TRUE,"1.1","Accepted","Euphorbiaceae","Euphorbia","","pseudoglobosa","","","Marloth","kew-81713","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Euphorbia pseudograntii","Euphorbia","","pseudograntii",NA,NA,"","","kew-81715",TRUE,"1.1","Accepted","Euphorbiaceae","Euphorbia","","pseudograntii","","","Pax","kew-81715","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Euphorbia pseudohirsuta","Euphorbia","","pseudohirsuta",NA,NA,"","","kew-344130",TRUE,"1.1","Accepted","Euphorbiaceae","Euphorbia","","pseudohirsuta","","","Bruyns","kew-344130","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Euphorbia pseudolaevis","Euphorbia","","pseudolaevis",NA,NA,"","","kew-344131",TRUE,"1.1","Accepted","Euphorbiaceae","Euphorbia","","pseudolaevis","","","Bruyns","kew-344131","Accepted",FALSE,FALSE,FALSE,2017-05-11
