"Fargesia edulis","Fargesia","","edulis",NA,NA,"","","kew-414184",TRUE,"1.1","Accepted","Poaceae","Fargesia","","edulis","","","Hsueh & T.P.Yi","kew-414184","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Fargesia emaculata","Fargesia","","emaculata",NA,NA,"","","kew-414188",TRUE,"1.1","Synonym","Poaceae","Fargesia","","nitida","","","(Mitford) Keng f. ex T.P.Yi","kew-414227","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Fargesia frigidis","Fargesia","","frigidis",NA,NA,"","","kew-414197",TRUE,"1.1","Accepted","Poaceae","Fargesia","","frigidis","","","T.P.Yi","kew-414197","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Fargesia fungosa","Fargesia","","fungosa",NA,NA,"","","kew-414198",TRUE,"1.1","Accepted","Poaceae","Fargesia","","fungosa","","","T.P.Yi","kew-414198","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Fargesia funiushanensis","Fargesia","","funiushanensis",NA,NA,"","","kew-414199",TRUE,"1.1","Accepted","Poaceae","Fargesia","","funiushanensis","","","T.P.Yi","kew-414199","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Fargesia glabrifolia","Fargesia","","glabrifolia",NA,NA,"","","kew-414200",TRUE,"1.1","Accepted","Poaceae","Fargesia","","glabrifolia","","","T.P.Yi","kew-414200","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Fargesia grossa","Fargesia","","grossa",NA,NA,"","","kew-414202",TRUE,"1.1","Accepted","Poaceae","Fargesia","","grossa","","","T.P.Yi","kew-414202","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Fargesia hygrophila","Fargesia","","hygrophila",NA,NA,"","","kew-414208",TRUE,"1.1","Accepted","Poaceae","Fargesia","","hygrophila","","","Hsueh & T.P.Yi","kew-414208","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Fargesia lincangensis","Fargesia","","lincangensis",NA,NA,"","","kew-414213",TRUE,"1.1","Accepted","Poaceae","Fargesia","","lincangensis","","","T.P.Yi","kew-414213","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Fargesia lushuiensis","Fargesia","","lushuiensis",NA,NA,"","","kew-414216",TRUE,"1.1","Accepted","Poaceae","Fargesia","","lushuiensis","","","Hsueh & T.P.Yi","kew-414216","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Fargesia macclureana","Fargesia","","macclureana",NA,NA,"","","kew-414217",TRUE,"1.1","Accepted","Poaceae","Fargesia","","macclureana","","","(Bor) Stapleton","kew-414217","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Fargesia membranacea","Fargesia","","membranacea",NA,NA,"","","kew-414225",TRUE,"1.1","Synonym","Poaceae","Drepanostachyum","","membranaceum","","","(T.P.Yi) D.Z.Li","kew-410066","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Fargesia murielae","Fargesia","","murielae",NA,NA,"","","kew-414226",TRUE,"1.1","Accepted","Poaceae","Fargesia","","murielae","","","(Gamble) T.P.Yi","kew-414226","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Fargesia nitida","Fargesia","","nitida",NA,NA,"","","kew-414227",TRUE,"1.1","Accepted","Poaceae","Fargesia","","nitida","","","(Mitford) Keng f. ex T.P.Yi","kew-414227","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Fargesia obliqua","Fargesia","","obliqua",NA,NA,"","","kew-414231",TRUE,"1.1","Accepted","Poaceae","Fargesia","","obliqua","","","T.P.Yi","kew-414231","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Fargesia perlonga","Fargesia","","perlonga",NA,NA,"","","kew-414241",TRUE,"1.1","Accepted","Poaceae","Fargesia","","perlonga","","","Hsueh f. & T.P.Yi","kew-414241","Accepted",FALSE,FALSE,FALSE,2017-05-11
