"Ficus vallis","Ficus","","vallis",NA,NA,"","","",FALSE,"1.1","","","Ficus","","vallis",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Ficus variegata","Ficus","","variegata",NA,NA,"","","kew-2812740",TRUE,"1.1","Accepted","Moraceae","Ficus","","variegata","","","Blume","kew-2812740","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ficus variifolia","Ficus","","variifolia",NA,NA,"","","kew-2812748",TRUE,"1.1","Accepted","Moraceae","Ficus","","variifolia","","","Warb.","kew-2812748","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ficus variolosa","Ficus","","variolosa",NA,NA,"","","kew-2812749",TRUE,"1.1","Accepted","Moraceae","Ficus","","variolosa","","","Lindl. ex Benth.","kew-2812749","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ficus vasta","Ficus","","vasta",NA,NA,"","","kew-2812752",TRUE,"1.1","Accepted","Moraceae","Ficus","","vasta","","","Forssk.","kew-2812752","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ficus vermifuga","Ficus","","vermifuga",NA,NA,"","","kew-2812761",TRUE,"1.1","Synonym","Moraceae","Ficus","","adhatodifolia","","","Schott","kew-2809391","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ficus villosa","Ficus","","villosa",NA,NA,"","","kew-2812778",TRUE,"1.1","Accepted","Moraceae","Ficus","","villosa","","","Blume","kew-2812778","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ficus virens","Ficus","","virens",NA,NA,"","","kew-2812783",TRUE,"1.1","Accepted","Moraceae","Ficus","","virens","","","Aiton","kew-2812783","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ficus virgata","Ficus","","virgata",NA,NA,"","","kew-2812789",TRUE,"1.1","Accepted","Moraceae","Ficus","","virgata","","","Reinw. ex Blume","kew-2812789","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ficus wassa","Ficus","","wassa",NA,NA,"","","kew-2812820",TRUE,"1.1","Accepted","Moraceae","Ficus","","wassa","","","Roxb.","kew-2812820","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ficus watkinsiana","Ficus","","watkinsiana",NA,NA,"","","kew-2812823",TRUE,"1.1","Accepted","Moraceae","Ficus","","watkinsiana","","","F.M.Bailey","kew-2812823","Accepted",FALSE,FALSE,FALSE,2017-05-11
