"Frullania fengyangshanensis","Frullania","","fengyangshanensis",NA,NA,"","","tro-35201281",TRUE,"1.1","Accepted","Jubulaceae","Frullania","","fengyangshanensis","","","R.L. Zhu & M. L. So","tro-35201281","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Frullania ferdinandi","Frullania","","ferdinandi",NA,NA,"","","",FALSE,"1.1","","","Frullania","","ferdinandi",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Frullania fertilis","Frullania","","fertilis",NA,NA,"","","tro-35208390",TRUE,"1.1","Unresolved","Jubulaceae","Frullania","","fertilis","","","De Not.","tro-35208390","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Frullania fragilifolia","Frullania","","fragilifolia",NA,NA,"","","tro-35204616",TRUE,"1.1","Accepted","Jubulaceae","Frullania","","fragilifolia","","","(Taylor) Gottsche, Lindenb. & Nees","tro-35204616","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Frullania franciscana","Frullania","","franciscana",NA,NA,"","","tro-35185121",TRUE,"1.1","Accepted","Jubulaceae","Frullania","","franciscana","","","M. Howe","tro-35185121","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Frullania fugax","Frullania","","fugax",NA,NA,"","","tro-35202438",TRUE,"1.1","Accepted","Jubulaceae","Frullania","","fugax","","","(Hook. f. & Taylor) Gottsche, Lindenb. & Nees","tro-35202438","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Frullania fulfordiae","Frullania","","fulfordiae",NA,NA,"","","tro-35203496",TRUE,"1.1","Accepted","Jubulaceae","Frullania","","fulfordiae","","","S. Hatt.","tro-35203496","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Frullania fuscovirens","Frullania","","fuscovirens",NA,NA,"","","tro-35203564",TRUE,"1.1","Accepted","Jubulaceae","Frullania","","fuscovirens","","","Stephani","tro-35203564","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Frullania gaudichaudii","Frullania","","gaudichaudii",NA,NA,"","","tro-35203497",TRUE,"1.1","Accepted","Jubulaceae","Frullania","","gaudichaudii","","","(Nees & Mont.) Nees & Mont.","tro-35203497","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Frullania gibbosa","Frullania","","gibbosa",NA,NA,"","","tro-35187206",TRUE,"1.1","Accepted","Jubulaceae","Frullania","","gibbosa","","","Nees","tro-35187206","Accepted",FALSE,FALSE,FALSE,2017-05-11
