"Galium wrightii","Galium","","wrightii",NA,NA,"","","kew-87941",TRUE,"1.1","Accepted","Rubiaceae","Galium","","wrightii","","","A.Gray","kew-87941","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Gallardoa fischeri","Gallardoa","","fischeri",NA,NA,"","","kew-2816457",TRUE,"1.1","Accepted","Malpighiaceae","Gallardoa","","fischeri","","","Hicken","kew-2816457","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Gallesia integrifolia","Gallesia","","integrifolia",NA,NA,"","","kew-2816460",TRUE,"1.1","Accepted","Phytolaccaceae","Gallesia","","integrifolia","","","(Spreng.) Harms","kew-2816460","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Gallienia sclerophylla","Gallienia","","sclerophylla",NA,NA,"","","kew-87955",TRUE,"1.1","Accepted","Rubiaceae","Gallienia","","sclerophylla","","","Dubard & Dop","kew-87955","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Galopina circaeoides","Galopina","","circaeoides",NA,NA,"","","kew-87979",TRUE,"1.1","Accepted","Rubiaceae","Galopina","","circaeoides","","","Thunb.","kew-87979","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Galopina crocylloides","Galopina","","crocylloides",NA,NA,"","","kew-87982",TRUE,"1.1","Accepted","Rubiaceae","Galopina","","crocyllioides","","","Bär","kew-87982","Accepted",TRUE,FALSE,FALSE,2017-05-11
"Galphimia angustifolia","Galphimia","","angustifolia",NA,NA,"","","kew-2816487",TRUE,"1.1","Accepted","Malpighiaceae","Galphimia","","angustifolia","","","Benth.","kew-2816487","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Galphimia australis","Galphimia","","australis",NA,NA,"","","kew-2816489",TRUE,"1.1","Accepted","Malpighiaceae","Galphimia","","australis","","","Chodat","kew-2816489","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Galphimia brasiliensis","Galphimia","","brasiliensis",NA,NA,"","","kew-2816492",TRUE,"1.1","Accepted","Malpighiaceae","Galphimia","","brasiliensis","","","(L.) A.Juss.","kew-2816492","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Galphimia elegans","Galphimia","","elegans",NA,NA,"","","tro-50327612",TRUE,"1.1","Accepted","Malpighiaceae","Galphimia","","elegans","","","Baill.","tro-50327612","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Galphimia glandulosa","Galphimia","","glandulosa",NA,NA,"","","kew-2816503",TRUE,"1.1","Accepted","Malpighiaceae","Galphimia","","glandulosa","","","Cav.","kew-2816503","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Galphimia glauca","Galphimia","","glauca",NA,NA,"","","kew-2816508",TRUE,"1.1","Accepted","Malpighiaceae","Galphimia","","glauca","","","Cav.","kew-2816508","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Galphimia gracilis","Galphimia","","gracilis",NA,NA,"","","kew-2816511",TRUE,"1.1","Accepted","Malpighiaceae","Galphimia","","gracilis","","","Bartl.","kew-2816511","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Galphimia langlassei","Galphimia","","langlassei",NA,NA,"","","kew-2816518",TRUE,"1.1","Accepted","Malpighiaceae","Galphimia","","langlassei","","","(S.F.Blake) C.E.Anderson","kew-2816518","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Galphimia mexiae","Galphimia","","mexiae",NA,NA,"","","kew-2816523",TRUE,"1.1","Accepted","Malpighiaceae","Galphimia","","mexiae","","","C.E.Anderson","kew-2816523","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Galphimia mirandae","Galphimia","","mirandae",NA,NA,"","","kew-2816524",TRUE,"1.1","Accepted","Malpighiaceae","Galphimia","","mirandae","","","C.E.Anderson","kew-2816524","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Galphimia multicaulis","Galphimia","","multicaulis",NA,NA,"","","kew-2816527",TRUE,"1.1","Accepted","Malpighiaceae","Galphimia","","multicaulis","","","A.Juss.","kew-2816527","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Galphimia oaxacana","Galphimia","","oaxacana",NA,NA,"","","kew-2816528",TRUE,"1.1","Accepted","Malpighiaceae","Galphimia","","oaxacana","","","C.E.Anderson","kew-2816528","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Galphimia platyphylla","Galphimia","","platyphylla",NA,NA,"","","kew-2816532",TRUE,"1.1","Accepted","Malpighiaceae","Galphimia","","platyphylla","","","Chodat","kew-2816532","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Galphimia speciosa","Galphimia","","speciosa",NA,NA,"","","kew-2607175",TRUE,"1.1","Accepted","Malpighiaceae","Galphimia","","speciosa","","","C.E.Anderson","kew-2607175","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Galphimia vestita","Galphimia","","vestita",NA,NA,"","","kew-2816538",TRUE,"1.1","Accepted","Malpighiaceae","Galphimia","","vestita","","","S.Watson","kew-2816538","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Galpinia transvaalica","Galpinia","","transvaalica",NA,NA,"","","kew-2816541",TRUE,"1.1","Accepted","Lythraceae","Galpinia","","transvaalica","","","N.E.Br.","kew-2816541","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Galvezia ballii","Galvezia","","ballii",NA,NA,"","","kew-2816561",TRUE,"1.1","Synonym","Plantaginaceae","Galvezia","","grandiflora","","","(Benth.) Wettst.","kew-2816564","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Galvezia fruticosa","Galvezia","","fruticosa",NA,NA,"","","kew-2816562",TRUE,"1.1","Accepted","Plantaginaceae","Galvezia","","fruticosa","","","J.F.Gmel.","kew-2816562","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Galvezia juncea","Galvezia","","juncea",NA,NA,"","","tro-29206629",TRUE,"1.1","Accepted","Plantaginaceae","Galvezia","","juncea","","","(Benth.) A. Gray","tro-29206629","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Galvezia lanceolata","Galvezia","","lanceolata",NA,NA,"","","kew-2816568",TRUE,"1.1","Accepted","Plantaginaceae","Galvezia","","lanceolata","","","Pennell","kew-2816568","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Galvezia limensis","Galvezia","","limensis",NA,NA,"","","kew-2816572",TRUE,"1.1","Synonym","Plantaginaceae","Galvezia","","fruticosa","","","J.F.Gmel.","kew-2816562","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Gambelia juncea","Gambelia","","juncea",NA,NA,"","","kew-2816595",TRUE,"1.1","Accepted","Plantaginaceae","Gambelia","","juncea","","","(Benth.) D.A.Sutton","kew-2816595","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Gambelia speciosa","Gambelia","","speciosa",NA,NA,"","","kew-2816597",TRUE,"1.1","Accepted","Plantaginaceae","Gambelia","","speciosa","","","Nutt.","kew-2816597","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Gamblea ciliata","Gamblea","","ciliata",NA,NA,"","","kew-88018",TRUE,"1.1","Accepted","Araliaceae","Gamblea","","ciliata","","","C.B.Clarke","kew-88018","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Gamblea pseudoevodiifolia","Gamblea","","pseudoevodiifolia",NA,NA,"","","kew-88024",TRUE,"1.1","Accepted","Araliaceae","Gamblea","","pseudoevodiifolia","","","(K.M.Feng) C.B.Shang, Lowry & Frodin","kew-88024","Accepted",FALSE,FALSE,FALSE,2017-05-11
