"Gentiana krylovii","Gentiana","","krylovii",NA,NA,"","","kew-2820753",TRUE,"1.1","Synonym","Gentianaceae","Gentiana","","uniflora","","","Georgi","kew-2821749","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Gentiana kurroo","Gentiana","","kurroo",NA,NA,"","","kew-2820759",TRUE,"1.1","Accepted","Gentianaceae","Gentiana","","kurroo","","","Royle","kew-2820759","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Gentiana lacerulata","Gentiana","","lacerulata",NA,NA,"","","kew-2820767",TRUE,"1.1","Accepted","Gentianaceae","Gentiana","","lacerulata","","","Harry Sm.","kew-2820767","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Gentiana lagodechiana","Gentiana","","lagodechiana",NA,NA,"","","kew-2820778",TRUE,"1.1","Synonym","Gentianaceae","Gentiana","","septemfida","","","Pall.","kew-2821513","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Gentiana latidens","Gentiana","","latidens",NA,NA,"","","kew-2899843",TRUE,"1.1","Accepted","Gentianaceae","Gentiana","","latidens","","","(House) J.S.Pringle & Weakley","kew-2899843","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Gentiana lawrencei","Gentiana","","lawrencei",NA,NA,"","","kew-2820793",TRUE,"1.1","Accepted","Gentianaceae","Gentiana","","lawrencei","","","Burkill","kew-2820793","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Gentiana leucomelaena","Gentiana","","leucomelaena",NA,NA,"","","kew-2820803",TRUE,"1.1","Accepted","Gentianaceae","Gentiana","","leucomelaena","","","Maxim.","kew-2820803","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Gentiana lhassica","Gentiana","","lhassica",NA,NA,"","","kew-2820809",TRUE,"1.1","Accepted","Gentianaceae","Gentiana","","lhassica","","","Burkill","kew-2820809","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Gentiana ligustica","Gentiana","","ligustica",NA,NA,"","","kew-2820814",TRUE,"1.1","Accepted","Gentianaceae","Gentiana","","ligustica","","","R.Vilm. & Chopinet","kew-2820814","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Gentiana lilliputiana","Gentiana","","lilliputiana",NA,NA,"","","kew-2820817",TRUE,"1.1","Unresolved","Gentianaceae","Gentiana","","lilliputiana","","","C.J.Webb","kew-2820817","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Gentiana linearis","Gentiana","","linearis",NA,NA,"","","kew-2820826",TRUE,"1.1","Accepted","Gentianaceae","Gentiana","","linearis","","","Froel.","kew-2820826","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Gentiana lineolata","Gentiana","","lineolata",NA,NA,"","","kew-2820834",TRUE,"1.1","Accepted","Gentianaceae","Gentiana","","lineolata","","","Franch.","kew-2820834","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Gentiana linoides","Gentiana","","linoides",NA,NA,"","","kew-2820841",TRUE,"1.1","Accepted","Gentianaceae","Gentiana","","linoides","","","Franch. ex Hemsl.","kew-2820841","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Gentiana loureiroi","Gentiana","","loureiroi",NA,NA,"","","kew-2820860",TRUE,"1.1","Accepted","Gentianaceae","Gentiana","","loureiroi","","","(G.Don) Griseb.","kew-2820860","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Gentiana lutea","Gentiana","","lutea",NA,NA,"","","kew-2820867",TRUE,"1.1","Accepted","Gentianaceae","Gentiana","","lutea","","","L.","kew-2820867","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Gentiana lycopodioides","Gentiana","","lycopodioides",NA,NA,"","","kew-2820879",TRUE,"1.1","Accepted","Gentianaceae","Gentiana","","lycopodioides","","","Stapf","kew-2820879","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Gentiana macgregoryi","Gentiana","","macgregoryi",NA,NA,"","","kew-2820881",TRUE,"1.1","Accepted","Gentianaceae","Gentiana","","macgregoryi","","","Hemsl.","kew-2820881","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Gentiana macrauchena","Gentiana","","macrauchena",NA,NA,"","","kew-2820885",TRUE,"1.1","Unresolved","Gentianaceae","Gentiana","","macrauchena","","","C.Marquand","kew-2820885","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Gentiana macrophylla","Gentiana","","macrophylla",NA,NA,"","","kew-2820891",TRUE,"1.1","Accepted","Gentianaceae","Gentiana","","macrophylla","","","Pall.","kew-2820891","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Gentiana maeulchanensis","Gentiana","","maeulchanensis",NA,NA,"","","kew-2820898",TRUE,"1.1","Accepted","Gentianaceae","Gentiana","","maeulchanensis","","","Franch.","kew-2820898","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Gentiana mairei","Gentiana","","mairei",NA,NA,"","","kew-2820908",TRUE,"1.1","Accepted","Gentianaceae","Gentiana","","mairei","","","H.Lév.","kew-2820908","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Gentiana manshurica","Gentiana","","manshurica",NA,NA,"","","kew-2820919",TRUE,"1.1","Accepted","Gentianaceae","Gentiana","","manshurica","","","Kitag.","kew-2820919","Accepted",FALSE,FALSE,FALSE,2017-05-11
