"Goniothalamus obtusatus","Goniothalamus","","obtusatus",NA,NA,"","","kew-2829655",TRUE,"1.1","Accepted","Annonaceae","Goniothalamus","","costulatus","","","Miq.","kew-2829655","Accepted",TRUE,FALSE,FALSE,2017-05-11
"Goniothalamus palawanensis","Goniothalamus","","palawanensis",NA,NA,"","","",FALSE,"1.1","","","Goniothalamus","","palawanensis",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Goniothalamus parallelovenius","Goniothalamus","","parallelovenius",NA,NA,"","","kew-2829733",TRUE,"1.1","Accepted","Annonaceae","Goniothalamus","","parallelovenius","","","Ridl.","kew-2829733","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Goniothalamus reticulatus","Goniothalamus","","reticulatus",NA,NA,"","","kew-2829743",TRUE,"1.1","Unresolved","Annonaceae","Goniothalamus","","reticulatus","","","Thwaites","kew-2829743","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Goniothalamus ridleyi","Goniothalamus","","ridleyi",NA,NA,"","","kew-2829746",TRUE,"1.1","Accepted","Annonaceae","Goniothalamus","","ridleyi","","","King","kew-2829746","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Goniothalamus rongklanus","Goniothalamus","","rongklanus",NA,NA,"","","kew-2607243",TRUE,"1.1","Accepted","Annonaceae","Goniothalamus","","rongklanus","","","R.M.K.Saunders & Chalermglin","kew-2607243","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Goniothalamus rotundisepalus","Goniothalamus","","rotundisepalus",NA,NA,"","","kew-2829749",TRUE,"1.1","Accepted","Annonaceae","Goniothalamus","","rotundisepalus","","","M.R.Hend.","kew-2829749","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Goniothalamus rufus","Goniothalamus","","rufus",NA,NA,"","","kew-2829750",TRUE,"1.1","Accepted","Annonaceae","Goniothalamus","","rufus","","","Miq.","kew-2829750","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Goniothalamus scortechinii","Goniothalamus","","scortechinii",NA,NA,"","","kew-2829755",TRUE,"1.1","Accepted","Annonaceae","Goniothalamus","","scortechinii","","","King","kew-2829755","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Goniothalamus sesquipedalis","Goniothalamus","","sesquipedalis",NA,NA,"","","kew-2829756",TRUE,"1.1","Accepted","Annonaceae","Goniothalamus","","sesquipedalis","","","(Wall.) Hook.f. & Thomson","kew-2829756","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Goniothalamus suaveolens","Goniothalamus","","suaveolens",NA,NA,"","","kew-2604539",TRUE,"1.1","Accepted","Annonaceae","Goniothalamus","","suaveolens","","","Becc.","kew-2604539","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Goniothalamus tamirensis","Goniothalamus","","tamirensis",NA,NA,"","","kew-2829768",TRUE,"1.1","Accepted","Annonaceae","Goniothalamus","","tamirensis","","","Pierre ex Finet & Gagnep.","kew-2829768","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Goniothalamus tapis","Goniothalamus","","tapis",NA,NA,"","","kew-2829770",TRUE,"1.1","Accepted","Annonaceae","Goniothalamus","","tapis","","","Miq.","kew-2829770","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Goniothalamus tapisoides","Goniothalamus","","tapisoides",NA,NA,"","","kew-2829771",TRUE,"1.1","Accepted","Annonaceae","Goniothalamus","","tapisoides","","","Mat-Salleh","kew-2829771","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Goniothalamus tavoyensis","Goniothalamus","","tavoyensis",NA,NA,"","","kew-2829772",TRUE,"1.1","Accepted","Annonaceae","Goniothalamus","","tavoyensis","","","Chatterjee","kew-2829772","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Goniothalamus tenuifolius","Goniothalamus","","tenuifolius",NA,NA,"","","kew-2829774",TRUE,"1.1","Accepted","Annonaceae","Goniothalamus","","tenuifolius","","","King","kew-2829774","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Goniothalamus thomsonii","Goniothalamus","","thomsonii",NA,NA,"","","kew-2829776",TRUE,"1.1","Accepted","Annonaceae","Goniothalamus","","thomsonii","","","Thwaites","kew-2829776","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Goniothalamus thwaitesii","Goniothalamus","","thwaitesii",NA,NA,"","","kew-2829777",TRUE,"1.1","Accepted","Annonaceae","Goniothalamus","","thwaitesii","","","Hook.f. & Thomson","kew-2829777","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Goniothalamus tomentosus","Goniothalamus","","tomentosus",NA,NA,"","","kew-2829778",TRUE,"1.1","Accepted","Annonaceae","Goniothalamus","","tomentosus","","","R.M.K.Saunders","kew-2829778","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Goniothalamus tortilipetalus","Goniothalamus","","tortilipetalus",NA,NA,"","","kew-2829779",TRUE,"1.1","Accepted","Annonaceae","Goniothalamus","","tortilipetalus","","","M.R.Hend.","kew-2829779","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Goniothalamus touranensis","Goniothalamus","","touranensis",NA,NA,"","","kew-2829780",TRUE,"1.1","Accepted","Annonaceae","Goniothalamus","","touranensis","","","Ast","kew-2829780","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Goniothalamus umbrosus","Goniothalamus","","umbrosus",NA,NA,"","","kew-2829782",TRUE,"1.1","Synonym","Annonaceae","Goniothalamus","","tapis","","","Miq.","kew-2829770","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Goniothalamus uvarioides","Goniothalamus","","uvarioides",NA,NA,"","","kew-2829785",TRUE,"1.1","Accepted","Annonaceae","Goniothalamus","","uvarioides","","","King","kew-2829785","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Goniothalamus velutinus","Goniothalamus","","velutinus",NA,NA,"","","kew-2829786",TRUE,"1.1","Accepted","Annonaceae","Goniothalamus","","velutinus","","","Airy Shaw","kew-2829786","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Goniothalamus woodii","Goniothalamus","","woodii",NA,NA,"","","kew-2829792",TRUE,"1.1","Accepted","Annonaceae","Goniothalamus","","woodii","","","Merr. ex Mat-Salleh","kew-2829792","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Goniothalamus wrayi","Goniothalamus","","wrayi",NA,NA,"","","kew-2829793",TRUE,"1.1","Accepted","Annonaceae","Goniothalamus","","wrayi","","","King","kew-2829793","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Goniothalamus wynaadensis","Goniothalamus","","wynaadensis",NA,NA,"","","kew-2829794",TRUE,"1.1","Accepted","Annonaceae","Goniothalamus","","wynaadensis","","","(Bedd.) Bedd.","kew-2829794","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Gonocalyx costaricensis","Gonocalyx","","costaricensis",NA,NA,"","","kew-2829813",TRUE,"1.1","Accepted","Ericaceae","Gonocalyx","","costaricensis","","","Luteyn","kew-2829813","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Gonocalyx megabracteolatus","Gonocalyx","","megabracteolatus",NA,NA,"","","kew-2829815",TRUE,"1.1","Accepted","Ericaceae","Gonocalyx","","megabracteolatus","","","(Wilbur & Luteyn) Luteyn","kew-2829815","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Gonocalyx portoricensis","Gonocalyx","","portoricensis",NA,NA,"","","kew-2829816",TRUE,"1.1","Accepted","Ericaceae","Gonocalyx","","portoricensis","","","(Urb.) A.C.Sm.","kew-2829816","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Gonocarpus acanthocarpus","Gonocarpus","","acanthocarpus",NA,NA,"","","kew-2829823",TRUE,"1.1","Accepted","Haloragaceae","Gonocarpus","","acanthocarpus","","","(Brongn.) Orchard","kew-2829823","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Gonocarpus aggregatus","Gonocarpus","","aggregatus",NA,NA,"","","kew-2829824",TRUE,"1.1","Accepted","Haloragaceae","Gonocarpus","","aggregatus","","","(Buchanan) Orchard","kew-2829824","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Gonocarpus benthamii","Gonocarpus","","benthamii",NA,NA,"","","kew-2829825",TRUE,"1.1","Accepted","Haloragaceae","Gonocarpus","","benthamii","","","Orchard","kew-2829825","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Gonocarpus chinensis","Gonocarpus","","chinensis",NA,NA,"","","kew-2829826",TRUE,"1.1","Accepted","Haloragaceae","Gonocarpus","","chinensis","","","(Lour.) Orchard","kew-2829826","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Gonocarpus cordiger","Gonocarpus","","cordiger",NA,NA,"","","kew-2829831",TRUE,"1.1","Accepted","Haloragaceae","Gonocarpus","","cordiger","","","(Fenzl) Endl. ex Nees","kew-2829831","Accepted",FALSE,FALSE,FALSE,2017-05-11
