"Guamatela tuerckheimii","Guamatela","","tuerckheimii",NA,NA,"","","rjp-8150",TRUE,"1.1","Unresolved","Guamatelaceae","Guamatela","","tuerckheimii","","","Donn.Sm.","rjp-8150","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Guanchezia maguirei","Guanchezia","","maguirei",NA,NA,"","","kew-247362",TRUE,"1.1","Accepted","Orchidaceae","Guanchezia","","maguirei","","","(C.Schweinf.) G.A.Romero & G.Carnevali","kew-247362","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Guapira discolor","Guapira","","discolor",NA,NA,"","","kew-2833846",TRUE,"1.1","Accepted","Nyctaginaceae","Guapira","","discolor","","","(Spreng.) Little","kew-2833846","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Guapira eggersiana","Guapira","","eggersiana",NA,NA,"","","kew-2833849",TRUE,"1.1","Accepted","Nyctaginaceae","Guapira","","eggersiana","","","(Heimerl) Lundell","kew-2833849","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Guapira fragrans","Guapira","","fragrans",NA,NA,"","","kew-2833853",TRUE,"1.1","Accepted","Nyctaginaceae","Guapira","","fragrans","","","(Dum.Cours.) Little","kew-2833853","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Guapira macrocarpa","Guapira","","macrocarpa",NA,NA,"","","kew-2833874",TRUE,"1.1","Synonym","Nyctaginaceae","Guapira","","petenensis","","","(Lundell) Lundell","kew-2833893","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Guapira obtusata","Guapira","","obtusata",NA,NA,"","","kew-2833881",TRUE,"1.1","Accepted","Nyctaginaceae","Guapira","","obtusata","","","(Jacq.) Little","kew-2833881","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Guapira opposita","Guapira","","opposita",NA,NA,"","","kew-2833886",TRUE,"1.1","Accepted","Nyctaginaceae","Guapira","","opposita","","","(Vell.) Reitz","kew-2833886","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Guapira petenensis","Guapira","","petenensis",NA,NA,"","","kew-2833893",TRUE,"1.1","Accepted","Nyctaginaceae","Guapira","","petenensis","","","(Lundell) Lundell","kew-2833893","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Guapira riedeliana","Guapira","","riedeliana",NA,NA,"","","kew-2833898",TRUE,"1.1","Accepted","Nyctaginaceae","Guapira","","riedeliana","","","(Fisch.) Lundell","kew-2833898","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Guapira standleyana","Guapira","","standleyana",NA,NA,"","","kew-2833910",TRUE,"1.1","Synonym","Nyctaginaceae","Guapira","","myrtiflora","","","(Standl.) Little","kew-2833877","Accepted",FALSE,FALSE,FALSE,2017-05-11
