"Habenaria keniensis","Habenaria","","keniensis",NA,NA,"","","kew-94899",TRUE,"1.1","Accepted","Orchidaceae","Habenaria","","keniensis","","","Summerh.","kew-94899","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Habenaria kleinii","Habenaria","","kleinii",NA,NA,"","","kew-94679",TRUE,"1.1","Accepted","Orchidaceae","Habenaria","","galpinii","","","Bolus","kew-94679","Accepted",TRUE,FALSE,FALSE,2017-05-11
"Habenaria laevigata","Habenaria","","laevigata",NA,NA,"","","kew-94927",TRUE,"1.1","Accepted","Orchidaceae","Habenaria","","laevigata","","","Lindl.","kew-94927","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Habenaria lavrensis","Habenaria","","lavrensis",NA,NA,"","","kew-94945",TRUE,"1.1","Accepted","Orchidaceae","Habenaria","","lavrensis","","","Hoehne","kew-94945","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Habenaria leprieurii","Habenaria","","leprieurii",NA,NA,"","","kew-94959",TRUE,"1.1","Accepted","Orchidaceae","Habenaria","","leprieurii","","","Rchb.f.","kew-94959","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Habenaria leptoceras","Habenaria","","leptoceras",NA,NA,"","","kew-94963",TRUE,"1.1","Accepted","Orchidaceae","Habenaria","","leptoceras","","","Hook.","kew-94963","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Habenaria leucosantha","Habenaria","","leucosantha",NA,NA,"","","kew-94973",TRUE,"1.1","Accepted","Orchidaceae","Habenaria","","leucosantha","","","Barb.Rodr.","kew-94973","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Habenaria linearifolia","Habenaria","","linearifolia",NA,NA,"","","kew-94993",TRUE,"1.1","Accepted","Orchidaceae","Habenaria","","linearifolia","","","Maxim.","kew-94993","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Habenaria lithophila","Habenaria","","lithophila",NA,NA,"","","kew-95005",TRUE,"1.1","Accepted","Orchidaceae","Habenaria","","lithophila","","","Schltr.","kew-95005","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Habenaria longicauda","Habenaria","","longicauda",NA,NA,"","","kew-95017",TRUE,"1.1","Accepted","Orchidaceae","Habenaria","","longicauda","","","Hook.","kew-95017","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Habenaria longicorniculata","Habenaria","","longicorniculata",NA,NA,"","","kew-95020",TRUE,"1.1","Accepted","Orchidaceae","Habenaria","","longicorniculata","","","J.Graham","kew-95020","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Habenaria ludibundiciliata","Habenaria","","ludibundiciliata",NA,NA,"","","kew-347030",TRUE,"1.1","Accepted","Orchidaceae","Habenaria","","ludibundiciliata","","","J.A.N.Bat. & Bianch.","kew-347030","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Habenaria macilenta","Habenaria","","macilenta",NA,NA,"","","kew-95042",TRUE,"1.1","Accepted","Orchidaceae","Habenaria","","macilenta","","","(Lindl. ex Benth.) Rchb.f.","kew-95042","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Habenaria macronectar","Habenaria","","macronectar",NA,NA,"","","kew-95053",TRUE,"1.1","Accepted","Orchidaceae","Habenaria","","macronectar","","","(Vell.) Hoehne","kew-95053","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Habenaria macvaughiana","Habenaria","","macvaughiana",NA,NA,"","","kew-95065",TRUE,"1.1","Accepted","Orchidaceae","Habenaria","","macvaughiana","","","R.González","kew-95065","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Habenaria magdalenensis","Habenaria","","magdalenensis",NA,NA,"","","kew-95068",TRUE,"1.1","Accepted","Orchidaceae","Habenaria","","magdalenensis","","","Hoehne","kew-95068","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Habenaria magniscutata","Habenaria","","magniscutata",NA,NA,"","","kew-95071",TRUE,"1.1","Accepted","Orchidaceae","Habenaria","","magniscutata","","","Catling","kew-95071","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Habenaria malacophylla","Habenaria","","malacophylla",NA,NA,"","","kew-95076",TRUE,"1.1","Accepted","Orchidaceae","Habenaria","","malacophylla","","","Rchb.f.","kew-95076","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Habenaria mannii","Habenaria","","mannii",NA,NA,"","","kew-95085",TRUE,"1.1","Accepted","Orchidaceae","Habenaria","","mannii","","","Hook.f.","kew-95085","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Habenaria megapotamensis","Habenaria","","megapotamensis",NA,NA,"","","kew-95107",TRUE,"1.1","Accepted","Orchidaceae","Habenaria","","megapotamensis","","","Hoehne","kew-95107","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Habenaria melanopoda","Habenaria","","melanopoda",NA,NA,"","","kew-95109",TRUE,"1.1","Accepted","Orchidaceae","Habenaria","","melanopoda","","","Hoehne & Schltr.","kew-95109","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Habenaria mello","Habenaria","","mello",NA,NA,"","","",FALSE,"1.1","","","Habenaria","","mello",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Habenaria monorrhiza","Habenaria","","monorrhiza",NA,NA,"","","kew-95155",TRUE,"1.1","Accepted","Orchidaceae","Habenaria","","monorrhiza","","","(Sw.) Rchb.f.","kew-95155","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Habenaria montevidensis","Habenaria","","montevidensis",NA,NA,"","","kew-95161",TRUE,"1.1","Accepted","Orchidaceae","Habenaria","","montevidensis","","","Spreng.","kew-95161","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Habenaria montis","Habenaria","","montis",NA,NA,"","","",FALSE,"1.1","","","Habenaria","","montis",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Habenaria mystacina","Habenaria","","mystacina",NA,NA,"","","kew-95187",TRUE,"1.1","Accepted","Orchidaceae","Habenaria","","mystacina","","","Lindl.","kew-95187","Accepted",FALSE,FALSE,FALSE,2017-05-11
