"Hechtia glabra","Hechtia","","glabra",NA,NA,"","","kew-248029",TRUE,"1.1","Accepted","Bromeliaceae","Hechtia","","glabra","","","Brandegee","kew-248029","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Hechtia glomerata","Hechtia","","glomerata",NA,NA,"","","kew-248031",TRUE,"1.1","Accepted","Bromeliaceae","Hechtia","","glomerata","","","Zucc.","kew-248031","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Hechtia guatemalensis","Hechtia","","guatemalensis",NA,NA,"","","kew-248033",TRUE,"1.1","Accepted","Bromeliaceae","Hechtia","","guatemalensis","","","Mez","kew-248033","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Hechtia lindmanioides","Hechtia","","lindmanioides",NA,NA,"","","kew-248042",TRUE,"1.1","Synonym","Bromeliaceae","Hechtia","","purpusii","","","Brandegee","kew-248063","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Hechtia lundelliorum","Hechtia","","lundelliorum",NA,NA,"","","kew-248044",TRUE,"1.1","Accepted","Bromeliaceae","Hechtia","","lundelliorum","","","L.B.Sm.","kew-248044","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Hechtia marnier","Hechtia","","marnier",NA,NA,"","","",FALSE,"1.1","","","Hechtia","","marnier",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Hechtia montana","Hechtia","","montana",NA,NA,"","","kew-248054",TRUE,"1.1","Accepted","Bromeliaceae","Hechtia","","montana","","","Brandegee","kew-248054","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Hechtia stenopetala","Hechtia","","stenopetala",NA,NA,"","","kew-248071",TRUE,"1.1","Accepted","Bromeliaceae","Hechtia","","stenopetala","","","Klotzsch","kew-248071","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Hechtia texensis","Hechtia","","texensis",NA,NA,"","","kew-248076",TRUE,"1.1","Accepted","Bromeliaceae","Hechtia","","texensis","","","S.Watson","kew-248076","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Hecistopteris pumila","Hecistopteris","","pumila",NA,NA,"","","tro-26602287",TRUE,"1.1","Accepted","Pteridaceae","Hecistopteris","","pumila","","","(Spreng.) J. Sm.","tro-26602287","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heckeldora jongkindii","Heckeldora","","jongkindii",NA,NA,"","","kew-2604612",TRUE,"1.1","Unresolved","Meliaceae","Heckeldora","","jongkindii","","","J.J.de Wilde","kew-2604612","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Heckeldora ledermannii","Heckeldora","","ledermannii",NA,NA,"","","kew-2604613",TRUE,"1.1","Unresolved","Meliaceae","Heckeldora","","ledermannii","","","(Harms) J.J.de Wilde","kew-2604613","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Heckeldora leonensis","Heckeldora","","leonensis",NA,NA,"","","",FALSE,"1.1","","","Heckeldora","","leonensis",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Heckeldora leptotricha","Heckeldora","","leptotricha",NA,NA,"","","kew-2604614",TRUE,"1.1","Unresolved","Meliaceae","Heckeldora","","leptotricha","","","(Harms) J.J.de Wilde","kew-2604614","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Heckeldora staudtii","Heckeldora","","staudtii",NA,NA,"","","kew-2840758",TRUE,"1.1","Accepted","Meliaceae","Heckeldora","","staudtii","","","(Harms) Staner","kew-2840758","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heckeldora trifoliolata","Heckeldora","","trifoliolata",NA,NA,"","","kew-2604615",TRUE,"1.1","Unresolved","Meliaceae","Heckeldora","","trifoliolata","","","J.J.de Wilde","kew-2604615","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Heckeldora zenkeri","Heckeldora","","zenkeri",NA,NA,"","","kew-2840759",TRUE,"1.1","Accepted","Meliaceae","Heckeldora","","zenkeri","","","(Harms) Staner","kew-2840759","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Hectorella caespitosa","Hectorella","","caespitosa",NA,NA,"","","kew-2840773",TRUE,"1.1","Accepted","Montiaceae","Hectorella","","caespitosa","","","Hook.f.","kew-2840773","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Hedbergia abyssinica","Hedbergia","","abyssinica",NA,NA,"","","kew-2840776",TRUE,"1.1","Accepted","Orobanchaceae","Hedbergia","","abyssinica","","","(Benth.) Molau","kew-2840776","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Hedbergia decurva","Hedbergia","","decurva",NA,NA,"","","",FALSE,"1.1","","","Hedbergia","","decurva",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Hedbergia longiflora","Hedbergia","","longiflora",NA,NA,"","","",FALSE,"1.1","","","Hedbergia","","longiflora",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Hedenaesia austrina","Hedenaesia","","austrina",NA,NA,"","","tro-100357224",TRUE,"1.1","Accepted","Brachytheciaceae","Hedenaesia","","austrina","","","(Hook. f. & Wilson) Huttunen & Ignatov","tro-100357224","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Hedenaesia muriculata","Hedenaesia","","muriculata",NA,NA,"","","tro-100357225",TRUE,"1.1","Accepted","Brachytheciaceae","Hedenaesia","","muriculata","","","(Hook. f. & Wilson) Huttunen & Ignatov","tro-100357225","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Hedenasiastrum percurrens","Hedenasiastrum","","percurrens",NA,NA,"","","tro-35218139",TRUE,"1.1","Accepted","Brachytheciaceae","Hedenasiastrum","","percurrens","","","(Hedenäs) Ignatov & Vanderpoorten","tro-35218139","Accepted",FALSE,FALSE,FALSE,2017-05-11
