"Heliotropium erosum","Heliotropium","","erosum",NA,NA,"","","kew-2843999",TRUE,"1.1","Synonym","Boraginaceae","Heliotropium","","crispum","","","Desf.","kew-2843932","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heliotropium europaeum","Heliotropium","","europaeum",NA,NA,"","","kew-2844004",TRUE,"1.1","Accepted","Boraginaceae","Heliotropium","","europaeum","","","L.","kew-2844004","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heliotropium filiforme","Heliotropium","","filiforme",NA,NA,"","","kew-2844015",TRUE,"1.1","Synonym","Boraginaceae","Euploca","","filiformis","","","(Lehm.) J.I.M.Melo & Semir","kew-2896160","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heliotropium geissei","Heliotropium","","geissei",NA,NA,"","","tro-4001584",TRUE,"1.1","Accepted","Boraginaceae","Heliotropium","","geissei","","","F. Phil. ex Phil.","tro-4001584","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heliotropium giessii","Heliotropium","","giessii",NA,NA,"","","tro-4001345",TRUE,"1.1","Accepted","Boraginaceae","Heliotropium","","giessii","","","M. Friedrich","tro-4001345","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heliotropium glabriusculum","Heliotropium","","glabriusculum",NA,NA,"","","tro-4000969",TRUE,"1.1","Accepted","Boraginaceae","Heliotropium","","glabriusculum","","","(Torr.) A. Gray","tro-4000969","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heliotropium greggii","Heliotropium","","greggii",NA,NA,"","","tro-4000970",TRUE,"1.1","Accepted","Boraginaceae","Heliotropium","","greggii","","","Torr.","tro-4000970","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heliotropium hirsutissimum","Heliotropium","","hirsutissimum",NA,NA,"","","kew-2844097",TRUE,"1.1","Accepted","Boraginaceae","Heliotropium","","hirsutissimum","","","Grauer","kew-2844097","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heliotropium humifusum","Heliotropium","","humifusum",NA,NA,"","","kew-2844110",TRUE,"1.1","Synonym","Boraginaceae","Euploca","","humifusa","","","(Kunth) Diane & Hilger","kew-2804621","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heliotropium incanum","Heliotropium","","incanum",NA,NA,"","","tro-4000471",TRUE,"1.1","Accepted","Boraginaceae","Heliotropium","","incanum","","","Ruiz & Pav.","tro-4000471","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heliotropium indicum","Heliotropium","","indicum",NA,NA,"","","kew-2844124",TRUE,"1.1","Accepted","Boraginaceae","Heliotropium","","indicum","","","L.","kew-2844124","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heliotropium karwinskyi","Heliotropium","","karwinskyi",NA,NA,"","","tro-4001291",TRUE,"1.1","Accepted","Boraginaceae","Heliotropium","","karwinskyi","","","I.M. Johnst.","tro-4001291","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heliotropium krauseanum","Heliotropium","","krauseanum",NA,NA,"","","kew-2844151",TRUE,"1.1","Accepted","Boraginaceae","Heliotropium","","krauseanum","","","Fedde","kew-2844151","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heliotropium kurtzii","Heliotropium","","kurtzii",NA,NA,"","","tro-4002994",TRUE,"1.1","Accepted","Boraginaceae","Heliotropium","","kurtzii","","","Gangui","tro-4002994","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heliotropium lasiocarpum","Heliotropium","","lasiocarpum",NA,NA,"","","kew-2844169",TRUE,"1.1","Accepted","Boraginaceae","Heliotropium","","lasiocarpum","","","Fisch. & C.A.Mey.","kew-2844169","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heliotropium linariifolium","Heliotropium","","linariifolium",NA,NA,"","","kew-2844185",TRUE,"1.1","Accepted","Boraginaceae","Heliotropium","","linariifolium","","","Phil.","kew-2844185","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heliotropium lineare","Heliotropium","","lineare",NA,NA,"","","tro-4001349",TRUE,"1.1","Accepted","Boraginaceae","Heliotropium","","lineare","","","C.H. Wright","tro-4001349","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heliotropium lippioides","Heliotropium","","lippioides",NA,NA,"","","tro-4000479",TRUE,"1.1","Accepted","Boraginaceae","Heliotropium","","lippioides","","","Krause","tro-4000479","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heliotropium longiflorum","Heliotropium","","longiflorum",NA,NA,"","","kew-2844202",TRUE,"1.1","Accepted","Boraginaceae","Heliotropium","","longiflorum","","","(A.DC.) Jaub. & Spach","kew-2844202","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heliotropium mandonii","Heliotropium","","mandonii",NA,NA,"","","tro-4001105",TRUE,"1.1","Accepted","Boraginaceae","Heliotropium","","mandonii","","","I.M. Johnst.","tro-4001105","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heliotropium mendocinum","Heliotropium","","mendocinum",NA,NA,"","","tro-4000487",TRUE,"1.1","Accepted","Boraginaceae","Heliotropium","","mendocinum","","","Phil.","tro-4000487","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heliotropium messerschmidioides","Heliotropium","","messerschmidioides",NA,NA,"","","tro-100376776",TRUE,"1.1","Unresolved","Boraginaceae","Heliotropium","","messerschmidiodes","","","Kuntze","tro-100376776","Unresolved",TRUE,FALSE,FALSE,2017-05-11
"Heliotropium microstachyum","Heliotropium","","microstachyum",NA,NA,"","","tro-4000490",TRUE,"1.1","Accepted","Boraginaceae","Heliotropium","","microstachyum","","","Ruiz & Pav.","tro-4000490","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heliotropium molle","Heliotropium","","molle",NA,NA,"","","tro-4000974",TRUE,"1.1","Accepted","Boraginaceae","Heliotropium","","molle","","","(Torr.) I.M. Johnst.","tro-4000974","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heliotropium nelsonii","Heliotropium","","nelsonii",NA,NA,"","","tro-4001357",TRUE,"1.1","Synonym","Boraginaceae","Heliotropium","","steudneri","","","Vatke","tro-4001355","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heliotropium nicotianifolium","Heliotropium","","nicotianifolium",NA,NA,"","","tro-4000496",TRUE,"1.1","Accepted","Boraginaceae","Heliotropium","","nicotianifolium","","","Poir.","tro-4000496","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heliotropium oliveranum","Heliotropium","","oliveranum",NA,NA,"","","tro-4001353",TRUE,"1.1","Accepted","Boraginaceae","Heliotropium","","oliveranum","","","Schinz","tro-4001353","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heliotropium ovalifolium","Heliotropium","","ovalifolium",NA,NA,"","","kew-2844309",TRUE,"1.1","Accepted","Boraginaceae","Heliotropium","","ovalifolium","","","Forssk.","kew-2844309","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heliotropium paronychioides","Heliotropium","","paronychioides",NA,NA,"","","kew-2844325",TRUE,"1.1","Accepted","Boraginaceae","Heliotropium","","paronychioides","","","DC.","kew-2844325","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heliotropium patagonicum","Heliotropium","","patagonicum",NA,NA,"","","tro-4001556",TRUE,"1.1","Accepted","Boraginaceae","Heliotropium","","patagonicum","","","A. DC.","tro-4001556","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heliotropium phylicoides","Heliotropium","","phylicoides",NA,NA,"","","kew-2844355",TRUE,"1.1","Accepted","Boraginaceae","Heliotropium","","phylicoides","","","Cham.","kew-2844355","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heliotropium pinnatisectum","Heliotropium","","pinnatisectum",NA,NA,"","","tro-4002997",TRUE,"1.1","Accepted","Boraginaceae","Heliotropium","","pinnatisectum","","","R.L. Pérez-Mor.","tro-4002997","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heliotropium polyphyllum","Heliotropium","","polyphyllum",NA,NA,"","","kew-2844374",TRUE,"1.1","Synonym","Boraginaceae","Euploca","","polyphylla","","","(Lehm.) J.I.M.Melo & Semir","kew-2896169","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heliotropium procumbens","Heliotropium","","procumbens",NA,NA,"","","kew-2844382",TRUE,"1.1","Accepted","Boraginaceae","Heliotropium","","procumbens","","","Mill.","kew-2844382","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heliotropium pulvinum","Heliotropium","","pulvinum",NA,NA,"","","kew-2844396",TRUE,"1.1","Synonym","Boraginaceae","Euploca","","pulvina","","","(Craven) Diane & Hilger","kew-2804627","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heliotropium pycnophyllum","Heliotropium","","pycnophyllum",NA,NA,"","","kew-2844400",TRUE,"1.1","Accepted","Boraginaceae","Heliotropium","","pycnophyllum","","","Phil.","kew-2844400","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heliotropium rariflorum","Heliotropium","","rariflorum",NA,NA,"","","kew-2844408",TRUE,"1.1","Synonym","Boraginaceae","Euploca","","rariflora","","","(Stocks) Diane & Hilger","kew-2804629","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heliotropium sogdianum","Heliotropium","","sogdianum",NA,NA,"","","tro-4002123",TRUE,"1.1","Synonym","Boraginaceae","Argusia","","sogdiana","","","(Bunge) Czerep.","kew-2650620","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Heliotropium stenophyllum","Heliotropium","","stenophyllum",NA,NA,"","","tro-4001557",TRUE,"1.1","Accepted","Boraginaceae","Heliotropium","","stenophyllum","","","Hook. & Arn.","tro-4001557","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heliotropium strigosum","Heliotropium","","strigosum",NA,NA,"","","kew-2844506",TRUE,"1.1","Accepted","Boraginaceae","Heliotropium","","strigosum","","","Willd.","kew-2844506","Accepted",FALSE,FALSE,FALSE,2017-05-11
