"Heterotheca villosa","Heterotheca","","villosa",NA,NA,"","","gcc-91042",TRUE,"1.1","Accepted","Compositae","Heterotheca","","villosa","","","(Pursh) Shinners","gcc-91042","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heterotis decumbens","Heterotis","","decumbens",NA,NA,"","","tro-20303132",TRUE,"1.1","Accepted","Melastomataceae","Heterotis","","decumbens","","","Jacq.-Fél.","tro-20303132","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heterotis rotundifolia","Heterotis","","rotundifolia",NA,NA,"","","tro-20303136",TRUE,"1.1","Accepted","Melastomataceae","Heterotis","","rotundifolia","","","(Sm.) Jacq.-Fél.","tro-20303136","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heterotoma lobelioides","Heterotoma","","lobelioides",NA,NA,"","","kew-370587",TRUE,"1.1","Accepted","Campanulaceae","Heterotoma","","lobelioides","","","Zucc.","kew-370587","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heuchera abramsii","Heuchera","","abramsii",NA,NA,"","","tro-29100333",TRUE,"1.1","Accepted","Saxifragaceae","Heuchera","","abramsii","","","Rydb.","tro-29100333","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heuchera acutifolia","Heuchera","","acutifolia",NA,NA,"","","tro-29101505",TRUE,"1.1","Accepted","Saxifragaceae","Heuchera","","acutifolia","","","Rose","tro-29101505","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heuchera alba","Heuchera","","alba",NA,NA,"","","kew-2848664",TRUE,"1.1","Unresolved","Saxifragaceae","Heuchera","","alba","","","Rydb.","kew-2848664","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Heuchera americana","Heuchera","","americana",NA,NA,"","","tro-29100129",TRUE,"1.1","Accepted","Saxifragaceae","Heuchera","","americana","","","L.","tro-29100129","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heuchera bracteata","Heuchera","","bracteata",NA,NA,"","","tro-29100337",TRUE,"1.1","Accepted","Saxifragaceae","Heuchera","","bracteata","","","(Torr.) Ser.","tro-29100337","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heuchera brevistaminea","Heuchera","","brevistaminea",NA,NA,"","","tro-29100338",TRUE,"1.1","Accepted","Saxifragaceae","Heuchera","","brevistaminea","","","Wiggins","tro-29100338","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heuchera caespitosa","Heuchera","","caespitosa",NA,NA,"","","tro-29100339",TRUE,"1.1","Accepted","Saxifragaceae","Heuchera","","caespitosa","","","Eastw.","tro-29100339","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heuchera canadensis","Heuchera","","canadensis",NA,NA,"","","",FALSE,"1.1","","","Heuchera","","canadensis",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Heuchera caroliniana","Heuchera","","caroliniana",NA,NA,"","","tro-29101228",TRUE,"1.1","Accepted","Saxifragaceae","Heuchera","","caroliniana","","","(Rosend., Butters & Lakela) E.F. Wells","tro-29101228","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heuchera chlorantha","Heuchera","","chlorantha",NA,NA,"","","tro-29100340",TRUE,"1.1","Accepted","Saxifragaceae","Heuchera","","chlorantha","","","Piper","tro-29100340","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heuchera cylindrica","Heuchera","","cylindrica",NA,NA,"","","tro-29100344",TRUE,"1.1","Accepted","Saxifragaceae","Heuchera","","cylindrica","","","Douglas","tro-29100344","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heuchera eastwoodiae","Heuchera","","eastwoodiae",NA,NA,"","","tro-29100348",TRUE,"1.1","Accepted","Saxifragaceae","Heuchera","","eastwoodiae","","","Rosend., Butters & Lakela","tro-29100348","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heuchera elegans","Heuchera","","elegans",NA,NA,"","","tro-29100349",TRUE,"1.1","Accepted","Saxifragaceae","Heuchera","","elegans","","","Abrams","tro-29100349","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heuchera glabra","Heuchera","","glabra",NA,NA,"","","tro-29100350",TRUE,"1.1","Accepted","Saxifragaceae","Heuchera","","glabra","","","Willd. ex Roem. & Schult.","tro-29100350","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heuchera glomerulata","Heuchera","","glomerulata",NA,NA,"","","tro-29100351",TRUE,"1.1","Accepted","Saxifragaceae","Heuchera","","glomerulata","","","Rosend., Butters & Lakela","tro-29100351","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heuchera grossulariifolia","Heuchera","","grossulariifolia",NA,NA,"","","tro-29100352",TRUE,"1.1","Synonym","Saxifragaceae","Heuchera","","hallii","var.","grossularifolia","(Rydb.) Rosend.","tro-50097092","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heuchera hallii","Heuchera","","hallii",NA,NA,"","","tro-29100354",TRUE,"1.1","Accepted","Saxifragaceae","Heuchera","","hallii","","","A. Gray","tro-29100354","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heuchera hirsutissima","Heuchera","","hirsutissima",NA,NA,"","","tro-29100355",TRUE,"1.1","Accepted","Saxifragaceae","Heuchera","","hirsutissima","","","Rosend., Butters & Lakela","tro-29100355","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heuchera lakelae","Heuchera","","lakelae",NA,NA,"","","",FALSE,"1.1","","","Heuchera","","lakelae",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Heuchera longiflora","Heuchera","","longiflora",NA,NA,"","","tro-29100359",TRUE,"1.1","Accepted","Saxifragaceae","Heuchera","","longiflora","","","Rydb.","tro-29100359","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heuchera longipetala","Heuchera","","longipetala",NA,NA,"","","kew-2848760",TRUE,"1.1","Unresolved","Saxifragaceae","Heuchera","","longipetala","","","Moc. ex Ser.","kew-2848760","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Heuchera maxima","Heuchera","","maxima",NA,NA,"","","tro-29100361",TRUE,"1.1","Accepted","Saxifragaceae","Heuchera","","maxima","","","Greene","tro-29100361","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heuchera merriamii","Heuchera","","merriamii",NA,NA,"","","tro-29100362",TRUE,"1.1","Accepted","Saxifragaceae","Heuchera","","merriamii","","","Eastw.","tro-29100362","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heuchera mexicana","Heuchera","","mexicana",NA,NA,"","","tro-50149390",TRUE,"1.1","Accepted","Saxifragaceae","Heuchera","","mexicana","","","W. Schaffn. ex Rydb.","tro-50149390","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heuchera micrantha","Heuchera","","micrantha",NA,NA,"","","tro-29100363",TRUE,"1.1","Accepted","Saxifragaceae","Heuchera","","micrantha","","","Douglas ex Lindl.","tro-29100363","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heuchera missouriensis","Heuchera","","missouriensis",NA,NA,"","","tro-29100368",TRUE,"1.1","Accepted","Saxifragaceae","Heuchera","","missouriensis","","","Rosend.","tro-29100368","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heuchera novamexicana","Heuchera","","novamexicana",NA,NA,"","","tro-29100369",TRUE,"1.1","Accepted","Saxifragaceae","Heuchera","","novamexicana","","","Wheelock","tro-29100369","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heuchera novomexicana","Heuchera","","novomexicana",NA,NA,"","","tro-29100369",TRUE,"1.1","Accepted","Saxifragaceae","Heuchera","","novamexicana","","","Wheelock","tro-29100369","Accepted",TRUE,FALSE,FALSE,2017-05-11
"Heuchera parishii","Heuchera","","parishii",NA,NA,"","","tro-29100370",TRUE,"1.1","Accepted","Saxifragaceae","Heuchera","","parishii","","","Rydb.","tro-29100370","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heuchera parviflora","Heuchera","","parviflora",NA,NA,"","","tro-29100130",TRUE,"1.1","Accepted","Saxifragaceae","Heuchera","","parviflora","","","Bartl.","tro-29100130","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heuchera parvifolia","Heuchera","","parvifolia",NA,NA,"","","tro-29100372",TRUE,"1.1","Accepted","Saxifragaceae","Heuchera","","parvifolia","","","Nutt. ex Torr. & A. Gray","tro-29100372","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heuchera pilosissima","Heuchera","","pilosissima",NA,NA,"","","tro-29100378",TRUE,"1.1","Accepted","Saxifragaceae","Heuchera","","pilosissima","","","Fisch. & C.A. Mey.","tro-29100378","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heuchera puberula","Heuchera","","puberula",NA,NA,"","","tro-29100381",TRUE,"1.1","Accepted","Saxifragaceae","Heuchera","","puberula","","","Mack. & Bush","tro-29100381","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heuchera pubescens","Heuchera","","pubescens",NA,NA,"","","tro-29100382",TRUE,"1.1","Accepted","Saxifragaceae","Heuchera","","pubescens","","","Pursh","tro-29100382","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heuchera pulchella","Heuchera","","pulchella",NA,NA,"","","tro-29100383",TRUE,"1.1","Accepted","Saxifragaceae","Heuchera","","pulchella","","","Wooton & Standl.","tro-29100383","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heuchera richardsonii","Heuchera","","richardsonii",NA,NA,"","","tro-29100025",TRUE,"1.1","Accepted","Saxifragaceae","Heuchera","","richardsonii","","","R. Br.","tro-29100025","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heuchera rosendahlii","Heuchera","","rosendahlii",NA,NA,"","","",FALSE,"1.1","","","Heuchera","","rosendahlii",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Heuchera rubescens","Heuchera","","rubescens",NA,NA,"","","tro-29100387",TRUE,"1.1","Accepted","Saxifragaceae","Heuchera","","rubescens","","","Torr.","tro-29100387","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heuchera sanguinea","Heuchera","","sanguinea",NA,NA,"","","tro-29100392",TRUE,"1.1","Accepted","Saxifragaceae","Heuchera","","sanguinea","","","Engelm.","tro-29100392","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heuchera saxicola","Heuchera","","saxicola",NA,NA,"","","kew-2848858",TRUE,"1.1","Unresolved","Saxifragaceae","Heuchera","","saxicola","","","E.E.Nelson","kew-2848858","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Heuchera villosa","Heuchera","","villosa",NA,NA,"","","tro-29100133",TRUE,"1.1","Accepted","Saxifragaceae","Heuchera","","villosa","","","Michx.","tro-29100133","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Heuchera wellsiae","Heuchera","","wellsiae",NA,NA,"","","",FALSE,"1.1","","","Heuchera","","wellsiae",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
