"Hylomecon japonica","Hylomecon","","japonica",NA,NA,"","","tro-24000048",TRUE,"1.1","Accepted","Papaveraceae","Hylomecon","","japonica","","","(Thunb.) Prantl & Kündig","tro-24000048","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Hylomecon vernalis","Hylomecon","","vernalis",NA,NA,"","","kew-2856926",TRUE,"1.1","Accepted","Papaveraceae","Hylomecon","","vernalis","","","Maxim.","kew-2856926","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Hylophila lanceolata","Hylophila","","lanceolata",NA,NA,"","","kew-101134",TRUE,"1.1","Accepted","Orchidaceae","Hylophila","","lanceolata","","","(Blume) Miq.","kew-101134","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Hylophila nipponica","Hylophila","","nipponica",NA,NA,"","","kew-101136",TRUE,"1.1","Accepted","Orchidaceae","Hylophila","","nipponica","","","(Fukuy.) T.P.Lin","kew-101136","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Hylotelephium anacampseros","Hylotelephium","","anacampseros",NA,NA,"","","kew-2856955",TRUE,"1.1","Synonym","Crassulaceae","Sedum","","anacampseros","","","L.","kew-2484734","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Hylotelephium angustum","Hylotelephium","","angustum",NA,NA,"","","tro-8903393",TRUE,"1.1","Accepted","Crassulaceae","Hylotelephium","","angustum","","","(Maxim.) H. Ohba","tro-8903393","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Hylotelephium caucasium","Hylotelephium","","caucasium",NA,NA,"","","kew-2856964",TRUE,"1.1","Synonym","Crassulaceae","Sedum","","maximum","subsp.","ruprechtii","(Jalas) Soó","kew-2871612","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Hylotelephium cauticola","Hylotelephium","","cauticola",NA,NA,"","","kew-2856965",TRUE,"1.1","Unresolved","Crassulaceae","Hylotelephium","","cauticola","","","(Praeger) H.Ohba","kew-2856965","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Hylotelephium cyaneum","Hylotelephium","","cyaneum",NA,NA,"","","tro-8901683",TRUE,"1.1","Synonym","Crassulaceae","Sedum","","cyaneum","","","J. Rudolph","tro-8901793","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Hylotelephium erythrostictum","Hylotelephium","","erythrostictum",NA,NA,"","","tro-8901684",TRUE,"1.1","Accepted","Crassulaceae","Hylotelephium","","erythrostictum","","","(Miq.) H. Ohba","tro-8901684","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Hylotelephium ewersii","Hylotelephium","","ewersii",NA,NA,"","","kew-2856971",TRUE,"1.1","Synonym","Crassulaceae","Sedum","","ewersii","","","Ledeb.","kew-2483669","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Hylotelephium mingjinianum","Hylotelephium","","mingjinianum",NA,NA,"","","tro-8903386",TRUE,"1.1","Accepted","Crassulaceae","Hylotelephium","","mingjinianum","","","(S.H. Fu) H. Ohba","tro-8903386","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Hylotelephium pallescens","Hylotelephium","","pallescens",NA,NA,"","","tro-8901687",TRUE,"1.1","Accepted","Crassulaceae","Hylotelephium","","pallescens","","","(Freyn) H. Ohba","tro-8901687","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Hylotelephium pluricaule","Hylotelephium","","pluricaule",NA,NA,"","","tro-8901688",TRUE,"1.1","Synonym","Crassulaceae","Sedum","","pluricaule","","","Kudô","tro-8901824","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Hylotelephium populifolium","Hylotelephium","","populifolium",NA,NA,"","","tro-8901689",TRUE,"1.1","Synonym","Crassulaceae","Sedum","","populifolium","","","Pall.","tro-8901827","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Hylotelephium pseudospectabile","Hylotelephium","","pseudospectabile",NA,NA,"","","tro-8903385",TRUE,"1.1","Accepted","Crassulaceae","Hylotelephium","","pseudospectabile","","","(Praeger) S.H. Fu","tro-8903385","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Hylotelephium sieboldii","Hylotelephium","","sieboldii",NA,NA,"","","kew-2856994",TRUE,"1.1","Synonym","Crassulaceae","Sedum","","sieboldii","","","Regel","kew-2489476","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Hylotelephium sordidum","Hylotelephium","","sordidum",NA,NA,"","","kew-2856997",TRUE,"1.1","Unresolved","Crassulaceae","Hylotelephium","","sordidum","","","(Maxim.) H.Ohba","kew-2856997","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Hylotelephium spectabile","Hylotelephium","","spectabile",NA,NA,"","","tro-8903382",TRUE,"1.1","Accepted","Crassulaceae","Hylotelephium","","spectabile","","","(Boreau) H. Ohba","tro-8903382","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Hylotelephium subcapitatum","Hylotelephium","","subcapitatum",NA,NA,"","","tro-8903325",TRUE,"1.1","Accepted","Crassulaceae","Hylotelephium","","subcapitatum","","","(Hayata) H. Ohba","tro-8903325","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Hylotelephium tatarinowii","Hylotelephium","","tatarinowii",NA,NA,"","","tro-8903389",TRUE,"1.1","Accepted","Crassulaceae","Hylotelephium","","tatarinowii","","","(Maxim.) H. Ohba","tro-8903389","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Hylotelephium telephioides","Hylotelephium","","telephioides",NA,NA,"","","tro-8901295",TRUE,"1.1","Accepted","Crassulaceae","Hylotelephium","","telephioides","","","(Michx.) H. Ohba","tro-8901295","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Hylotelephium telephium","Hylotelephium","","telephium",NA,NA,"","","kew-2857008",TRUE,"1.1","Synonym","Crassulaceae","Sedum","","telephium","","","L.","kew-2488984","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Hylotelephium triphyllum","Hylotelephium","","triphyllum",NA,NA,"","","kew-2857012",TRUE,"1.1","Synonym","Crassulaceae","Sedum","","telephium","","","L.","kew-2488984","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Hylotelephium ussuriense","Hylotelephium","","ussuriense",NA,NA,"","","tro-8901694",TRUE,"1.1","Synonym","Crassulaceae","Sedum","","ussuriense","","","Kom.","tro-8900183","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Hylotelephium verticillatum","Hylotelephium","","verticillatum",NA,NA,"","","tro-8901695",TRUE,"1.1","Accepted","Crassulaceae","Hylotelephium","","verticillatum","","","(L.) H. Ohba","tro-8901695","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Hylotelephium viride","Hylotelephium","","viride",NA,NA,"","","kew-2857021",TRUE,"1.1","Unresolved","Crassulaceae","Hylotelephium","","viride","","","(Makino) H.Ohba","kew-2857021","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Hylotelephium viviparum","Hylotelephium","","viviparum",NA,NA,"","","tro-8901696",TRUE,"1.1","Accepted","Crassulaceae","Hylotelephium","","viviparum","","","(Maxim.) H. Ohba","tro-8901696","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Hymenachne amplexicaulis","Hymenachne","","amplexicaulis",NA,NA,"","","kew-419660",TRUE,"1.1","Accepted","Poaceae","Hymenachne","","amplexicaulis","","","(Rudge) Nees","kew-419660","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Hymenachne aurita","Hymenachne","","aurita",NA,NA,"","","kew-419663",TRUE,"1.1","Synonym","Poaceae","Panicum","","auritum","","","J.Presl ex Nees","kew-427357","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Hymenachne donacifolia","Hymenachne","","donacifolia",NA,NA,"","","kew-419668",TRUE,"1.1","Accepted","Poaceae","Hymenachne","","donacifolia","","","(Raddi) Chase","kew-419668","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Hymenachne felliana","Hymenachne","","felliana",NA,NA,"","","",FALSE,"1.1","","","Hymenachne","","felliana",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Hymenachne grumosa","Hymenachne","","grumosa",NA,NA,"","","kew-419672",TRUE,"1.1","Accepted","Poaceae","Hymenachne","","grumosa","","","(Nees) Zuloaga","kew-419672","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Hymenachne hemitomon","Hymenachne","","hemitomon",NA,NA,"","","kew-419673",TRUE,"1.1","Synonym","Poaceae","Panicum","","hemitomon","","","Schult.","kew-428580","Accepted",TRUE,FALSE,FALSE,2017-05-11
"Hymenachne pernambucense","Hymenachne","","pernambucense",NA,NA,"","","kew-419686",TRUE,"1.1","Accepted","Poaceae","Hymenachne","","pernambucensis","","","(Spreng.) Zuloaga","kew-419686","Accepted",TRUE,FALSE,FALSE,2017-05-11
"Hymenachne pseudointerrupta","Hymenachne","","pseudointerrupta",NA,NA,"","","kew-419692",TRUE,"1.1","Synonym","Poaceae","Hymenachne","","amplexicaulis","","","(Rudge) Nees","kew-419660","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Hymenaea aurea","Hymenaea","","aurea",NA,NA,"","","ild-24363",TRUE,"1.1","Accepted","Leguminosae","Hymenaea","","aurea","","","Lee & Langenh.","ild-24363","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Hymenaea courbaril","Hymenaea","","courbaril",NA,NA,"","","ild-1496",TRUE,"1.1","Accepted","Leguminosae","Hymenaea","","courbaril","","","L.","ild-1496","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Hymenaea eriogyne","Hymenaea","","eriogyne",NA,NA,"","","ild-19778",TRUE,"1.1","Accepted","Leguminosae","Hymenaea","","eriogyne","","","Benth.","ild-19778","Accepted",FALSE,FALSE,FALSE,2017-05-11
