"Hypoxis filiformis","Hypoxis","","filiformis",NA,NA,"","","kew-279024",TRUE,"1.1","Accepted","Hypoxidaceae","Hypoxis","","filiformis","","","Baker","kew-279024","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Hypoxis glabella","Hypoxis","","glabella",NA,NA,"","","kew-279035",TRUE,"1.1","Accepted","Hypoxidaceae","Hypoxis","","glabella","","","R.Br.","kew-279035","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Hypoxis hemerocallidea","Hypoxis","","hemerocallidea",NA,NA,"","","kew-279046",TRUE,"1.1","Accepted","Hypoxidaceae","Hypoxis","","hemerocallidea","","","Fisch., C.A.Mey. & Avé-Lall.","kew-279046","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Hypoxis hirsuta","Hypoxis","","hirsuta",NA,NA,"","","kew-279047",TRUE,"1.1","Accepted","Hypoxidaceae","Hypoxis","","hirsuta","","","(L.) Coville","kew-279047","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Hypoxis hygrometrica","Hypoxis","","hygrometrica",NA,NA,"","","kew-279056",TRUE,"1.1","Accepted","Hypoxidaceae","Hypoxis","","hygrometrica","","","Labill.","kew-279056","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Hypoxis juncea","Hypoxis","","juncea",NA,NA,"","","kew-279067",TRUE,"1.1","Accepted","Hypoxidaceae","Hypoxis","","juncea","","","Sm.","kew-279067","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Hypoxis leptocarpa","Hypoxis","","leptocarpa",NA,NA,"","","kew-279084",TRUE,"1.1","Synonym","Hypoxidaceae","Hypoxis","","curtissii","","","Rose","kew-278989","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Hypoxis occidentalis","Hypoxis","","occidentalis",NA,NA,"","","kew-279135",TRUE,"1.1","Accepted","Hypoxidaceae","Hypoxis","","occidentalis","","","Benth.","kew-279135","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Hypoxis parvula","Hypoxis","","parvula",NA,NA,"","","kew-279145",TRUE,"1.1","Accepted","Hypoxidaceae","Hypoxis","","parvula","","","Baker","kew-279145","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Hypoxis setosa","Hypoxis","","setosa",NA,NA,"","","kew-279192",TRUE,"1.1","Accepted","Hypoxidaceae","Hypoxis","","setosa","","","Baker","kew-279192","Accepted",FALSE,FALSE,FALSE,2017-05-11
