"Kjellbergiodendron celebicum","Kjellbergiodendron","","celebicum",NA,NA,"","","kew-106054",TRUE,"1.1","Accepted","Myrtaceae","Kjellbergiodendron","","celebicum","","","(Koord.) Merr.","kew-106054","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Klackenbergia stricta","Klackenbergia","","stricta",NA,NA,"","","tro-100351804",TRUE,"1.1","Accepted","Gentianaceae","Klackenbergia","","stricta","","","(Schinz) Kissling","tro-100351804","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Klaineanthus gabonii","Klaineanthus","","gabonii",NA,NA,"","","kew-106058",TRUE,"1.1","Accepted","Euphorbiaceae","Klaineanthus","","gabonii","","","Pierre","kew-106058","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Klainedoxa gabonensis","Klainedoxa","","gabonensis",NA,NA,"","","kew-2336483",TRUE,"1.1","Accepted","Irvingiaceae","Klainedoxa","","gabonensis","","","Pierre","kew-2336483","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Klaprothia fasciculata","Klaprothia","","fasciculata",NA,NA,"","","kew-2334910",TRUE,"1.1","Accepted","Loasaceae","Klaprothia","","fasciculata","","","(C.Presl) Poston","kew-2334910","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Klaprothia mentzelioides","Klaprothia","","mentzelioides",NA,NA,"","","kew-2334911",TRUE,"1.1","Accepted","Loasaceae","Klaprothia","","mentzelioides","","","Kunth","kew-2334911","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Klarobelia candida","Klarobelia","","candida",NA,NA,"","","tro-50137988",TRUE,"1.1","Accepted","Annonaceae","Klarobelia","","candida","","","Chatrou","tro-50137988","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Klarobelia cauliflora","Klarobelia","","cauliflora",NA,NA,"","","tro-50143328",TRUE,"1.1","Accepted","Annonaceae","Klarobelia","","cauliflora","","","Chatrou","tro-50143328","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Klarobelia inundata","Klarobelia","","inundata",NA,NA,"","","tro-50141319",TRUE,"1.1","Accepted","Annonaceae","Klarobelia","","inundata","","","Chatrou","tro-50141319","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Klarobelia megalocarpa","Klarobelia","","megalocarpa",NA,NA,"","","tro-50129525",TRUE,"1.1","Accepted","Annonaceae","Klarobelia","","megalocarpa","","","Chatrou","tro-50129525","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Klarobelia stipitata","Klarobelia","","stipitata",NA,NA,"","","tro-50152287",TRUE,"1.1","Accepted","Annonaceae","Klarobelia","","stipitata","","","Chatrou","tro-50152287","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Klasea algida","Klasea","","algida",NA,NA,"","","gcc-123944",TRUE,"1.1","Unresolved","Compositae","Klasea","","algida","","","(Iljin) Hidalgo","gcc-123944","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Klasea aphyllopoda","Klasea","","aphyllopoda",NA,NA,"","","gcc-121173",TRUE,"1.1","Synonym","Compositae","Serratula","","aphyllopoda","","","Iljin","gcc-26034","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Klasea aznavouriana","Klasea","","aznavouriana",NA,NA,"","","gcc-137318",TRUE,"1.1","Accepted","Compositae","Klasea","","aznavouriana","","","(Bornm.) Greuter & Wagenitz","gcc-137318","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Klasea biebersteiniana","Klasea","","biebersteiniana",NA,NA,"","","gcc-28998",TRUE,"1.1","Synonym","Compositae","Klasea","","radiata","subsp.","biebersteiniana","(Grossh.) Greuter","gcc-65400","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Klasea boetica","Klasea","","boetica",NA,NA,"","","",FALSE,"1.1","","","Klasea","","boetica",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Klasea caucasica","Klasea","","caucasica",NA,NA,"","","gcc-23414",TRUE,"1.1","Accepted","Compositae","Klasea","","caucasica","","","(Boiss.) Greuter","gcc-23414","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Klasea centauroides","Klasea","","centauroides",NA,NA,"","","gcc-141568",TRUE,"1.1","Synonym","Compositae","Serratula","","centauroides","","","L.","gcc-92039","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Klasea cerinthifolia","Klasea","","cerinthifolia",NA,NA,"","","gcc-127657",TRUE,"1.1","Accepted","Compositae","Klasea","","cerinthifolia","","","(Sm.) Greuter & Wagenitz","gcc-127657","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Klasea chartacea","Klasea","","chartacea",NA,NA,"","","gcc-127042",TRUE,"1.1","Unresolved","Compositae","Klasea","","chartacea","","","(C.Winkl.) L.Martins","gcc-127042","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Klasea coriacea","Klasea","","coriacea",NA,NA,"","","gcc-139276",TRUE,"1.1","Accepted","Compositae","Klasea","","coriacea","","","Holub","gcc-139276","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Klasea cretica","Klasea","","cretica",NA,NA,"","","gcc-6693",TRUE,"1.1","Accepted","Compositae","Klasea","","cretica","","","(Turrill) J.Holub","gcc-6693","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Klasea cupuliformis","Klasea","","cupuliformis",NA,NA,"","","gcc-107446",TRUE,"1.1","Synonym","Compositae","Serratula","","cupuliformis","","","Nakai & Kitag.","gcc-122424","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Klasea dissecta","Klasea","","dissecta",NA,NA,"","","gcc-96531",TRUE,"1.1","Unresolved","Compositae","Klasea","","dissecta","","","(Ledeb.) L.Martins","gcc-96531","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Klasea erucifolia","Klasea","","erucifolia",NA,NA,"","","gcc-102555",TRUE,"1.1","Accepted","Compositae","Klasea","","erucifolia","","","(L.) Greuter & Wagenitz","gcc-102555","Accepted",FALSE,FALSE,FALSE,2017-05-11
