"Lagenophora petiolata","Lagenophora","","petiolata",NA,NA,"","","gcc-129771",TRUE,"1.1","Accepted","Compositae","Lagenophora","","petiolata","","","Hook.f.","gcc-129771","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lagenophora pinnatifida","Lagenophora","","pinnatifida",NA,NA,"","","gcc-124652",TRUE,"1.1","Accepted","Compositae","Lagenophora","","pinnatifida","","","Hook.f.","gcc-124652","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lagenophora pumila","Lagenophora","","pumila",NA,NA,"","","gcc-25858",TRUE,"1.1","Accepted","Compositae","Lagenophora","","pumila","","","(G.Forst.) Cheeseman","gcc-25858","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lagerstroemia archeriana","Lagerstroemia","","archeriana",NA,NA,"","","kew-2354098",TRUE,"1.1","Unresolved","Lythraceae","Lagerstroemia","","archeriana","","","F.M.Bailey","kew-2354098","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Lagerstroemia caudata","Lagerstroemia","","caudata",NA,NA,"","","tro-19200779",TRUE,"1.1","Accepted","Lythraceae","Lagerstroemia","","caudata","","","Chun & F.C. How ex S.K. Lee & L.F. Lau","tro-19200779","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lagerstroemia duperreana","Lagerstroemia","","duperreana",NA,NA,"","","kew-2354026",TRUE,"1.1","Unresolved","Lythraceae","Lagerstroemia","","duperreana","","","Pierre ex Gagnep.","kew-2354026","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Lagerstroemia floribunda","Lagerstroemia","","floribunda",NA,NA,"","","kew-2354019",TRUE,"1.1","Unresolved","Lythraceae","Lagerstroemia","","floribunda","","","Jack","kew-2354019","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Lagerstroemia hirsuta","Lagerstroemia","","hirsuta",NA,NA,"","","kew-2354054",TRUE,"1.1","Synonym","Lythraceae","Lagerstroemia","","speciosa","","","(L.) Pers.","kew-2353907","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lagerstroemia indica","Lagerstroemia","","indica",NA,NA,"","","kew-2354050",TRUE,"1.1","Accepted","Lythraceae","Lagerstroemia","","indica","","","L.","kew-2354050","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lagerstroemia langkawiensis","Lagerstroemia","","langkawiensis",NA,NA,"","","kew-2354043",TRUE,"1.1","Unresolved","Lythraceae","Lagerstroemia","","langkawiensis","","","Furtado & Montien","kew-2354043","Unresolved",FALSE,FALSE,FALSE,2017-05-11
