"Leandra tetraquetra","Leandra","","tetraquetra",NA,NA,"","","tro-20300818",TRUE,"1.1","Accepted","Melastomataceae","Leandra","","tetraquetra","","","Cogn.","tro-20300818","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Leandra therezopolitana","Leandra","","therezopolitana",NA,NA,"","","ifn-68198",TRUE,"1.1","Unresolved","Melastomataceae","Leandra","","therezopolitana","","","Cogn.","ifn-68198","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Leandra tomentosa","Leandra","","tomentosa",NA,NA,"","","tro-20300819",TRUE,"1.1","Accepted","Melastomataceae","Leandra","","tomentosa","","","Cogn.","tro-20300819","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Leandra triantha","Leandra","","triantha",NA,NA,"","","ifn-81287",TRUE,"1.1","Unresolved","Melastomataceae","Leandra","","triantha","","","E.A.Camargo & R.Goldenb.","ifn-81287","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Leandra ulaei","Leandra","","ulaei",NA,NA,"","","tro-20300822",TRUE,"1.1","Accepted","Melastomataceae","Leandra","","ulaei","","","Cogn.","tro-20300822","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Leandra umbellata","Leandra","","umbellata",NA,NA,"","","tro-20300823",TRUE,"1.1","Accepted","Melastomataceae","Leandra","","umbellata","","","DC.","tro-20300823","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Leandra variabilis","Leandra","","variabilis",NA,NA,"","","tro-20300826",TRUE,"1.1","Accepted","Melastomataceae","Leandra","","variabilis","","","Cogn.","tro-20300826","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Leandra verticillata","Leandra","","verticillata",NA,NA,"","","tro-20300828",TRUE,"1.1","Accepted","Melastomataceae","Leandra","","verticillata","","","(DC.) Cogn.","tro-20300828","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Leandra vesiculosa","Leandra","","vesiculosa",NA,NA,"","","tro-20300829",TRUE,"1.1","Unresolved","Melastomataceae","Leandra","","vesiculosa","","","Cogn.","tro-20300829","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Leandra warmingiana","Leandra","","warmingiana",NA,NA,"","","tro-50307754",TRUE,"1.1","Accepted","Melastomataceae","Leandra","","warmingiana","","","Cogn.","tro-50307754","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Leandra xanthocoma","Leandra","","xanthocoma",NA,NA,"","","tro-20300832",TRUE,"1.1","Accepted","Melastomataceae","Leandra","","xanthocoma","","","(Naudin) Cogn.","tro-20300832","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Leandra xantholasia","Leandra","","xantholasia",NA,NA,"","","tro-20300833",TRUE,"1.1","Accepted","Melastomataceae","Leandra","","xantholasia","","","Cogn.","tro-20300833","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Leandra xanthostachya","Leandra","","xanthostachya",NA,NA,"","","tro-20300108",TRUE,"1.1","Accepted","Melastomataceae","Leandra","","xanthostachya","","","Cogn.","tro-20300108","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Leavenworthia aurea","Leavenworthia","","aurea",NA,NA,"","","tro-4101318",TRUE,"1.1","Accepted","Brassicaceae","Leavenworthia","","aurea","","","Torr.","tro-4101318","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Leavenworthia crassa","Leavenworthia","","crassa",NA,NA,"","","tro-4100527",TRUE,"1.1","Accepted","Brassicaceae","Leavenworthia","","crassa","","","Rollins","tro-4100527","Accepted",FALSE,FALSE,FALSE,2017-05-11
