"Lepidozia succida","Lepidozia","","succida",NA,NA,"","","tro-35203346",TRUE,"1.1","Accepted","Lepidoziaceae","Lepidozia","","succida","","","Mitt.","tro-35203346","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lepidozia trichodes","Lepidozia","","trichodes",NA,NA,"","","tro-35209160",TRUE,"1.1","Accepted","Lepidoziaceae","Lepidozia","","trichodes","","","(Reinw. ex Blume & Nees) Gottsche","tro-35209160","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lepidozia ulothrix","Lepidozia","","ulothrix",NA,NA,"","","tro-35207834",TRUE,"1.1","Accepted","Lepidoziaceae","Lepidozia","","ulothrix","","","(Schwägr.) Lindenb.","tro-35207834","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lepidozia vitrea","Lepidozia","","vitrea",NA,NA,"","","tro-35205961",TRUE,"1.1","Accepted","Lepidoziaceae","Lepidozia","","vitrea","","","Stephani","tro-35205961","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lepilaena australis","Lepilaena","","australis",NA,NA,"","","kew-308190",TRUE,"1.1","Accepted","Potamogetonaceae","Lepilaena","","australis","","","J.Drumm. ex Harv.","kew-308190","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lepilaena marina","Lepilaena","","marina",NA,NA,"","","kew-334987",TRUE,"1.1","Accepted","Potamogetonaceae","Lepilaena","","marina","","","E.L.Robertson","kew-334987","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lepilaena patentifolia","Lepilaena","","patentifolia",NA,NA,"","","kew-334988",TRUE,"1.1","Accepted","Potamogetonaceae","Lepilaena","","patentifolia","","","E.L.Robertson","kew-334988","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lepinia taitensis","Lepinia","","taitensis",NA,NA,"","","kew-110872",TRUE,"1.1","Accepted","Apocynaceae","Lepinia","","taitensis","","","Decne.","kew-110872","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lepiniopsis ternatensis","Lepiniopsis","","ternatensis",NA,NA,"","","kew-110875",TRUE,"1.1","Accepted","Apocynaceae","Lepiniopsis","","ternatensis","","","Valeton","kew-110875","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lepiniopsis trilocularis","Lepiniopsis","","trilocularis",NA,NA,"","","kew-110876",TRUE,"1.1","Accepted","Apocynaceae","Lepiniopsis","","trilocularis","","","Markgr.","kew-110876","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lepionurus sylvestris","Lepionurus","","sylvestris",NA,NA,"","","kew-2494081",TRUE,"1.1","Accepted","Opiliaceae","Lepionurus","","sylvestris","","","Blume","kew-2494081","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lepironia articulata","Lepironia","","articulata",NA,NA,"","","kew-252230",TRUE,"1.1","Accepted","Cyperaceae","Lepironia","","articulata","","","(Retz.) Domin","kew-252230","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lepisanthes alata","Lepisanthes","","alata",NA,NA,"","","kew-2498622",TRUE,"1.1","Unresolved","Sapindaceae","Lepisanthes","","alata","","","(Blume) Leenh.","kew-2498622","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Lepisanthes ferruginea","Lepisanthes","","ferruginea",NA,NA,"","","kew-2498581",TRUE,"1.1","Unresolved","Sapindaceae","Lepisanthes","","ferruginea","","","(Radlk.) Leenh.","kew-2498581","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Lepisanthes fruticosa","Lepisanthes","","fruticosa",NA,NA,"","","tro-100362110",TRUE,"1.1","Accepted","Sapindaceae","Lepisanthes","","fruticosa","","","(Roxb.) Leenh.","tro-100362110","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lepisanthes perrieri","Lepisanthes","","perrieri",NA,NA,"","","tro-100000507",TRUE,"1.1","Accepted","Sapindaceae","Lepisanthes","","perrieri","","","(Choux) Buerki, Callm. & Lowry","tro-100000507","Accepted",FALSE,FALSE,FALSE,2017-05-11
