"Limonium latibracteatum","Limonium","","latibracteatum",NA,NA,"","","kew-2495806",TRUE,"1.1","Unresolved","Plumbaginaceae","Limonium","","latibracteatum","","","Erben","kew-2495806","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Limonium latifolium","Limonium","","latifolium",NA,NA,"","","kew-2495804",TRUE,"1.1","Synonym","Plumbaginaceae","Limonium","","platyphyllum","","","Lincz.","kew-2495672","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Limonium leonardi","Limonium","","leonardi",NA,NA,"","","",FALSE,"1.1","","","Limonium","","leonardi",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Limonium lilacinum","Limonium","","lilacinum",NA,NA,"","","kew-2495830",TRUE,"1.1","Unresolved","Plumbaginaceae","Limonium","","lilacinum","","","(Boiss.) Wagenitz","kew-2495830","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Limonium lobatum","Limonium","","lobatum",NA,NA,"","","kew-2495823",TRUE,"1.1","Accepted","Plumbaginaceae","Limonium","","lobatum","","","(L.f.) Kuntze","kew-2495823","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Limonium macrophyllum","Limonium","","macrophyllum",NA,NA,"","","kew-2495628",TRUE,"1.1","Unresolved","Plumbaginaceae","Limonium","","macrophyllum","","","Kuntze","kew-2495628","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Limonium magallufianum","Limonium","","magallufianum",NA,NA,"","","kew-2495634",TRUE,"1.1","Unresolved","Plumbaginaceae","Limonium","","magallufianum","","","L.Llorens","kew-2495634","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Limonium marisolii","Limonium","","marisolii",NA,NA,"","","kew-2495643",TRUE,"1.1","Unresolved","Plumbaginaceae","Limonium","","marisolii","","","L.Llorens","kew-2495643","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Limonium meyeri","Limonium","","meyeri",NA,NA,"","","kew-2495637",TRUE,"1.1","Accepted","Plumbaginaceae","Limonium","","meyeri","","","(Boiss.) Kuntze","kew-2495637","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Limonium migjornense","Limonium","","migjornense",NA,NA,"","","tro-25400475",TRUE,"1.1","Synonym","Plumbaginaceae","Limonium","","delicatulum","subsp.","migjornense","(Llorens) O. Bolòs, Vigo, Masalles & Ninot","tro-50195446","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Limonium minoricense","Limonium","","minoricense",NA,NA,"","","kew-2495595",TRUE,"1.1","Unresolved","Plumbaginaceae","Limonium","","minoricense","","","Erben","kew-2495595","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Limonium minutum","Limonium","","minutum",NA,NA,"","","kew-2495592",TRUE,"1.1","Accepted","Plumbaginaceae","Limonium","","minutum","","","(L.) Fourr.","kew-2495592","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Limonium mouretii","Limonium","","mouretii",NA,NA,"","","kew-2495605",TRUE,"1.1","Unresolved","Plumbaginaceae","Limonium","","mouretii","","","(Pit.) Maire","kew-2495605","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Limonium multiflorum","Limonium","","multiflorum",NA,NA,"","","kew-2495613",TRUE,"1.1","Unresolved","Plumbaginaceae","Limonium","","multiflorum","","","Erben","kew-2495613","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Limonium muradense","Limonium","","muradense",NA,NA,"","","kew-2495609",TRUE,"1.1","Unresolved","Plumbaginaceae","Limonium","","muradense","","","Erben","kew-2495609","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Limonium narbonense","Limonium","","narbonense",NA,NA,"","","kew-2495615",TRUE,"1.1","Unresolved","Plumbaginaceae","Limonium","","narbonense","","","Mill.","kew-2495615","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Limonium normannicum","Limonium","","normannicum",NA,NA,"","","kew-2495636",TRUE,"1.1","Unresolved","Plumbaginaceae","Limonium","","normannicum","","","Ingr.","kew-2495636","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Limonium nudum","Limonium","","nudum",NA,NA,"","","kew-2495706",TRUE,"1.1","Unresolved","Plumbaginaceae","Limonium","","nudum","","","Kuntze","kew-2495706","Unresolved",FALSE,FALSE,FALSE,2017-05-11
