"Lophozia obtusa","Lophozia","","obtusa",NA,NA,"","","tro-35185559",TRUE,"1.1","Accepted","Jungermanniaceae","Lophozia","","obtusa","","","(Lindb.) A. Evans","tro-35185559","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lophozia pellucida","Lophozia","","pellucida",NA,NA,"","","tro-35185561",TRUE,"1.1","Accepted","Jungermanniaceae","Lophozia","","pellucida","","","R.M. Schust.","tro-35185561","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lophozia perssonii","Lophozia","","perssonii",NA,NA,"","","tro-35185564",TRUE,"1.1","Accepted","Jungermanniaceae","Lophozia","","perssonii","","","H. Buch & S.W. Arnell","tro-35185564","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lophozia polaris","Lophozia","","polaris",NA,NA,"","","tro-35185565",TRUE,"1.1","Accepted","Jungermanniaceae","Lophozia","","polaris","","","(R.M. Schust.) R.M. Schust. & Damsh.","tro-35185565","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lophozia propagulifera","Lophozia","","propagulifera",NA,NA,"","","",FALSE,"1.1","","","Lophozia","","propagulifera",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Lophozia schusteriana","Lophozia","","schusteriana",NA,NA,"","","tro-35209870",TRUE,"1.1","Accepted","Jungermanniaceae","Lophozia","","schusterana","","","Schljakov","tro-35209870","Accepted",TRUE,FALSE,FALSE,2017-05-11
"Lophozia setosa","Lophozia","","setosa",NA,NA,"","","tro-35200408",TRUE,"1.1","Accepted","Jungermanniaceae","Lophozia","","setosa","","","(Mitt.) Stephani","tro-35200408","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lophozia silvicoloides","Lophozia","","silvicoloides",NA,NA,"","","tro-35203278",TRUE,"1.1","Accepted","Jungermanniaceae","Lophozia","","silvicoloides","","","N. Kitag.","tro-35203278","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lophozia stolonifera","Lophozia","","stolonifera",NA,NA,"","","tro-35211331",TRUE,"1.1","Accepted","Jungermanniaceae","Lophozia","","stolonifera","","","R.M. Schust.","tro-35211331","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lophozia ventricosa","Lophozia","","ventricosa",NA,NA,"","","tro-35185572",TRUE,"1.1","Accepted","Jungermanniaceae","Lophozia","","ventricosa","","","(Dicks.) Dumort.","tro-35185572","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lophozia wenzelii","Lophozia","","wenzelii",NA,NA,"","","tro-35185580",TRUE,"1.1","Accepted","Jungermanniaceae","Lophozia","","wenzelii","","","(Nees) Stephani","tro-35185580","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lophoziopsis excisa","Lophoziopsis","","excisa",NA,NA,"","","tro-100355665",TRUE,"1.1","Accepted","Jungermanniaceae","Lophoziopsis","","excisa","","","(Dicks.) Konstant. & Vilnet","tro-100355665","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lophoziopsis longidens","Lophoziopsis","","longidens",NA,NA,"","","tro-100355669",TRUE,"1.1","Accepted","Jungermanniaceae","Lophoziopsis","","longidens","","","(Lindb.) Konstant. & Vilnet","tro-100355669","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lophozonia cunninghamii","Lophozonia","","cunninghamii",NA,NA,"","","",FALSE,"1.1","","","Lophozonia","","cunninghamii",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Lophozonia glauca","Lophozonia","","glauca",NA,NA,"","","",FALSE,"1.1","","","Lophozonia","","glauca",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Lophozonia menziesii","Lophozonia","","menziesii",NA,NA,"","","",FALSE,"1.1","","","Lophozonia","","menziesii",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Lophozonia moorei","Lophozonia","","moorei",NA,NA,"","","",FALSE,"1.1","","","Lophozonia","","moorei",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Lophozonia obliqua","Lophozonia","","obliqua",NA,NA,"","","",FALSE,"1.1","","","Lophozonia","","obliqua",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Lopidium concinnum","Lopidium","","concinnum",NA,NA,"","","tro-35160572",TRUE,"1.1","Accepted","Hookeriaceae","Lopidium","","concinnum","","","(Hook.) Wilson","tro-35160572","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lopidium penniforme","Lopidium","","penniforme",NA,NA,"","","tro-35160584",TRUE,"1.1","Accepted","Hookeriaceae","Lopidium","","pennaeforme","","","(Thunb. ex Brid.) M. Fleisch.","tro-35160584","Accepted",TRUE,FALSE,FALSE,2017-05-11
"Lopidium plumarium","Lopidium","","plumarium",NA,NA,"","","tro-35160586",TRUE,"1.1","Accepted","Hookeriaceae","Lopidium","","plumarium","","","(Mitt.) Hampe","tro-35160586","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lopidium struthiopteris","Lopidium","","struthiopteris",NA,NA,"","","tro-35160589",TRUE,"1.1","Accepted","Hookeriaceae","Lopidium","","struthiopteris","","","(Brid.) M. Fleisch.","tro-35160589","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lorandersonia baileyi","Lorandersonia","","baileyi",NA,NA,"","","gcc-114740",TRUE,"1.1","Accepted","Compositae","Lorandersonia","","baileyi","","","(Wooton & Standl.) \"Urbatsch, R.P.Roberts & Neubig\"","gcc-114740","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lorandersonia linifolia","Lorandersonia","","linifolia",NA,NA,"","","gcc-34088",TRUE,"1.1","Accepted","Compositae","Lorandersonia","","linifolia","","","(Greene) \"Urbatsch, R.P.Roberts & Neubig\"","gcc-34088","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lorandersonia microcephala","Lorandersonia","","microcephala",NA,NA,"","","gcc-101875",TRUE,"1.1","Accepted","Compositae","Lorandersonia","","microcephala","","","(Cronquist) \"Urbatsch, R.P.Roberts & Neubig\"","gcc-101875","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lorandersonia peirsonii","Lorandersonia","","peirsonii",NA,NA,"","","gcc-18558",TRUE,"1.1","Accepted","Compositae","Lorandersonia","","peirsonii","","","(D.D.Keck) \"Urbatsch, R.P.Roberts & Neubig\"","gcc-18558","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lorandersonia pulchella","Lorandersonia","","pulchella",NA,NA,"","","gcc-715",TRUE,"1.1","Accepted","Compositae","Lorandersonia","","pulchella","","","(A.Gray) \"Urbatsch, R.P.Roberts & Neubig\"","gcc-715","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lorandersonia salicina","Lorandersonia","","salicina",NA,NA,"","","gcc-87215",TRUE,"1.1","Accepted","Compositae","Lorandersonia","","salicina","","","(S.F.Blake) \"Urbatsch, R.P.Roberts & Neubig\"","gcc-87215","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lorandersonia spathulata","Lorandersonia","","spathulata",NA,NA,"","","gcc-82484",TRUE,"1.1","Accepted","Compositae","Lorandersonia","","spathulata","","","(L.C.Anderson) \"Urbatsch, R.P.Roberts & Neubig\"","gcc-82484","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Loranthus delavayi","Loranthus","","delavayi",NA,NA,"","","tro-19102912",TRUE,"1.1","Accepted","Loranthaceae","Loranthus","","delavayi","","","Tiegh.","tro-19102912","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Loranthus europaeus","Loranthus","","europaeus",NA,NA,"","","kew-2353116",TRUE,"1.1","Accepted","Loranthaceae","Loranthus","","europaeus","","","Jacq.","kew-2353116","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Loranthus grewingkii","Loranthus","","grewingkii",NA,NA,"","","kew-2353235",TRUE,"1.1","Unresolved","Loranthaceae","Loranthus","","grewingkii","","","Boiss. & Buhse","kew-2353235","Unresolved",FALSE,FALSE,FALSE,2017-05-11
