"Lycoris caldwellii","Lycoris","","caldwellii",NA,NA,"","","kew-280585",TRUE,"1.1","Accepted","Amaryllidaceae","Lycoris","","caldwellii","","","Traub","kew-280585","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lycoris chinensis","Lycoris","","chinensis",NA,NA,"","","kew-280584",TRUE,"1.1","Accepted","Amaryllidaceae","Lycoris","","chinensis","","","Traub","kew-280584","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lycoris flavescens","Lycoris","","flavescens",NA,NA,"","","kew-309555",TRUE,"1.1","Accepted","Amaryllidaceae","Lycoris","","flavescens","","","M.Kim & S.Lee","kew-309555","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lycoris haywardii","Lycoris","","haywardii",NA,NA,"","","kew-280582",TRUE,"1.1","Accepted","Amaryllidaceae","Lycoris","","haywardii","","","Traub","kew-280582","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lycoris houdyshelii","Lycoris","","houdyshelii",NA,NA,"","","kew-280581",TRUE,"1.1","Accepted","Amaryllidaceae","Lycoris","","houdyshelii","","","Traub","kew-280581","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lycoris incarnata","Lycoris","","incarnata",NA,NA,"","","kew-280587",TRUE,"1.1","Accepted","Amaryllidaceae","Lycoris","","incarnata","","","Comes ex Sprenger","kew-280587","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lycoris koreana","Lycoris","","koreana",NA,NA,"","","kew-280544",TRUE,"1.1","Accepted","Amaryllidaceae","Lycoris","","koreana","","","Nakai","kew-280544","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lycoris longituba","Lycoris","","longituba",NA,NA,"","","kew-280542",TRUE,"1.1","Accepted","Amaryllidaceae","Lycoris","","longituba","","","Y.C.Hsu & G.J.Fan","kew-280542","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lycoris radiata","Lycoris","","radiata",NA,NA,"","","kew-280540",TRUE,"1.1","Accepted","Amaryllidaceae","Lycoris","","radiata","","","(L'Hér.) Herb.","kew-280540","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lycoris rosea","Lycoris","","rosea",NA,NA,"","","kew-280539",TRUE,"1.1","Accepted","Amaryllidaceae","Lycoris","","rosea","","","Traub & Moldenke","kew-280539","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lycoris sanguinea","Lycoris","","sanguinea",NA,NA,"","","kew-280530",TRUE,"1.1","Accepted","Amaryllidaceae","Lycoris","","sanguinea","","","Maxim.","kew-280530","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lycoris shaanxiensis","Lycoris","","shaanxiensis",NA,NA,"","","kew-280139",TRUE,"1.1","Accepted","Amaryllidaceae","Lycoris","","shaanxiensis","","","Y.Xu & Z.B.Hu","kew-280139","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lycoris sprengeri","Lycoris","","sprengeri",NA,NA,"","","kew-280546",TRUE,"1.1","Accepted","Amaryllidaceae","Lycoris","","sprengeri","","","Comes ex Baker","kew-280546","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lycoris squamigera","Lycoris","","squamigera",NA,NA,"","","kew-280535",TRUE,"1.1","Accepted","Amaryllidaceae","Lycoris","","squamigera","","","Maxim.","kew-280535","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lycoris straminea","Lycoris","","straminea",NA,NA,"","","kew-280534",TRUE,"1.1","Accepted","Amaryllidaceae","Lycoris","","straminea","","","Lindl.","kew-280534","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lycoris traubii","Lycoris","","traubii",NA,NA,"","","kew-280532",TRUE,"1.1","Synonym","Amaryllidaceae","Lycoris","","aurea","","","(L'Hér.) Herb.","kew-280596","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lycoris uydoensis","Lycoris","","uydoensis",NA,NA,"","","kew-292076",TRUE,"1.1","Accepted","Amaryllidaceae","Lycoris","","uydoensis","","","M.Kim","kew-292076","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lycoseris triplinervia","Lycoseris","","triplinervia",NA,NA,"","","gcc-570",TRUE,"1.1","Accepted","Compositae","Lycoseris","","triplinervia","","","Less.","gcc-570","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lydenburgia abbottii","Lydenburgia","","abbottii",NA,NA,"","","kew-2338953",TRUE,"1.1","Unresolved","Celastraceae","Lydenburgia","","abbottii","","","(A.E.van Wyk & M.Prins) Steenkamp, A.E.van Wyk & M.Prins","kew-2338953","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Lydenburgia cassinoides","Lydenburgia","","cassinoides",NA,NA,"","","tro-6600464",TRUE,"1.1","Accepted","Celastraceae","Lydenburgia","","cassinoides","","","N. Robson","tro-6600464","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lyellia aspera","Lyellia","","aspera",NA,NA,"","","tro-35160605",TRUE,"1.1","Accepted","Polytrichaceae","Lyellia","","aspera","","","(I. Hagen & C.E.O. Jensen) Frye","tro-35160605","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lyellia crispa","Lyellia","","crispa",NA,NA,"","","tro-35160609",TRUE,"1.1","Accepted","Polytrichaceae","Lyellia","","crispa","","","R. Br.","tro-35160609","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lyellia platycarpa","Lyellia","","platycarpa",NA,NA,"","","tro-35160611",TRUE,"1.1","Accepted","Polytrichaceae","Lyellia","","platycarpa","","","Cardot & Thér.","tro-35160611","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lygeum spartum","Lygeum","","spartum",NA,NA,"","","kew-423191",TRUE,"1.1","Accepted","Poaceae","Lygeum","","spartum","","","Loefl. ex L.","kew-423191","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lyginia barbata","Lyginia","","barbata",NA,NA,"","","kew-252709",TRUE,"1.1","Accepted","Anarthriaceae","Lyginia","","barbata","","","R.Br.","kew-252709","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lyginia excelsa","Lyginia","","excelsa",NA,NA,"","","kew-252710",TRUE,"1.1","Accepted","Anarthriaceae","Lyginia","","excelsa","","","B.G.Briggs & L.A.S.Johnson","kew-252710","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lyginia imberbis","Lyginia","","imberbis",NA,NA,"","","kew-252711",TRUE,"1.1","Accepted","Anarthriaceae","Lyginia","","imberbis","","","R.Br.","kew-252711","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lygodesmia aphylla","Lygodesmia","","aphylla",NA,NA,"","","gcc-81846",TRUE,"1.1","Accepted","Compositae","Lygodesmia","","aphylla","","","(Nutt.) DC.","gcc-81846","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Lygodesmia environmental","Lygodesmia","","environmental",NA,NA,"","","",FALSE,"1.1","","","Lygodesmia","","environmental",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
