"Marasmodes schlechteri","Marasmodes","","schlechteri",NA,NA,"","","",FALSE,"1.1","","","Marasmodes","","schlechteri",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Marasmodes spinosa","Marasmodes","","spinosa",NA,NA,"","","",FALSE,"1.1","","","Marasmodes","","spinosa",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Marasmodes undulata","Marasmodes","","undulata",NA,NA,"","","gcc-99796",TRUE,"1.1","Accepted","Compositae","Marasmodes","","undulata","","","Compton","gcc-99796","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Marathrum aeruginosum","Marathrum","","aeruginosum",NA,NA,"","","kew-2502334",TRUE,"1.1","Accepted","Podostemaceae","Marathrum","","aeruginosum","","","P.Royen","kew-2502334","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Marathrum foeniculaceum","Marathrum","","foeniculaceum",NA,NA,"","","kew-2502337",TRUE,"1.1","Accepted","Podostemaceae","Marathrum","","foeniculaceum","","","Humb. & Bonpl.","kew-2502337","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Marathrum minutiflorum","Marathrum","","minutiflorum",NA,NA,"","","kew-2511391",TRUE,"1.1","Synonym","Podostemaceae","Marathrum","","modestum","","","(Wedd.) Nash","kew-2502373","Accepted",TRUE,FALSE,FALSE,2017-05-11
"Marathrum oxycarpum","Marathrum","","oxycarpum",NA,NA,"","","kew-2502371",TRUE,"1.1","Accepted","Podostemaceae","Marathrum","","oxycarpum","","","Tul.","kew-2502371","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Marathrum plumosum","Marathrum","","plumosum",NA,NA,"","","kew-2904713",TRUE,"1.1","Unresolved","Podostemaceae","Marathrum","","plumosum","","","(Novelo & C.T.Philbrick) C.T.Philbrick & C.P.Bove","kew-2904713","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Marathrum rubrum","Marathrum","","rubrum",NA,NA,"","","tro-25700135",TRUE,"1.1","Accepted","Podostemaceae","Marathrum","","rubrum","","","Novelo & C. Philbrick","tro-25700135","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Marathrum schiedeanum","Marathrum","","schiedeanum",NA,NA,"","","kew-2509471",TRUE,"1.1","Accepted","Podostemaceae","Marathrum","","schiedeanum","","","Cham.","kew-2509471","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Marathrum tenue","Marathrum","","tenue",NA,NA,"","","kew-2509466",TRUE,"1.1","Accepted","Podostemaceae","Marathrum","","tenue","","","Liebm.","kew-2509466","Accepted",FALSE,FALSE,FALSE,2017-05-11
