"Maytenus oblongata","Maytenus","","oblongata",NA,NA,"","","kew-2369862",TRUE,"1.1","Accepted","Celastraceae","Maytenus","","oblongata","","","Reissek","kew-2369862","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Maytenus oleoides","Maytenus","","oleoides",NA,NA,"","","tro-6600428",TRUE,"1.1","Accepted","Celastraceae","Maytenus","","oleoides","","","(Lam.) Loes.","tro-6600428","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Maytenus oleosa","Maytenus","","oleosa",NA,NA,"","","kew-2369837",TRUE,"1.1","Unresolved","Celastraceae","Maytenus","","oleosa","","","A.E.van Wyk & R.H.Archer","kew-2369837","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Maytenus peduncularis","Maytenus","","peduncularis",NA,NA,"","","tro-6600434",TRUE,"1.1","Accepted","Celastraceae","Maytenus","","peduncularis","","","Loes.","tro-6600434","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Maytenus pertinax","Maytenus","","pertinax",NA,NA,"","","kew-2369396",TRUE,"1.1","Unresolved","Celastraceae","Maytenus","","pertinax","","","N.Hallé & J.Florence","kew-2369396","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Maytenus pyria","Maytenus","","pyria",NA,NA,"","","kew-2369387",TRUE,"1.1","Unresolved","Celastraceae","Maytenus","","pyria","","","(Willemet) N.Robson","kew-2369387","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Maytenus rigida","Maytenus","","rigida",NA,NA,"","","tro-6600214",TRUE,"1.1","Accepted","Celastraceae","Maytenus","","rigida","","","Mart.","tro-6600214","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Maytenus robusta","Maytenus","","robusta",NA,NA,"","","tro-6600215",TRUE,"1.1","Accepted","Celastraceae","Maytenus","","robusta","","","Reissek","tro-6600215","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Maytenus salicifolia","Maytenus","","salicifolia",NA,NA,"","","tro-6600217",TRUE,"1.1","Accepted","Celastraceae","Maytenus","","salicifolia","","","Reissek","tro-6600217","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Maytenus schippii","Maytenus","","schippii",NA,NA,"","","kew-2369876",TRUE,"1.1","Accepted","Celastraceae","Maytenus","","schippii","","","Lundell","kew-2369876","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Maytenus segoviarum","Maytenus","","segoviarum",NA,NA,"","","kew-2369872",TRUE,"1.1","Accepted","Celastraceae","Maytenus","","segoviarum","","","Standl. & L.O.Williams","kew-2369872","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Maytenus texana","Maytenus","","texana",NA,NA,"","","tro-6600590",TRUE,"1.1","Accepted","Celastraceae","Maytenus","","texana","","","Lundell","tro-6600590","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Maytenus undata","Maytenus","","undata",NA,NA,"","","kew-2369782",TRUE,"1.1","Accepted","Celastraceae","Maytenus","","undata","","","(Thunb.) Blakelock","kew-2369782","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Maytenus verticillata","Maytenus","","verticillata",NA,NA,"","","tro-6600235",TRUE,"1.1","Accepted","Celastraceae","Maytenus","","verticillata","","","(Ruiz & Pav.) DC.","tro-6600235","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Maytenus woodsonii","Maytenus","","woodsonii",NA,NA,"","","kew-2369803",TRUE,"1.1","Accepted","Celastraceae","Maytenus","","woodsonii","","","Lundell","kew-2369803","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Mazaea phialanthoides","Mazaea","","phialanthoides",NA,NA,"","","kew-123174",TRUE,"1.1","Accepted","Rubiaceae","Mazaea","","phialanthoides","","","(Griseb.) Krug & Urb.","kew-123174","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Mazaea shaferi","Mazaea","","shaferi",NA,NA,"","","kew-123176",TRUE,"1.1","Accepted","Rubiaceae","Mazaea","","shaferi","","","(Standl.) Delprete","kew-123176","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Mazus alpinus","Mazus","","alpinus",NA,NA,"","","tro-50089128",TRUE,"1.1","Accepted","Phrymaceae","Mazus","","alpinus","","","Masam.","tro-50089128","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Mazus fauriei","Mazus","","fauriei",NA,NA,"","","tro-29208374",TRUE,"1.1","Accepted","Phrymaceae","Mazus","","fauriei","","","Bonati","tro-29208374","Accepted",FALSE,FALSE,FALSE,2017-05-11
