"Memecylon clavistaminum","Memecylon","","clavistaminum",NA,NA,"","","tro-20303485",TRUE,"1.1","Unresolved","Melastomataceae","Memecylon","","clavistaminum","","","Jacq.-Fél.","tro-20303485","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Memecylon cogniauxii","Memecylon","","cogniauxii",NA,NA,"","","tro-20303955",TRUE,"1.1","Accepted","Melastomataceae","Memecylon","","cogniauxii","","","Gilg","tro-20303955","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Memecylon confusum","Memecylon","","confusum",NA,NA,"","","tro-20304941",TRUE,"1.1","Synonym","Melastomataceae","Memecylon","","sphaerocarpum","","","DC.","tro-20304935","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Memecylon corticosum","Memecylon","","corticosum",NA,NA,"","","ifn-77464",TRUE,"1.1","Unresolved","Melastomataceae","Memecylon","","corticosum","","","Ridl.","ifn-77464","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Memecylon corymbiforme","Memecylon","","corymbiforme",NA,NA,"","","tro-20303017",TRUE,"1.1","Accepted","Melastomataceae","Memecylon","","corymbiforme","","","H. Perrier","tro-20303017","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Memecylon cyanocarpum","Memecylon","","cyanocarpum",NA,NA,"","","tro-20305195",TRUE,"1.1","Synonym","Melastomataceae","Memecylon","","caeruleum","","","Jack","tro-50309315","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Memecylon dasyanthum","Memecylon","","dasyanthum",NA,NA,"","","tro-20303115",TRUE,"1.1","Accepted","Melastomataceae","Memecylon","","dasyanthum","","","Gilg & Ledermann ex Engl.","tro-20303115","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Memecylon deminutum","Memecylon","","deminutum",NA,NA,"","","tro-20304063",TRUE,"1.1","Accepted","Melastomataceae","Memecylon","","deminutum","","","Brenan","tro-20304063","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Memecylon durum","Memecylon","","durum",NA,NA,"","","ifn-77497",TRUE,"1.1","Unresolved","Melastomataceae","Memecylon","","durum","","","Cogn.","ifn-77497","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Memecylon edule","Memecylon","","edule",NA,NA,"","","tro-20304427",TRUE,"1.1","Unresolved","Melastomataceae","Memecylon","","edule","","","Roxb.","tro-20304427","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Memecylon eduliforme","Memecylon","","eduliforme",NA,NA,"","","tro-20302983",TRUE,"1.1","Accepted","Melastomataceae","Memecylon","","eduliforme","","","Aug. DC.","tro-20302983","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Memecylon elaeagni","Memecylon","","elaeagni",NA,NA,"","","ifn-77501",TRUE,"1.1","Unresolved","Melastomataceae","Memecylon","","elaeagni","","","Blume","ifn-77501","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Memecylon englerianum","Memecylon","","englerianum",NA,NA,"","","tro-50049424",TRUE,"1.1","Accepted","Melastomataceae","Memecylon","","englerianum","","","Cogn.","tro-50049424","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Memecylon erythranthum","Memecylon","","erythranthum",NA,NA,"","","tro-20304055",TRUE,"1.1","Accepted","Melastomataceae","Memecylon","","erythranthum","","","Gilg","tro-20304055","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Memecylon flavovirens","Memecylon","","flavovirens",NA,NA,"","","tro-20304064",TRUE,"1.1","Accepted","Melastomataceae","Memecylon","","flavovirens","","","Baker","tro-20304064","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Memecylon floribundum","Memecylon","","floribundum",NA,NA,"","","tro-20305197",TRUE,"1.1","Synonym","Melastomataceae","Memecylon","","caeruleum","","","Jack","tro-50309315","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Memecylon fragrans","Memecylon","","fragrans",NA,NA,"","","tro-20304058",TRUE,"1.1","Synonym","Melastomataceae","Lijndenia","","fragrans","","","(A. Fern. & R. Fern.) Borhidi","tro-50195418","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Memecylon fuscescens","Memecylon","","fuscescens",NA,NA,"","","ifn-77532",TRUE,"1.1","Unresolved","Melastomataceae","Memecylon","","fuscescens","","","Thwaites","ifn-77532","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Memecylon germainii","Memecylon","","germainii",NA,NA,"","","tro-20303190",TRUE,"1.1","Accepted","Melastomataceae","Memecylon","","germainii","","","A. Fern. & R. Fern.","tro-20303190","Accepted",FALSE,FALSE,FALSE,2017-05-11
