"Mezia beckii","Mezia","","beckii",NA,NA,"","","kew-2504787",TRUE,"1.1","Unresolved","Malpighiaceae","Mezia","","beckii","","","W.R.Anderson","kew-2504787","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Mezia includens","Mezia","","includens",NA,NA,"","","kew-2504784",TRUE,"1.1","Accepted","Malpighiaceae","Mezia","","includens","","","(Benth.) Cuatrec.","kew-2504784","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Mezia mariposa","Mezia","","mariposa",NA,NA,"","","tro-50114310",TRUE,"1.1","Accepted","Malpighiaceae","Mezia","","mariposa","","","W.R. Anderson","tro-50114310","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Mezia tomentosa","Mezia","","tomentosa",NA,NA,"","","tro-50114311",TRUE,"1.1","Accepted","Malpighiaceae","Mezia","","tomentosa","","","W.R. Anderson","tro-50114311","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Meziella trifida","Meziella","","trifida",NA,NA,"","","kew-2366581",TRUE,"1.1","Accepted","Haloragaceae","Meziella","","trifida","","","(Nees) Schindl.","kew-2366581","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Mezilaurus crassiramea","Mezilaurus","","crassiramea",NA,NA,"","","tro-17803782",TRUE,"1.1","Accepted","Lauraceae","Mezilaurus","","crassiramea","","","(Meisn.) Taub. ex Mez","tro-17803782","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Mezilaurus duckei","Mezilaurus","","duckei",NA,NA,"","","kew-2365560",TRUE,"1.1","Accepted","Lauraceae","Mezilaurus","","duckei","","","van der Werff","kew-2365560","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Mezilaurus glabriantha","Mezilaurus","","glabriantha",NA,NA,"","","",FALSE,"1.1","","","Mezilaurus","","glabriantha",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Mezilaurus itauba","Mezilaurus","","itauba",NA,NA,"","","kew-2365562",TRUE,"1.1","Accepted","Lauraceae","Mezilaurus","","ita-uba","","","(Meisn.) Taub. ex Mez","kew-2365562","Accepted",TRUE,FALSE,FALSE,2017-05-11
"Mezilaurus mahuba","Mezilaurus","","mahuba",NA,NA,"","","tro-17804606",TRUE,"1.1","Accepted","Lauraceae","Mezilaurus","","mahuba","","","(A. Samp.) van der Werff","tro-17804606","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Mezilaurus microphylla","Mezilaurus","","microphylla",NA,NA,"","","",FALSE,"1.1","","","Mezilaurus","","microphylla",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Mezilaurus navalium","Mezilaurus","","navalium",NA,NA,"","","kew-2365568",TRUE,"1.1","Accepted","Lauraceae","Mezilaurus","","navalium","","","(Allem.) Taub. ex Mez","kew-2365568","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Mezilaurus opaca","Mezilaurus","","opaca",NA,NA,"","","tro-17804610",TRUE,"1.1","Accepted","Lauraceae","Mezilaurus","","opaca","","","Kubitzki & van der Werff","tro-17804610","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Mezilaurus synandra","Mezilaurus","","synandra",NA,NA,"","","tro-17802467",TRUE,"1.1","Accepted","Lauraceae","Mezilaurus","","synandra","","","(Mez) Kosterm.","tro-17802467","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Mezilaurus triunca","Mezilaurus","","triunca",NA,NA,"","","tro-17806210",TRUE,"1.1","Accepted","Lauraceae","Mezilaurus","","triunca","","","van der Werff","tro-17806210","Accepted",FALSE,FALSE,FALSE,2017-05-11
