"Miliusa thailandica","Miliusa","","thailandica",NA,NA,"","","",FALSE,"1.1","","","Miliusa","","thailandica",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Miliusa thorelii","Miliusa","","thorelii",NA,NA,"","","kew-2365306",TRUE,"1.1","Unresolved","Annonaceae","Miliusa","","thorelii","","","Finet & Gagnep.","kew-2365306","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Miliusa traceyi","Miliusa","","traceyi",NA,NA,"","","tro-1602429",TRUE,"1.1","Accepted","Annonaceae","Miliusa","","traceyi","","","Jessup","tro-1602429","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Miliusa umpangensis","Miliusa","","umpangensis",NA,NA,"","","",FALSE,"1.1","","","Miliusa","","umpangensis",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Miliusa velutina","Miliusa","","velutina",NA,NA,"","","kew-2365302",TRUE,"1.1","Accepted","Annonaceae","Miliusa","","velutina","","","(A.DC.) Hook.f. & Thomson","kew-2365302","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Milla biflora","Milla","","biflora",NA,NA,"","","kew-281445",TRUE,"1.1","Accepted","Asparagaceae","Milla","","biflora","","","Cav.","kew-281445","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Milla bryani","Milla","","bryani",NA,NA,"","","kew-281355",TRUE,"1.1","Accepted","Asparagaceae","Milla","","bryanii","","","I.M.Johnst.","kew-281355","Accepted",TRUE,FALSE,FALSE,2017-05-11
"Milla delicata","Milla","","delicata",NA,NA,"","","kew-281379",TRUE,"1.1","Accepted","Asparagaceae","Milla","","delicata","","","H.E.Moore","kew-281379","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Milla magnifica","Milla","","magnifica",NA,NA,"","","kew-292168",TRUE,"1.1","Accepted","Asparagaceae","Milla","","magnifica","","","H.E.Moore","kew-292168","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Milla mexicana","Milla","","mexicana",NA,NA,"","","kew-281589",TRUE,"1.1","Accepted","Asparagaceae","Milla","","mexicana","","","T.M.Howard","kew-281589","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Milla oaxacana","Milla","","oaxacana",NA,NA,"","","kew-281568",TRUE,"1.1","Accepted","Asparagaceae","Milla","","oaxacana","","","Ravenna","kew-281568","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Millegrana radiola","Millegrana","","radiola",NA,NA,"","","kew-2375211",TRUE,"1.1","Synonym","Linaceae","Radiola","","linoides","","","Roth","kew-2869134","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Milleria quinqueflora","Milleria","","quinqueflora",NA,NA,"","","gcc-101174",TRUE,"1.1","Accepted","Compositae","Milleria","","quinqueflora","","","L.","gcc-101174","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Millettia dura","Millettia","","dura",NA,NA,"","","ild-4635",TRUE,"1.1","Accepted","Leguminosae","Millettia","","dura","","","Dunn","ild-4635","Accepted",FALSE,FALSE,FALSE,2017-05-11
