"Mucuna macropoda","Mucuna","","macropoda",NA,NA,"","","ild-53267",TRUE,"1.1","Accepted","Leguminosae","Mucuna","","macropoda","","","Baker f.","ild-53267","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Mucuna manongarivensis","Mucuna","","manongarivensis",NA,NA,"","","ild-43108",TRUE,"1.1","Accepted","Leguminosae","Mucuna","","manongarivensis","","","Du Puy & Labat","ild-43108","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Mucuna melanocarpa","Mucuna","","melanocarpa",NA,NA,"","","ild-2859",TRUE,"1.1","Accepted","Leguminosae","Mucuna","","melanocarpa","","","A.Rich.","ild-2859","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Mucuna mollis","Mucuna","","mollis",NA,NA,"","","ild-20566",TRUE,"1.1","Accepted","Leguminosae","Mucuna","","mollis","","","(Kunth) DC.","ild-20566","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Mucuna mollissima","Mucuna","","mollissima",NA,NA,"","","ild-53270",TRUE,"1.1","Accepted","Leguminosae","Mucuna","","mollissima","","","Kurz","ild-53270","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Mucuna monosperma","Mucuna","","monosperma",NA,NA,"","","ild-46961",TRUE,"1.1","Accepted","Leguminosae","Mucuna","","monosperma","","","Wight","ild-46961","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Mucuna mutisiana","Mucuna","","mutisiana",NA,NA,"","","ild-20567",TRUE,"1.1","Accepted","Leguminosae","Mucuna","","mutisiana","","","(Kunth) DC.","ild-20567","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Mucuna neocaledonica","Mucuna","","neocaledonica",NA,NA,"","","kew-2375427",TRUE,"1.1","Unresolved","Leguminosae","Mucuna","","neocaledonica","","","Baker f.","kew-2375427","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Mucuna nigricans","Mucuna","","nigricans",NA,NA,"","","ild-50254",TRUE,"1.1","Accepted","Leguminosae","Mucuna","","nigricans","","","(Lour.) Steud.","ild-50254","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Mucuna nova","Mucuna","","nova",NA,NA,"","","ild-2864",TRUE,"1.1","Synonym","Leguminosae","Mucuna","","pruriens","","","(L.) DC.","ild-2863","Accepted",TRUE,FALSE,FALSE,2017-05-11
"Mucuna poggei","Mucuna","","poggei",NA,NA,"","","ild-2860",TRUE,"1.1","Accepted","Leguminosae","Mucuna","","poggei","","","Taub.","ild-2860","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Mucuna pruriens","Mucuna","","pruriens",NA,NA,"","","ild-2863",TRUE,"1.1","Accepted","Leguminosae","Mucuna","","pruriens","","","(L.) DC.","ild-2863","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Mucuna rostrata","Mucuna","","rostrata",NA,NA,"","","ild-10270",TRUE,"1.1","Accepted","Leguminosae","Mucuna","","rostrata","","","Benth.","ild-10270","Accepted",FALSE,FALSE,FALSE,2017-05-11
