"Myriocephalus oldfieldii","Myriocephalus","","oldfieldii",NA,NA,"","","gcc-41654",TRUE,"1.1","Accepted","Compositae","Myriocephalus","","oldfieldii","","","(F.Muell.) Paul G.Wilson","gcc-41654","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Myriocoleopsis gymnocolea","Myriocoleopsis","","gymnocolea",NA,NA,"","","tro-35207419",TRUE,"1.1","Accepted","Lejeuneaceae","Myriocoleopsis","","gymnocolea","","","(Spruce) Reiner, Maria Elena & Gradst.","tro-35207419","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Myriolimon ferulaceum","Myriolimon","","ferulaceum",NA,NA,"","","kew-2509333",TRUE,"1.1","Unresolved","Plumbaginaceae","Myriolimon","","ferulaceum","","","(L.) Lledó, Erben & M.B.Crespo","kew-2509333","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Myriophyllum alpinum","Myriophyllum","","alpinum",NA,NA,"","","kew-2366566",TRUE,"1.1","Unresolved","Haloragaceae","Myriophyllum","","alpinum","","","Orchard","kew-2366566","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Myriophyllum alterniflorum","Myriophyllum","","alterniflorum",NA,NA,"","","kew-2366560",TRUE,"1.1","Accepted","Haloragaceae","Myriophyllum","","alterniflorum","","","DC.","kew-2366560","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Myriophyllum amphibium","Myriophyllum","","amphibium",NA,NA,"","","kew-2366569",TRUE,"1.1","Unresolved","Haloragaceae","Myriophyllum","","amphibium","","","Labill.","kew-2366569","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Myriophyllum aquaticum","Myriophyllum","","aquaticum",NA,NA,"","","kew-2366570",TRUE,"1.1","Accepted","Haloragaceae","Myriophyllum","","aquaticum","","","(Vell.) Verdc.","kew-2366570","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Myriophyllum balladoniense","Myriophyllum","","balladoniense",NA,NA,"","","kew-2366584",TRUE,"1.1","Unresolved","Haloragaceae","Myriophyllum","","balladoniense","","","Orchard","kew-2366584","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Myriophyllum caput","Myriophyllum","","caput",NA,NA,"","","",FALSE,"1.1","","","Myriophyllum","","caput",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Myriophyllum coronatum","Myriophyllum","","coronatum",NA,NA,"","","kew-2366609",TRUE,"1.1","Unresolved","Haloragaceae","Myriophyllum","","coronatum","","","Meijden","kew-2366609","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Myriophyllum crispatum","Myriophyllum","","crispatum",NA,NA,"","","kew-2366611",TRUE,"1.1","Unresolved","Haloragaceae","Myriophyllum","","crispatum","","","Orchard","kew-2366611","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Myriophyllum decussatum","Myriophyllum","","decussatum",NA,NA,"","","kew-2366612",TRUE,"1.1","Unresolved","Haloragaceae","Myriophyllum","","decussatum","","","Orchard","kew-2366612","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Myriophyllum dicoccum","Myriophyllum","","dicoccum",NA,NA,"","","tro-50198790",TRUE,"1.1","Accepted","Haloragaceae","Myriophyllum","","dicoccum","","","F. Muell.","tro-50198790","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Myriophyllum drummondii","Myriophyllum","","drummondii",NA,NA,"","","kew-2366615",TRUE,"1.1","Unresolved","Haloragaceae","Myriophyllum","","drummondii","","","Benth.","kew-2366615","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Myriophyllum echinatum","Myriophyllum","","echinatum",NA,NA,"","","kew-2366593",TRUE,"1.1","Unresolved","Haloragaceae","Myriophyllum","","echinatum","","","Orchard","kew-2366593","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Myriophyllum farwellii","Myriophyllum","","farwellii",NA,NA,"","","tro-15000044",TRUE,"1.1","Accepted","Haloragaceae","Myriophyllum","","farwellii","","","Morong","tro-15000044","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Myriophyllum filiforme","Myriophyllum","","filiforme",NA,NA,"","","kew-2366589",TRUE,"1.1","Unresolved","Haloragaceae","Myriophyllum","","filiforme","","","Benth.","kew-2366589","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Myriophyllum heterophyllum","Myriophyllum","","heterophyllum",NA,NA,"","","kew-2366595",TRUE,"1.1","Accepted","Haloragaceae","Myriophyllum","","heterophyllum","","","Michx.","kew-2366595","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Myriophyllum hippuroides","Myriophyllum","","hippuroides",NA,NA,"","","kew-2366596",TRUE,"1.1","Accepted","Haloragaceae","Myriophyllum","","hippuroides","","","Nutt.","kew-2366596","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Myriophyllum humile","Myriophyllum","","humile",NA,NA,"","","kew-2366597",TRUE,"1.1","Accepted","Haloragaceae","Myriophyllum","","humile","","","(Raf.) Morong","kew-2366597","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Myriophyllum lapidicola","Myriophyllum","","lapidicola",NA,NA,"","","kew-2366521",TRUE,"1.1","Unresolved","Haloragaceae","Myriophyllum","","lapidicola","","","Orchard","kew-2366521","Unresolved",FALSE,FALSE,FALSE,2017-05-11
