"Ononis reuteri","Ononis","","reuteri",NA,NA,"","","ild-8965",TRUE,"1.1","Accepted","Leguminosae","Ononis","","reuteri","","","Boiss.","ild-8965","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ononis rosea","Ononis","","rosea",NA,NA,"","","ild-7990",TRUE,"1.1","Accepted","Leguminosae","Ononis","","rosea","","","Durieu","ild-7990","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ononis rotundifolia","Ononis","","rotundifolia",NA,NA,"","","ild-8966",TRUE,"1.1","Accepted","Leguminosae","Ononis","","rotundifolia","","","L.","ild-8966","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ononis serotina","Ononis","","serotina",NA,NA,"","","ild-7991",TRUE,"1.1","Accepted","Leguminosae","Ononis","","serotina","","","Pomel","ild-7991","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ononis serrata","Ononis","","serrata",NA,NA,"","","ild-7992",TRUE,"1.1","Accepted","Leguminosae","Ononis","","serrata","","","Forssk.","ild-7992","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ononis sicula","Ononis","","sicula",NA,NA,"","","ild-7993",TRUE,"1.1","Synonym","Leguminosae","Ononis","","viscosa","subsp.","sicula","(Guss.) Hub.-Mor.","ild-31638","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ononis speciosa","Ononis","","speciosa",NA,NA,"","","ild-7995",TRUE,"1.1","Accepted","Leguminosae","Ononis","","speciosa","","","Lag.","ild-7995","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ononis spinosa","Ononis","","spinosa",NA,NA,"","","ild-29429",TRUE,"1.1","Accepted","Leguminosae","Ononis","","spinosa","","","L.","ild-29429","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ononis striata","Ononis","","striata",NA,NA,"","","ild-8969",TRUE,"1.1","Accepted","Leguminosae","Ononis","","striata","","","Gouan","ild-8969","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ononis talaverae","Ononis","","talaverae",NA,NA,"","","kew-2389458",TRUE,"1.1","Unresolved","Leguminosae","Ononis","","talaverae","","","Devesa & G.López","kew-2389458","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Ononis tazaensis","Ononis","","tazaensis",NA,NA,"","","kew-2389468",TRUE,"1.1","Unresolved","Leguminosae","Ononis","","tazaensis","","","Förther & Podlech","kew-2389468","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Ononis thomsonii","Ononis","","thomsonii",NA,NA,"","","ild-7998",TRUE,"1.1","Accepted","Leguminosae","Ononis","","thomsonii","","","Oliv.","ild-7998","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ononis tournefortii","Ononis","","tournefortii",NA,NA,"","","ild-7999",TRUE,"1.1","Accepted","Leguminosae","Ononis","","tournefortii","","","Coss.","ild-7999","Accepted",FALSE,FALSE,FALSE,2017-05-11
