"Ormosia minor","Ormosia","","minor",NA,NA,"","","ild-14602",TRUE,"1.1","Accepted","Leguminosae","Ormosia","","minor","","","Vogel","ild-14602","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ormosia nitida","Ormosia","","nitida",NA,NA,"","","ild-17227",TRUE,"1.1","Accepted","Leguminosae","Ormosia","","nitida","","","Vogel","ild-17227","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ormosia ormondii","Ormosia","","ormondii",NA,NA,"","","ild-31877",TRUE,"1.1","Accepted","Leguminosae","Ormosia","","ormondii","","","(F.Muell.) Merr.","ild-31877","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ormosia paraensis","Ormosia","","paraensis",NA,NA,"","","ild-14606",TRUE,"1.1","Accepted","Leguminosae","Ormosia","","paraensis","","","Ducke","ild-14606","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ormosia pingbianensis","Ormosia","","pingbianensis",NA,NA,"","","ild-43694",TRUE,"1.1","Accepted","Leguminosae","Ormosia","","pingbianensis","","","W.C.Cheng & R.H.Chang","ild-43694","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ormosia poilanei","Ormosia","","poilanei",NA,NA,"","","ild-47088",TRUE,"1.1","Accepted","Leguminosae","Ormosia","","poilanei","","","Niyomdham","ild-47088","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ormosia smithii","Ormosia","","smithii",NA,NA,"","","ild-14608",TRUE,"1.1","Accepted","Leguminosae","Ormosia","","smithii","","","Rudd","ild-14608","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ormosia stipularis","Ormosia","","stipularis",NA,NA,"","","ild-14611",TRUE,"1.1","Accepted","Leguminosae","Ormosia","","stipularis","","","Ducke","ild-14611","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ormosia sumatrana","Ormosia","","sumatrana",NA,NA,"","","ild-31867",TRUE,"1.1","Accepted","Leguminosae","Ormosia","","sumatrana","","","(Miq.) Prain","ild-31867","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ormosia timboensis","Ormosia","","timboensis",NA,NA,"","","",FALSE,"1.1","","","Ormosia","","timboensis",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Ormosia yunnanensis","Ormosia","","yunnanensis",NA,NA,"","","ild-43695",TRUE,"1.1","Synonym","Leguminosae","Ormosia","","sumatrana","","","(Miq.) Prain","ild-31867","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ormosolenia alpina","Ormosolenia","","alpina",NA,NA,"","","tro-50205883",TRUE,"1.1","Accepted","Apiaceae","Ormosolenia","","alpina","","","(Sieber ex Schult.) Pimenov","tro-50205883","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ormosolenia pisidica","Ormosolenia","","pisidica",NA,NA,"","","kew-2390239",TRUE,"1.1","Unresolved","Apiaceae","Ormosolenia","","pisidica","","","Boiss. & Heldr.","kew-2390239","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Ornichia madagascariensis","Ornichia","","madagascariensis",NA,NA,"","","tro-13801271",TRUE,"1.1","Accepted","Gentianaceae","Ornichia","","madagascariensis","","","(Baker) Klack.","tro-13801271","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ornichia trinervis","Ornichia","","trinervis",NA,NA,"","","tro-13801268",TRUE,"1.1","Accepted","Gentianaceae","Ornichia","","trinervis","","","(Desr.) Klack.","tro-13801268","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ornithidium aggregatum","Ornithidium","","aggregatum",NA,NA,"","","kew-143997",TRUE,"1.1","Accepted","Orchidaceae","Ornithidium","","aggregatum","","","(Kunth) Rchb.f.","kew-143997","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ornithidium canarense","Ornithidium","","canarense",NA,NA,"","","kew-374911",TRUE,"1.1","Accepted","Orchidaceae","Ornithidium","","canarense","","","(J.T.Atwood) M.A.Blanco & Ojeda","kew-374911","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ornithidium coccineum","Ornithidium","","coccineum",NA,NA,"","","kew-144015",TRUE,"1.1","Accepted","Orchidaceae","Ornithidium","","coccineum","","","(Jacq.) Salisb. ex R.Br.","kew-144015","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ornithidium donaldeedodii","Ornithidium","","donaldeedodii",NA,NA,"","","kew-463730",TRUE,"1.1","Accepted","Orchidaceae","Ornithidium","","donaldeedodii","","","Ackerman & Whitten","kew-463730","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Ornithidium fulgens","Ornithidium","","fulgens",NA,NA,"","","kew-144031",TRUE,"1.1","Accepted","Orchidaceae","Ornithidium","","fulgens","","","Rchb.f.","kew-144031","Accepted",FALSE,FALSE,FALSE,2017-05-11
