"Oxalis flagellata","Oxalis","","flagellata",NA,NA,"","","tro-50179637",TRUE,"1.1","Accepted","Oxalidaceae","Oxalis","","flagellata","","","(Rusby) Lourteig","tro-50179637","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Oxalis flava","Oxalis","","flava",NA,NA,"","","kew-2399838",TRUE,"1.1","Accepted","Oxalidaceae","Oxalis","","flava","","","L.","kew-2399838","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Oxalis flaviuscula","Oxalis","","flaviuscula",NA,NA,"","","tro-23700615",TRUE,"1.1","Accepted","Oxalidaceae","Oxalis","","flaviuscula","","","Salter","tro-23700615","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Oxalis floribunda","Oxalis","","floribunda",NA,NA,"","","tro-50078988",TRUE,"1.1","Accepted","Oxalidaceae","Oxalis","","floribunda","","","Lehm.","tro-50078988","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Oxalis foveolata","Oxalis","","foveolata",NA,NA,"","","tro-23700619",TRUE,"1.1","Accepted","Oxalidaceae","Oxalis","","foveolata","","","Turcz.","tro-23700619","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Oxalis frutescens","Oxalis","","frutescens",NA,NA,"","","kew-2399885",TRUE,"1.1","Accepted","Oxalidaceae","Oxalis","","frutescens","","","L.","kew-2399885","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Oxalis furcillata","Oxalis","","furcillata",NA,NA,"","","tro-23700622",TRUE,"1.1","Accepted","Oxalidaceae","Oxalis","","furcillata","","","T.M.Salter","tro-23700622","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Oxalis geralensis","Oxalis","","geralensis",NA,NA,"","","tro-50080241",TRUE,"1.1","Accepted","Oxalidaceae","Oxalis","","geralensis","","","R. Knuth","tro-50080241","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Oxalis giftbergensis","Oxalis","","giftbergensis",NA,NA,"","","tro-23700626",TRUE,"1.1","Accepted","Oxalidaceae","Oxalis","","giftbergensis","","","T.M. Salter","tro-23700626","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Oxalis gigantea","Oxalis","","gigantea",NA,NA,"","","tro-23700135",TRUE,"1.1","Accepted","Oxalidaceae","Oxalis","","gigantea","","","Barnéoud","tro-23700135","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Oxalis glabra","Oxalis","","glabra",NA,NA,"","","tro-23700627",TRUE,"1.1","Accepted","Oxalidaceae","Oxalis","","glabra","","","Thunb.","tro-23700627","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Oxalis glaucescens","Oxalis","","glaucescens",NA,NA,"","","tro-50179604",TRUE,"1.1","Accepted","Oxalidaceae","Oxalis","","glaucescens","","","Norlind","tro-50179604","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Oxalis grammophylla","Oxalis","","grammophylla",NA,NA,"","","tro-23700639",TRUE,"1.1","Accepted","Oxalidaceae","Oxalis","","grammophylla","","","Salter","tro-23700639","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Oxalis gregaria","Oxalis","","gregaria",NA,NA,"","","tro-23701318",TRUE,"1.1","Synonym","Oxalidaceae","Oxalis","","dimidiata","","","Donn.Sm.","kew-2395165","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Oxalis griffithii","Oxalis","","griffithii",NA,NA,"","","tro-50064865",TRUE,"1.1","Accepted","Oxalidaceae","Oxalis","","griffithii","","","Edgew. & Hook. f.","tro-50064865","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Oxalis grisea","Oxalis","","grisea",NA,NA,"","","tro-23700139",TRUE,"1.1","Accepted","Oxalidaceae","Oxalis","","grisea","","","A. St.-Hil. & Naudin","tro-23700139","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Oxalis gyrorhiza","Oxalis","","gyrorhiza",NA,NA,"","","tro-23700140",TRUE,"1.1","Synonym","Oxalidaceae","Oxalis","","conorrhiza","","","Jacq.","kew-2394651","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Oxalis helicoides","Oxalis","","helicoides",NA,NA,"","","tro-23700642",TRUE,"1.1","Accepted","Oxalidaceae","Oxalis","","helicoides","","","Salter","tro-23700642","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Oxalis hernandezii","Oxalis","","hernandezii",NA,NA,"","","tro-23700143",TRUE,"1.1","Accepted","Oxalidaceae","Oxalis","","hernandezii","","","DC.","tro-23700143","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Oxalis herrerae","Oxalis","","herrerae",NA,NA,"","","tro-23700317",TRUE,"1.1","Synonym","Oxalidaceae","Oxalis","","teneriensis","","","R. Knuth","tro-23701206","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Oxalis hirsuta","Oxalis","","hirsuta",NA,NA,"","","tro-23700648",TRUE,"1.1","Accepted","Oxalidaceae","Oxalis","","hirsuta","","","Sond.","tro-23700648","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Oxalis hirsutibulba","Oxalis","","hirsutibulba",NA,NA,"","","",FALSE,"1.1","","","Oxalis","","hirsutibulba",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Oxalis hirta","Oxalis","","hirta",NA,NA,"","","tro-23700273",TRUE,"1.1","Accepted","Oxalidaceae","Oxalis","","hirta","","","L.","tro-23700273","Accepted",FALSE,FALSE,FALSE,2017-05-11
