"Paraboea umbellata","Paraboea","","umbellata",NA,NA,"","","tro-50061320",TRUE,"1.1","Synonym","Gesneriaceae","Paraboea","","rufescens","var.","umbellata","(Drake) K.Y. Pan","tro-50061321","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Paraboea variopila","Paraboea","","variopila",NA,NA,"","","kew-2533726",TRUE,"1.1","Unresolved","Gesneriaceae","Paraboea","","variopila","","","Z.R.Xu & B.L.Burtt","kew-2533726","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Paraboea velutina","Paraboea","","velutina",NA,NA,"","","tro-50061292",TRUE,"1.1","Accepted","Gesneriaceae","Paraboea","","velutina","","","(W.T. Wang & C.Z. Gao) B.L. Burtt","tro-50061292","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Paraboea verticillata","Paraboea","","verticillata",NA,NA,"","","tro-100373709",TRUE,"1.1","Accepted","Gesneriaceae","Paraboea","","verticillata","","","(Ridl.) B.L. Burtt","tro-100373709","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Paraboea vulpina","Paraboea","","vulpina",NA,NA,"","","kew-2533723",TRUE,"1.1","Unresolved","Gesneriaceae","Paraboea","","vulpina","","","Ridl.","kew-2533723","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Paracalia jungioides","Paracalia","","jungioides",NA,NA,"","","gcc-78566",TRUE,"1.1","Accepted","Compositae","Paracalia","","jungioides","","","(Hook. & Arn.) Cuatrec.","gcc-78566","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Paracalyx scariosus","Paracalyx","","scariosus",NA,NA,"","","ild-40055",TRUE,"1.1","Accepted","Leguminosae","Paracalyx","","scariosus","","","(Roxb.) Ali","ild-40055","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Paracalyx schweinfurthii","Paracalyx","","schweinfurthii",NA,NA,"","","ild-2924",TRUE,"1.1","Accepted","Leguminosae","Paracalyx","","schweinfurthii","","","(R.Wagner & Vierh.) Ali","ild-2924","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Paracarphalea angulata","Paracarphalea","","angulata",NA,NA,"","","",FALSE,"1.1","","","Paracarphalea","","angulata",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Paracarphalea kirondron","Paracarphalea","","kirondron",NA,NA,"","","",FALSE,"1.1","","","Paracarphalea","","kirondron",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Paracarphalea pervilleana","Paracarphalea","","pervilleana",NA,NA,"","","",FALSE,"1.1","","","Paracarphalea","","pervilleana",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Paracaryum ancyritanum","Paracaryum","","ancyritanum",NA,NA,"","","kew-2412647",TRUE,"1.1","Unresolved","Boraginaceae","Paracaryum","","ancyritanum","","","Boiss.","kew-2412647","Unresolved",FALSE,FALSE,FALSE,2017-05-11
