"Pedicularis sphaerantha","Pedicularis","","sphaerantha",NA,NA,"","","tro-29207462",TRUE,"1.1","Accepted","Orobanchaceae","Pedicularis","","sphaerantha","","","Tsoong","tro-29207462","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pedicularis spicata","Pedicularis","","spicata",NA,NA,"","","tro-29200368",TRUE,"1.1","Accepted","Orobanchaceae","Pedicularis","","spicata","","","Pall.","tro-29200368","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pedicularis steiningeri","Pedicularis","","steiningeri",NA,NA,"","","tro-29207012",TRUE,"1.1","Accepted","Orobanchaceae","Pedicularis","","steiningeri","","","Bonati","tro-29207012","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pedicularis stenocorys","Pedicularis","","stenocorys",NA,NA,"","","tro-29207423",TRUE,"1.1","Accepted","Orobanchaceae","Pedicularis","","stenocorys","","","Franch.","tro-29207423","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pedicularis stewardii","Pedicularis","","stewardii",NA,NA,"","","tro-29207391",TRUE,"1.1","Accepted","Orobanchaceae","Pedicularis","","stewardii","","","H.L. Li","tro-29207391","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pedicularis streptorhyncha","Pedicularis","","streptorhyncha",NA,NA,"","","tro-29207033",TRUE,"1.1","Accepted","Orobanchaceae","Pedicularis","","streptorhyncha","","","Tsoong","tro-29207033","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pedicularis striata","Pedicularis","","striata",NA,NA,"","","tro-29205450",TRUE,"1.1","Accepted","Orobanchaceae","Pedicularis","","striata","","","Pall.","tro-29205450","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pedicularis strobilacea","Pedicularis","","strobilacea",NA,NA,"","","tro-29207374",TRUE,"1.1","Accepted","Orobanchaceae","Pedicularis","","strobilacea","","","Franch.","tro-29207374","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pedicularis stylosa","Pedicularis","","stylosa",NA,NA,"","","tro-29207560",TRUE,"1.1","Accepted","Orobanchaceae","Pedicularis","","stylosa","","","H.P. Yang","tro-29207560","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pedicularis sudetica","Pedicularis","","sudetica",NA,NA,"","","kew-2550238",TRUE,"1.1","Accepted","Orobanchaceae","Pedicularis","","sudetica","","","Willd.","kew-2550238","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pedicularis superba","Pedicularis","","superba",NA,NA,"","","tro-29207143",TRUE,"1.1","Accepted","Orobanchaceae","Pedicularis","","superba","","","Franch. ex Maxim.","tro-29207143","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pedicularis sylvatica","Pedicularis","","sylvatica",NA,NA,"","","kew-2550419",TRUE,"1.1","Accepted","Orobanchaceae","Pedicularis","","sylvatica","","","L.","kew-2550419","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pedicularis szetschuanica","Pedicularis","","szetschuanica",NA,NA,"","","tro-29207249",TRUE,"1.1","Accepted","Orobanchaceae","Pedicularis","","szetschuanica","","","Maxim.","tro-29207249","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pedicularis tachanensis","Pedicularis","","tachanensis",NA,NA,"","","tro-29207387",TRUE,"1.1","Accepted","Orobanchaceae","Pedicularis","","tachanensis","","","Bonati","tro-29207387","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pedicularis tahaiensis","Pedicularis","","tahaiensis",NA,NA,"","","tro-29207383",TRUE,"1.1","Accepted","Orobanchaceae","Pedicularis","","tahaiensis","","","Bonati","tro-29207383","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pedicularis talassica","Pedicularis","","talassica",NA,NA,"","","kew-2550416",TRUE,"1.1","Unresolved","Orobanchaceae","Pedicularis","","talassica","","","Vved. ex P.A.Baranov","kew-2550416","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Pedicularis tantalorhyncha","Pedicularis","","tantalorhyncha",NA,NA,"","","tro-29207488",TRUE,"1.1","Accepted","Orobanchaceae","Pedicularis","","tantalorhyncha","","","Franch. ex Bonati","tro-29207488","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pedicularis tatarinowii","Pedicularis","","tatarinowii",NA,NA,"","","tro-29207354",TRUE,"1.1","Accepted","Orobanchaceae","Pedicularis","","tatarinowii","","","Maxim.","tro-29207354","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pedicularis tatsienensis","Pedicularis","","tatsienensis",NA,NA,"","","tro-29207505",TRUE,"1.1","Accepted","Orobanchaceae","Pedicularis","","tatsienensis","","","Bureau & Franch.","tro-29207505","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pedicularis tayloriana","Pedicularis","","tayloriana",NA,NA,"","","tro-29207544",TRUE,"1.1","Accepted","Orobanchaceae","Pedicularis","","tayloriana","","","Tsoong","tro-29207544","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pedicularis tenacifolia","Pedicularis","","tenacifolia",NA,NA,"","","tro-29207512",TRUE,"1.1","Accepted","Orobanchaceae","Pedicularis","","tenacifolia","","","Tsoong","tro-29207512","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pedicularis tenuisecta","Pedicularis","","tenuisecta",NA,NA,"","","tro-29207180",TRUE,"1.1","Accepted","Orobanchaceae","Pedicularis","","tenuisecta","","","Franch. ex Maxim.","tro-29207180","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pedicularis ternata","Pedicularis","","ternata",NA,NA,"","","tro-29207487",TRUE,"1.1","Accepted","Orobanchaceae","Pedicularis","","ternata","","","Maxim.","tro-29207487","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pedicularis thamnophila","Pedicularis","","thamnophila",NA,NA,"","","tro-29207138",TRUE,"1.1","Accepted","Orobanchaceae","Pedicularis","","thamnophila","","","(Hand.-Mazz.) H.L. Li","tro-29207138","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pedicularis tianschanica","Pedicularis","","tianschanica",NA,NA,"","","kew-2550422",TRUE,"1.1","Unresolved","Orobanchaceae","Pedicularis","","tianschanica","","","Rupr.","kew-2550422","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Pedicularis tibetica","Pedicularis","","tibetica",NA,NA,"","","tro-29207393",TRUE,"1.1","Accepted","Orobanchaceae","Pedicularis","","tibetica","","","Franch.","tro-29207393","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pedicularis tomentosa","Pedicularis","","tomentosa",NA,NA,"","","tro-29207431",TRUE,"1.1","Accepted","Orobanchaceae","Pedicularis","","tomentosa","","","H.L. Li","tro-29207431","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pedicularis tongolensis","Pedicularis","","tongolensis",NA,NA,"","","tro-29207015",TRUE,"1.1","Accepted","Orobanchaceae","Pedicularis","","tongolensis","","","Franch.","tro-29207015","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pedicularis torta","Pedicularis","","torta",NA,NA,"","","tro-29207392",TRUE,"1.1","Accepted","Orobanchaceae","Pedicularis","","torta","","","Maxim.","tro-29207392","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pedicularis transmorrisonensis","Pedicularis","","transmorrisonensis",NA,NA,"","","tro-29207277",TRUE,"1.1","Accepted","Orobanchaceae","Pedicularis","","transmorrisonensis","","","Hayata","tro-29207277","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pedicularis triangularidens","Pedicularis","","triangularidens",NA,NA,"","","tro-29207294",TRUE,"1.1","Accepted","Orobanchaceae","Pedicularis","","triangularidens","","","Tsoong","tro-29207294","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pedicularis trichocymba","Pedicularis","","trichocymba",NA,NA,"","","tro-29207014",TRUE,"1.1","Accepted","Orobanchaceae","Pedicularis","","trichocymba","","","H.L. Li","tro-29207014","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pedicularis trichoglossa","Pedicularis","","trichoglossa",NA,NA,"","","tro-29207018",TRUE,"1.1","Accepted","Orobanchaceae","Pedicularis","","trichoglossa","","","Hook. f.","tro-29207018","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pedicularis trichomata","Pedicularis","","trichomata",NA,NA,"","","tro-29207008",TRUE,"1.1","Accepted","Orobanchaceae","Pedicularis","","trichomata","","","H.L. Li","tro-29207008","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pedicularis tricolor","Pedicularis","","tricolor",NA,NA,"","","tro-29207620",TRUE,"1.1","Accepted","Orobanchaceae","Pedicularis","","tricolor","","","Hand.-Mazz.","tro-29207620","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pedicularis tristis","Pedicularis","","tristis",NA,NA,"","","kew-2550344",TRUE,"1.1","Accepted","Orobanchaceae","Pedicularis","","tristis","","","L.","kew-2550344","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pedicularis tsangchanensis","Pedicularis","","tsangchanensis",NA,NA,"","","tro-29207582",TRUE,"1.1","Accepted","Orobanchaceae","Pedicularis","","tsangchanensis","","","Franch. ex Maxim.","tro-29207582","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pedicularis tsarungensis","Pedicularis","","tsarungensis",NA,NA,"","","tro-29207520",TRUE,"1.1","Accepted","Orobanchaceae","Pedicularis","","tsarungensis","","","H.L. Li","tro-29207520","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pedicularis tsekouensis","Pedicularis","","tsekouensis",NA,NA,"","","tro-29206993",TRUE,"1.1","Accepted","Orobanchaceae","Pedicularis","","tsekouensis","","","Bonati","tro-29206993","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pedicularis tuberosa","Pedicularis","","tuberosa",NA,NA,"","","kew-2550352",TRUE,"1.1","Accepted","Orobanchaceae","Pedicularis","","tuberosa","","","L.","kew-2550352","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pedicularis uliginosa","Pedicularis","","uliginosa",NA,NA,"","","kew-2550324",TRUE,"1.1","Accepted","Orobanchaceae","Pedicularis","","uliginosa","","","Bunge","kew-2550324","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pedicularis umbelliformis","Pedicularis","","umbelliformis",NA,NA,"","","tro-29207517",TRUE,"1.1","Accepted","Orobanchaceae","Pedicularis","","umbelliformis","","","H.L. Li","tro-29207517","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pedicularis uralensis","Pedicularis","","uralensis",NA,NA,"","","kew-2550337",TRUE,"1.1","Accepted","Orobanchaceae","Pedicularis","","uralensis","","","Vved.","kew-2550337","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pedicularis urceolata","Pedicularis","","urceolata",NA,NA,"","","tro-29207422",TRUE,"1.1","Accepted","Orobanchaceae","Pedicularis","","urceolata","","","Tsoong","tro-29207422","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pedicularis vagans","Pedicularis","","vagans",NA,NA,"","","tro-29207080",TRUE,"1.1","Accepted","Orobanchaceae","Pedicularis","","vagans","","","Hemsl.","tro-29207080","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pedicularis variegata","Pedicularis","","variegata",NA,NA,"","","tro-29207635",TRUE,"1.1","Accepted","Orobanchaceae","Pedicularis","","variegata","","","H.L. Li","tro-29207635","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pedicularis venusta","Pedicularis","","venusta",NA,NA,"","","kew-2550334",TRUE,"1.1","Accepted","Orobanchaceae","Pedicularis","","venusta","","","Schangin ex Bunge","kew-2550334","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pedicularis verbenifolia","Pedicularis","","verbenifolia",NA,NA,"","","tro-29207451",TRUE,"1.1","Accepted","Orobanchaceae","Pedicularis","","verbenifolia","","","Franch. ex Maxim.","tro-29207451","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pedicularis veronicifolia","Pedicularis","","veronicifolia",NA,NA,"","","tro-29207169",TRUE,"1.1","Accepted","Orobanchaceae","Pedicularis","","veronicifolia","","","Franch.","tro-29207169","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pedicularis verticillata","Pedicularis","","verticillata",NA,NA,"","","kew-2550375",TRUE,"1.1","Accepted","Orobanchaceae","Pedicularis","","verticillata","","","L.","kew-2550375","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pedicularis vialii","Pedicularis","","vialii",NA,NA,"","","tro-29207030",TRUE,"1.1","Accepted","Orobanchaceae","Pedicularis","","vialii","","","Franch.","tro-29207030","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pedicularis villosa","Pedicularis","","villosa",NA,NA,"","","tro-29200154",TRUE,"1.1","Accepted","Orobanchaceae","Pedicularis","","villosa","","","Ledeb. ex Spreng.","tro-29200154","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pedicularis violascens","Pedicularis","","violascens",NA,NA,"","","kew-2550383",TRUE,"1.1","Accepted","Orobanchaceae","Pedicularis","","violascens","","","Schrenk","kew-2550383","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pedicularis waldheimii","Pedicularis","","waldheimii",NA,NA,"","","kew-2550380",TRUE,"1.1","Unresolved","Orobanchaceae","Pedicularis","","waldheimii","","","Bonati","kew-2550380","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Pedicularis wanghongiae","Pedicularis","","wanghongiae",NA,NA,"","","",FALSE,"1.1","","","Pedicularis","","wanghongiae",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Pedicularis wilhelmsiana","Pedicularis","","wilhelmsiana",NA,NA,"","","kew-2550362",TRUE,"1.1","Accepted","Orobanchaceae","Pedicularis","","wilhelmsiana","","","Fisch. ex M.Bieb.","kew-2550362","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pedicularis xiangchengensis","Pedicularis","","xiangchengensis",NA,NA,"","","tro-29207146",TRUE,"1.1","Accepted","Orobanchaceae","Pedicularis","","xiangchengensis","","","H.P. Yang","tro-29207146","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pedicularis yezoensis","Pedicularis","","yezoensis",NA,NA,"","","tro-29205468",TRUE,"1.1","Unresolved","Orobanchaceae","Pedicularis","","yezoensis","","","Maxim.","tro-29205468","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Pedicularis yui","Pedicularis","","yui",NA,NA,"","","tro-29207513",TRUE,"1.1","Accepted","Orobanchaceae","Pedicularis","","yui","","","H.L. Li","tro-29207513","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pedicularis yunnanensis","Pedicularis","","yunnanensis",NA,NA,"","","tro-29207518",TRUE,"1.1","Accepted","Orobanchaceae","Pedicularis","","yunnanensis","","","Franch. ex Maxim.","tro-29207518","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pedinophyllopsis abdita","Pedinophyllopsis","","abdita",NA,NA,"","","tro-35203574",TRUE,"1.1","Accepted","Geocalycaceae","Pedinophyllopsis","","abdita","","","(Sull.) R.M. Schust. & Inoue","tro-35203574","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pedinophyllum interruptum","Pedinophyllum","","interruptum",NA,NA,"","","tro-35185693",TRUE,"1.1","Accepted","Plagiochilaceae","Pedinophyllum","","interruptum","","","(Nees) Kaal.","tro-35185693","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pedinophyllum truncatum","Pedinophyllum","","truncatum",NA,NA,"","","tro-35208295",TRUE,"1.1","Accepted","Plagiochilaceae","Pedinophyllum","","truncatum","","","Inoue","tro-35208295","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pediocactus simpsonii","Pediocactus","","simpsonii",NA,NA,"","","tro-5100170",TRUE,"1.1","Accepted","Cactaceae","Pediocactus","","simpsonii","","","(Engelm.) Britton & Rose","tro-5100170","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pediomelum tenuiflorum","Pediomelum","","tenuiflorum",NA,NA,"","","tro-50338150",TRUE,"1.1","Accepted","Leguminosae","Pediomelum","","tenuiflorum","","","(Pursh) A.N. Egan","tro-50338150","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Peersia macradenia","Peersia","","macradenia",NA,NA,"","","tro-702947",TRUE,"1.1","Accepted","Aizoaceae","Peersia","","macradenia","","","(L. Bolus) L. Bolus","tro-702947","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Peersia vanheerdei","Peersia","","vanheerdei",NA,NA,"","","kew-2405877",TRUE,"1.1","Unresolved","Aizoaceae","Peersia","","vanheerdei","","","(L.Bolus) H.E.K.Hartmann","kew-2405877","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Pegaeophyton nepalense","Pegaeophyton","","nepalense",NA,NA,"","","tro-50131754",TRUE,"1.1","Accepted","Brassicaceae","Pegaeophyton","","nepalense","","","Al-Shehbaz, Arai & H. Ohba","tro-50131754","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pegaeophyton scapiflorum","Pegaeophyton","","scapiflorum",NA,NA,"","","kew-2411984",TRUE,"1.1","Accepted","Brassicaceae","Pegaeophyton","","scapiflorum","","","(Hook.f. & Thomson) C.Marquand & Airy Shaw","kew-2411984","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Peganum harmala","Peganum","","harmala",NA,NA,"","","kew-2548698",TRUE,"1.1","Accepted","Nitrariaceae","Peganum","","harmala","","","L.","kew-2548698","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Peganum multisectum","Peganum","","multisectum",NA,NA,"","","tro-50126120",TRUE,"1.1","Accepted","Nitrariaceae","Peganum","","multisectum","","","(Maxim.) Bobrov","tro-50126120","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Peganum nigellastrum","Peganum","","nigellastrum",NA,NA,"","","tro-34600193",TRUE,"1.1","Accepted","Nitrariaceae","Peganum","","nigellastrum","","","Bunge","tro-34600193","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pegia nitida","Pegia","","nitida",NA,NA,"","","tro-1301153",TRUE,"1.1","Accepted","Anacardiaceae","Pegia","","nitida","","","Colebr.","tro-1301153","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pegia sarmentosa","Pegia","","sarmentosa",NA,NA,"","","tro-1301154",TRUE,"1.1","Accepted","Anacardiaceae","Pegia","","sarmentosa","","","(Lecomte) Hand.-Mazz.","tro-1301154","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pegolettia baccharidifolia","Pegolettia","","baccharidifolia",NA,NA,"","","gcc-49124",TRUE,"1.1","Accepted","Compositae","Pegolettia","","baccharidifolia","","","Less.","gcc-49124","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pegolettia gariepina","Pegolettia","","gariepina",NA,NA,"","","gcc-86042",TRUE,"1.1","Accepted","Compositae","Pegolettia","","gariepina","","","Anderb.","gcc-86042","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pegolettia lanceolata","Pegolettia","","lanceolata",NA,NA,"","","gcc-103242",TRUE,"1.1","Accepted","Compositae","Pegolettia","","lanceolata","","","Harv.","gcc-103242","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pegolettia oxyodonta","Pegolettia","","oxyodonta",NA,NA,"","","gcc-75333",TRUE,"1.1","Accepted","Compositae","Pegolettia","","oxyodonta","","","DC.","gcc-75333","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pegolettia pinnatilobata","Pegolettia","","pinnatilobata",NA,NA,"","","gcc-117678",TRUE,"1.1","Accepted","Compositae","Pegolettia","","pinnatilobata","","","(Klatt) O.Hoffm. ex Dinter","gcc-117678","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pegolettia plumosa","Pegolettia","","plumosa",NA,NA,"","","gcc-76374",TRUE,"1.1","Accepted","Compositae","Pegolettia","","plumosa","","","M.D.Hend.","gcc-76374","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pegolettia retrofracta","Pegolettia","","retrofracta",NA,NA,"","","gcc-154206",TRUE,"1.1","Accepted","Compositae","Pegolettia","","retrofracta","","","(Thunb.) Kies","gcc-154206","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pegolettia senegalensis","Pegolettia","","senegalensis",NA,NA,"","","gcc-46164",TRUE,"1.1","Accepted","Compositae","Pegolettia","","senegalensis","","","Cass.","gcc-46164","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pehria compacta","Pehria","","compacta",NA,NA,"","","kew-2536834",TRUE,"1.1","Accepted","Lythraceae","Pehria","","compacta","","","(Rusby) Sprague","kew-2536834","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Peixotoa bahiana","Peixotoa","","bahiana",NA,NA,"","","tro-50149058",TRUE,"1.1","Accepted","Malpighiaceae","Peixotoa","","bahiana","","","C.E. Anderson","tro-50149058","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Peixotoa cordistipula","Peixotoa","","cordistipula",NA,NA,"","","tro-19500471",TRUE,"1.1","Accepted","Malpighiaceae","Peixotoa","","cordistipula","","","A. Juss.","tro-19500471","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Peixotoa glabra","Peixotoa","","glabra",NA,NA,"","","tro-19500473",TRUE,"1.1","Accepted","Malpighiaceae","Peixotoa","","glabra","","","A. Juss.","tro-19500473","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Peixotoa hispidula","Peixotoa","","hispidula",NA,NA,"","","kew-2548716",TRUE,"1.1","Accepted","Malpighiaceae","Peixotoa","","hispidula","","","A.Juss.","kew-2548716","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Peixotoa paludosa","Peixotoa","","paludosa",NA,NA,"","","tro-50149068",TRUE,"1.1","Accepted","Malpighiaceae","Peixotoa","","paludosa","","","Turcz.","tro-50149068","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Peixotoa parviflora","Peixotoa","","parviflora",NA,NA,"","","tro-19500478",TRUE,"1.1","Accepted","Malpighiaceae","Peixotoa","","parviflora","","","A. Juss.","tro-19500478","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Peixotoa reticulata","Peixotoa","","reticulata",NA,NA,"","","kew-2548688",TRUE,"1.1","Accepted","Malpighiaceae","Peixotoa","","reticulata","","","Griseb.","kew-2548688","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Peixotoa tomentosa","Peixotoa","","tomentosa",NA,NA,"","","tro-19500482",TRUE,"1.1","Accepted","Malpighiaceae","Peixotoa","","tomentosa","","","A. Juss.","tro-19500482","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pelagodendron vitiense","Pelagodendron","","vitiense",NA,NA,"","","kew-149553",TRUE,"1.1","Synonym","Rubiaceae","Aidia","","vitiensis","","","(Seem.) Puttock","kew-5076","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pelagodoxa henryana","Pelagodoxa","","henryana",NA,NA,"","","kew-149555",TRUE,"1.1","Accepted","Arecaceae","Pelagodoxa","","henryana","","","Becc.","kew-149555","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pelargonium abrotanifolium","Pelargonium","","abrotanifolium",NA,NA,"","","tro-13900347",TRUE,"1.1","Accepted","Geraniaceae","Pelargonium","","abrotanifolium","","","Jacq.","tro-13900347","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pelargonium acetosum","Pelargonium","","acetosum",NA,NA,"","","tro-13900349",TRUE,"1.1","Accepted","Geraniaceae","Pelargonium","","acetosum","","","(L.) L'Hér.","tro-13900349","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pelargonium aciculatum","Pelargonium","","aciculatum",NA,NA,"","","tro-50159618",TRUE,"1.1","Accepted","Geraniaceae","Pelargonium","","aciculatum","","","E.M. Marais","tro-50159618","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pelargonium acraeum","Pelargonium","","acraeum",NA,NA,"","","tro-13900350",TRUE,"1.1","Accepted","Geraniaceae","Pelargonium","","acraeum","","","R.A. Dyer","tro-13900350","Accepted",FALSE,FALSE,FALSE,2017-05-11
