"Pentas micrantha","Pentas","","micrantha",NA,NA,"","","kew-150000",TRUE,"1.1","Accepted","Rubiaceae","Pentas","","micrantha","","","Baker","kew-150000","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pentaspadon annamense","Pentaspadon","","annamense",NA,NA,"","","tro-100367502",TRUE,"1.1","Accepted","Anacardiaceae","Pentaspadon","","annamense","","","(Evrard & Tardieu) P.H. Hô","tro-100367502","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pentaspadon poilanei","Pentaspadon","","poilanei",NA,NA,"","","kew-2408111",TRUE,"1.1","Unresolved","Anacardiaceae","Pentaspadon","","poilanei","","","(Evrard & Tardieu) P.H.Hô","kew-2408111","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Pentas pauciflora","Pentas","","pauciflora",NA,NA,"","","kew-150016",TRUE,"1.1","Accepted","Rubiaceae","Pentas","","pauciflora","","","Baker","kew-150016","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pentas pubiflora","Pentas","","pubiflora",NA,NA,"","","kew-150019",TRUE,"1.1","Accepted","Rubiaceae","Pentas","","pubiflora","","","S.Moore","kew-150019","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pentas purpurea","Pentas","","purpurea",NA,NA,"","","kew-150022",TRUE,"1.1","Accepted","Rubiaceae","Pentas","","purpurea","","","Oliv.","kew-150022","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pentas suswaensis","Pentas","","suswaensis",NA,NA,"","","kew-150037",TRUE,"1.1","Accepted","Rubiaceae","Pentas","","suswaensis","","","Verdc.","kew-150037","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pentastemona egregia","Pentastemona","","egregia",NA,NA,"","","kew-285328",TRUE,"1.1","Accepted","Stemonaceae","Pentastemona","","egregia","","","(Schott) Steenis","kew-285328","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pentastemona sumatrana","Pentastemona","","sumatrana",NA,NA,"","","kew-285407",TRUE,"1.1","Accepted","Stemonaceae","Pentastemona","","sumatrana","","","Steenis","kew-285407","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pentastichella pentasticha","Pentastichella","","pentasticha",NA,NA,"","","tro-35107096",TRUE,"1.1","Accepted","Orthotrichaceae","Pentastichella","","pentasticha","","","(Mont.) Müll. Hal. ex Thér.","tro-35107096","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pentas zanzibarica","Pentas","","zanzibarica",NA,NA,"","","kew-150053",TRUE,"1.1","Accepted","Rubiaceae","Pentas","","zanzibarica","","","(Klotzsch) Vatke","kew-150053","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pentatrichia alata","Pentatrichia","","alata",NA,NA,"","","gcc-1103",TRUE,"1.1","Accepted","Compositae","Pentatrichia","","alata","","","S.Moore","gcc-1103","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pentatrichia petrosa","Pentatrichia","","petrosa",NA,NA,"","","gcc-46130",TRUE,"1.1","Accepted","Compositae","Pentatrichia","","petrosa","","","Klatt","gcc-46130","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pentatrichia rehmii","Pentatrichia","","rehmii",NA,NA,"","","gcc-13670",TRUE,"1.1","Accepted","Compositae","Pentatrichia","","rehmii","","","(Merxm.) Merxm.","gcc-13670","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pentatropis bentii","Pentatropis","","bentii",NA,NA,"","","tro-50163535",TRUE,"1.1","Accepted","Apocynaceae","Pentatropis","","bentii","","","(N.E. Br.) Liede","tro-50163535","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pentatropis capensis","Pentatropis","","capensis",NA,NA,"","","tro-2600049",TRUE,"1.1","Accepted","Apocynaceae","Pentatropis","","capensis","","","(L. f.) Bullock","tro-2600049","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pentatropis madagascariensis","Pentatropis","","madagascariensis",NA,NA,"","","tro-2602038",TRUE,"1.1","Synonym","Apocynaceae","Pentatropis","","nivalis","subsp.","madagascariensis","(Decne.) Liede & Meve","tro-50213626","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pentatropis nivalis","Pentatropis","","nivalis",NA,NA,"","","kew-2405228",TRUE,"1.1","Accepted","Apocynaceae","Pentatropis","","nivalis","","","(J.F.Gmel.) D.V.Field & J.R.I.Wood","kew-2405228","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pentatropis spiralis","Pentatropis","","spiralis",NA,NA,"","","tro-2602043",TRUE,"1.1","Synonym","Apocynaceae","Blyttia","","spiralis","","","(Forssk.) D.V.Field & J.R.I.Wood","kew-2677719","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Penthorum chinense","Penthorum","","chinense",NA,NA,"","","tro-8901929",TRUE,"1.1","Accepted","Penthoraceae","Penthorum","","chinense","","","Pursh","tro-8901929","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Penthorum sedoides","Penthorum","","sedoides",NA,NA,"","","tro-8901440",TRUE,"1.1","Accepted","Penthoraceae","Penthorum","","sedoides","","","L.","tro-8901440","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pentodon pentandrus","Pentodon","","pentandrus",NA,NA,"","","kew-150089",TRUE,"1.1","Accepted","Rubiaceae","Pentodon","","pentandrus","","","(Schumach. & Thonn.) Vatke","kew-150089","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pentopetia grevei","Pentopetia","","grevei",NA,NA,"","","tro-50109743",TRUE,"1.1","Accepted","Apocynaceae","Pentopetia","","grevei","","","(Baill.) Venter","tro-50109743","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pentopetia longipetala","Pentopetia","","longipetala",NA,NA,"","","kew-2404414",TRUE,"1.1","Unresolved","Apocynaceae","Pentopetia","","longipetala","","","Klack.","kew-2404414","Unresolved",FALSE,FALSE,FALSE,2017-05-11
"Pentopetia lutea","Pentopetia","","lutea",NA,NA,"","","tro-50111206",TRUE,"1.1","Accepted","Apocynaceae","Pentopetia","","lutea","","","Klack. & Civeyrel","tro-50111206","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pentzia argentea","Pentzia","","argentea",NA,NA,"","","gcc-142775",TRUE,"1.1","Accepted","Compositae","Pentzia","","argentea","","","Hutch.","gcc-142775","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pentzia calcarea","Pentzia","","calcarea",NA,NA,"","","gcc-105406",TRUE,"1.1","Accepted","Compositae","Pentzia","","calcarea","","","Kies","gcc-105406","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pentzia calva","Pentzia","","calva",NA,NA,"","","gcc-18310",TRUE,"1.1","Accepted","Compositae","Pentzia","","calva","","","S.Moore","gcc-18310","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pentzia cooperi","Pentzia","","cooperi",NA,NA,"","","gcc-80856",TRUE,"1.1","Accepted","Compositae","Pentzia","","cooperi","","","Harv.","gcc-80856","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pentzia dentata","Pentzia","","dentata",NA,NA,"","","gcc-31115",TRUE,"1.1","Accepted","Compositae","Pentzia","","dentata","","","(L.) Kuntze","gcc-31115","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pentzia eenii","Pentzia","","eenii",NA,NA,"","","gcc-120215",TRUE,"1.1","Synonym","Compositae","Rennera","","eenii","","","(S.Moore) Källersjö","gcc-14798","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pentzia elegans","Pentzia","","elegans",NA,NA,"","","gcc-18389",TRUE,"1.1","Accepted","Compositae","Pentzia","","elegans","","","DC.","gcc-18389","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pentzia flabelliformis","Pentzia","","flabelliformis",NA,NA,"","","gcc-47550",TRUE,"1.1","Synonym","Compositae","Pentzia","","dentata","","","(L.) Kuntze","gcc-31115","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pentzia globosa","Pentzia","","globosa",NA,NA,"","","gcc-17832",TRUE,"1.1","Accepted","Compositae","Pentzia","","globosa","","","Less.","gcc-17832","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pentzia incana","Pentzia","","incana",NA,NA,"","","gcc-106159",TRUE,"1.1","Accepted","Compositae","Pentzia","","incana","","","(Thunb.) Kuntze","gcc-106159","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pentzia lanata","Pentzia","","lanata",NA,NA,"","","gcc-108102",TRUE,"1.1","Accepted","Compositae","Pentzia","","lanata","","","Hutch.","gcc-108102","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pentzia monocephala","Pentzia","","monocephala",NA,NA,"","","gcc-25921",TRUE,"1.1","Accepted","Compositae","Pentzia","","monocephala","","","S.Moore","gcc-25921","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pentzia monodiana","Pentzia","","monodiana",NA,NA,"","","gcc-142635",TRUE,"1.1","Accepted","Compositae","Pentzia","","monodiana","","","Maire","gcc-142635","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pentzia oppositifolia","Pentzia","","oppositifolia",NA,NA,"","","",FALSE,"1.1","","","Pentzia","","oppositifolia",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Pentzia peduncularis","Pentzia","","peduncularis",NA,NA,"","","gcc-129149",TRUE,"1.1","Accepted","Compositae","Pentzia","","peduncularis","","","B.Nord.","gcc-129149","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pentzia pinnatisecta","Pentzia","","pinnatisecta",NA,NA,"","","gcc-5562",TRUE,"1.1","Accepted","Compositae","Pentzia","","pinnatisecta","","","Hutch.","gcc-5562","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pentzia punctata","Pentzia","","punctata",NA,NA,"","","gcc-18237",TRUE,"1.1","Accepted","Compositae","Pentzia","","punctata","","","Harv.","gcc-18237","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pentzia quinquefida","Pentzia","","quinquefida",NA,NA,"","","gcc-124288",TRUE,"1.1","Accepted","Compositae","Pentzia","","quinquefida","","","(Thunb.) Less.","gcc-124288","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pentzia somalensis","Pentzia","","somalensis",NA,NA,"","","gcc-107295",TRUE,"1.1","Accepted","Compositae","Pentzia","","somalensis","","","E.A.Bruce ex Thulin","gcc-107295","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pentzia sphaerocephala","Pentzia","","sphaerocephala",NA,NA,"","","gcc-107251",TRUE,"1.1","Accepted","Compositae","Pentzia","","sphaerocephala","","","DC.","gcc-107251","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pentzia spinescens","Pentzia","","spinescens",NA,NA,"","","gcc-105294",TRUE,"1.1","Synonym","Compositae","Oncosiphon","","suffruticosum","","","(L.) Källersjö","gcc-47079","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pentzia stellata","Pentzia","","stellata",NA,NA,"","","",FALSE,"1.1","","","Pentzia","","stellata",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Pentzia tortuosa","Pentzia","","tortuosa",NA,NA,"","","gcc-143245",TRUE,"1.1","Accepted","Compositae","Pentzia","","tortuosa","","","(DC.) Fenzl ex Harv.","gcc-143245","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Pentzia trifida","Pentzia","","trifida",NA,NA,"","","",FALSE,"1.1","","","Pentzia","","trifida",NA,"","","","",FALSE,FALSE,FALSE,2017-05-11
"Penzigiella cordata","Penzigiella","","cordata",NA,NA,"","","tro-35107099",TRUE,"1.1","Accepted","Pterobryaceae","Penzigiella","","cordata","","","(Hook. ex Harv.) M. Fleisch.","tro-35107099","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Peperomia abyssinica","Peperomia","","abyssinica",NA,NA,"","","kew-2563430",TRUE,"1.1","Accepted","Piperaceae","Peperomia","","abyssinica","","","Miq.","kew-2563430","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Peperomia aceramarcana","Peperomia","","aceramarcana",NA,NA,"","","tro-50127632",TRUE,"1.1","Accepted","Piperaceae","Peperomia","","aceramarcana","","","Trel.","tro-50127632","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Peperomia alata","Peperomia","","alata",NA,NA,"","","kew-2556695",TRUE,"1.1","Accepted","Piperaceae","Peperomia","","alata","","","Ruiz & Pav.","kew-2556695","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Peperomia albonervosa","Peperomia","","albonervosa",NA,NA,"","","tro-100375375",TRUE,"1.1","Accepted","Piperaceae","Peperomia","","albonervosa","","","G. Mathieu","tro-100375375","Accepted",FALSE,FALSE,FALSE,2017-05-11
"Peperomia ampla","Peperomia","","ampla",NA,NA,"","","tro-100375376",TRUE,"1.1","Accepted","Piperaceae","Peperomia","","ampla","","","(Trel.) G. Mathieu","tro-100375376","Accepted",FALSE,FALSE,FALSE,2017-05-11
